Date,Open,High,Low,Close,Adj Close,Volume
2016-03-02,93.28,93.28,93.28,93.28,93.28,2320
2016-03-03,97.93,97.93,97.0,97.93,97.93,99912
2016-03-04,106.5,107.7,101.55,107.7,107.7,149314
2016-03-08,114.5,118.45,111.62,113.88,113.88,511716
2016-03-09,114.62,123.25,110.0,114.18,114.18,220306
2016-03-10,112.5,115.45,112.05,113.43,113.43,117928
2016-03-11,113.3,118.0,113.0,114.6,114.6,215460
2016-03-14,117.5,118.0,111.8,112.97,112.97,187154
2016-03-15,112.57,116.0,112.0,112.8,112.8,140798
2016-03-16,113.5,114.85,103.0,112.22,112.22,135808
2016-03-17,113.93,114.95,107.97,108.9,108.9,153234
2016-03-18,110.0,112.97,105.3,107.1,107.1,72816
2016-03-21,107.97,111.95,105.0,108.45,108.45,113538
2016-03-22,106.53,112.78,106.53,109.6,109.6,115658
2016-03-23,110.5,111.95,107.57,109.5,109.5,135562
2016-03-28,107.85,111.15,107.55,108.38,108.38,66534
2016-03-29,109.12,110.47,106.62,108.2,108.2,84762
2016-03-30,110.22,110.22,108.07,108.82,108.82,48208
2016-03-31,109.97,110.0,106.5,107.15,107.15,41804
2016-04-01,115.0,116.0,106.03,113.8,113.8,188736
2016-04-04,113.95,117.0,110.0,112.28,112.28,81790
2016-04-05,111.93,114.03,108.55,110.07,110.07,78712
2016-04-06,111.38,113.25,107.55,108.6,108.6,100124
2016-04-07,108.97,109.5,106.6,107.53,107.53,49786
2016-04-08,108.22,109.45,105.82,107.45,107.45,90994
2016-04-11,107.5,107.5,95.0,100.9,100.9,169492
2016-04-12,99.1,105.0,96.25,101.62,101.62,164648
2016-04-13,102.57,107.35,102.57,103.72,103.72,176928
2016-04-18,106.82,106.82,97.5,100.62,100.62,121126
2016-04-20,101.0,102.9,98.95,101.85,101.85,75458
2016-04-21,102.32,107.0,101.0,101.7,101.7,89710
2016-04-22,100.65,103.4,100.5,102.05,102.05,43468
2016-04-25,101.47,103.5,100.65,101.75,101.75,41328
2016-04-26,101.53,102.45,100.05,101.03,101.03,55170
2016-04-27,102.95,107.2,101.1,103.95,103.95,160142
2016-04-28,104.03,105.28,101.15,101.9,101.9,56782
2016-04-29,101.88,104.45,98.5,101.15,101.15,100884
2016-05-02,103.5,103.5,99.0,100.43,100.43,46104
2016-05-03,100.07,102.7,99.25,99.93,99.93,98494
2016-05-04,100.28,101.45,97.5,97.8,97.8,61984
2016-05-05,98.32,99.57,95.12,96.57,96.57,60544
2016-05-06,96.47,100.7,95.25,99.47,99.47,99904
2016-05-09,100.45,103.0,98.8,102.05,102.05,76082
2016-05-10,103.7,104.0,99.0,101.2,101.2,60858
2016-05-11,99.57,102.5,98.25,99.9,99.9,54056
2016-05-12,99.22,101.95,99.1,99.55,99.55,56126
2016-05-13,101.03,101.5,99.0,100.22,100.22,37532
2016-05-16,101.72,101.72,98.15,98.78,98.78,41382
2016-05-17,99.5,99.95,97.5,97.82,97.82,43326
2016-05-18,97.72,98.18,96.07,96.55,96.55,57732
2016-05-19,98.5,98.5,87.68,90.1,90.1,217140
2016-05-20,90.0,90.0,85.88,86.53,86.53,162084
2016-05-23,87.55,87.88,81.78,83.35,83.35,210430
2016-05-24,83.5,100.0,82.75,97.05,97.05,1654180
2016-05-25,98.55,99.75,93.0,94.62,94.62,217128
2016-05-26,93.78,103.0,93.55,100.5,100.5,593272
2016-05-27,100.55,105.0,100.55,101.45,101.45,241324
2016-05-30,102.97,106.9,92.53,95.82,95.82,1026920
2016-05-31,91.75,94.97,90.5,91.1,91.1,255788
2016-06-01,91.28,97.68,91.28,94.65,94.65,247796
2016-06-02,94.72,94.75,92.05,92.43,92.43,64902
2016-06-03,92.57,93.75,90.15,90.38,90.38,120698
2016-06-06,91.75,92.4,87.5,88.25,88.25,122594
2016-06-07,89.22,90.85,88.0,88.47,88.47,157004
2016-06-08,88.0,92.5,88.0,90.18,90.18,167372
2016-06-09,91.25,91.25,88.12,88.85,88.85,78262
2016-06-10,88.5,90.0,87.5,87.95,87.95,113622
2016-06-13,88.5,89.4,84.6,87.57,87.57,175822
2016-06-14,88.82,89.0,86.05,87.35,87.35,110800
2016-06-15,87.55,88.3,86.0,86.7,86.7,82276
2016-06-16,85.55,86.25,83.5,84.55,84.55,100862
2016-06-17,86.97,88.97,84.6,85.32,85.32,98004
2016-06-20,84.0,86.97,84.0,86.03,86.03,99834
2016-06-21,86.97,88.5,85.18,86.0,86.0,132646
2016-06-22,86.97,87.03,84.18,84.35,84.35,91324
2016-06-23,84.53,85.5,83.0,83.62,83.62,90168
2016-06-24,76.55,82.4,73.53,81.32,81.32,478748
2016-06-27,82.88,82.9,78.05,78.95,78.95,230662
2016-06-28,79.38,79.9,73.65,74.28,74.28,778132
2016-06-29,74.5,81.0,74.5,79.57,79.57,408336
2016-06-30,80.5,87.22,80.45,82.97,82.97,505364
2016-07-01,83.6,86.85,83.1,83.43,83.43,172822
2016-07-04,84.45,85.53,84.0,84.47,84.47,117698
2016-07-05,84.5,84.75,82.12,83.05,83.05,109508
2016-07-07,84.25,85.07,82.5,82.9,82.9,133280
2016-07-08,82.95,83.68,80.7,81.53,81.53,133064
2016-07-11,84.4,84.4,79.4,80.22,80.22,134696
2016-07-12,81.0,82.88,79.65,82.07,82.07,123060
2016-07-13,82.03,83.45,80.15,81.03,81.03,110338
2016-07-14,81.5,84.15,81.47,83.5,83.5,147258
2016-07-15,84.5,85.95,82.43,82.82,82.82,222618
2016-07-18,84.22,84.25,81.97,82.32,82.32,116734
2016-07-19,82.55,84.78,80.25,83.0,83.0,152654
2016-07-20,84.22,84.7,81.75,82.25,82.25,115722
2016-07-21,83.43,83.5,81.0,81.6,81.6,115862
2016-07-22,82.22,83.65,81.47,82.88,82.88,107594
2016-07-25,83.88,84.75,82.05,82.62,82.62,135852
2016-07-26,81.8,83.72,81.07,81.53,81.53,247358
2016-07-27,82.88,82.9,80.4,80.72,80.72,90756
2016-07-28,82.22,82.5,80.55,81.0,81.0,161560
2016-07-29,81.03,81.95,80.28,81.03,81.03,102122
2016-08-01,82.3,82.3,80.1,80.9,80.9,122872
2016-08-02,81.47,82.2,80.35,80.62,80.62,101496
2016-08-03,81.5,81.5,79.45,80.6,80.6,141174
2016-08-04,82.5,82.5,76.95,79.18,79.18,97616
2016-08-05,77.68,83.35,77.65,81.5,81.5,151520
2016-08-08,81.5,87.97,79.5,82.32,82.32,669748
2016-08-09,83.5,83.5,75.1,77.68,77.68,216692
2016-08-10,77.03,78.5,74.25,75.47,75.47,154000
2016-08-11,74.03,77.9,70.78,71.65,71.65,177548
2016-08-12,72.95,73.5,65.0,67.5,67.5,320808
2016-08-16,71.0,72.5,67.53,69.47,69.47,172614
2016-08-17,69.47,70.75,67.93,69.6,69.6,88742
2016-08-18,71.97,72.45,67.53,68.57,68.57,65124
2016-08-19,67.6,70.45,67.53,68.45,68.45,67780
2016-08-22,70.0,70.0,67.0,68.43,68.43,107696
2016-08-23,67.62,69.25,61.97,64.5,64.5,231108
2016-08-24,63.05,67.4,63.05,64.45,64.45,261148
2016-08-25,64.25,64.5,51.58,57.83,57.83,2303918
2016-08-26,58.0,64.95,57.75,62.1,62.1,1205918
2016-08-29,62.33,64.5,60.1,60.47,60.47,251088
2016-08-30,61.15,62.38,58.47,59.17,59.17,151028
2016-08-31,59.47,61.55,57.53,60.17,60.17,168048
2016-09-01,60.1,60.22,58.0,58.1,58.1,111428
2016-09-02,58.88,59.55,57.6,58.0,58.0,79658
2016-09-06,60.5,61.4,57.75,61.0,61.0,182912
2016-09-07,61.78,61.78,59.5,60.05,60.05,45148
2016-09-08,60.6,60.6,58.55,59.0,59.0,60084
2016-09-09,60.6,61.7,57.0,59.72,59.72,138890
2016-09-12,59.78,60.83,58.03,58.95,58.95,81204
2016-09-14,61.0,70.5,58.7,68.43,68.43,453372
2016-09-15,68.0,69.88,65.3,65.85,65.85,201796
2016-09-16,66.97,69.18,63.5,65.22,65.22,173116
2016-09-19,63.53,66.0,63.53,64.62,64.62,99664
2016-09-20,64.93,65.5,63.58,64.55,64.55,60364
2016-09-21,65.47,65.97,63.5,64.12,64.12,86582
2016-09-22,64.95,65.5,64.1,64.38,64.38,57538
2016-09-23,65.38,67.5,63.58,65.38,65.38,123396
2016-09-26,65.55,66.35,62.08,63.05,63.05,82876
2016-09-27,63.72,63.97,61.75,61.97,61.97,86316
2016-09-28,61.53,62.47,59.75,61.2,61.2,98008
2016-09-29,61.35,62.03,53.5,57.33,57.33,161448
2016-09-30,57.28,60.47,57.0,57.47,57.47,106416
2016-10-03,57.5,59.88,57.5,58.42,58.42,74620
2016-10-04,59.4,59.4,56.6,57.97,57.97,86792
2016-10-05,57.0,58.7,56.5,57.45,57.45,75998
2016-10-06,58.47,58.47,56.6,56.97,56.97,81446
2016-10-07,57.45,57.8,55.85,56.45,56.45,66900
2016-10-10,60.72,60.72,53.5,54.45,54.45,135148
2016-10-13,55.5,55.5,49.62,51.05,51.05,193558
2016-10-14,50.67,54.0,49.25,50.67,50.67,209342
2016-10-17,51.0,51.0,41.6,43.7,43.7,1134594
2016-10-18,45.25,45.25,39.5,42.12,42.12,769902
2016-10-19,42.0,50.55,42.0,50.55,50.55,3154212
