Date,Open,High,Low,Close,Adj Close,Volume
2010-09-29,134.45,134.45,125.7,126.75,70.81,15325
2010-09-30,127.95,132.85,125.0,127.7,71.34,6777
2010-10-01,129.0,131.0,127.7,129.15,72.15,3923
2010-10-04,136.6,136.6,124.0,125.3,70.0,27392
2010-10-05,127.45,127.5,122.1,122.85,68.63,4799
2010-10-06,128.0,128.0,122.75,123.6,69.05,4738
2010-10-07,126.0,129.0,124.0,124.5,69.55,17404
2010-10-08,122.5,123.4,116.65,118.45,66.17,40760
2010-10-11,124.65,124.65,114.4,118.1,65.98,9265
2010-10-12,114.6,117.4,112.05,115.9,64.75,9420
2010-10-13,115.0,123.5,113.85,121.2,67.71,15469
2010-10-14,120.85,123.0,116.4,117.75,66.33,10996
2010-10-15,120.0,120.0,114.0,115.2,64.89,3772
2010-10-18,113.0,115.85,111.25,111.8,62.98,5728
2010-10-19,113.0,118.0,110.95,112.8,63.54,15229
2010-10-20,115.95,115.95,109.1,109.7,61.79,8816
2010-10-21,110.2,112.75,109.0,109.2,61.51,7264
2010-10-22,110.5,110.5,107.55,107.9,60.78,8336
2010-10-25,108.1,111.0,107.1,108.35,61.03,6007
2010-10-26,108.5,108.5,105.2,105.9,59.65,4848
2010-10-27,106.95,113.0,106.35,112.15,63.17,13816
2010-10-28,112.1,114.0,110.55,111.4,62.75,3541
2010-10-29,110.0,112.0,109.05,109.85,61.88,4581
2010-11-01,110.0,111.9,107.0,110.0,61.96,2810
2010-11-02,111.9,111.9,106.0,106.5,59.99,2655
2010-11-03,108.0,108.0,106.0,107.1,60.33,1952
2010-11-04,108.0,108.0,105.1,105.15,59.23,2561
2010-11-08,105.35,108.35,102.15,106.55,60.02,1101
2010-11-09,105.35,108.5,105.35,106.7,60.1,2575
2010-11-10,106.7,109.9,105.65,106.6,60.05,5532
2010-11-11,107.0,109.0,106.75,107.45,60.53,7433
2010-11-12,106.3,109.0,101.1,102.6,57.79,6714
2010-11-15,103.8,106.75,101.5,103.95,58.56,2991
2010-11-16,102.55,102.55,98.25,100.1,56.39,1984
2010-11-18,98.05,102.55,96.0,98.55,55.51,1932
2010-11-19,99.0,100.8,91.3,94.35,53.15,5671
2010-11-22,98.0,98.0,92.5,95.0,53.51,1988
2010-11-23,93.0,97.85,93.0,94.1,53.01,7999
2010-11-24,96.0,100.0,94.0,94.75,53.37,4620
2010-11-25,94.15,97.0,93.0,95.75,53.94,6048
2010-11-26,95.0,95.0,85.3,89.2,50.25,6911
2010-11-29,92.25,92.25,88.45,90.05,50.73,1232
2010-11-30,90.4,90.5,88.25,89.85,50.61,9442
2010-12-01,93.8,93.85,91.0,92.5,52.11,122
2010-12-02,92.0,92.8,89.1,90.75,51.12,3182
2010-12-03,92.0,92.0,89.0,89.5,50.42,12248
2010-12-06,91.0,91.6,87.1,90.45,50.95,1880
2010-12-07,91.25,91.25,86.3,88.0,49.57,545
2010-12-08,86.5,86.8,83.25,83.8,47.2,2110
2010-12-09,83.8,84.45,77.55,81.5,45.91,6386
2010-12-10,84.0,91.0,81.0,88.55,49.88,5826
2010-12-13,81.95,97.0,81.05,87.2,49.12,1924
2010-12-14,86.5,88.0,86.5,87.75,49.43,543
2010-12-15,86.5,92.9,86.5,86.7,48.84,1410
2010-12-16,86.0,100.0,85.6,95.4,53.74,4070
2010-12-20,93.0,98.25,88.6,94.7,53.34,9487
2010-12-21,99.4,99.4,93.0,93.35,52.58,1561
2010-12-22,101.8,101.8,91.85,92.15,51.91,3151
2010-12-23,92.55,95.75,89.0,90.35,50.89,2333
2010-12-24,90.1,94.75,86.0,88.95,50.11,2440
2010-12-27,91.0,93.9,89.1,91.15,51.34,10116
2010-12-28,89.0,93.0,88.0,90.25,50.84,3347
2010-12-29,93.85,93.85,88.15,89.1,50.19,1426
2010-12-30,88.55,91.0,87.8,90.95,51.23,1826
2010-12-31,88.4,97.0,88.4,95.0,53.51,13471
2011-01-03,97.0,97.75,92.95,93.0,52.39,2475
2011-01-04,93.0,93.1,90.25,92.65,52.19,1124
2011-01-05,90.25,92.0,88.0,89.3,50.3,3964
2011-01-06,95.0,95.0,88.55,88.55,49.88,525
