Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,60.2,65.95,60.2,64.0,61.22,4993
2019-11-14,64.95,64.95,60.0,60.95,58.31,6528
2019-11-15,60.2,63.8,60.1,60.95,58.31,4483
2019-11-18,61.0,61.95,60.85,60.95,58.31,7789
2019-11-19,60.2,61.95,59.0,59.9,57.3,14665
2019-11-20,63.95,63.95,60.15,60.55,57.92,3017
2019-11-21,60.2,62.5,60.2,61.05,58.4,2318
2019-11-22,60.6,62.4,59.8,60.9,58.26,11374
2019-11-25,60.5,62.95,60.5,61.2,58.55,3767
2019-11-26,61.95,61.95,60.05,60.4,57.78,10452
2019-11-27,61.95,63.0,60.5,62.0,59.31,8427
2019-11-28,61.0,63.3,60.1,60.9,58.26,13528
2019-11-29,62.45,62.45,60.55,60.85,58.21,2657
2019-12-02,62.9,62.95,60.25,61.0,58.35,10464
2019-12-03,61.0,61.2,60.1,60.45,57.83,14416
2019-12-04,61.45,62.8,60.4,61.5,58.83,3127
2019-12-05,61.0,61.85,60.05,60.9,58.26,5178
2019-12-06,62.7,62.7,60.25,61.15,58.5,4828
2019-12-09,67.55,67.55,60.8,61.0,58.35,3662
2019-12-10,60.95,62.0,60.05,61.1,58.45,13805
2019-12-11,60.85,62.4,60.75,60.8,58.16,7389
2019-12-12,60.8,63.0,60.8,61.9,59.22,11096
2019-12-13,64.0,64.0,61.25,61.65,58.98,1330
2019-12-16,61.25,65.0,61.25,61.95,59.26,25174
2019-12-17,63.8,63.8,61.0,61.25,58.59,4019
2019-12-18,62.4,62.4,61.25,61.65,58.98,2810
2019-12-19,61.3,61.8,60.15,61.25,58.59,11481
2019-12-20,60.6,61.5,60.6,61.25,58.59,7272
2019-12-23,63.3,63.3,61.35,61.35,58.69,2726
2019-12-24,61.25,62.4,61.0,61.0,58.35,15857
2019-12-26,61.0,62.45,61.0,61.25,58.59,2264
2019-12-27,62.35,62.8,61.15,61.55,58.88,9911
2019-12-30,62.85,64.5,61.35,62.0,59.31,5664
