Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.3,5.3,4.95,4.96,3.76,59480
2002-07-02,4.93,5.05,4.93,4.96,3.76,8760
2002-07-03,5.0,5.01,4.93,4.98,3.77,22520
2002-07-04,4.95,5.0,4.95,4.95,3.75,27750
2002-07-05,4.95,5.18,4.81,5.09,3.85,30420
2002-07-08,5.0,5.14,4.95,5.1,3.86,56450
2002-07-09,5.12,5.14,5.01,5.11,3.86,22800
2002-07-10,5.01,5.04,4.81,4.82,3.65,15270
2002-07-11,4.8,4.8,4.51,4.64,3.52,27270
2002-07-12,4.98,4.98,4.65,4.65,3.52,8560
2002-07-15,4.7,4.82,4.65,4.75,3.6,7080
2002-07-16,4.8,4.8,4.67,4.68,3.55,12560
2002-07-17,4.78,4.78,4.51,4.56,3.45,10050
2002-07-18,4.8,4.8,4.62,4.78,3.62,6600
2002-07-19,4.96,4.96,4.52,4.84,3.66,17580
2002-07-22,4.72,4.72,4.61,4.64,3.51,3800
2002-07-23,4.88,4.88,4.61,4.8,3.63,11940
2002-07-24,4.61,4.85,4.61,4.8,3.63,15900
2002-07-25,4.75,4.9,4.7,4.82,3.65,10300
2002-07-26,4.68,4.68,4.6,4.6,3.48,12050
2002-07-29,4.6,4.68,4.55,4.57,3.46,3560
2002-07-30,4.5,4.9,4.09,4.76,3.6,37260
2002-07-31,4.8,5.04,4.7,4.94,3.74,755320
2002-08-01,4.95,4.99,4.85,4.88,3.69,43620
2002-08-02,4.8,5.1,4.8,5.1,3.86,62850
2002-08-05,5.14,5.25,5.03,5.17,3.91,126080
2002-08-06,5.24,5.38,5.22,5.26,3.98,23880
2002-08-07,5.15,5.29,5.15,5.29,4.0,7370
2002-08-08,5.0,5.12,5.0,5.1,3.86,14850
2002-08-09,5.0,5.34,4.82,5.28,4.0,382280
2002-08-12,5.3,5.76,5.25,5.53,4.19,290510
2002-08-13,5.7,5.77,5.4,5.43,4.11,22190
2002-08-14,5.43,5.5,5.2,5.41,4.1,89560
2002-08-15,5.41,5.41,5.41,5.41,4.1,0
2002-08-16,5.47,5.51,5.31,5.38,4.07,14760
2002-08-19,5.11,5.32,5.11,5.26,3.99,2030
2002-08-20,4.91,5.34,4.91,5.16,3.9,6180
2002-08-21,5.6,5.6,4.95,5.3,4.01,21690
2002-08-22,5.68,5.68,5.1,5.41,4.09,227910
2002-08-23,5.55,5.55,5.3,5.39,4.08,33590
2002-08-26,5.5,5.55,5.4,5.4,4.09,18230
2002-08-27,5.49,5.66,5.49,5.62,4.26,70450
2002-08-28,5.6,5.68,5.57,5.64,4.27,34710
2002-08-29,6.2,6.2,5.6,5.68,4.3,46560
2002-08-30,5.7,5.78,5.59,5.72,4.33,45280
2002-09-02,5.5,5.59,5.12,5.51,4.17,27220
2002-09-03,5.52,5.52,5.41,5.5,4.16,43620
2002-09-04,5.5,5.59,5.4,5.45,4.13,17950
2002-09-05,5.59,5.77,5.55,5.7,4.32,36230
2002-09-06,5.75,5.8,5.68,5.74,4.34,48310
2002-09-09,5.7,5.8,5.7,5.76,4.36,18830
2002-09-10,5.76,5.76,5.76,5.76,4.36,0
2002-09-11,5.61,5.93,5.61,5.85,4.43,64500
2002-09-12,5.7,5.9,5.7,5.89,4.46,24530
2002-09-13,6.0,6.1,5.86,6.01,4.55,292000
2002-09-16,6.09,6.25,5.82,6.02,4.56,28520
2002-09-17,6.07,6.09,5.3,5.99,4.53,35640
2002-09-18,6.12,6.12,5.91,5.99,4.53,56410
2002-09-19,6.0,6.09,5.85,5.98,4.53,28470
2002-09-20,6.0,6.1,5.8,6.0,4.54,49440
2002-09-23,5.97,6.05,5.89,6.01,4.55,18340
2002-09-24,6.0,6.0,5.91,6.0,4.54,55170
2002-09-25,6.0,6.0,5.95,6.0,4.54,34830
2002-09-26,5.85,6.05,5.85,6.0,4.54,3650
2002-09-27,5.9,6.04,5.9,6.0,4.54,22590
2002-09-30,6.0,6.0,5.88,6.0,4.54,53060
2002-10-01,5.91,5.91,5.8,5.8,4.39,13500
2002-10-02,5.8,5.8,5.8,5.8,4.39,0
2002-10-03,5.75,5.75,5.61,5.61,4.24,5000
2002-10-04,5.51,5.7,5.5,5.5,4.16,20700
2002-10-07,5.5,5.76,5.5,5.71,4.32,26890
2002-10-08,5.5,5.69,5.5,5.69,4.31,5440
2002-10-09,5.52,5.55,5.52,5.55,4.2,6460
2002-10-10,5.97,5.97,5.51,5.62,4.25,8840
2002-10-11,5.53,5.74,5.53,5.74,4.35,5000
2002-10-14,5.57,5.76,5.57,5.73,4.34,14520
2002-10-15,5.73,5.73,5.73,5.73,4.34,0
2002-10-16,5.7,5.7,5.61,5.62,4.26,2250
2002-10-17,5.64,5.84,5.64,5.7,4.32,2600
2002-10-18,5.66,5.7,5.66,5.66,4.29,5050
2002-10-21,5.66,5.7,5.66,5.68,4.3,4740
2002-10-22,5.9,5.9,5.61,5.61,4.25,5100
2002-10-23,5.53,5.76,5.53,5.67,4.29,2500
2002-10-24,5.51,5.6,5.51,5.51,4.17,7020
2002-10-25,5.5,5.53,5.5,5.53,4.19,1770
2002-10-28,5.51,5.6,5.51,5.55,4.2,10000
2002-10-29,5.59,5.7,5.55,5.61,4.24,21000
2002-10-30,5.65,5.7,5.6,5.7,4.32,5550
2002-10-31,5.97,5.97,5.61,5.68,4.3,13910
2002-11-01,5.89,5.89,5.8,5.8,4.39,5500
2002-11-04,5.8,5.93,5.8,5.84,4.43,400
2002-11-05,6.0,6.0,5.68,5.74,4.34,26100
2002-11-06,5.74,5.74,5.74,5.74,4.34,0
2002-11-07,5.76,5.8,5.7,5.77,4.37,98690
2002-11-08,5.7,5.71,5.7,5.7,4.32,59100
2002-11-11,5.7,5.75,5.7,5.75,4.35,12590
2002-11-12,5.7,5.7,5.7,5.7,4.32,1250
2002-11-13,5.75,5.8,5.75,5.8,4.39,8500
2002-11-14,5.78,5.8,5.73,5.8,4.39,7900
2002-11-15,5.81,5.81,5.81,5.81,4.4,1000
2002-11-18,5.8,5.86,5.8,5.86,4.44,3050
2002-11-19,5.86,5.86,5.86,5.86,4.44,0
2002-11-20,5.62,5.99,5.62,5.99,4.53,4090
2002-11-21,5.82,5.89,5.72,5.81,4.4,188060
2002-11-22,5.8,5.9,5.7,5.81,4.4,6040
2002-11-25,5.8,5.8,5.8,5.8,4.39,102360
2002-11-26,5.76,5.89,5.7,5.76,4.36,14040
