Date,Open,High,Low,Close,Adj Close,Volume
2008-02-18,21.0,21.0,15.13,15.18,13.75,54460690
2008-02-19,15.52,16.29,14.81,14.91,13.51,16653990
2008-02-20,14.77,15.2,14.36,14.92,13.51,5728540
2008-02-21,14.2,15.7,14.2,14.69,13.3,4497040
2008-02-22,13.7,14.5,13.62,13.77,12.47,1786430
2008-02-25,13.9,13.98,13.01,13.5,12.22,1355040
2008-02-26,13.74,14.49,10.8,13.69,12.4,3056620
2008-02-27,13.71,14.28,13.11,13.45,12.18,1313500
2008-02-28,13.34,14.49,13.2,14.3,12.95,3005750
2008-02-29,14.11,15.1,14.11,14.6,13.22,1970090
2008-03-03,14.19,14.27,13.35,13.45,12.18,320560
2008-03-04,13.35,13.59,12.45,12.95,11.73,402940
2008-03-05,12.51,13.2,12.51,12.91,11.69,352790
2008-03-07,12.48,12.48,10.98,11.19,10.13,967470
2008-03-10,10.38,10.8,9.57,10.68,9.67,401240
2008-03-11,9.9,11.45,9.77,11.3,10.23,329500
2008-03-12,11.65,11.99,10.83,10.9,9.87,199480
2008-03-13,10.76,10.76,9.91,10.15,9.2,202310
2008-03-14,9.9,11.0,9.75,10.47,9.48,272330
2008-03-17,9.62,10.09,9.09,9.85,8.92,922210
2008-03-18,10.19,10.2,9.2,9.26,8.38,121570
2008-03-19,9.4,9.8,9.0,9.16,8.29,112770
2008-03-24,9.2,9.35,7.4,7.41,6.71,253110
2008-03-25,7.7,7.82,7.06,7.39,6.69,426360
2008-03-26,7.6,7.7,7.4,7.62,6.9,1769070
2008-03-27,7.07,7.99,7.07,7.89,7.14,229330
2008-03-28,7.31,8.35,7.31,8.23,7.45,739590
2008-03-31,8.4,8.6,8.2,8.46,7.66,304490
2008-04-01,8.0,9.7,8.0,9.27,8.39,512930
2008-04-02,9.62,9.98,9.1,9.33,8.45,180460
2008-04-03,9.1,9.29,8.86,8.94,8.09,82860
2008-04-04,9.0,10.3,8.62,9.23,8.36,750110
2008-04-07,9.6,9.65,9.0,9.23,8.36,113160
2008-04-08,9.05,9.25,8.82,8.98,8.13,69450
2008-04-09,9.02,9.75,8.9,9.32,8.44,174640
2008-04-10,9.5,9.6,9.0,9.11,8.25,173400
2008-04-11,9.2,9.39,9.0,9.09,8.23,56670
2008-04-15,9.02,9.3,8.81,9.22,8.34,82780
2008-04-16,9.06,9.7,9.03,9.28,8.4,183390
2008-04-17,9.32,9.48,9.2,9.26,8.38,84860
2008-04-21,9.5,10.05,9.4,9.85,8.91,255640
2008-04-22,10.0,10.9,9.9,10.76,9.74,472320
2008-04-23,11.41,11.79,11.02,11.23,10.17,368250
2008-04-24,11.55,11.55,11.04,11.1,10.06,160150
2008-04-25,11.44,11.44,10.74,10.86,9.84,67890
2008-04-28,10.99,11.0,10.2,10.35,9.37,132840
2008-04-29,10.27,10.55,10.1,10.51,9.51,101510
2008-04-30,10.5,10.69,10.1,10.23,9.26,114790
2008-05-02,10.6,12.28,10.6,12.24,11.09,1549940
2008-05-05,12.5,12.84,11.85,12.33,11.16,2105430
2008-05-06,12.39,12.8,12.05,12.34,11.17,657040
2008-05-07,11.61,12.3,11.52,11.72,10.61,390430
2008-05-08,11.3,11.98,11.23,11.84,10.72,401780
2008-05-09,11.32,11.91,11.0,11.16,10.11,117060
2008-05-12,10.4,11.1,10.4,10.65,9.64,128130
2008-05-13,10.6,11.48,10.6,10.92,9.89,222270
2008-05-14,10.8,11.2,10.6,11.07,10.03,74330
2008-05-15,11.5,11.99,11.0,11.16,10.11,78970
2008-05-16,11.6,11.65,11.3,11.36,10.29,172450
2008-05-20,11.2,11.55,11.15,11.32,10.25,89030
2008-05-21,11.1,11.5,11.1,11.4,10.33,145420
2008-05-22,11.41,11.41,11.13,11.21,10.15,36530
2008-05-23,11.23,11.4,11.11,11.23,10.17,76580
2008-05-26,11.4,11.4,10.5,10.8,9.77,101610
2008-05-27,10.9,11.1,10.5,10.58,9.58,96650
2008-05-28,11.18,11.18,10.36,10.45,9.46,53290
2008-05-29,10.56,10.8,10.3,10.32,9.34,61110
2008-05-30,10.31,10.6,10.09,10.24,9.27,68210
2008-06-02,10.16,10.39,9.51,9.65,8.74,74420
2008-06-03,9.1,9.49,8.81,9.32,8.44,68550
2008-06-04,9.39,9.39,8.5,8.76,7.93,51690
2008-06-05,8.7,9.15,8.4,9.02,8.16,98820
2008-06-06,9.06,9.31,8.81,9.05,8.19,42020
2008-06-09,8.4,9.19,7.72,8.56,7.76,77750
2008-06-10,8.32,8.66,8.31,8.56,7.76,44680
2008-06-11,8.7,8.95,8.4,8.61,7.8,69730
2008-06-12,8.2,8.9,8.2,8.7,7.88,25030
