Date,Open,High,Low,Close,Adj Close,Volume
2008-10-21,25.0,25.67,21.7,24.53,19.86,36804
2008-10-22,26.57,26.57,22.08,23.33,18.88,1159
2008-10-23,22.32,22.33,21.7,22.15,17.93,1065
2008-10-24,19.33,21.0,15.68,17.08,13.83,4021
2008-10-27,15.0,15.33,13.17,13.67,11.07,14642
2008-10-29,16.67,18.33,15.87,17.48,14.15,8521
2008-10-31,16.67,20.67,16.67,18.07,14.63,44995
2008-11-03,18.02,21.68,18.02,21.68,17.55,53190
2008-11-04,19.35,23.25,19.35,21.45,17.36,67882
2008-11-05,22.33,24.93,21.93,22.93,18.56,9526
2008-11-06,22.33,24.32,20.9,23.55,19.06,8060
2008-11-07,21.37,24.13,21.37,23.4,18.94,914
2008-11-10,21.5,25.75,21.5,25.75,20.84,8838
2008-11-11,27.33,28.0,24.0,24.68,19.98,14736
2008-11-12,24.17,24.17,22.22,22.28,18.04,5367
2008-11-14,22.33,22.47,21.18,21.85,17.69,4387
2008-11-17,21.33,21.33,19.83,20.0,16.19,158115
2008-11-18,19.0,20.33,18.95,19.0,15.38,51011
2008-11-19,19.82,19.82,18.05,18.15,14.69,1127
2008-11-20,18.15,18.15,18.15,18.15,14.69,0
2008-11-21,17.67,18.98,17.55,18.25,14.77,7712
2008-11-24,18.98,18.98,17.55,17.57,14.22,877
2008-11-25,17.5,18.13,17.5,17.97,14.55,368
2008-11-26,17.93,18.75,17.28,18.57,15.03,1196
2008-11-27,18.57,18.57,18.57,18.57,15.03,0
2008-11-28,17.67,18.17,17.65,18.17,14.71,355
2008-12-01,17.6,17.82,17.6,17.68,14.31,73
2008-12-02,18.0,18.0,16.8,17.05,13.8,1050
2008-12-03,16.95,17.67,16.67,17.48,14.15,877
2008-12-04,16.95,18.17,16.95,18.17,14.71,276
2008-12-05,18.35,19.08,18.35,19.0,15.38,3631
2008-12-08,19.95,19.95,18.45,19.38,15.69,588
2008-12-10,18.67,19.33,18.57,18.83,15.24,2070
2008-12-11,18.08,19.78,18.08,19.53,15.81,1292
2008-12-12,18.9,19.92,18.57,19.87,16.08,295
2008-12-15,20.0,20.87,20.0,20.87,16.89,1985
2008-12-16,20.87,21.92,20.08,21.33,17.27,14517
2008-12-17,20.43,21.13,20.27,20.27,16.41,1094
2008-12-18,20.0,20.0,19.27,19.27,15.6,2419
2008-12-19,18.4,20.23,18.4,20.22,16.37,4324
