Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,9.7,9.71,9.4,9.4,2.5,700
2002-07-02,9.4,9.75,9.4,9.65,2.57,110
2002-07-03,9.4,9.4,9.3,9.33,2.48,710
2002-07-04,8.95,9.44,8.9,8.9,2.37,410
2002-07-05,9.24,9.25,9.19,9.2,2.45,700
2002-07-08,9.49,9.66,9.49,9.66,2.57,80
2002-07-09,10.15,10.15,10.15,10.15,2.7,170
2002-07-10,11.16,11.16,10.64,11.15,2.97,3530
2002-07-11,11.05,11.8,11.05,11.6,3.09,1110
2002-07-12,11.69,11.7,11.15,11.23,2.99,340
2002-07-15,11.24,11.24,11.14,11.15,2.97,1440
2002-07-16,10.6,10.6,10.35,10.35,2.75,550
2002-07-17,9.7,9.7,9.6,9.6,2.55,600
2002-07-18,9.64,10.24,9.64,9.93,2.64,250
2002-07-19,10.7,10.8,10.7,10.8,2.87,610
2002-07-22,11.34,11.4,10.44,10.49,2.79,630
2002-07-23,10.4,10.78,10.4,10.51,2.79,300
2002-07-24,10.1,10.1,10.0,10.0,2.66,20
2002-07-25,10.15,11.0,10.03,10.89,2.9,4770
2002-07-26,10.7,10.75,10.01,10.02,2.66,620
2002-07-29,9.01,9.99,9.01,9.99,3.79,110
2002-07-30,9.81,10.0,9.81,9.85,3.74,760
2002-07-31,9.85,9.85,9.85,9.85,3.74,0
2002-08-01,10.1,10.1,9.55,9.55,3.63,200
2002-08-02,9.5,9.7,9.5,9.55,3.63,360
2002-08-05,9.17,9.17,9.17,9.17,3.48,10
2002-08-06,9.89,9.89,9.89,9.89,3.76,50
2002-08-07,9.72,10.0,9.71,10.0,3.8,560
2002-08-08,9.6,10.2,9.55,10.01,3.8,820
2002-08-09,10.01,10.01,10.01,10.01,3.8,0
2002-08-12,10.05,10.45,10.05,10.44,3.96,370
2002-08-13,10.4,10.55,10.4,10.5,3.99,450
2002-08-14,10.5,11.45,10.5,11.11,4.22,1320
2002-08-15,11.11,11.11,11.11,11.11,4.22,0
2002-08-16,10.26,10.5,10.26,10.5,3.99,110
2002-08-19,10.9,10.9,10.9,10.9,4.14,100
2002-08-20,10.5,10.7,10.5,10.61,4.03,980
2002-08-21,10.9,10.95,10.9,10.95,4.16,20
2002-08-22,11.4,11.4,10.05,10.5,3.99,110
2002-08-23,10.5,10.5,10.5,10.5,3.99,0
2002-08-26,10.32,10.32,10.28,10.28,3.9,20
2002-08-27,10.26,10.35,10.25,10.27,3.9,900
2002-08-28,10.2,10.2,10.2,10.2,3.87,100
2002-08-29,10.75,10.75,10.75,10.75,4.08,20
2002-08-30,10.75,10.75,10.75,10.75,4.08,0
2002-09-02,10.0,10.84,10.0,10.84,4.12,1450
2002-09-03,10.89,10.9,10.5,10.51,3.99,320
2002-09-04,10.45,10.75,10.45,10.75,4.08,590
2002-09-05,9.81,10.4,9.81,10.35,3.93,220
2002-09-06,10.27,10.27,10.27,10.27,3.9,200
2002-09-09,10.1,10.2,10.1,10.2,3.87,20
2002-09-10,10.2,10.2,10.2,10.2,3.87,0
2002-09-11,10.0,10.0,10.0,10.0,3.8,50
2002-09-12,10.3,10.68,9.4,9.61,3.65,7590
2002-09-13,9.75,9.76,8.76,9.39,3.57,5280
2002-09-16,9.5,9.5,9.25,9.36,3.55,110
2002-09-17,9.55,9.55,9.55,9.55,3.63,10
2002-09-18,9.01,9.01,9.01,9.01,3.42,10
2002-09-19,8.75,9.5,8.75,9.48,3.6,580
2002-09-20,9.2,10.2,9.2,10.0,3.8,900
2002-09-23,10.74,10.74,10.01,10.03,3.81,60
2002-09-24,10.58,10.6,10.58,10.6,4.02,50
2002-09-25,10.0,10.0,9.91,9.91,3.76,620
2002-09-26,9.91,9.91,9.91,9.91,3.76,0
2002-09-27,9.32,9.32,9.25,9.25,3.51,520
2002-09-30,8.9,9.31,8.9,9.31,3.54,70
2002-10-01,9.6,9.65,9.11,9.65,3.66,400
2002-10-02,9.65,9.65,9.65,9.65,3.66,0
2002-10-03,9.8,10.05,9.8,9.94,3.77,80
2002-10-04,9.35,9.35,9.32,9.32,3.54,150
2002-10-07,9.32,9.32,9.32,9.32,3.54,0
2002-10-08,9.32,9.32,9.32,9.32,3.54,0
2002-10-09,9.36,9.72,9.36,9.72,3.69,210
2002-10-10,9.72,9.72,9.72,9.72,3.69,0
2002-10-11,9.72,9.72,9.72,9.72,3.69,0
2002-10-14,9.72,9.72,9.72,9.72,3.69,0
2002-10-15,9.72,9.72,9.72,9.72,3.69,0
2002-10-16,9.9,10.0,9.9,9.92,3.77,70
2002-10-17,9.55,9.55,9.3,9.32,3.54,380
2002-10-18,9.5,9.5,9.5,9.5,3.61,100
2002-10-21,9.5,9.5,9.5,9.5,3.61,0
2002-10-22,9.3,9.3,9.3,9.3,3.53,10
2002-10-23,9.3,9.3,9.3,9.3,3.53,0
2002-10-24,9.3,9.3,9.3,9.3,3.53,0
2002-10-25,9.79,9.8,9.79,9.8,3.72,50
2002-10-28,9.8,9.8,9.8,9.8,3.72,0
2002-10-29,9.8,9.8,9.8,9.8,3.72,0
2002-10-30,9.8,9.8,9.8,9.8,3.72,0
2002-10-31,9.8,9.8,9.8,9.8,3.72,0
2002-11-01,9.8,9.8,9.8,9.8,3.72,0
2002-11-04,9.8,9.8,9.8,9.8,3.72,0
2002-11-05,9.3,9.3,9.05,9.11,3.46,170
2002-11-06,9.11,9.11,9.11,9.11,3.46,0
2002-11-07,9.01,9.01,9.01,9.01,3.42,50
2002-11-08,9.05,9.09,8.11,9.09,3.45,70
2002-11-11,9.1,9.3,9.01,9.3,3.53,240
2002-11-12,9.01,9.01,8.81,9.0,3.42,270
2002-11-13,9.3,9.3,9.3,9.3,3.53,20
2002-11-14,9.0,9.26,9.0,9.25,3.51,150
2002-11-15,9.25,9.25,9.25,9.25,3.51,0
2002-11-18,9.1,9.5,9.1,9.45,3.59,2520
2002-11-19,9.45,9.45,9.45,9.45,3.59,0
2002-11-20,10.3,10.3,9.98,10.1,3.83,300
2002-11-21,9.65,10.25,9.65,10.25,3.89,210
2002-11-22,10.25,10.25,10.25,10.25,3.89,100
2002-11-25,10.01,10.8,10.0,10.01,3.8,1200
2002-11-26,10.01,10.01,10.01,10.01,3.8,0
2002-11-27,9.65,9.65,9.65,9.65,3.66,280
2002-11-28,9.9,9.9,9.9,9.9,3.76,50
2002-11-29,9.85,10.25,9.85,10.25,3.89,90
2002-12-02,10.25,10.25,10.25,10.25,3.89,0
2002-12-03,10.25,10.25,10.25,10.25,3.89,0
2002-12-04,10.0,10.0,10.0,10.0,3.8,90
2002-12-05,10.0,10.0,9.51,10.0,3.8,430
2002-12-06,10.05,10.05,10.0,10.0,3.8,500
2002-12-09,10.0,10.01,10.0,10.01,3.8,80
2002-12-10,10.0,10.0,10.0,10.0,3.8,230
2002-12-11,10.0,10.0,10.0,10.0,3.8,0
2002-12-12,10.49,10.5,10.49,10.5,3.99,150
