Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,105.0,106.5,103.0,103.12,75.29,196730
2008-01-02,105.62,105.62,96.38,98.88,72.19,216105
2008-01-03,97.5,98.75,92.75,95.62,69.82,122751
2008-01-04,97.5,98.5,93.5,93.75,68.45,101426
2008-01-07,96.12,97.5,88.5,93.12,67.99,75388
2008-01-08,95.0,95.0,87.12,87.62,63.98,78320
2008-01-09,85.25,88.0,83.25,85.0,62.06,63238
2008-01-10,83.12,87.38,80.25,83.25,60.78,48289
2008-01-11,83.75,83.88,76.12,77.5,56.58,56240
2008-01-14,78.75,85.0,77.5,84.0,61.33,59252
2008-01-15,85.5,86.88,81.0,82.5,60.24,39733
2008-01-16,77.5,80.5,76.38,78.38,57.22,28527
2008-01-17,79.5,81.75,78.25,79.38,57.95,31837
2008-01-18,78.0,81.25,76.5,77.5,56.58,40268
2008-01-21,75.12,76.88,70.0,70.12,51.2,41509
2008-01-22,70.0,70.12,63.12,63.12,46.09,7356
2008-01-23,68.5,68.75,57.75,63.12,46.09,39052
2008-01-24,66.25,67.5,62.25,62.5,45.63,56162
2008-01-25,63.75,65.0,60.62,65.0,47.46,44543
2008-01-28,63.75,64.38,61.88,64.38,47.0,14083
2008-01-29,63.75,63.88,62.62,63.75,46.55,18997
2008-01-30,62.5,63.75,61.88,62.38,45.54,12676
2008-01-31,63.75,63.75,60.62,61.88,45.18,7223
2008-02-01,62.5,62.5,60.25,60.38,44.08,11810
2008-02-04,60.25,62.12,60.25,61.0,44.54,20156
2008-02-05,62.0,62.0,60.25,60.25,43.99,22318
2008-02-06,58.75,61.25,57.5,61.25,44.72,16958
2008-02-07,61.75,62.5,60.25,60.25,43.99,12050
2008-02-08,59.12,59.62,57.0,57.5,41.98,46734
2008-02-11,55.62,57.5,54.5,54.88,40.07,21562
2008-02-12,53.88,56.25,53.75,55.88,40.8,9914
2008-02-13,55.88,55.88,53.88,55.0,40.16,12360
2008-02-14,56.25,56.62,55.0,56.0,40.89,13661
2008-02-15,56.0,59.38,55.25,59.25,43.26,11823
2008-02-18,59.75,59.75,57.5,58.38,42.62,10361
2008-02-19,57.75,60.62,57.25,60.0,43.81,31677
2008-02-20,60.5,63.62,57.75,60.0,43.81,10266
2008-02-21,60.0,62.25,59.38,60.0,43.81,135685
2008-02-22,60.0,60.88,58.5,59.25,43.26,23716
2008-02-25,60.0,60.0,57.75,59.5,43.44,13550
2008-02-26,60.0,61.0,58.88,59.0,43.08,4852
2008-02-27,58.5,61.25,58.5,59.62,43.53,8264
2008-02-28,63.75,63.75,59.0,60.25,43.99,5550
2008-02-29,59.5,60.25,58.12,58.75,42.89,11346
2008-03-03,60.88,60.88,57.5,58.12,42.44,22317
2008-03-04,57.75,59.0,53.25,56.38,41.16,18777
2008-03-05,55.75,56.75,54.12,55.0,40.16,20483
2008-03-07,58.75,58.75,52.0,54.62,39.88,46717
2008-03-10,52.0,54.62,50.38,53.25,38.88,10279
2008-03-11,52.5,54.88,51.5,53.88,39.34,9712
2008-03-12,55.0,55.25,53.75,54.25,39.61,20430
2008-03-13,54.5,54.5,50.25,50.75,37.05,19901
2008-03-14,51.62,51.62,49.5,50.12,36.6,30989
2008-03-17,49.75,50.88,47.75,49.12,35.87,16944
2008-03-18,51.88,51.88,47.75,48.5,35.41,23716
2008-03-19,48.75,49.5,45.62,46.25,33.77,9568
2008-03-24,45.25,50.0,45.0,45.0,32.86,19870
2008-03-25,46.0,46.88,44.0,46.0,33.59,30585
2008-03-26,47.38,49.25,46.0,47.38,34.59,27396
2008-03-27,52.38,52.38,46.25,47.5,34.68,39521
2008-03-28,48.75,51.88,47.62,51.25,37.42,22786
2008-03-31,51.25,54.75,48.75,53.0,38.7,30340
2008-04-01,53.0,54.0,50.25,52.25,38.15,10810
2008-04-02,52.75,53.0,51.12,51.12,37.33,9572
2008-04-03,51.88,52.25,49.25,49.25,35.96,8018
2008-04-04,49.5,50.12,47.75,47.88,34.95,11992
2008-04-07,47.88,49.0,47.88,49.0,35.78,6634
2008-04-08,48.75,49.25,48.0,48.0,35.05,7679
2008-04-09,48.12,49.5,48.12,49.0,35.78,4344
2008-04-10,48.75,50.25,48.12,49.75,36.32,7542
2008-04-11,50.0,50.5,49.12,49.5,36.14,6541
2008-04-15,47.88,52.12,47.5,52.12,38.06,23174
2008-04-16,53.0,54.5,49.75,50.0,36.51,32046
2008-04-17,53.25,53.25,50.0,50.12,36.6,74646
2008-04-21,51.25,53.88,51.12,52.25,38.15,65650
2008-04-22,52.5,53.75,51.75,52.5,38.33,40948
2008-04-23,52.5,53.75,51.25,52.25,38.15,30048
2008-04-24,53.0,53.0,51.5,51.5,37.6,13779
