Date,Open,High,Low,Close,Adj Close,Volume
2013-11-05,70.71,71.24,70.6,70.95,70.42,34608
2013-11-06,71.0,72.38,70.0,72.05,71.5,24958
2013-11-07,71.19,72.29,70.0,71.43,70.89,45570
2013-11-08,71.19,71.9,70.95,71.9,71.36,23671
2013-11-11,70.48,72.86,70.0,70.26,69.73,46741
2013-11-12,70.48,72.79,70.26,72.71,72.16,27556
2013-11-13,72.86,73.33,69.86,70.48,69.94,25034
2013-11-14,70.71,72.38,70.62,71.86,71.31,23723
2013-11-18,71.43,72.86,70.1,72.38,71.83,55454
2013-11-19,71.33,71.52,70.71,70.95,70.42,24324
2013-11-20,70.95,71.19,70.52,71.19,70.65,21470
2013-11-21,70.48,70.9,70.48,70.71,70.18,24519
2013-11-22,70.62,71.43,70.48,71.21,70.68,45181
2013-11-25,71.1,72.86,69.52,70.95,70.42,24309
2013-11-26,70.71,70.95,70.57,70.95,70.42,46210
2013-11-27,71.0,72.62,70.24,71.05,70.51,25384
2013-11-28,70.24,72.38,70.24,70.71,70.18,27090
2013-11-29,74.29,74.29,69.52,70.95,70.42,33751
2013-12-02,70.48,72.86,69.76,70.86,70.32,29101
2013-12-03,74.29,74.29,70.0,71.19,70.65,28093
2013-12-04,70.62,73.29,70.0,70.62,70.09,37896
2013-12-05,70.95,72.33,70.07,71.43,70.89,34734
2013-12-06,71.19,72.86,70.0,70.14,69.61,33623
2013-12-09,61.9,72.83,61.9,70.24,69.71,31283
2013-12-10,74.76,74.76,70.48,71.45,70.91,30893
2013-12-11,77.62,77.62,71.17,71.43,70.89,18318
2013-12-12,71.43,73.79,70.24,70.95,70.42,29313
2013-12-13,68.76,72.83,68.76,71.19,70.65,36447
2013-12-16,70.24,72.83,70.19,71.67,71.12,49188
2013-12-17,70.12,72.62,70.0,70.95,70.42,31674
2013-12-18,70.95,72.36,70.02,71.0,70.46,33188
2013-12-19,70.95,72.1,70.02,70.98,70.44,26512
2013-12-20,70.95,73.81,69.29,71.05,70.51,26457
2013-12-23,71.05,73.33,70.0,71.26,70.72,23648
2013-12-24,71.29,72.86,70.0,72.26,71.72,46628
2013-12-26,70.95,71.36,70.05,70.05,69.52,23058
2013-12-27,68.57,73.81,68.57,73.07,72.52,20216
2013-12-30,71.9,72.62,70.07,70.07,69.54,25817
2013-12-31,70.24,72.6,69.76,71.14,70.6,29586
2014-01-01,71.19,71.43,70.07,70.07,69.54,23916
2014-01-02,71.19,72.1,68.1,70.71,70.18,21575
2014-01-03,70.81,73.33,70.0,71.98,71.43,40908
2014-01-06,71.9,73.33,70.1,72.38,71.83,32155
2014-01-07,70.71,73.33,69.76,69.95,69.42,29301
2014-01-08,70.71,73.29,70.0,71.67,71.12,27984
2014-01-09,71.43,73.29,69.76,73.12,72.57,38402
2014-01-10,72.38,72.38,70.71,70.71,70.18,20376
2014-01-13,68.12,71.55,68.12,71.45,70.91,24540
2014-01-14,71.19,71.55,70.5,70.79,70.25,22218
2014-01-15,70.95,71.17,69.17,70.64,70.11,24847
2014-01-16,70.71,73.33,70.0,70.0,69.47,24068
