Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,429.0,433.85,416.1,429.5,421.77,10214458
2017-11-13,429.0,430.8,423.1,426.7,419.02,442628
2017-11-14,423.5,428.95,419.0,425.05,417.4,258651
2017-11-15,425.0,426.0,418.0,421.7,414.11,271204
2017-11-16,420.25,422.0,413.15,415.3,407.83,106384
2017-11-17,418.0,418.9,405.1,407.95,400.61,222289
2017-11-20,418.0,421.0,414.1,418.35,410.82,277728
2017-11-21,421.0,432.9,421.0,424.0,416.37,536434
2017-11-22,428.9,429.0,421.9,425.85,418.19,87422
2017-11-23,426.0,431.0,426.0,427.3,419.61,108904
2017-11-24,428.9,452.0,427.25,448.15,440.09,1805688
2017-11-27,447.0,457.0,443.0,449.7,441.61,269238
2017-11-28,448.0,451.3,438.6,446.5,438.47,155667
2017-11-29,447.0,461.25,442.0,448.4,440.33,445404
2017-11-30,445.5,455.0,445.35,447.6,439.55,129143
2017-12-01,450.0,455.0,440.0,441.65,433.7,137028
2017-12-04,446.9,446.95,428.2,430.3,422.56,122982
2017-12-05,433.0,433.0,418.0,429.1,421.38,129246
2017-12-06,429.0,434.95,425.0,431.35,423.59,152293
2017-12-07,434.0,441.0,426.25,439.6,431.69,163933
2017-12-08,435.55,446.0,427.0,442.4,434.44,469640
2017-12-11,441.0,443.8,436.65,439.7,431.79,90895
2017-12-12,437.85,438.9,432.0,435.0,427.17,35698
2017-12-13,437.25,440.0,434.0,434.55,426.73,48851
2017-12-14,434.55,438.0,433.0,434.55,426.73,32675
2017-12-15,442.5,446.0,437.0,439.05,431.15,70626
2017-12-18,438.0,439.05,429.0,434.9,427.08,49225
2017-12-19,433.5,446.85,432.0,445.5,437.48,435065
2017-12-20,445.0,445.0,436.5,442.45,434.49,125262
2017-12-21,440.0,472.0,440.0,454.45,446.27,370894
2017-12-22,458.0,459.95,449.9,450.9,442.79,99855
2017-12-26,451.0,455.05,445.05,447.9,439.84,55415
2017-12-27,447.0,454.4,447.0,449.3,441.22,91248
2017-12-28,451.0,452.65,440.15,442.65,434.69,53778
2017-12-29,446.5,446.5,436.85,438.2,430.32,79039
2018-01-01,438.2,448.2,438.2,444.65,436.65,46849
2018-01-02,443.95,450.0,439.3,448.55,440.48,106511
2018-01-03,451.95,453.0,440.5,442.55,434.59,30109
2018-01-04,445.0,454.95,441.1,450.2,442.1,166854
2018-01-05,445.5,454.9,443.1,450.35,442.25,68879
2018-01-08,455.0,465.45,451.7,463.2,454.87,297501
2018-01-09,467.0,469.8,457.9,468.6,460.17,169379
2018-01-10,467.0,474.5,464.0,470.5,462.03,186450
2018-01-11,474.9,499.5,473.0,495.2,486.29,381125
2018-01-12,503.3,559.9,500.0,539.1,529.4,1285300
2018-01-15,534.05,558.55,525.1,529.65,520.12,282505
2018-01-16,525.0,529.7,500.2,502.75,493.7,140510
2018-01-17,496.05,524.4,494.8,508.35,499.2,121901
2018-01-18,515.0,515.3,496.0,499.4,490.41,61607
