Date,Open,High,Low,Close,Adj Close,Volume
2007-10-22,30.1,32.45,30.1,31.0,23.46,366921
2007-10-23,32.0,33.1,31.4,31.7,23.99,735457
2007-10-24,32.9,34.7,32.9,34.5,26.11,497369
2007-10-25,34.0,34.5,33.55,33.9,25.65,229983
2007-10-26,32.55,37.9,32.55,37.2,28.15,474723
2007-10-29,38.7,43.5,38.0,41.0,31.03,1237077
2007-10-30,42.75,44.4,41.2,42.65,32.28,1332157
2007-10-31,42.9,44.15,40.75,41.5,31.41,527918
2007-11-01,42.5,42.9,36.6,39.45,29.85,954868
2007-11-02,38.0,41.4,38.0,41.0,31.03,651851
2007-11-05,41.3,43.0,40.8,41.55,31.44,601457
2007-11-06,41.95,43.35,39.8,40.4,30.57,512228
2007-11-07,40.1,40.85,36.35,38.25,28.95,249636
2007-11-08,37.0,38.6,34.2,37.5,28.38,180719
2007-11-12,37.8,38.0,36.5,37.0,28.0,122703
2007-11-13,38.9,39.5,37.6,37.8,28.61,324478
2007-11-14,39.6,43.15,38.5,41.3,31.25,1559938
2007-11-15,42.0,49.9,41.95,49.9,37.76,4000503
2007-11-16,49.95,55.95,49.8,52.35,39.62,4037715
2007-11-19,53.5,54.5,48.65,49.0,37.08,1411297
2007-11-20,49.0,51.35,47.5,48.3,36.55,1241727
2007-11-21,48.9,49.0,42.6,43.45,32.88,531982
2007-11-22,43.0,44.5,38.5,41.2,31.18,983424
2007-11-23,42.0,43.15,40.0,40.6,30.72,526146
2007-11-26,42.65,42.9,41.45,41.8,31.63,305239
2007-11-27,41.45,43.7,40.1,42.85,32.43,404240
2007-11-28,43.0,46.25,42.0,42.8,32.39,739942
2007-11-29,47.0,47.0,41.55,42.0,31.78,306773
2007-11-30,42.95,43.55,41.15,41.55,31.44,405711
2007-12-03,41.75,43.85,41.75,43.05,32.58,111164
2007-12-04,41.1,44.8,41.1,43.2,32.69,303972
2007-12-05,44.7,44.8,42.6,43.15,32.65,231654
2007-12-06,44.95,45.0,43.0,43.3,32.77,161236
2007-12-07,44.0,44.3,41.15,41.7,31.56,211889
2007-12-10,41.7,43.8,41.7,43.15,32.65,175835
2007-12-11,42.1,44.45,42.1,42.35,32.05,191819
2007-12-12,42.0,43.9,41.75,43.0,32.54,111630
2007-12-13,43.0,43.0,43.0,43.0,32.54,0
2007-12-14,41.5,42.8,41.0,41.55,31.44,124739
2007-12-17,41.55,41.55,41.55,41.55,31.44,0
2007-12-18,41.55,41.55,41.55,41.55,31.44,0
2007-12-19,41.55,41.55,41.55,41.55,31.44,0
2007-12-20,41.55,41.55,41.55,41.55,31.44,0
2007-12-24,41.55,41.55,41.55,41.55,31.44,0
2007-12-26,41.55,41.55,41.55,41.55,31.44,0
2007-12-27,41.55,41.55,41.55,41.55,31.44,0
2007-12-28,41.55,41.55,41.55,41.55,31.44,0
2007-12-31,41.55,41.55,41.55,41.55,31.44,0
2008-01-01,41.55,41.55,41.55,41.55,31.44,0
2008-01-02,41.55,41.55,41.55,41.55,31.44,0
2008-01-03,41.55,41.55,41.55,41.55,31.44,0
2008-01-04,41.55,41.55,41.55,41.55,31.44,0
2008-01-07,41.55,41.55,41.55,41.55,31.44,0
2008-01-08,41.55,41.55,41.55,41.55,31.44,0
2008-01-09,41.55,41.55,41.55,41.55,31.44,0
2008-01-10,41.55,41.55,41.55,41.55,31.44,0
2008-01-11,41.55,41.55,41.55,41.55,31.44,0
2008-01-14,41.55,41.55,41.55,41.55,31.44,0
2008-01-15,41.55,41.55,41.55,41.55,31.44,0
2008-01-16,41.55,41.55,41.55,41.55,31.44,0
2008-01-17,41.55,41.55,41.55,41.55,31.44,0
2008-01-18,41.55,41.55,41.55,41.55,31.44,0
2008-01-21,41.55,41.55,41.55,41.55,31.44,0
2008-01-22,41.55,41.55,41.55,41.55,31.44,0
2008-01-23,41.55,41.55,41.55,41.55,31.44,0
2008-01-24,41.55,41.55,41.55,41.55,31.44,0
2008-01-25,41.55,41.55,41.55,41.55,31.44,0
2008-01-28,41.55,41.55,41.55,41.55,31.44,0
2008-01-29,41.55,41.55,41.55,41.55,31.44,0
2008-01-30,41.55,41.55,41.55,41.55,31.44,0
2008-01-31,41.55,41.55,41.55,41.55,31.44,0
2008-02-01,41.55,41.55,41.55,41.55,31.44,0
2008-02-04,41.55,41.55,41.55,41.55,31.44,0
2008-02-05,41.55,41.55,41.55,41.55,31.44,0
2008-02-06,41.55,41.55,41.55,41.55,31.44,0
2008-02-07,41.55,41.55,41.55,41.55,31.44,0
2008-02-08,41.55,41.55,41.55,41.55,31.44,0
2008-02-11,41.55,41.55,41.55,41.55,31.44,0
2008-02-12,41.55,41.55,41.55,41.55,31.44,0
2008-02-13,41.55,41.55,41.55,41.55,31.44,0
2008-02-14,41.55,41.55,41.55,41.55,31.44,0
2008-02-15,41.55,41.55,41.55,41.55,31.44,0
2008-02-18,41.55,41.55,41.55,41.55,31.44,0
2008-02-19,41.55,41.55,41.55,41.55,31.44,0
2008-02-20,41.55,41.55,41.55,41.55,31.44,0
2008-02-21,41.55,41.55,41.55,41.55,31.44,0
2008-02-22,41.55,41.55,41.55,41.55,31.44,0
2008-02-25,41.55,41.55,41.55,41.55,31.44,0
2008-02-26,41.55,41.55,41.55,41.55,31.44,0
2008-02-27,41.55,41.55,41.55,41.55,31.44,0
2008-02-28,41.55,41.55,41.55,41.55,31.44,0
2008-02-29,32.5,32.9,30.3,30.3,22.93,230789
2008-03-03,28.8,28.95,28.8,28.8,21.79,43785
2008-03-04,28.0,28.0,27.4,27.4,20.74,48914
2008-03-05,26.05,26.55,26.05,26.05,19.71,59036
2008-03-07,24.75,24.75,24.75,24.75,18.73,21267
2008-03-10,22.3,24.75,22.3,23.7,17.94,327588
2008-03-11,24.5,25.0,23.2,24.05,18.2,420709
2008-03-12,25.0,25.5,23.25,24.05,18.2,185175
2008-03-13,23.55,23.55,21.65,21.65,16.38,125042
2008-03-14,19.5,21.4,19.5,20.2,15.29,336634
2008-03-17,19.55,19.55,18.2,18.2,13.77,244147
2008-03-18,18.0,18.5,16.4,16.6,12.56,477995
2008-03-19,17.2,17.45,15.8,16.0,12.11,344784
2008-03-24,16.7,16.7,15.2,15.55,11.77,296341
2008-03-25,15.7,16.35,15.7,16.35,12.37,106554
2008-03-26,17.15,17.2,16.9,17.2,13.02,315707
2008-03-27,17.5,18.1,17.4,18.1,13.7,304649
2008-03-28,18.7,19.05,18.7,19.05,14.42,31697
2008-03-31,20.0,20.0,19.5,20.0,15.14,196573
2008-04-01,20.8,21.0,19.0,20.9,15.82,278444
2008-04-02,21.8,21.95,21.2,21.6,16.35,223453
2008-04-03,21.0,21.3,20.55,20.65,15.63,161018
2008-04-04,20.0,20.6,19.65,19.75,14.95,139944
2008-04-07,20.0,20.75,19.6,20.7,15.67,176981
2008-04-08,20.75,21.0,19.75,20.25,15.32,132638
2008-04-09,19.6,21.3,19.6,21.3,16.12,252606
2008-04-10,21.5,22.4,21.5,22.4,16.95,303889
2008-04-11,23.25,23.35,22.25,22.85,17.29,174437
2008-04-15,22.85,24.0,21.85,24.0,18.16,246879
2008-04-16,24.7,24.8,23.2,24.1,18.24,238409
2008-04-17,25.0,25.35,24.0,25.35,19.18,739902
2008-04-21,25.95,26.65,24.85,26.65,20.17,477804
2008-04-22,26.0,28.0,26.0,28.0,21.19,496268
2008-04-23,28.4,28.4,26.6,26.6,20.13,250777
2008-04-24,25.45,26.7,25.3,25.3,19.15,136813
2008-04-25,24.2,26.2,24.05,24.65,18.65,354293
2008-04-28,24.55,25.7,24.35,24.95,18.88,224457
2008-04-29,24.0,25.55,24.0,24.75,18.73,219455
2008-04-30,24.9,25.0,23.55,23.6,17.86,164938
2008-05-02,23.9,24.65,23.8,23.95,18.12,232965
2008-05-05,24.45,24.45,23.9,24.15,18.28,101124
2008-05-06,24.05,25.3,24.05,24.1,18.24,293391
2008-05-07,24.0,24.85,23.7,23.75,17.97,139013
2008-05-08,23.45,23.7,23.0,23.15,17.52,132834
2008-05-09,23.55,23.65,21.25,21.65,16.38,180244
2008-05-12,20.0,22.9,19.8,22.45,16.99,307590
2008-05-13,22.8,23.9,22.05,22.25,16.84,411880
2008-05-14,22.0,23.3,21.8,22.5,17.03,232876
2008-05-15,22.8,23.1,22.4,22.55,17.07,125084
2008-05-16,22.3,24.3,22.3,23.9,18.09,221656
2008-05-20,23.6,25.4,23.4,24.25,18.35,311122
2008-05-21,23.5,26.7,23.5,26.7,20.21,548040
2008-05-22,26.5,29.4,26.25,27.2,20.58,1872008
2008-05-23,27.45,28.75,25.75,26.05,19.71,645013
2008-05-26,27.0,27.0,23.8,24.05,18.2,398823
2008-05-27,25.75,26.2,24.3,25.0,18.92,720602
2008-05-28,25.95,27.5,25.0,27.2,20.58,1151249
2008-05-29,28.3,28.65,25.1,25.95,19.64,1232583
2008-05-30,26.25,26.6,24.5,24.85,18.81,363445
2008-06-02,24.95,25.5,23.0,23.25,17.59,353707
2008-06-03,22.1,23.7,22.1,23.3,17.63,333790
2008-06-04,23.5,24.55,22.75,23.05,17.44,351738
2008-06-05,23.5,24.2,23.3,23.9,18.09,300921
2008-06-06,24.35,24.85,23.35,23.6,17.86,438391
2008-06-09,22.0,22.5,21.25,21.5,16.27,373194
2008-06-10,21.5,22.4,21.0,21.95,16.61,412062
2008-06-11,23.0,23.1,22.3,22.6,17.1,188583
2008-06-12,21.35,24.9,21.35,24.9,18.84,809755
2008-06-13,25.15,27.1,24.15,26.25,19.87,1230920
2008-06-16,26.8,27.3,25.5,25.9,19.6,884771
2008-06-17,25.0,26.45,24.05,25.7,19.45,451231
2008-06-18,25.05,26.4,24.1,24.4,18.47,497240
2008-06-19,24.8,24.9,23.7,23.9,18.09,264057
2008-06-20,24.0,24.45,22.6,22.9,17.33,290772
2008-06-23,22.75,22.75,21.2,21.95,16.61,230198
2008-06-24,22.0,22.4,20.95,21.15,16.01,180537
2008-06-25,20.25,22.3,20.25,21.95,16.61,268917
2008-06-26,23.2,23.85,21.8,23.05,17.44,732607
2008-06-27,21.5,22.6,21.4,21.6,16.35,313774
2008-06-30,21.5,22.2,19.55,19.8,14.98,177615
2008-07-01,19.0,19.8,17.95,18.15,13.74,151228
2008-07-02,18.0,19.9,16.9,19.55,14.79,303343
2008-07-03,19.0,19.2,18.15,18.45,13.96,171109
2008-07-04,18.9,19.5,18.0,19.25,14.57,157740
2008-07-07,20.8,21.0,19.0,19.3,14.61,267827
2008-07-08,17.5,19.4,17.1,19.0,14.38,121194
2008-07-09,19.9,20.5,19.0,19.45,14.72,412222
2008-07-10,19.25,20.45,19.0,19.75,14.95,243939
2008-07-11,19.75,20.6,19.05,19.15,14.49,233946
2008-07-14,18.95,19.9,18.75,19.05,14.42,146496
2008-07-15,18.2,19.2,17.85,18.1,13.7,103409
2008-07-16,18.5,18.65,17.5,17.7,13.39,114946
2008-07-17,18.5,18.9,17.6,17.95,13.58,81436
2008-07-18,18.1,18.75,17.85,18.05,13.66,131273
2008-07-21,18.25,18.25,17.6,17.95,13.58,74646
2008-07-22,18.0,18.6,17.8,18.4,13.92,105294
2008-07-23,19.2,20.25,18.95,19.85,15.02,237408
2008-07-24,20.0,21.3,19.9,20.75,15.7,363066
2008-07-25,20.3,21.65,20.25,20.65,15.63,436962
2008-07-28,20.2,22.25,20.2,21.55,16.31,391703
2008-07-29,20.75,21.85,20.2,20.35,15.4,117955
2008-07-30,21.0,21.85,20.4,21.15,16.01,238789
2008-07-31,21.25,22.4,20.25,21.55,16.31,202012
2008-08-01,21.45,23.2,20.9,22.8,17.25,484494
2008-08-04,22.9,23.75,22.5,22.9,17.33,331499
2008-08-05,23.15,23.45,22.0,22.4,16.95,306071
2008-08-06,22.95,23.2,21.6,21.85,16.54,206874
2008-08-07,22.0,23.0,21.5,22.1,16.72,239831
2008-08-08,22.7,23.5,22.0,23.1,17.48,401726
2008-08-11,23.9,24.1,23.05,23.45,17.75,285778
