Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,20.0,22.0,19.65,21.45,20.1,17331
2002-07-02,21.5,22.5,21.05,21.3,19.96,20537
2002-07-03,21.75,21.75,20.6,20.9,19.58,8704
2002-07-04,21.25,22.3,20.15,21.45,20.1,41680
2002-07-05,22.45,22.9,22.0,22.15,20.75,54771
2002-07-08,22.5,24.25,21.65,24.1,22.58,89567
2002-07-09,24.25,25.0,24.05,24.2,22.67,133602
2002-07-10,24.75,24.75,23.25,23.6,22.11,62017
2002-07-11,23.0,23.6,23.0,23.3,21.83,40056
2002-07-12,24.15,24.15,23.4,23.5,22.02,13914
2002-07-15,24.9,24.9,22.0,22.9,21.46,17173
2002-07-16,22.75,23.25,22.4,22.9,21.46,15828
2002-07-17,20.75,22.65,20.7,22.1,20.71,15544
2002-07-18,21.95,22.0,21.5,21.95,20.57,2514
2002-07-19,21.8,22.15,21.6,21.95,20.57,5076
2002-07-22,21.0,21.0,19.85,20.1,18.83,9325
2002-07-23,20.35,20.35,19.9,20.15,18.88,7300
2002-07-24,22.9,22.9,19.75,19.8,18.55,15735
2002-07-25,19.55,20.1,19.5,19.6,18.36,4222
2002-07-26,19.5,19.5,17.7,18.05,16.91,5013
2002-07-29,17.8,17.8,16.25,17.0,15.93,10325
2002-07-30,17.65,17.65,16.5,16.55,15.51,6991
2002-07-31,16.0,17.0,16.0,16.7,15.65,5109
2002-08-01,17.25,18.2,17.0,17.05,15.97,4477
2002-08-02,17.1,17.55,17.05,17.1,16.02,1965
2002-08-05,17.25,17.65,17.05,17.6,16.49,451
2002-08-06,17.8,17.8,17.2,17.3,16.21,2940
2002-08-07,17.7,17.75,17.0,17.35,16.26,4350
2002-08-08,17.1,17.4,16.7,16.8,15.74,2150
2002-08-09,16.5,17.2,16.25,16.6,15.55,2448
2002-08-12,19.45,19.45,16.5,16.7,15.65,1200
2002-08-13,17.25,17.25,16.95,16.95,15.88,1600
2002-08-14,16.8,16.8,16.45,16.45,15.41,635
2002-08-15,16.45,16.45,16.45,16.45,15.41,0
2002-08-16,16.5,16.5,16.0,16.25,15.22,3200
2002-08-19,15.8,16.35,15.75,16.0,14.99,3100
2002-08-20,15.8,15.8,15.2,15.3,14.33,3900
2002-08-21,15.7,16.2,15.6,16.2,15.18,1100
2002-08-22,16.65,16.65,15.9,16.05,15.04,1493
2002-08-23,15.15,16.0,15.15,15.7,14.71,1051
2002-08-26,16.45,16.5,15.55,15.75,14.76,1500
2002-08-27,16.0,16.0,15.7,15.9,14.9,955
2002-08-28,15.7,15.9,15.65,15.85,14.85,850
2002-08-29,15.5,15.5,15.05,15.1,15.1,800
