Date,Open,High,Low,Close,Adj Close,Volume
2015-03-09,24.5,24.98,23.33,23.64,19.91,12726
2015-03-10,24.0,24.17,23.33,23.82,20.06,12072
2015-03-11,23.01,23.04,22.78,22.84,19.24,876
2015-03-12,22.72,23.33,22.72,22.9,19.29,14040
2015-03-13,22.17,23.33,22.17,23.14,19.49,1644
2015-03-16,22.68,23.32,22.68,22.75,19.16,606
2015-03-17,23.33,23.33,21.88,22.1,18.61,1578
2015-03-18,22.01,22.21,22.01,22.19,18.69,678
2015-03-19,22.62,22.62,22.17,22.33,18.81,3546
2015-03-20,23.08,23.08,21.0,22.47,18.92,1200
2015-03-23,22.5,23.01,22.5,22.76,19.17,11400
2015-03-24,20.59,22.66,20.59,22.36,18.83,15300
2015-03-25,22.33,23.33,22.0,23.08,19.43,4596
2015-03-26,22.18,23.0,22.18,23.0,19.37,12
2015-03-27,23.0,23.67,23.0,23.67,19.93,600
2015-03-30,22.33,23.33,22.33,23.13,19.48,2292
2015-03-31,23.33,23.33,21.85,22.4,18.86,8232
2015-04-01,22.67,23.32,22.33,22.91,19.29,9060
2015-04-06,23.67,24.98,23.67,24.69,20.79,29472
2015-04-07,25.8,25.8,24.18,24.91,20.98,20550
2015-04-08,25.17,25.65,24.67,25.4,21.39,35520
2015-04-09,26.71,26.92,25.42,26.42,22.25,37496
2015-04-10,27.42,31.67,27.08,31.67,26.67,116860
2015-04-13,32.5,37.33,32.5,36.71,30.91,229249
2015-04-15,37.5,38.33,35.08,35.92,30.25,117121
2015-04-16,35.33,36.58,34.04,34.83,29.33,49428
2015-04-17,36.67,36.67,33.75,33.96,28.6,17691
2015-04-20,34.96,35.0,32.5,33.08,27.86,33046
2015-04-21,30.54,33.12,30.54,32.25,27.16,11604
2015-04-22,32.42,32.92,29.17,31.58,26.6,24008
2015-04-23,33.75,33.75,30.83,31.71,26.7,10328
2015-04-24,31.08,32.04,29.29,29.92,25.19,8425
2015-04-27,32.5,32.5,27.92,28.21,23.76,7347
2015-04-28,28.62,28.71,26.79,28.62,24.11,7248
2015-04-29,29.67,31.12,27.92,30.71,25.86,7839
2015-04-30,31.08,31.67,30.54,30.83,25.97,7243
2015-05-04,36.67,36.67,30.08,34.33,28.91,36690
2015-05-05,35.0,40.33,34.25,37.17,31.3,325376
2015-05-06,36.62,39.33,34.17,37.17,31.3,129591
2015-05-07,36.67,37.08,34.0,35.04,29.51,36508
2015-05-08,36.62,36.67,33.46,33.96,28.6,38014
2015-05-11,34.33,35.83,33.96,34.75,29.26,30428
2015-05-12,33.75,35.21,32.25,32.54,27.4,44770
2015-05-13,33.96,35.42,33.33,34.83,29.33,32222
2015-05-14,34.17,35.33,34.17,35.04,29.51,11552
2015-05-15,35.58,35.71,34.5,34.62,29.16,12493
2015-05-18,34.17,35.67,33.38,34.12,28.74,13677
2015-05-19,34.75,34.92,33.33,33.88,28.53,7929
2015-05-20,34.08,35.0,33.38,33.54,28.25,12073
2015-05-21,34.04,34.04,33.0,33.46,28.18,2360
2015-05-22,32.67,33.29,32.5,33.12,27.9,22039
2015-05-25,32.5,33.0,32.04,32.92,27.72,5766
2015-05-26,32.5,32.5,30.58,31.79,26.77,12604
2015-05-27,33.33,33.33,31.88,32.08,27.02,2572
2015-05-28,32.5,33.75,30.83,32.17,27.09,3474
2015-05-29,33.67,33.67,31.88,32.08,27.02,3214
2015-06-01,30.88,33.12,30.88,31.46,26.49,8504
2015-06-02,31.25,32.33,31.0,31.96,26.91,2606
2015-06-03,31.62,31.62,30.54,31.33,26.39,2752
2015-06-04,30.58,31.67,30.33,30.83,25.97,5196
2015-06-05,30.83,31.62,30.83,31.0,26.11,3774
2015-06-08,30.67,31.54,30.67,30.92,26.04,1476
2015-06-09,33.96,33.96,30.96,31.83,26.81,12289
2015-06-10,34.92,34.92,30.42,32.58,27.44,15920
2015-06-11,32.58,32.71,31.08,32.0,26.95,6716
2015-06-12,32.08,32.92,30.83,31.33,26.39,6157
2015-06-15,32.25,32.46,31.25,31.29,26.35,4669
2015-06-16,30.54,32.46,30.5,31.38,26.42,8480
2015-06-17,31.42,32.33,31.42,32.33,27.23,5044
