Date,Open,High,Low,Close,Adj Close,Volume
2019-04-15,958.0,982.7,935.0,959.85,951.73,7279787
2019-04-16,995.0,1005.6,971.75,985.35,977.01,1207704
2019-04-18,984.8,984.8,950.05,970.45,962.24,326059
2019-04-22,963.0,963.0,938.7,945.5,937.5,165743
2019-04-23,950.0,967.25,939.7,952.85,944.79,106739
2019-04-24,954.0,977.4,945.0,958.75,950.64,120780
2019-04-25,965.0,976.4,946.2,949.75,941.71,73361
2019-04-26,947.2,954.8,935.0,948.8,940.77,40546
2019-04-30,941.0,959.4,927.1,947.85,939.83,64380
2019-05-02,956.7,957.95,933.9,947.05,939.04,61526
2019-05-03,945.05,952.4,936.0,950.15,942.11,31369
2019-05-06,933.1,952.4,927.0,943.15,935.17,44901
2019-05-07,942.2,948.0,928.0,930.7,922.82,64134
2019-05-08,931.05,942.0,930.6,938.05,930.11,79395
2019-05-09,938.0,941.0,925.05,939.3,931.35,39210
2019-05-10,940.1,948.0,932.1,946.0,937.99,39493
2019-05-13,947.85,947.85,907.0,921.2,913.4,173163
2019-05-14,925.0,925.0,907.0,913.0,905.27,62120
2019-05-15,918.0,935.35,908.85,931.6,923.72,53735
2019-05-16,925.95,930.0,917.1,924.8,916.97,50712
2019-05-17,922.65,928.7,916.1,919.95,912.16,68438
2019-05-20,928.0,969.0,919.0,964.55,956.39,175153
2019-05-21,964.0,977.0,940.7,974.95,966.7,60236
2019-05-22,980.0,980.0,946.2,955.55,947.46,34616
2019-05-23,960.0,970.0,935.1,940.45,932.49,15375
2019-05-24,935.0,952.4,930.65,950.0,941.96,12441
2019-05-27,955.0,975.0,945.15,972.1,963.87,27745
2019-05-28,975.0,978.0,963.05,966.8,958.62,16690
2019-05-29,967.95,969.0,961.7,965.2,957.03,24710
2019-05-30,955.15,968.4,955.1,960.2,952.07,12582
2019-05-31,970.0,970.0,957.85,966.45,958.27,184424
2019-06-03,960.35,973.0,960.25,970.2,961.99,29563
2019-06-04,970.2,973.0,962.2,970.6,962.39,33534
2019-06-06,972.0,974.85,950.8,965.75,957.58,32781
2019-06-07,969.95,969.95,956.95,963.15,955.0,14089
2019-06-10,962.0,965.0,927.4,962.45,954.31,15510
2019-06-11,950.0,970.0,945.1,966.3,958.12,17241
2019-06-12,950.1,972.0,950.1,967.9,959.71,28371
2019-06-13,950.1,977.0,950.1,970.45,962.24,17004
2019-06-14,970.45,980.0,950.0,973.6,965.36,13567
2019-06-17,961.0,974.35,930.0,948.65,940.62,87719
2019-06-18,933.0,965.9,933.0,960.4,952.27,12962
2019-06-19,951.0,981.0,931.1,970.35,962.14,21086
2019-06-20,953.1,990.0,953.1,986.3,977.95,30189
2019-06-21,975.0,995.95,967.1,991.5,983.11,23322
2019-06-24,980.0,989.85,966.0,971.9,963.68,11213
2019-06-25,971.9,974.75,957.75,971.95,963.72,9469
2019-06-26,964.15,973.75,963.4,967.8,959.61,7121
2019-06-27,965.0,972.7,953.0,954.9,946.82,16993
2019-06-28,950.95,976.0,948.05,971.3,963.08,18323
2019-07-01,965.0,974.0,949.0,953.7,945.63,13699
2019-07-02,947.95,965.0,946.15,956.55,948.46,10225
2019-07-03,951.95,987.8,951.95,983.6,975.28,30646
2019-07-04,973.0,1005.7,973.0,988.8,980.43,50841
2019-07-05,991.65,996.95,974.0,977.4,969.13,22873
2019-07-08,977.4,977.4,953.0,969.2,961.0,31966
2019-07-09,955.15,968.25,955.1,962.3,954.16,31407
2019-07-10,967.8,1003.0,954.95,994.95,986.53,31464
2019-07-11,991.2,1024.9,980.1,1011.25,1002.69,39495
2019-07-12,1009.9,1080.0,1003.1,1068.2,1059.16,86861
2019-07-15,1064.0,1064.0,1030.0,1043.6,1034.77,12669
2019-07-16,1043.6,1058.7,1030.0,1032.0,1023.27,9648
2019-07-17,1032.0,1055.0,1030.15,1038.95,1030.16,8438
2019-07-18,1035.05,1050.0,1025.0,1026.75,1018.06,15555
2019-07-19,1027.05,1039.8,1010.0,1031.3,1022.57,13628
2019-07-22,1031.3,1036.65,1005.0,1021.85,1013.2,19589
2019-07-23,1015.0,1060.0,1010.05,1052.15,1043.25,12437
2019-07-24,1067.0,1067.0,1032.2,1049.5,1040.62,10965
