Date,Open,High,Low,Close,Adj Close,Volume
2019-12-11,34.8,36.0,34.2,34.67,34.08,84000
2019-12-12,34.8,34.8,34.33,34.33,33.75,36000
2019-12-13,34.33,34.67,34.33,34.67,34.08,9000
2019-12-16,34.07,34.1,34.07,34.07,33.49,57000
2019-12-17,34.1,34.33,34.07,34.07,33.49,27000
2019-12-18,34.1,34.2,34.1,34.1,33.52,87000
2019-12-19,34.13,34.17,34.03,34.03,33.46,108000
2019-12-20,34.23,34.37,34.17,34.27,33.68,51000
2019-12-23,34.27,34.33,34.23,34.33,33.75,75000
2019-12-24,34.4,34.4,34.37,34.37,33.78,51000
2019-12-26,34.6,34.87,34.57,34.67,34.08,27000
2019-12-27,34.47,34.87,34.4,34.87,34.27,24000
2019-12-30,34.67,34.73,34.67,34.73,34.14,9000
2019-12-31,34.73,34.73,34.73,34.73,34.14,24000
2020-01-01,34.87,34.87,34.87,34.87,34.27,6000
2020-01-02,34.87,34.97,34.87,34.93,34.34,9000
2020-01-03,34.93,34.93,34.9,34.9,34.31,15000
2020-01-06,34.93,35.03,34.93,35.0,34.41,27000
2020-01-07,35.07,35.07,35.07,35.07,34.47,3000
2020-01-08,35.17,35.17,35.13,35.13,34.54,9000
2020-01-09,35.17,35.17,35.17,35.17,34.57,3000
2020-01-10,35.2,35.2,35.2,35.2,34.6,9000
2020-01-13,35.2,35.2,35.2,35.2,34.6,15000
2020-01-14,35.13,35.13,35.07,35.07,34.47,12000
2020-01-15,35.07,35.07,35.07,35.07,34.47,12000
2020-01-16,35.07,35.1,35.03,35.1,34.5,12000
2020-01-17,35.07,35.07,35.07,35.07,34.47,9000
2020-01-20,35.27,35.27,35.27,35.27,34.67,3000
2020-01-21,35.3,35.3,35.3,35.3,34.7,3000
2020-01-22,35.2,35.2,35.2,35.2,34.6,3000
2020-01-23,35.2,35.2,35.2,35.2,34.6,6000
2020-01-24,35.23,35.23,35.23,35.23,34.64,9000
2020-01-27,35.23,35.23,35.23,35.23,34.64,3000
2020-01-28,34.47,35.27,34.47,35.23,34.64,21000
2020-01-29,35.27,35.27,35.27,35.27,34.67,9000
2020-01-30,35.27,35.27,35.27,35.27,34.67,0
2020-01-31,35.33,35.33,35.33,35.33,34.73,6000
2020-02-03,35.37,35.37,35.37,35.37,34.77,6000
2020-02-04,35.37,35.37,35.37,35.37,34.77,3000
2020-02-05,35.37,35.37,35.37,35.37,34.77,3000
2020-02-06,35.37,35.37,35.37,35.37,34.77,3000
2020-02-07,35.37,35.37,35.37,35.37,34.77,0
2020-02-10,35.4,35.4,35.4,35.4,34.8,3000
2020-02-11,35.43,35.43,35.43,35.43,34.83,3000
2020-02-12,35.43,35.43,35.43,35.43,34.83,3000
2020-02-13,35.43,35.43,35.43,35.43,34.83,3000
2020-02-14,36.17,38.87,36.17,38.87,38.21,15000
2020-02-17,35.7,35.7,35.7,35.7,35.09,3000
2020-02-18,35.7,35.7,35.6,35.6,35.0,9000
2020-02-19,35.63,35.67,35.63,35.67,35.06,39000
2020-02-20,35.83,35.83,35.83,35.83,35.22,6000
2020-02-24,35.73,35.73,35.73,35.73,35.13,6000
2020-02-25,35.8,35.8,35.8,35.8,35.19,3000
2020-02-26,35.87,35.87,35.87,35.87,35.26,3000
2020-02-27,35.9,35.9,35.9,35.9,35.29,6000
2020-02-28,35.9,35.9,35.9,35.9,35.29,0
2020-03-02,36.03,36.03,36.03,36.03,35.42,3000
2020-03-03,36.03,36.03,36.03,36.03,35.42,3000
2020-03-04,36.03,36.03,36.03,36.03,35.42,3000
2020-03-05,36.03,36.03,36.03,36.03,35.42,3000
2020-03-06,36.13,36.13,36.13,36.13,35.52,6000
2020-03-09,36.1,36.13,36.1,36.13,35.52,9000
2020-03-11,36.33,36.33,36.33,36.33,35.72,6000
2020-03-12,36.07,36.07,35.33,35.67,35.06,27000
2020-03-13,35.63,35.67,35.63,35.67,35.06,15000
2020-03-16,35.67,35.67,35.67,35.67,35.06,3000
2020-03-17,35.73,35.73,35.73,35.73,35.13,6000
2020-03-18,36.0,36.0,36.0,36.0,35.39,3000
2020-03-19,36.0,36.0,36.0,36.0,35.39,3000
2020-03-20,36.0,36.0,36.0,36.0,35.39,3000
2020-03-23,35.83,35.83,35.83,35.83,35.22,3000
2020-03-24,35.83,35.83,35.83,35.83,35.22,6000
2020-03-25,35.83,35.83,35.83,35.83,35.22,3000
2020-03-26,36.0,36.0,36.0,36.0,35.39,3000
2020-03-27,36.17,36.17,36.17,36.17,35.55,3000
2020-03-30,36.17,36.17,36.17,36.17,35.55,0
2020-03-31,35.83,35.83,35.83,35.83,35.22,3000
2020-04-01,35.83,35.83,35.83,35.83,35.22,0
2020-04-03,35.67,35.67,35.67,35.67,35.06,3000
2020-04-07,35.67,35.67,35.67,35.67,35.06,0
2020-04-08,35.83,35.83,35.83,35.83,35.22,3000
2020-04-09,36.33,36.33,36.33,36.33,35.72,6000
2020-04-13,36.17,36.17,36.17,36.17,35.55,9000
2020-04-15,36.33,36.33,36.33,36.33,35.72,9000
2020-04-16,36.33,36.33,36.33,36.33,35.72,3000
2020-04-17,36.5,36.5,36.5,36.5,35.88,3000
2020-04-20,36.5,36.5,36.5,36.5,35.88,3000
2020-04-21,36.17,36.17,36.17,36.17,35.55,3000
2020-04-22,36.17,36.17,36.17,36.17,35.55,0
2020-04-23,36.33,36.33,36.33,36.33,35.72,3000
2020-04-24,36.1,36.1,36.1,36.1,35.49,6000
2020-04-27,36.47,36.47,36.47,36.47,35.85,6000
2020-04-28,36.4,36.4,36.4,36.4,35.78,3000
2020-04-29,36.5,36.5,36.5,36.5,35.88,3000
2020-04-30,36.67,36.67,36.67,36.67,36.04,6000
2020-05-04,36.67,36.67,36.67,36.67,36.04,0
2020-05-05,36.83,36.83,36.83,36.83,36.21,3000
2020-05-06,36.83,36.83,36.83,36.83,36.21,3000
2020-05-07,37.0,37.0,37.0,37.0,36.37,3000
2020-05-08,36.83,36.83,36.83,36.83,36.21,3000
2020-05-11,37.17,37.17,37.17,37.17,36.54,3000
2020-05-12,37.13,37.13,37.13,37.13,36.5,3000
2020-05-13,37.33,37.33,37.33,37.33,36.7,3000
2020-05-14,37.33,37.33,37.33,37.33,36.7,6000
2020-05-15,37.27,37.27,37.27,37.27,36.63,3000
2020-05-18,37.27,37.27,37.27,37.27,36.63,3000
2020-05-19,37.5,37.5,37.5,37.5,36.86,3000
2020-05-20,37.5,37.5,37.5,37.5,36.86,3000
2020-05-21,37.5,37.5,37.5,37.5,36.86,3000
2020-05-22,38.0,38.0,38.0,38.0,37.35,3000
2020-05-26,38.1,38.1,38.1,38.1,37.45,3000
2020-05-27,38.2,38.2,38.2,38.2,37.55,3000
2020-05-28,38.2,38.2,38.2,38.2,37.55,3000
2020-05-29,38.1,38.1,38.1,38.1,37.45,15000
2020-06-01,38.2,38.23,38.2,38.2,37.55,12000
2020-06-02,38.2,38.2,38.2,38.2,37.55,0
2020-06-03,38.23,38.23,38.23,38.23,37.58,6000
2020-06-04,38.2,38.23,38.2,38.23,37.58,9000
2020-06-05,38.23,38.23,38.23,38.23,37.58,6000
2020-06-08,38.27,38.27,38.27,38.27,37.62,6000
2020-06-09,38.3,38.3,38.3,38.3,37.65,3000
2020-06-10,38.3,38.3,38.3,38.3,37.65,3000
2020-06-11,38.2,38.2,38.2,38.2,37.55,3000
2020-06-12,38.13,38.13,38.13,38.13,37.49,3000
2020-06-15,38.07,38.07,38.07,38.07,37.42,3000
2020-06-16,38.13,38.13,38.13,38.13,37.49,3000
2020-06-17,38.17,38.17,38.17,38.17,37.52,3000
2020-06-18,38.2,38.2,38.2,38.2,37.55,3000
2020-06-19,38.27,38.27,38.27,38.27,37.62,3000
2020-06-22,38.3,38.3,38.3,38.3,37.65,3000
2020-06-23,38.33,38.33,38.33,38.33,37.68,3000
2020-06-24,38.33,38.33,38.33,38.33,37.68,3000
2020-06-25,38.37,38.37,38.37,38.37,37.72,6000
2020-06-26,38.37,38.37,38.37,38.37,37.72,9000
