Date,Open,High,Low,Close,Adj Close,Volume
2018-04-04,87.0,91.0,86.05,90.05,85.6,16767810
2018-04-05,91.1,93.4,88.5,89.25,84.84,2086034
2018-04-06,89.15,90.75,88.25,90.05,85.6,2438641
2018-04-09,90.5,90.7,89.4,90.0,85.56,497759
2018-04-10,90.3,90.65,89.35,90.1,85.65,462114
2018-04-11,90.4,96.7,89.1,91.8,87.27,2069628
2018-04-12,91.8,93.7,91.6,93.0,88.41,944549
2018-04-13,93.1,111.6,92.6,111.1,105.62,10794116
2018-04-16,112.25,133.3,112.05,133.3,126.72,12678229
2018-04-17,139.7,146.6,136.3,139.8,132.9,12088283
2018-04-18,139.2,153.75,132.2,153.75,146.16,11734814
2018-04-19,161.6,169.1,161.6,169.1,160.75,5274214
2018-04-20,176.6,177.55,162.1,170.5,162.08,7842531
2018-04-23,170.75,175.8,162.0,162.25,154.24,2313431
2018-04-24,155.5,163.3,154.15,154.3,146.68,2185838
2018-04-25,151.0,162.0,146.65,159.55,151.67,4222337
2018-04-26,161.4,162.0,153.05,154.15,146.54,806955
2018-04-27,154.3,156.4,146.45,146.45,139.22,390946
2018-04-30,142.15,153.75,141.55,153.75,146.16,1222958
2018-05-02,156.5,158.8,153.0,155.45,147.78,984783
2018-05-03,155.0,158.4,149.5,151.1,143.64,392930
2018-05-04,148.2,152.95,143.55,144.15,137.03,424240
2018-05-07,144.15,148.65,141.0,142.25,135.23,457100
2018-05-08,142.25,144.0,135.25,135.95,129.24,346381
2018-05-09,136.1,140.4,134.7,138.1,131.28,381762
2018-05-10,139.8,139.95,133.2,137.6,130.81,374556
2018-05-11,139.0,141.6,135.1,138.35,131.52,298693
2018-05-14,138.0,138.8,131.45,131.45,124.96,184521
2018-05-15,129.1,137.7,125.6,135.35,128.67,964043
2018-05-16,134.2,142.1,133.0,140.05,133.14,559735
2018-05-17,142.5,147.05,142.15,146.4,139.17,628222
2018-05-18,146.5,147.5,139.25,140.1,133.18,251622
2018-05-21,139.8,143.0,134.25,140.35,133.42,252637
2018-05-22,140.0,143.4,138.5,140.8,133.85,168898
2018-05-23,138.05,143.0,136.05,136.8,130.05,135012
2018-05-24,139.0,140.0,136.0,136.75,130.0,117376
2018-05-25,137.0,142.3,135.05,141.2,134.23,249246
2018-05-28,140.0,143.0,140.0,140.95,133.99,159707
2018-05-29,138.5,142.6,137.3,138.6,131.76,93060
2018-05-30,137.1,139.8,136.0,136.4,129.67,93235
2018-05-31,143.2,143.2,140.0,143.2,136.13,1495972
2018-06-01,147.0,149.0,140.85,143.15,136.08,663202
2018-06-04,143.95,144.95,139.0,140.75,133.8,313988
2018-06-05,139.95,139.95,133.75,133.75,127.15,176075
2018-06-06,128.1,140.4,128.1,140.4,133.47,551249
2018-06-07,146.0,154.95,144.75,147.4,140.12,2165570
2018-06-08,146.0,147.8,142.0,142.85,135.8,295251
2018-06-11,143.8,146.0,139.75,140.4,133.47,202804
2018-06-12,140.5,141.5,135.5,137.1,130.33,342724
2018-06-13,136.7,140.8,136.7,137.3,130.52,174221
2018-06-14,137.15,138.95,134.05,134.85,128.19,225398
2018-06-15,135.4,149.9,135.15,141.85,134.85,1886245
2018-06-18,140.0,144.85,137.6,138.35,131.52,368165
2018-06-19,138.95,145.65,136.6,137.3,130.52,721901
2018-06-20,139.0,143.8,137.0,137.7,130.9,497318
2018-06-21,138.9,140.7,135.0,135.2,128.53,300882
2018-06-22,135.5,136.65,132.0,132.65,126.1,315694
2018-06-25,133.25,135.9,133.2,134.25,127.62,387456
