Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,44.4,44.4,44.4,44.4,44.4,684000
2018-01-04,49.35,53.25,46.0,53.25,53.25,2268000
2018-01-05,57.0,62.45,50.6,53.05,53.05,2136000
2018-01-08,54.0,54.75,50.55,51.9,51.9,282000
2018-01-09,51.0,51.0,46.5,47.9,47.9,342000
2018-01-10,48.6,48.6,44.0,44.65,44.65,504000
2018-01-11,45.0,53.0,43.6,51.65,51.65,801000
2018-01-12,54.5,54.5,49.55,50.0,50.0,216000
2018-01-15,53.35,53.5,52.0,52.7,52.7,216000
2018-01-16,53.95,54.55,50.05,50.5,50.5,198000
2018-01-17,49.5,50.45,48.6,49.95,49.95,108000
2018-01-18,51.0,51.0,48.0,48.45,48.45,93000
2018-01-19,51.5,51.5,48.0,48.3,48.3,60000
2018-01-22,48.5,48.5,44.1,45.9,45.9,60000
2018-01-23,45.8,46.65,44.5,45.15,45.15,72000
2018-01-24,45.2,45.45,44.35,45.45,45.45,39000
2018-01-25,44.4,45.5,44.0,44.35,44.35,75000
2018-01-29,45.3,46.0,44.7,45.05,45.05,45000
2018-01-30,45.0,45.0,44.05,44.5,44.5,21000
2018-01-31,43.7,44.25,43.5,43.5,43.5,45000
2018-02-01,42.05,48.0,42.05,47.05,47.05,114000
2018-02-02,44.7,45.0,41.6,42.7,42.7,207000
2018-02-05,41.0,46.0,38.5,44.45,44.45,99000
2018-02-06,43.1,44.9,42.25,43.5,43.5,69000
2018-02-07,44.5,46.8,44.5,45.15,45.15,78000
2018-02-08,45.5,45.75,45.15,45.25,45.25,18000
2018-02-09,45.5,45.5,43.55,44.5,44.5,15000
2018-02-12,44.75,45.2,44.0,44.5,44.5,33000
2018-02-14,44.75,45.9,44.6,45.5,45.5,30000
2018-02-15,45.25,46.05,44.5,45.45,45.45,69000
2018-02-16,45.05,45.05,42.5,42.5,42.5,30000
2018-02-19,44.0,44.0,40.25,42.3,42.3,33000
2018-02-20,42.8,43.25,40.0,41.0,41.0,39000
2018-02-21,41.25,41.25,39.65,41.0,41.0,36000
2018-02-22,41.0,41.0,40.0,40.8,40.8,12000
2018-02-23,40.1,40.75,40.1,40.7,40.7,15000
2018-02-26,40.75,40.75,39.0,39.0,39.0,24000
2018-02-27,37.2,41.0,37.2,40.6,40.6,78000
2018-02-28,40.2,42.3,40.1,42.2,42.2,84000
2018-03-01,40.2,42.5,40.2,41.75,41.75,9000
2018-03-05,42.5,42.7,42.45,42.6,42.6,18000
2018-03-06,43.0,43.25,41.0,42.05,42.05,24000
2018-03-07,42.45,42.5,40.6,42.0,42.0,21000
2018-03-08,39.65,40.0,38.0,39.7,39.7,48000
2018-03-09,40.0,40.0,38.75,38.8,38.8,48000
2018-03-12,38.75,39.3,38.75,38.85,38.85,30000
2018-03-13,38.85,38.85,38.85,38.85,38.85,0
2018-03-14,37.3,37.3,37.3,37.3,37.3,3000
2018-03-15,39.9,39.9,37.55,37.55,37.55,12000
2018-03-16,37.0,38.45,36.7,37.05,37.05,18000
2018-03-19,37.0,37.0,31.05,32.25,32.25,36000
2018-03-20,35.5,35.5,32.5,33.0,33.0,21000
2018-03-21,32.0,34.0,32.0,32.75,32.75,48000
2018-03-22,32.5,32.5,32.05,32.35,32.35,24000
2018-03-23,32.15,32.15,31.35,31.4,31.4,66000
2018-03-26,32.4,33.5,32.3,32.5,32.5,33000
2018-03-27,31.6,32.6,31.6,32.5,32.5,21000
2018-03-28,31.2,32.0,30.6,31.5,31.5,45000
2018-04-02,31.5,31.5,31.5,31.5,31.5,0
2018-04-03,32.0,32.0,32.0,32.0,32.0,3000
2018-04-04,34.95,34.95,33.9,34.0,34.0,15000
2018-04-05,35.0,35.0,35.0,35.0,35.0,3000
2018-04-06,37.0,37.0,37.0,37.0,37.0,15000
2018-04-09,38.5,39.0,38.5,39.0,39.0,6000
2018-04-10,39.0,39.0,39.0,39.0,39.0,0
2018-04-11,39.0,39.0,39.0,39.0,39.0,0
2018-04-12,39.0,39.0,39.0,39.0,39.0,3000
2018-04-13,38.95,38.95,38.95,38.95,38.95,3000
2018-04-16,40.0,40.5,39.7,39.7,39.7,21000
2018-04-17,39.7,39.7,37.0,37.0,37.0,21000
2018-04-18,38.4,40.0,38.35,38.35,38.35,18000
2018-04-19,39.5,39.5,39.5,39.5,39.5,6000
2018-04-20,39.5,39.5,39.5,39.5,39.5,0
2018-04-23,38.2,38.2,38.2,38.2,38.2,3000
2018-04-24,38.2,38.2,38.2,38.2,38.2,0
2018-04-25,37.55,38.3,37.55,38.15,38.15,18000
2018-04-26,38.15,38.15,38.15,38.15,38.15,0
2018-04-27,38.15,38.15,38.15,38.15,38.15,0
2018-04-30,39.8,39.8,37.25,37.25,37.25,21000
2018-05-02,37.0,37.0,36.75,36.75,36.75,6000
2018-05-03,36.75,36.75,36.75,36.75,36.75,3000
2018-05-04,36.75,36.75,36.75,36.75,36.75,0
2018-05-07,35.0,35.5,34.5,34.5,34.5,15000
2018-05-08,33.5,33.5,33.3,33.35,33.35,12000
2018-05-09,33.0,33.0,33.0,33.0,33.0,6000
2018-05-10,33.1,33.5,32.75,33.5,33.5,9000
2018-05-11,33.5,33.5,33.5,33.5,33.5,0
2018-05-14,32.15,34.0,32.15,34.0,34.0,6000
2018-05-15,34.0,34.0,34.0,34.0,34.0,0
2018-05-16,34.0,34.0,34.0,34.0,34.0,0
2018-05-17,34.0,34.0,34.0,34.0,34.0,3000
2018-05-18,34.5,34.5,34.5,34.5,34.5,3000
2018-05-21,34.5,34.5,34.5,34.5,34.5,0
2018-05-22,34.45,37.95,34.45,34.75,34.75,57000
2018-05-23,33.2,33.2,33.1,33.1,33.1,6000
2018-05-24,33.1,33.1,33.1,33.1,33.1,0
2018-05-25,31.75,31.75,31.75,31.75,31.75,6000
2018-05-28,31.75,31.75,31.75,31.75,31.75,3000
2018-05-29,30.6,30.6,30.0,30.0,30.0,9000
2018-05-30,30.0,32.9,28.55,31.45,31.45,48000
2018-05-31,31.75,32.25,31.7,32.25,32.25,12000
2018-06-01,32.2,32.2,32.0,32.0,32.0,9000
2018-06-04,32.0,32.0,29.8,29.8,29.8,6000
2018-06-05,29.75,29.75,29.75,29.75,29.75,6000
2018-06-06,29.75,29.75,29.75,29.75,29.75,0
