Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,0.29,0.29,0.29,0.29,-0.05,52539
2002-07-02,0.29,0.29,0.29,0.29,-0.05,244568
2002-07-03,0.29,0.29,0.29,0.29,-0.05,184630
2002-07-04,0.29,0.29,0.29,0.29,-0.05,122096
2002-07-05,0.29,0.29,0.29,0.29,-0.05,125991
2002-07-08,0.29,0.35,0.29,0.35,-0.05,419596
2002-07-09,0.35,0.35,0.35,0.35,-0.05,122352
2002-07-10,0.35,0.35,0.35,0.35,-0.05,161667
2002-07-11,0.29,0.35,0.29,0.29,-0.05,41518
2002-07-12,0.35,0.35,0.29,0.29,-0.05,170363
2002-07-15,0.29,0.29,0.29,0.29,-0.05,16214
2002-07-16,0.29,0.29,0.29,0.29,-0.05,156336
2002-07-17,0.29,0.29,0.29,0.29,-0.05,139472
2002-07-18,0.29,0.29,0.29,0.29,-0.05,28277
2002-07-19,0.29,0.29,0.29,0.29,-0.05,6748
2002-07-22,0.29,0.29,0.29,0.29,-0.05,43466
2002-07-23,0.29,0.29,0.29,0.29,-0.05,48387
2002-07-24,0.29,0.29,0.29,0.29,-0.05,0
2002-07-25,0.29,0.29,0.29,0.29,-0.05,0
2002-07-26,0.29,0.29,0.23,0.23,-0.04,178274
2002-07-29,0.23,0.23,0.23,0.23,-0.04,0
2002-07-30,0.23,0.23,0.23,0.23,-0.04,281542
2002-07-31,0.23,0.23,0.23,0.23,-0.04,101849
2002-08-01,0.23,0.23,0.23,0.23,-0.04,25953
2002-08-02,0.23,0.23,0.23,0.23,-0.04,1298
2002-08-05,0.23,0.23,0.23,0.23,-0.04,10388
2002-08-06,0.23,0.23,0.23,0.23,-0.04,22057
2002-08-07,0.23,0.23,0.23,0.23,-0.04,32822
2002-08-08,0.23,0.23,0.23,0.23,-0.04,2084
2002-08-09,0.23,0.23,0.23,0.23,-0.04,82781
2002-08-12,0.23,0.23,0.23,0.23,-0.04,0
2002-08-13,0.23,0.23,0.23,0.23,-0.04,0
2002-08-14,0.23,0.23,0.23,0.23,-0.04,785
2002-08-15,0.23,0.23,0.23,0.23,-0.04,0
2002-08-16,0.29,0.29,0.23,0.23,-0.04,36324
2002-08-19,0.23,0.23,0.23,0.23,-0.04,53188
2002-08-20,0.23,0.23,0.23,0.23,-0.04,26073
2002-08-21,0.23,0.23,0.23,0.23,-0.04,78629
2002-08-22,0.23,0.23,0.23,0.23,-0.04,0
2002-08-23,0.29,0.29,0.23,0.23,-0.04,68121
2002-08-26,0.29,0.29,0.29,0.29,-0.05,68514
2002-08-27,0.23,0.23,0.23,0.23,-0.04,649
2002-08-28,0.23,0.23,0.23,0.23,0.15,9738
2002-08-29,0.29,0.29,0.23,0.29,0.18,48011
2002-08-30,0.29,0.29,0.29,0.29,0.18,0
