Date,Open,High,Low,Close,Adj Close,Volume
2002-07-23,0.88,0.88,0.88,0.88,0.77,200
2002-07-24,0.88,0.88,0.88,0.88,0.77,0
2002-07-25,0.88,0.88,0.88,0.88,0.77,0
2002-07-26,0.88,0.88,0.88,0.88,0.77,0
2002-07-29,1.05,1.05,1.05,1.05,0.92,200
2002-07-30,1.05,1.05,1.05,1.05,0.92,0
2002-07-31,1.05,1.05,1.05,1.05,0.92,0
2002-08-01,1.05,1.05,1.05,1.05,0.92,0
2002-08-02,1.05,1.05,1.05,1.05,0.92,0
2002-08-05,1.05,1.05,1.05,1.05,0.92,0
2002-08-06,1.05,1.05,1.05,1.05,0.92,0
2002-08-07,1.05,1.05,1.05,1.05,0.92,0
2002-08-08,1.05,1.05,1.05,1.05,0.92,0
2002-08-09,1.05,1.05,1.05,1.05,0.92,0
2002-08-12,1.05,1.05,1.05,1.05,0.92,0
2002-08-13,1.05,1.05,1.05,1.05,0.92,0
2002-08-14,1.05,1.05,1.05,1.05,0.92,0
2002-08-15,1.05,1.05,1.05,1.05,0.92,0
2002-08-16,1.05,1.05,1.05,1.05,0.92,0
2002-08-19,1.05,1.05,1.05,1.05,0.92,0
2002-08-20,1.05,1.05,1.05,1.05,0.92,0
2002-08-21,1.05,1.05,1.05,1.05,0.92,0
2002-08-22,1.05,1.05,1.05,1.05,0.92,0
2002-08-23,1.05,1.05,1.05,1.05,0.92,0
2002-08-26,1.05,1.05,1.05,1.05,0.92,0
2002-08-27,1.05,1.05,1.05,1.05,0.92,0
2002-08-28,1.05,1.05,1.05,1.05,0.92,0
2002-08-29,1.05,1.05,1.05,1.05,0.92,0
2002-08-30,1.05,1.05,1.05,1.05,0.92,0
2002-09-02,1.05,1.05,1.05,1.05,0.92,0
2002-09-03,1.05,1.05,1.05,1.05,0.92,0
2002-09-04,1.05,1.05,1.05,1.05,0.92,0
2002-09-05,1.05,1.05,1.05,1.05,0.92,0
2002-09-06,1.05,1.05,1.05,1.05,0.92,0
2002-09-09,1.05,1.05,1.05,1.05,0.92,0
2002-09-10,1.05,1.05,1.05,1.05,0.92,0
2002-09-11,1.05,1.05,1.05,1.05,0.92,0
2002-09-12,1.05,1.05,1.05,1.05,0.92,0
2002-09-13,1.05,1.05,1.05,1.05,0.92,0
2002-09-16,1.05,1.05,1.05,1.05,0.92,0
2002-09-17,1.05,1.05,1.05,1.05,0.92,0
2002-09-18,1.05,1.05,1.05,1.05,0.92,0
2002-09-19,1.05,1.05,1.05,1.05,0.92,0
2002-09-20,1.05,1.05,1.05,1.05,0.92,0
2002-09-23,1.05,1.05,1.05,1.05,0.92,0
2002-09-24,1.05,1.05,1.05,1.05,0.92,0
2002-09-25,1.05,1.05,1.05,1.05,0.92,0
2002-09-26,1.05,1.05,1.05,1.05,0.92,0
2002-09-27,1.05,1.05,1.05,1.05,0.92,0
2002-09-30,1.05,1.05,1.05,1.05,0.92,0
2002-10-01,1.05,1.05,1.05,1.05,0.92,0
2002-10-02,1.05,1.05,1.05,1.05,0.92,0
2002-10-03,1.05,1.05,1.05,1.05,0.92,0
2002-10-04,1.05,1.05,1.05,1.05,0.92,0
2002-10-07,1.05,1.05,1.05,1.05,0.92,0
2002-10-08,1.05,1.05,1.05,1.05,0.92,0
2002-10-09,1.05,1.05,1.05,1.05,0.92,0
2002-10-10,1.05,1.05,1.05,1.05,0.92,0
2002-10-11,1.05,1.05,1.05,1.05,0.92,0
2002-10-14,1.05,1.05,1.05,1.05,0.92,0
2002-10-15,1.05,1.05,1.05,1.05,0.92,0
2002-10-16,1.05,1.05,1.05,1.05,0.92,0
2002-10-17,1.05,1.05,1.05,1.05,0.92,0
2002-10-18,1.05,1.05,1.05,1.05,0.92,0
2002-10-21,1.05,1.05,1.05,1.05,0.92,0
2002-10-22,1.05,1.05,1.05,1.05,0.92,0
2002-10-23,1.05,1.05,1.05,1.05,0.92,0
2002-10-24,1.05,1.05,1.05,1.05,0.92,0
2002-10-25,1.05,1.05,1.05,1.05,0.92,0
2002-10-28,1.05,1.05,1.05,1.05,0.92,0
2002-10-29,1.05,1.05,1.05,1.05,0.92,0
2002-10-30,1.05,1.05,1.05,1.05,0.92,0
2002-10-31,1.05,1.05,1.05,1.05,0.92,0
2002-11-01,1.05,1.05,1.05,1.05,0.92,0
