Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,6.75,6.9,6.7,6.75,6.46,49840
2002-08-13,6.95,7.1,6.8,6.9,6.6,84834
2002-08-14,6.9,6.95,6.75,6.9,6.6,48704
2002-08-15,6.9,6.9,6.9,6.9,6.6,0
2002-08-16,6.9,7.05,6.85,6.95,6.65,58845
2002-08-19,6.75,6.95,6.75,6.8,6.51,42578
2002-08-20,6.7,6.8,6.55,6.7,6.41,62212
2002-08-21,6.9,6.9,6.6,6.65,6.36,39832
2002-08-22,6.6,6.7,6.5,6.5,6.22,40886
2002-08-23,6.5,6.55,6.2,6.3,6.03,77850
2002-08-26,6.3,6.5,6.25,6.3,6.03,47927
2002-08-27,6.45,6.5,5.9,6.1,5.84,93586
2002-08-28,6.0,6.2,6.0,6.05,5.79,42439
2002-08-29,6.15,6.15,5.95,6.0,5.74,31588
2002-08-30,6.05,6.2,5.9,6.15,5.89,53249
2002-09-02,5.95,6.7,5.9,6.15,5.89,86236
2002-09-03,6.15,6.35,6.1,6.15,5.89,64627
2002-09-04,6.25,6.25,6.05,6.1,5.84,21433
2002-09-05,6.05,6.15,6.0,6.05,5.79,57561
2002-09-06,6.05,6.1,5.9,5.9,5.65,55738
2002-09-09,5.8,6.0,5.75,5.9,5.65,32039
2002-09-10,5.9,5.9,5.9,5.9,5.65,0
2002-09-11,5.8,5.85,5.7,5.75,5.5,35670
2002-09-12,6.0,6.0,5.7,5.9,5.65,29075
2002-09-13,6.2,6.6,5.7,6.35,6.08,194936
2002-09-16,6.75,6.75,6.1,6.15,5.89,173341
2002-09-17,6.4,6.4,5.95,6.05,5.79,74063
2002-09-18,6.0,6.05,5.85,5.9,5.65,46002
2002-09-19,5.85,6.0,5.7,5.85,5.6,70357
2002-09-20,5.75,5.9,5.65,5.85,5.6,41510
2002-09-23,5.65,6.0,5.65,5.8,5.55,28379
2002-09-24,5.7,5.75,5.6,5.6,5.36,42000
2002-09-25,5.5,5.7,5.5,5.65,5.41,35331
2002-09-26,5.65,5.75,5.6,5.6,5.36,23398
2002-09-27,5.7,5.7,5.55,5.6,5.36,27579
2002-09-30,5.65,5.65,5.4,5.45,5.22,73750
2002-10-01,5.5,5.55,5.4,5.5,5.26,36724
2002-10-02,5.5,5.5,5.5,5.5,5.26,0
2002-10-03,5.4,5.45,5.25,5.3,5.07,62205
2002-10-04,5.3,5.45,5.25,5.35,5.12,49786
2002-10-07,5.5,5.65,5.35,5.6,5.36,60034
2002-10-08,5.6,5.65,5.45,5.5,5.26,74458
2002-10-09,5.45,5.6,5.4,5.4,5.17,76947
2002-10-10,5.6,5.8,5.45,5.5,5.26,41084
2002-10-11,5.5,5.6,5.45,5.45,5.22,29598
2002-10-14,5.55,5.55,5.4,5.45,5.22,20018
2002-10-15,5.45,5.45,5.45,5.45,5.22,0
2002-10-16,5.4,5.55,5.4,5.45,5.22,39483
2002-10-17,5.45,5.5,5.4,5.45,5.22,12502
2002-10-18,5.35,5.5,5.3,5.35,5.12,51632
2002-10-21,5.4,5.45,5.3,5.3,5.07,66761
2002-10-22,5.35,5.4,5.25,5.3,5.07,47994
2002-10-23,5.35,5.35,5.2,5.25,5.02,58172
