Date,Open,High,Low,Close,Adj Close,Volume
2005-12-29,54.5,56.0,51.25,53.0,44.32,73654
2005-12-30,54.25,54.5,53.0,53.25,44.53,22608
2006-01-02,54.5,56.0,53.5,55.5,46.41,107565
2006-01-03,56.0,60.5,55.75,60.0,50.17,106833
2006-01-04,60.0,61.0,58.25,59.75,49.96,48049
2006-01-05,56.5,59.5,56.5,57.25,47.87,5393
2006-01-06,56.25,57.5,55.0,55.25,46.2,14276
2006-01-09,58.75,58.75,57.0,57.75,48.29,12416
2006-01-10,58.75,58.75,56.0,57.0,47.66,6969
2006-01-12,57.0,57.0,55.0,55.5,46.41,5662
2006-01-13,57.5,61.25,54.5,60.25,50.38,52821
2006-01-16,62.5,63.25,59.0,62.75,52.47,65666
2006-01-17,62.75,62.75,62.75,62.75,52.47,0
2006-01-18,66.5,72.0,63.75,70.0,58.54,234399
2006-01-19,72.5,73.0,68.0,69.25,57.91,89478
2006-01-20,69.25,69.25,69.25,69.25,57.91,0
2006-01-23,70.75,72.5,68.5,69.0,57.7,35186
2006-01-24,70.0,71.25,67.75,68.0,56.86,8618
2006-01-25,70.5,70.5,65.5,66.5,55.61,11077
2006-01-27,65.75,66.75,63.5,64.25,53.73,19458
2006-01-30,64.5,64.75,62.5,63.25,52.89,10378
2006-01-31,64.0,66.5,63.25,66.5,55.61,4286
2006-02-01,69.75,70.0,68.5,69.5,58.12,12778
2006-02-02,69.75,70.5,66.0,66.5,55.61,8881
2006-02-03,67.5,67.5,63.75,64.75,54.15,4796
2006-02-06,65.25,66.0,64.0,65.25,54.56,8122
2006-02-07,66.0,66.0,64.0,65.0,54.35,17764
2006-02-08,65.0,65.25,63.75,64.0,53.52,3290
2006-02-10,63.75,65.0,63.0,63.5,53.1,3760
2006-02-13,63.5,64.5,60.0,63.75,53.31,8099
2006-02-14,61.75,63.25,60.0,61.0,51.01,15146
2006-02-15,60.75,63.75,60.25,61.0,51.01,11147
2006-02-16,62.25,63.0,60.0,60.25,50.38,3260
2006-02-17,60.25,60.25,58.5,59.0,49.34,10298
2006-02-20,59.0,60.25,58.0,58.5,48.92,5160
2006-02-21,58.5,58.5,58.5,58.5,48.92,0
2006-02-22,58.25,59.25,57.5,58.5,48.92,4703
2006-02-23,61.25,61.25,57.5,59.25,49.55,21856
2006-02-24,58.75,59.5,58.25,58.5,48.92,8560
2006-02-27,58.75,59.5,58.0,58.5,48.92,4838
2006-02-28,58.0,58.5,56.25,56.5,47.25,12947
2006-03-01,56.75,57.25,55.0,55.75,46.62,6733
2006-03-02,55.0,56.5,53.0,54.75,45.78,20606
2006-03-03,56.0,56.75,53.0,56.0,46.83,3893
2006-03-06,53.25,59.0,53.0,57.5,48.08,7887
2006-03-07,58.75,63.25,58.75,63.25,52.89,11156
2006-03-08,67.5,69.75,64.0,65.5,54.77,61997
2006-03-09,65.0,65.0,63.0,64.25,53.73,8901
2006-03-10,64.0,66.25,63.5,63.5,53.1,9314
2006-03-13,69.75,69.75,63.75,65.75,54.98,16480
2006-03-14,66.5,67.25,64.25,65.5,54.77,4598
2006-03-16,64.0,67.0,64.0,66.25,55.4,21576
2006-03-17,65.5,67.0,64.0,65.0,54.35,5132
2006-03-20,65.5,67.5,63.75,64.5,53.94,14332
2006-03-21,65.0,65.0,63.5,64.75,54.15,6295
2006-03-22,64.5,64.5,60.0,61.0,51.01,5824
2006-03-23,60.25,62.25,59.5,61.0,51.01,6955
2006-03-24,59.5,62.75,59.5,60.5,50.59,2666
2006-03-27,62.25,62.5,60.75,61.0,51.01,3769
2006-03-28,62.25,62.5,59.25,59.75,49.96,4246
2006-03-29,59.75,59.75,59.75,59.75,49.96,0
2006-03-30,60.5,62.0,60.0,61.25,51.22,2449
2006-03-31,61.25,63.0,60.25,62.5,52.26,7574
2006-04-03,62.75,64.75,62.5,63.75,53.31,6509
2006-04-04,64.25,66.25,62.5,65.25,54.56,6755
2006-04-05,66.0,66.75,64.5,65.75,54.98,12178
2006-04-07,65.25,66.75,62.5,65.0,54.35,7316
2006-04-10,62.5,67.0,61.5,64.25,53.73,3581
2006-04-12,64.25,64.25,64.25,64.25,53.73,0
2006-04-13,62.0,62.0,60.5,60.5,50.59,1650
2006-04-17,62.5,64.0,60.0,61.25,51.22,2096
2006-04-18,61.75,65.5,61.75,63.0,52.68,5666
2006-04-19,64.75,65.75,63.5,63.75,53.31,6167
2006-04-20,63.0,66.0,63.0,65.5,54.77,3356
2006-04-21,64.75,66.0,63.0,63.5,53.1,4964
2006-04-24,67.25,67.25,64.25,65.0,54.35,4041
2006-04-25,64.25,71.5,64.25,71.5,59.79,60721
2006-04-26,76.25,76.75,72.75,74.25,62.09,48992
2006-04-27,77.0,78.0,73.25,77.5,64.81,69816
2006-04-28,77.5,77.5,77.5,77.5,64.81,0
2006-05-02,81.0,81.5,78.75,80.25,67.11,109064
2006-05-03,84.25,84.25,78.75,79.5,66.48,91090
2006-05-04,80.75,81.75,79.5,80.25,67.11,18655
2006-05-05,80.25,82.5,80.0,80.0,66.9,15710
2006-05-08,82.5,83.75,80.0,80.75,67.52,14792
2006-05-09,81.0,81.25,80.0,80.25,67.11,16932
2006-05-10,81.75,81.75,79.0,79.75,66.69,7711
2006-05-11,81.5,81.5,78.0,79.0,66.06,13251
2006-05-12,78.0,79.5,76.0,76.0,63.55,8190
2006-05-15,76.0,78.0,72.5,75.0,62.72,15273
2006-05-16,75.0,75.75,72.0,75.0,62.72,28796
2006-05-17,77.0,78.0,75.25,77.5,64.81,6918
2006-05-18,76.0,80.25,74.0,77.0,64.39,35807
2006-05-19,74.0,81.0,74.0,75.0,62.72,16075
2006-05-22,77.5,77.5,71.25,71.25,59.58,4304
2006-05-23,72.0,74.0,69.25,72.75,60.83,5950
2006-05-24,76.0,76.25,73.0,75.0,62.72,13880
2006-05-25,75.0,75.0,72.0,72.25,60.42,5724
2006-05-26,74.5,76.0,74.5,75.5,63.13,18005
2006-05-29,77.25,79.5,75.0,79.5,66.48,24253
2006-05-30,81.0,81.0,77.0,77.25,64.6,8019
2006-05-31,77.25,77.25,77.25,77.25,64.6,0
