Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,60.6,60.6,49.2,50.75,47.32,265240.0
2002-07-02,53.0,53.0,49.25,49.95,46.57,309805.0
2002-07-03,50.25,51.95,49.1,50.1,46.71,309468.0
2002-07-04,60.1,60.1,49.1,49.35,46.01,182105.0
2002-07-05,52.0,52.0,48.2,48.65,45.36,138348.0
2002-07-08,51.0,52.4,49.0,51.05,47.6,378726.0
2002-07-09,51.3,52.45,50.4,50.65,47.23,257893.0
2002-07-10,51.0,51.4,47.8,48.7,45.41,179740.0
2002-07-11,50.95,50.95,47.75,47.95,44.71,143725.0
2002-07-12,48.4,49.75,47.05,48.1,44.85,163323.0
2002-07-15,48.95,48.95,43.5,44.15,41.16,230633.0
2002-07-16,46.0,46.7,44.0,44.9,41.86,196820.0
2002-07-17,53.9,53.9,41.55,42.8,39.91,128362.0
2002-07-18,43.8,44.7,43.5,44.2,41.21,101576.0
2002-07-19,53.05,53.05,43.5,44.6,41.58,195025.0
2002-07-22,41.0,43.5,40.5,40.95,38.18,127183.0
2002-07-23,43.0,43.0,40.0,41.35,38.55,98688.0
2002-07-24,41.45,41.5,38.65,38.8,36.18,75463.0
2002-07-25,43.0,43.0,38.5,38.85,36.22,91893.0
2002-07-26,39.45,39.45,35.8,36.0,33.57,95346.0
2002-07-29,43.2,43.2,30.6,32.45,30.26,233397.0
2002-07-30,34.15,34.25,26.05,29.75,27.74,141465.0
2002-07-31,35.7,35.7,28.55,31.3,29.18,164366.0
2002-08-01,32.0,33.0,29.8,30.1,28.06,121751.0
2002-08-02,31.4,31.4,27.5,28.9,26.95,155294.0
2002-08-05,29.45,34.65,29.0,33.3,31.05,439915.0
2002-08-06,33.0,33.85,32.0,33.5,31.23,185949.0
2002-08-07,34.45,35.15,33.65,33.9,31.61,171746.0
2002-08-08,34.7,34.7,30.35,30.9,28.81,112449.0
2002-08-09,37.1,37.1,30.15,31.35,29.23,94122.0
2002-08-12,31.15,33.0,31.15,32.65,30.44,82199.0
2002-08-13,32.15,33.95,32.0,33.65,31.37,74467.0
2002-08-14,33.5,33.5,31.75,31.95,29.79,65979.0
2002-08-15,31.95,31.95,31.95,31.95,29.79,0.0
2002-08-16,38.35,38.35,31.75,32.05,29.88,89912.0
2002-08-19,38.45,38.45,32.15,32.4,30.21,81006.0
2002-08-20,35.0,35.0,32.25,32.7,30.49,61863.0
2002-08-21,34.0,34.0,32.5,32.95,30.72,75419.0
2002-08-22,33.1,33.8,32.2,32.45,30.26,38704.0
2002-08-23,32.55,32.9,31.6,31.7,29.56,38199.0
2002-08-26,38.05,38.05,31.5,31.65,29.51,34093.0
2002-08-27,35.0,35.0,31.1,31.2,29.09,43909.0
2002-08-28,37.45,37.45,30.4,30.6,28.53,39030.0
2002-08-29,30.3,30.75,29.5,29.8,27.78,30847.0
2002-08-30,29.75,30.4,29.6,30.1,28.06,27181.0
2002-09-02,30.6,32.9,30.5,31.15,29.04,78239.0
2002-09-03,31.05,31.4,30.1,30.2,28.16,30909.0
2002-09-04,28.5,33.9,28.05,33.05,30.82,169143.0
2002-09-05,39.65,39.65,33.0,33.9,31.61,401121.0
2002-09-06,34.95,34.95,31.3,31.8,29.65,113434.0
2002-09-09,30.75,32.75,30.6,31.6,29.46,34608.0
2002-09-10,31.6,31.6,31.6,31.6,29.46,0.0
2002-09-11,33.0,33.0,31.45,31.7,29.56,30271.0
2002-09-12,32.3,33.95,31.4,32.8,30.58,104684.0
2002-09-13,31.5,32.75,31.5,32.4,30.21,29240.0
2002-09-16,34.0,34.0,31.0,32.2,30.02,58158.0
2002-09-17,33.65,33.65,32.15,32.6,30.4,29751.0
2002-09-18,32.5,32.75,31.15,31.35,29.23,48054.0
2002-09-19,31.95,31.95,30.0,30.15,28.11,54071.0
2002-09-20,29.0,30.5,29.0,29.85,27.83,53682.0
