Date,Open,High,Low,Close,Adj Close,Volume
2008-04-08,102.0,106.49,100.8,104.76,98.93,8670
2008-04-09,108.0,117.9,104.9,112.68,106.4,4660
2008-04-10,115.0,120.0,111.6,115.08,108.68,4450
2008-04-11,119.9,120.0,115.64,119.5,112.85,3610
2008-04-15,119.0,119.5,108.3,119.47,112.83,11860
2008-04-16,122.3,143.37,117.51,143.21,135.24,35660
2008-04-17,154.0,157.5,146.0,150.57,142.2,70700
2008-04-21,142.5,153.0,142.5,149.73,141.39,10500
2008-04-22,149.85,153.0,145.5,148.11,139.87,8310
2008-04-23,149.86,153.0,141.55,144.39,136.35,7220
2008-04-24,144.95,145.99,139.2,141.96,134.06,6580
2008-04-25,137.25,137.49,132.7,134.37,126.89,5680
2008-04-28,136.2,136.2,131.05,132.5,125.13,2060
2008-04-29,135.85,159.0,133.12,158.62,149.79,101430
2008-04-30,165.0,165.0,146.0,148.24,139.99,39950
2008-05-02,152.4,152.4,145.51,147.91,139.68,12750
2008-05-05,143.05,163.35,143.05,152.38,143.9,29960
2008-05-06,148.3,155.0,143.01,145.7,137.59,16960
2008-05-07,145.51,150.0,142.2,144.07,136.05,10530
2008-05-08,143.66,145.8,140.1,141.65,133.76,5450
2008-05-09,144.48,148.0,140.0,140.71,132.88,4490
2008-05-12,136.1,136.1,130.9,132.4,125.04,7660
2008-05-13,135.5,139.3,131.51,133.39,125.97,12720
2008-05-14,132.1,135.0,131.5,132.04,124.7,3380
2008-05-15,134.5,135.4,132.5,132.78,125.39,2420
2008-05-16,137.3,137.3,131.02,134.1,126.64,18220
2008-05-20,134.45,140.0,131.01,134.18,126.71,9490
2008-05-21,131.43,135.4,131.43,134.96,127.44,1920
2008-05-22,113.6,136.0,113.6,134.54,127.06,3350
2008-05-23,131.71,134.49,129.0,129.99,122.76,3110
2008-05-26,127.1,127.51,123.11,126.26,119.23,3530
2008-05-27,128.0,128.0,118.51,119.91,113.24,2350
2008-05-28,118.9,121.0,117.5,118.06,111.48,5910
2008-05-29,120.0,122.9,115.0,115.29,108.87,5430
2008-05-30,114.23,116.98,112.85,114.12,107.77,2500
2008-06-02,120.5,120.5,111.01,111.71,105.49,6830
2008-06-03,105.2,109.39,95.56,106.3,100.38,4040
2008-06-04,105.2,114.0,102.1,102.64,96.93,4190
2008-06-05,104.0,106.3,101.5,105.79,99.9,3860
2008-06-06,102.7,109.59,102.62,106.61,100.68,2050
2008-06-09,101.6,101.79,97.31,101.21,95.58,2880
2008-06-10,104.5,105.0,99.2,99.33,93.8,2010
2008-06-11,98.3,103.0,98.3,102.77,97.05,890
2008-06-12,98.1,104.5,98.1,102.72,97.01,2510
2008-06-13,108.82,108.82,100.92,107.21,101.24,4110
2008-06-16,114.9,114.9,106.7,106.8,100.86,1340
2008-06-17,105.7,108.39,105.7,106.0,100.1,680
2008-06-18,107.4,109.5,103.0,104.77,98.94,1590
2008-06-19,102.0,105.0,102.0,103.15,97.41,3920
2008-06-20,102.01,105.5,97.0,97.61,92.18,3100
2008-06-23,101.0,101.0,90.2,93.0,87.82,2380
2008-06-24,90.17,97.9,90.17,91.19,86.12,1480
2008-06-25,93.9,94.5,87.5,93.36,88.17,4810
2008-06-26,92.12,97.85,92.12,95.88,90.54,1340
2008-06-27,91.6,95.05,89.1,90.24,85.22,14990
2008-06-30,83.3,91.5,83.3,83.97,79.3,2330
2008-07-01,80.37,85.5,76.1,77.69,73.37,8650
2008-07-02,82.89,83.8,75.46,81.62,77.08,9960
2008-07-03,80.8,85.0,79.5,83.64,78.99,3550
2008-07-04,84.0,90.0,81.7,89.24,84.27,5610
2008-07-07,97.4,97.46,86.25,89.22,84.25,3460
2008-07-08,86.31,89.67,83.82,86.97,82.13,1970
2008-07-09,88.6,93.7,88.6,92.3,87.16,4340
2008-07-10,88.71,93.0,88.7,89.86,84.86,840
2008-07-11,93.0,93.49,86.2,87.35,82.48,650
2008-07-14,85.5,89.89,84.0,84.85,80.12,2760
2008-07-15,83.5,86.0,80.9,81.35,76.82,2820
2008-07-16,83.9,83.9,78.91,80.08,75.62,1580
2008-07-17,79.5,80.13,77.74,78.82,74.43,840
2008-07-18,80.0,84.0,79.79,83.01,78.4,3830
2008-07-21,79.3,81.9,79.3,80.15,75.69,1160
2008-07-22,84.0,88.65,84.0,86.5,81.69,1540
2008-07-23,89.8,96.0,89.69,94.2,88.96,10470
2008-07-24,92.0,94.99,89.1,89.1,84.14,2400
2008-07-25,85.0,92.0,82.0,89.87,84.87,3210
