Date,Open,High,Low,Close,Adj Close,Volume
2008-10-13,77.5,97.57,77.5,92.43,88.02,1305
2008-10-14,99.3,99.3,88.55,91.03,86.68,259
2008-10-15,86.89,98.48,86.89,98.48,93.78,67
2008-10-16,86.1,86.1,82.75,82.75,78.8,181
2008-10-17,93.51,93.92,83.58,85.44,81.37,187
2008-10-21,94.34,95.17,80.27,90.2,85.9,520
2008-10-22,84.41,94.34,78.61,82.17,78.25,12617
2008-10-23,85.61,85.65,85.61,85.65,81.56,241
2008-10-24,74.48,74.48,68.68,73.9,70.37,126
2008-10-27,70.34,70.34,61.24,70.3,66.94,3598
2008-10-29,81.88,86.89,81.88,86.81,82.67,143
2008-10-31,91.03,91.03,90.2,90.95,86.61,6674
2008-11-03,86.89,86.89,86.89,86.89,82.74,2416
2008-11-04,86.89,87.72,86.89,87.72,83.53,1309
2008-11-05,98.48,98.48,86.89,86.89,82.74,135
2008-11-06,81.93,87.72,79.44,82.5,78.57,6465
2008-11-07,90.95,90.99,82.75,82.75,78.8,886
2008-11-10,82.75,82.75,81.93,81.93,78.02,60
2008-11-11,78.61,78.61,78.61,78.61,74.86,4
2008-11-12,93.51,93.51,91.03,91.03,86.68,2
2008-11-14,77.87,89.37,77.83,82.63,78.69,392
2008-11-17,97.65,97.65,89.33,89.33,85.07,24
2008-11-18,86.89,95.99,82.42,90.2,85.9,1708
2008-11-19,107.58,107.58,72.9,89.91,85.62,4663
2008-11-20,82.75,86.06,77.79,86.06,81.96,337
2008-11-21,93.43,93.43,92.68,92.68,88.26,2
2008-11-25,82.75,82.75,76.22,76.22,72.58,300
2008-11-26,76.22,82.75,76.22,82.75,78.8,181
2008-11-27,82.75,82.75,82.75,82.75,78.8,0
2008-11-28,77.79,82.71,72.95,78.33,74.59,4259
2008-12-02,81.88,84.41,70.42,84.41,80.38,8097
2008-12-03,84.32,84.41,81.1,82.67,78.73,362
2008-12-04,84.41,84.41,84.41,84.41,80.38,120
2008-12-05,82.75,82.75,76.3,76.3,72.66,120
2008-12-10,81.8,82.75,81.8,82.75,78.8,404
2008-12-12,84.32,84.41,80.68,84.41,80.38,6114
2008-12-15,81.35,86.89,81.3,85.94,81.84,4165
2008-12-16,85.24,85.24,85.15,85.15,81.09,1456
2008-12-17,82.75,85.24,82.75,85.24,81.17,1407
2008-12-18,79.86,79.86,79.44,79.44,75.65,120
2008-12-19,86.89,86.89,86.06,86.06,81.96,302
2008-12-22,81.93,88.55,81.84,88.55,84.32,734
2008-12-23,82.75,82.75,82.75,82.75,78.8,320
2008-12-26,86.89,86.89,86.89,86.89,82.74,362
2008-12-29,82.75,82.75,82.75,82.75,78.8,2
2008-12-30,79.44,89.37,79.44,82.88,78.92,72
2008-12-31,91.03,91.03,90.61,90.61,86.29,1450
2009-01-02,90.95,90.95,90.95,90.95,86.61,0
2009-01-05,97.65,97.65,85.69,89.37,85.11,72
2009-01-06,89.37,89.37,89.37,89.37,85.11,0
2009-01-07,86.89,88.55,76.46,88.55,84.32,652
2009-01-09,91.03,91.77,86.89,90.16,85.86,1672
2009-01-12,90.16,90.16,90.16,90.16,85.86,0
2009-01-13,84.82,94.3,84.82,90.2,85.9,422
2009-01-14,86.15,90.16,86.06,86.89,82.74,9063
2009-01-15,86.89,86.89,86.89,86.89,82.74,0
2009-01-16,97.23,97.23,82.75,82.75,78.8,482
2009-01-19,79.44,86.89,79.44,86.89,82.74,13
2009-01-20,79.61,86.06,79.61,86.06,81.96,8
2009-01-21,86.81,86.81,86.81,86.81,82.67,24
2009-01-23,72.82,85.9,72.41,76.96,73.29,1244
2009-01-27,78.57,78.61,78.57,78.61,74.86,145
2009-01-29,76.13,79.44,76.13,76.38,72.74,258
2009-02-02,84.32,84.41,73.24,80.85,76.99,128
2009-02-03,75.8,75.8,75.3,75.3,71.71,120
2009-02-05,81.1,81.51,71.99,79.03,75.26,537
2009-02-06,79.86,80.19,72.49,75.3,71.71,265
2009-02-10,74.48,76.96,74.48,75.39,71.79,628
2009-02-11,73.65,76.96,73.65,76.96,73.29,241
2009-02-12,81.06,81.06,81.06,81.06,77.19,24
2009-02-16,78.61,81.93,78.61,78.61,74.86,362
2009-02-25,75.72,75.72,75.72,75.72,72.11,6
2009-02-26,71.17,77.21,71.17,75.76,72.15,302
2009-03-02,69.51,72.99,69.51,72.41,68.95,132
2009-03-03,67.44,76.96,67.44,71.62,68.2,2534
2009-03-04,74.48,74.48,71.17,71.17,67.77,253
2009-03-05,71.17,71.17,71.17,71.17,67.77,120
2009-03-06,67.86,67.86,67.86,67.86,64.62,206
2009-03-09,64.71,76.79,64.71,73.15,69.66,2070
2009-03-12,70.26,72.82,70.26,72.82,69.35,896
2009-03-16,63.6,79.98,63.6,76.09,72.46,2175
2009-03-17,71.33,81.8,71.33,72.49,69.03,1787
2009-03-18,71.87,77.91,71.87,77.91,74.19,1063
2009-03-20,74.48,78.9,74.48,78.9,75.14,54
2009-03-23,68.02,77.5,68.02,77.5,73.8,483
2009-03-26,72.9,78.9,72.9,78.9,75.14,329
2009-03-27,74.48,76.13,74.48,76.13,72.5,483
2009-03-30,78.9,78.9,78.9,78.9,75.14,60
2009-04-01,78.9,78.9,78.61,78.61,74.86,60
2009-04-06,87.72,87.72,87.72,87.72,83.53,120
2009-04-08,83.33,91.03,83.25,91.03,86.68,761
2009-04-09,91.03,91.03,85.28,91.03,86.68,725
2009-04-13,86.15,86.15,86.15,86.15,82.03,362
2009-04-15,86.89,95.17,86.89,91.03,86.68,4525
2009-04-16,85.24,100.13,85.24,95.95,91.37,728
2009-04-20,83.21,92.48,83.17,84.95,80.89,480
2009-04-21,83.75,101.62,83.75,98.48,93.78,1723
2009-04-22,85.81,112.54,85.73,93.88,89.4,21293
2009-04-23,91.03,98.48,90.2,97.65,92.99,1790
2009-04-24,93.51,101.79,93.51,101.79,96.93,45
2009-04-27,103.28,103.28,91.44,98.39,93.7,205
2009-04-28,94.34,101.7,93.51,93.51,89.05,377
2009-04-29,102.24,102.24,95.17,96.99,92.36,559
2009-04-30,96.99,96.99,96.99,96.99,92.36,0
2009-05-04,99.47,99.51,95.58,96.9,92.28,5340
2009-05-05,98.85,107.58,98.85,101.87,97.01,1238
2009-05-06,100.25,105.88,93.68,93.68,89.21,209
2009-05-07,95.58,107.58,94.34,104.97,99.96,1555
2009-05-08,99.92,109.15,99.92,106.01,100.95,1160
2009-05-11,112.54,112.54,99.3,103.44,98.5,3021
2009-05-13,107.58,107.58,103.44,103.44,98.5,157
2009-05-14,99.63,105.05,99.3,102.32,97.44,10
2009-05-15,105.1,111.72,91.11,104.97,99.96,855
2009-05-19,107.58,115.85,107.58,108.61,103.43,3153
