Date,Open,High,Low,Close,Adj Close,Volume
2006-12-28,34.95,34.95,30.0,30.9,23.9,22920.0
2006-12-29,32.0,32.0,30.75,30.9,23.9,9786.0
2007-01-02,32.4,32.4,30.8,30.95,23.94,3653.0
2007-01-03,30.5,32.0,30.5,31.65,24.48,2141.0
2007-01-04,32.0,32.95,32.0,32.45,25.1,3601.0
2007-01-05,32.7,35.9,32.65,34.3,26.53,46817.0
2007-01-08,33.0,34.95,33.0,33.9,26.22,13249.0
2007-01-09,34.0,34.15,33.7,33.8,26.14,4616.0
2007-01-10,33.95,33.95,32.2,32.65,25.25,3219.0
2007-01-11,32.75,35.8,32.7,33.95,26.26,9146.0
2007-01-12,35.0,36.9,33.25,33.6,25.99,69357.0
2007-01-15,34.2,35.0,32.0,32.65,25.25,67362.0
2007-01-16,32.6,34.1,31.6,33.4,25.83,95152.0
2007-01-17,34.4,35.0,32.5,32.75,25.33,100063.0
2007-01-18,33.8,34.0,33.0,33.05,25.56,19800.0
2007-01-19,33.5,33.7,32.05,32.5,25.14,37031.0
2007-01-22,33.5,33.5,32.35,32.35,25.02,3539.0
2007-01-23,33.4,33.4,32.4,32.5,25.14,12617.0
2007-01-24,32.55,32.95,31.9,32.05,24.79,8323.0
2007-01-25,32.2,32.75,32.15,32.45,25.1,4367.0
2007-01-29,33.8,33.8,32.5,32.55,25.18,12536.0
2007-01-31,32.55,32.9,31.8,31.95,24.71,15585.0
2007-02-01,32.85,33.0,31.4,32.7,25.29,23475.0
2007-02-02,32.7,34.0,32.0,32.1,24.83,31893.0
2007-02-05,32.05,32.75,31.5,32.25,24.94,18310.0
2007-02-06,32.7,33.0,31.8,32.0,24.75,15561.0
2007-02-07,32.0,32.7,32.0,32.05,24.79,19612.0
2007-02-08,32.7,33.7,31.6,33.05,25.56,14675.0
2007-02-09,33.0,34.45,32.55,32.85,25.41,35354.0
2007-02-12,32.1,32.1,30.35,30.5,23.59,7105.0
2007-02-13,31.85,31.85,30.0,30.25,23.4,13532.0
2007-02-14,30.0,30.9,29.1,30.85,23.86,2350.0
2007-02-15,31.6,31.85,31.05,31.45,24.33,3909.0
2007-02-19,32.65,32.65,31.25,31.35,24.25,4744.0
2007-02-20,32.85,32.85,31.0,31.25,24.17,4900.0
2007-02-21,31.45,31.7,31.0,31.05,24.02,1836.0
2007-02-22,31.05,31.2,30.2,30.5,23.59,1942.0
2007-02-23,31.4,31.4,29.55,29.7,22.97,5748.0
2007-02-26,30.0,30.9,29.75,30.55,23.63,5458.0
2007-02-27,30.8,31.8,30.15,31.3,24.21,9463.0
2007-02-28,31.9,32.5,28.35,30.05,23.24,13319.0
2007-03-01,25.1,30.5,25.0,30.25,23.4,3442.0
2007-03-02,30.7,30.7,29.1,29.3,22.66,2920.0
2007-03-05,28.05,29.6,27.0,27.15,21.0,2585.0
2007-03-06,29.0,29.0,27.7,28.5,22.04,2049.0
2007-03-07,29.0,29.0,27.1,27.5,21.27,5346.0
2007-03-08,27.5,28.4,27.0,28.05,21.7,2154.0
2007-03-09,27.5,28.5,27.5,28.35,21.93,5246.0
2007-03-12,28.5,28.65,27.8,28.25,21.85,4179.0
2007-03-13,28.65,28.65,27.0,28.05,21.7,2770.0
2007-03-14,27.5,28.7,27.4,27.6,21.35,1810.0
2007-03-15,28.5,28.5,26.75,27.35,21.15,5520.0
2007-03-16,27.9,27.9,26.65,27.05,20.92,2085.0
2007-03-19,29.5,29.5,27.0,27.5,21.27,1511.0
2007-03-20,28.1,28.25,27.1,27.2,21.04,5420.0
2007-03-21,27.85,27.85,27.1,27.15,21.0,1019.0
2007-03-22,27.85,27.85,27.0,27.1,20.96,9769.0
2007-03-23,27.5,27.5,27.1,27.1,20.96,4010.0
2007-03-26,27.4,27.75,27.0,27.3,21.12,1529.0
2007-03-28,27.4,27.9,25.1,27.0,20.88,2682.0
2007-03-29,26.0,28.35,26.0,27.9,21.58,3495.0
2007-03-30,27.7,27.95,27.1,27.5,21.27,4457.0
2007-04-02,27.5,27.5,26.9,26.9,20.81,3665.0
2007-04-03,25.25,29.9,25.25,27.45,21.23,1580.0
2007-04-04,27.6,27.6,27.0,27.5,21.27,2313.0
2007-04-05,27.9,28.9,26.0,27.9,21.58,15949.0
2007-04-09,28.75,28.75,28.0,28.05,21.7,2718.0
2007-04-10,27.6,29.25,27.55,28.55,22.08,4894.0
2007-04-11,28.3,29.6,28.25,29.25,22.62,5201.0
2007-04-12,29.6,29.6,28.75,28.85,22.32,2654.0
2007-04-13,29.4,29.4,28.2,28.5,22.04,2060.0
2007-04-16,27.55,29.3,27.55,28.95,22.39,3643.0
2007-04-17,29.7,29.7,28.35,28.9,22.35,2468.0
2007-04-18,29.4,29.5,28.55,28.75,22.24,1267.0
2007-04-19,26.25,29.85,26.25,29.35,22.7,3275.0
2007-04-20,30.9,31.45,29.55,30.55,23.63,22037.0
2007-04-23,31.95,31.95,30.6,31.5,24.36,16708.0
2007-04-24,31.7,31.8,30.7,30.95,23.94,12062.0
2007-04-25,29.4,32.5,29.4,31.6,24.44,13274.0
2007-04-26,30.25,31.8,30.25,30.55,23.63,3476.0
2007-04-27,31.75,31.75,30.25,30.65,23.71,2282.0
2007-04-30,31.45,31.45,28.3,30.15,23.32,2300.0
2007-05-03,29.15,31.6,29.15,31.35,24.25,8511.0
2007-05-04,30.1,32.45,30.1,31.15,24.09,10191.0
2007-05-07,31.5,32.5,30.6,31.0,23.98,20232.0
2007-05-08,32.0,32.0,30.2,30.75,23.78,3073.0
2007-05-09,32.5,32.5,29.7,30.15,23.32,5629.0
2007-05-10,31.9,31.9,29.7,30.05,23.24,2964.0
2007-05-11,31.75,31.75,29.35,30.3,23.44,7118.0
2007-05-14,30.0,31.65,30.0,31.3,24.21,9656.0
2007-05-15,30.5,31.8,30.5,30.9,23.9,12022.0
2007-05-16,30.1,31.35,29.55,30.35,23.48,2458.0
2007-05-17,31.8,31.8,30.1,30.75,23.78,3258.0
2007-05-18,30.85,30.95,30.2,30.25,23.4,3878.0
2007-05-21,31.5,31.5,30.4,31.0,23.98,4726.0
2007-05-22,30.3,31.8,30.0,30.45,23.55,12087.0
2007-05-23,31.7,31.7,30.0,30.25,23.4,7831.0
2007-05-24,31.5,31.5,29.3,30.35,23.48,4146.0
