Date,Open,High,Low,Close,Adj Close,Volume
2016-01-06,291.0,345.65,291.0,336.95,334.37,41383689
2016-01-07,337.0,360.0,325.3,330.7,328.17,11693085
2016-01-08,332.5,340.5,324.1,327.4,324.89,3781532
2016-01-11,322.9,332.9,306.05,327.5,324.99,3393607
2016-01-12,331.0,336.0,324.1,331.8,329.26,1686299
2016-01-13,331.85,334.3,317.4,324.95,322.46,1181491
2016-01-14,317.0,325.0,310.5,320.1,317.65,608372
2016-01-15,321.85,324.55,301.0,306.6,304.25,530956
2016-01-18,308.0,308.0,294.0,299.3,297.01,812523
2016-01-19,302.65,307.9,295.35,304.6,302.27,530489
2016-01-20,300.0,308.95,295.0,301.2,298.89,376656
2016-01-21,302.75,313.7,302.75,311.8,309.41,328864
2016-01-22,314.95,321.5,314.0,316.95,314.52,246903
2016-01-25,317.0,339.0,310.4,330.2,327.67,427034
2016-01-27,326.0,339.0,325.1,333.95,331.39,376817
2016-01-28,331.8,336.65,327.7,330.6,328.07,146200
2016-01-29,328.55,338.0,328.55,333.65,331.09,218252
2016-02-01,334.0,336.5,328.2,330.7,328.17,405909
2016-02-02,329.95,335.0,328.6,331.75,329.21,700751
2016-02-03,330.0,330.1,319.0,320.7,318.24,205863
2016-02-04,321.7,324.95,318.0,321.9,319.43,349485
2016-02-05,322.0,324.5,318.0,320.75,318.29,63123
2016-02-08,324.0,352.0,321.95,328.4,325.88,1156009
2016-02-09,332.55,338.8,326.0,333.25,330.7,715021
2016-02-10,327.0,334.0,320.0,321.1,318.64,415901
2016-02-11,322.0,322.0,282.4,294.5,292.24,700722
2016-02-12,295.0,299.8,283.65,286.5,284.31,396915
2016-02-15,291.7,298.5,290.2,294.75,292.49,290784
2016-02-16,299.0,299.85,288.05,290.5,288.27,119220
2016-02-17,294.7,294.7,286.6,290.1,287.88,127189
2016-02-18,294.9,298.0,289.95,290.45,288.23,52218
2016-02-19,292.6,293.0,289.95,290.2,287.98,36470
2016-02-22,294.0,294.0,287.0,289.75,287.53,334572
2016-02-23,289.5,292.3,286.1,288.3,286.09,63567
2016-02-24,286.2,287.3,284.5,285.25,283.07,105402
2016-02-25,288.95,289.25,283.5,288.1,285.89,36604
2016-02-26,287.05,288.85,274.65,284.45,282.27,1067007
2016-02-29,284.0,285.85,277.0,279.9,277.76,50969
2016-03-01,277.05,302.0,274.65,295.4,293.14,114425
2016-03-02,298.0,309.95,296.45,298.75,296.46,128958
2016-03-03,299.65,306.45,295.0,299.75,297.45,104961
2016-03-04,299.95,305.0,295.0,296.85,294.58,64527
2016-03-08,299.0,301.95,298.0,298.85,296.56,42958
2016-03-09,299.95,306.0,294.0,297.1,294.82,56295
2016-03-10,297.25,299.4,292.0,293.6,291.35,55978
2016-03-11,295.0,295.9,286.0,288.95,286.74,530108
2016-03-14,289.25,295.0,289.25,293.85,291.6,34325
2016-03-15,294.5,295.8,290.8,293.75,291.5,25950
2016-03-16,298.0,299.6,291.05,295.45,293.19,45187
2016-03-17,294.0,303.4,292.0,295.85,293.58,68949
2016-03-18,292.25,298.7,292.25,293.65,291.4,24859
2016-03-21,294.55,300.85,292.7,297.7,295.42,38722
2016-03-22,298.95,299.0,292.2,294.2,291.95,16841
2016-03-23,294.0,295.75,291.1,292.95,290.71,24221
2016-03-28,297.0,297.0,283.5,285.0,282.82,19278
2016-03-29,285.05,290.5,268.8,284.0,281.82,89423
2016-03-30,284.9,290.0,284.9,287.05,284.85,31030
2016-03-31,287.1,288.0,282.9,286.3,284.11,32904
2016-04-01,286.35,296.0,285.0,290.1,287.88,39530
2016-04-04,294.0,294.0,286.0,289.65,287.43,26662
2016-04-05,288.15,300.15,288.0,296.2,293.93,187188
2016-04-06,296.4,304.0,292.95,301.6,299.29,86156
2016-04-07,293.0,302.65,293.0,299.45,297.16,29351
2016-04-08,294.55,304.0,294.0,295.75,293.48,25793
2016-04-11,299.75,302.05,296.25,299.85,297.55,24156
2016-04-12,299.8,303.0,298.0,299.55,297.26,17870
2016-04-13,300.0,301.95,294.0,295.5,293.24,28858
2016-04-18,300.0,300.0,294.5,296.15,293.88,19989
2016-04-20,293.1,299.15,293.1,296.05,293.78,61063
2016-04-21,300.0,304.0,296.0,302.35,300.03,750118
2016-04-22,300.95,303.0,297.65,300.1,297.8,27241
2016-04-25,303.35,307.95,295.0,299.3,297.01,35626
2016-04-26,296.0,301.0,296.0,300.0,297.7,16944
2016-04-27,298.5,301.9,298.4,300.1,297.8,13939
2016-04-28,298.55,300.0,295.1,297.8,295.52,27225
2016-04-29,295.05,298.7,294.1,296.95,294.68,41260
2016-05-02,302.0,302.0,293.0,294.25,292.0,8620
2016-05-03,293.1,298.45,293.05,296.55,294.28,16259
2016-05-04,299.0,299.0,288.2,289.45,287.23,16714
2016-05-05,287.0,293.8,287.0,288.8,286.59,10483
2016-05-06,289.0,293.9,288.95,290.1,287.88,11778
2016-05-09,291.05,297.45,291.05,295.0,292.74,24294
2016-05-10,293.0,304.7,293.0,298.8,296.51,48915
2016-05-11,297.0,304.2,296.2,300.75,298.45,33223
2016-05-12,298.05,308.5,298.0,307.05,304.7,72926
2016-05-13,306.95,320.8,306.2,317.75,315.32,101056
2016-05-16,321.0,324.4,317.2,319.3,316.85,40236
2016-05-17,313.25,324.0,313.25,318.95,316.51,30496
2016-05-18,319.0,327.0,311.6,325.05,322.56,40467
2016-05-19,326.9,332.0,322.9,328.9,326.38,61708
2016-05-20,331.8,331.8,321.0,324.3,321.82,28988
2016-05-23,328.3,328.3,320.0,323.9,321.42,45792
2016-05-24,327.8,327.8,317.05,322.3,319.83,24801
2016-05-25,322.05,325.9,318.1,323.95,321.47,27935
2016-05-26,325.0,325.0,320.0,322.35,319.88,34503
2016-05-27,321.95,321.95,301.0,305.55,303.21,43540
2016-05-30,304.0,311.0,301.95,306.75,304.4,14433
2016-05-31,311.1,318.05,303.0,315.15,312.74,636255
2016-06-01,310.1,317.35,309.0,310.7,308.32,14321
2016-06-02,309.1,314.95,308.0,312.85,310.45,19836
2016-06-03,309.8,330.4,307.25,310.1,307.72,67928
2016-06-06,310.25,317.5,310.25,312.6,310.21,18832
2016-06-07,312.9,315.0,310.2,311.7,309.31,12957
2016-06-08,312.0,318.75,311.0,315.0,312.59,97431
2016-06-09,319.85,319.85,311.1,312.5,310.11,12816
2016-06-10,313.05,319.0,313.05,317.1,314.67,84036
2016-06-13,305.5,319.9,305.5,316.9,314.47,16009
2016-06-14,313.15,325.0,313.1,318.55,316.11,24518
2016-06-15,315.0,322.0,315.0,318.75,316.31,17871
2016-06-16,318.75,321.95,315.0,318.1,315.66,16681
2016-06-17,318.1,321.5,316.0,318.75,316.31,18554
2016-06-20,318.4,323.0,310.3,322.2,319.73,31628
2016-06-21,321.35,324.4,318.25,322.15,319.68,14464
2016-06-22,319.55,322.7,317.35,319.45,317.0,14841
2016-06-23,318.85,322.0,318.55,320.65,318.19,60700
2016-06-24,318.0,329.5,302.2,313.85,311.45,30717
2016-06-27,313.0,318.0,311.75,313.6,311.2,7861
2016-06-28,315.0,320.0,314.05,315.0,312.59,12271
2016-06-29,316.3,321.45,315.0,316.05,313.63,10011
2016-06-30,320.0,320.0,311.1,313.6,311.2,14854
2016-07-01,315.05,317.75,312.0,313.2,310.8,385899
2016-07-04,314.05,315.95,312.0,313.9,311.5,11201
2016-07-05,315.05,315.75,310.15,312.5,310.11,9639
2016-07-07,316.35,316.45,309.5,310.55,308.17,18976
2016-07-08,311.1,312.5,303.95,306.35,304.0,13517
2016-07-11,306.4,312.0,306.4,310.4,308.02,15937
2016-07-12,309.05,312.7,307.15,310.2,307.82,26739
2016-07-13,310.0,313.45,295.1,299.7,297.4,38761
2016-07-14,299.6,299.6,290.7,291.9,289.66,59005
2016-07-15,291.9,299.0,288.0,290.45,288.23,151885
2016-07-18,292.85,298.9,290.5,297.2,294.92,161960
2016-07-19,293.55,297.6,292.0,293.65,291.4,295012
2016-07-20,293.65,294.45,291.0,292.1,289.86,150576
2016-07-21,292.35,294.0,285.1,286.15,283.96,62490
2016-07-22,287.1,290.0,287.0,289.65,287.43,18902
2016-07-25,290.0,292.85,290.0,291.25,289.02,13070
2016-07-26,292.15,293.45,288.25,289.1,286.89,19329
2016-07-27,291.0,292.0,286.65,287.4,285.2,22730
2016-07-28,288.1,294.9,287.7,289.8,287.58,88517
2016-07-29,293.45,301.0,288.1,291.05,288.82,136431
2016-08-01,300.0,329.4,299.8,318.6,316.16,797637
2016-08-02,320.0,338.2,316.1,334.1,331.54,390149
2016-08-03,337.0,339.9,315.4,323.8,321.32,92706
2016-08-04,327.85,327.85,318.05,319.45,317.0,27813
2016-08-05,321.8,324.9,317.0,318.9,316.46,26374
2016-08-08,320.1,327.4,317.15,318.7,316.26,30094
2016-08-09,316.9,324.4,316.9,320.4,317.95,27192
2016-08-10,319.4,321.1,315.0,318.85,316.41,14549
2016-08-11,320.0,320.0,307.5,310.0,307.63,35050
2016-08-12,310.0,312.4,304.0,305.9,303.56,74629
2016-08-16,301.8,306.55,301.8,303.9,301.57,34188
2016-08-17,302.7,311.15,300.5,304.65,302.32,99768
2016-08-18,305.35,309.5,303.65,304.6,302.27,27875
2016-08-19,306.9,309.65,304.25,307.75,305.39,29799
2016-08-22,306.6,315.9,305.3,314.25,311.84,91545
2016-08-23,315.1,320.9,315.0,319.2,316.76,60299
2016-08-24,319.95,324.35,316.3,320.8,318.34,28808
2016-08-25,320.7,321.95,311.55,314.25,311.84,24265
