Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,37.9,40.5,37.55,40.5,22.81,25800.0
1999-01-04,42.0,43.75,42.0,43.75,24.64,41700.0
1999-01-05,45.0,47.0,43.1,44.75,25.2,60700.0
1999-01-06,46.0,46.5,42.6,44.5,25.06,43800.0
1999-01-07,44.25,44.25,40.95,41.25,23.23,28900.0
1999-01-08,43.3,43.3,40.1,42.25,23.79,14800.0
1999-01-11,43.0,44.0,42.0,42.0,23.65,17900.0
1999-01-12,40.05,41.2,38.65,39.3,22.13,38900.0
1999-01-13,40.25,42.45,40.0,42.0,23.65,20400.0
1999-01-14,40.6,43.0,40.6,41.5,23.37,9600.0
1999-01-15,40.35,41.4,39.0,39.5,22.24,8900.0
1999-01-18,39.6,40.5,37.9,38.05,21.43,11400.0
1999-01-19,38.4,38.4,35.6,36.3,20.44,20700.0
1999-01-20,36.3,36.3,36.3,36.3,20.44,0.0
1999-01-21,38.95,39.2,38.9,39.2,22.07,5200.0
1999-01-22,41.9,42.35,41.5,42.35,23.85,39500.0
1999-01-25,42.4,42.5,40.5,42.5,23.93,29900.0
1999-01-26,42.5,42.5,42.5,42.5,23.93,0.0
1999-01-27,43.25,45.9,43.0,45.9,25.85,68400.0
1999-01-28,45.0,48.75,42.5,44.25,24.92,40700.0
1999-01-29,43.25,47.0,43.0,45.55,25.65,35900.0
1999-02-01,47.9,49.2,44.5,47.5,26.75,79100.0
1999-02-02,47.0,48.5,43.8,45.5,25.62,56400.0
1999-02-03,46.9,49.15,46.75,49.15,27.68,55700.0
1999-02-04,51.85,53.1,49.5,52.7,29.68,129600.0
1999-02-05,53.45,56.95,52.05,56.95,32.07,121100.0
1999-02-08,61.55,61.55,57.55,60.6,34.12,280700.0
1999-02-09,59.9,61.4,55.75,57.45,32.35,167200.0
1999-02-10,58.5,60.0,57.0,59.8,33.67,103600.0
1999-02-11,60.7,60.7,56.0,56.0,31.53,44700.0
1999-02-12,56.0,58.2,54.0,57.25,32.24,46800.0
