Date,Open,High,Low,Close,Adj Close,Volume
2020-10-07,693.35,693.35,680.45,682.85,682.85,5511
2020-10-08,680.0,690.3,666.05,677.5,677.5,7563
2020-10-09,679.0,680.95,666.0,668.55,668.55,4713
2020-10-12,669.15,670.3,650.0,652.55,652.55,5509
2020-10-13,641.0,649.3,630.1,644.5,644.5,5580
2020-10-14,635.2,652.45,631.35,642.85,642.85,3234
2020-10-15,645.6,652.35,630.6,632.8,632.8,4012
2020-10-16,633.0,647.95,633.0,639.85,639.85,2534
2020-10-19,655.0,655.0,632.1,640.8,640.8,4774
2020-10-20,636.05,644.95,633.5,635.3,635.3,4593
2020-10-21,635.4,639.95,625.25,627.4,627.4,4635
2020-10-22,628.1,631.75,615.25,627.45,627.45,4202
2020-10-23,631.95,638.75,624.4,635.15,635.15,1917
2020-10-26,643.95,643.95,618.4,625.2,625.2,6072
2020-10-27,618.4,646.05,616.0,629.8,629.8,13815
2020-10-28,626.95,630.0,620.2,621.9,621.9,3605
2020-10-29,620.25,628.8,620.1,625.6,625.6,1833
2020-10-30,625.0,630.0,622.2,626.5,626.5,2249
2020-11-02,639.0,639.0,619.0,620.4,620.4,4190
2020-11-03,626.65,631.2,616.05,617.45,617.45,1777
2020-11-04,620.05,625.95,616.2,619.3,619.3,3317
2020-11-05,624.0,680.4,619.0,655.8,655.8,71100
2020-11-06,655.9,663.25,632.65,650.0,650.0,15153
2020-11-09,645.05,657.05,628.0,629.9,629.9,9171
2020-11-10,637.0,637.9,616.05,620.25,620.25,11655
2020-11-11,620.25,626.7,612.2,616.55,616.55,13232
2020-11-12,623.45,624.0,613.9,617.65,617.65,5919
2020-11-13,623.65,623.7,618.05,622.2,622.2,2949
2020-11-17,622.15,627.0,620.0,623.35,623.35,5245
2020-11-18,625.0,628.8,620.55,623.4,623.4,11780
2020-11-19,623.4,628.85,621.0,624.0,624.0,4961
2020-11-20,622.6,634.0,622.05,628.7,628.7,6869
2020-11-23,628.95,631.9,624.0,626.9,626.9,6526
2020-11-24,629.05,696.0,624.15,665.35,665.35,123294
2020-11-25,660.0,670.0,641.25,644.05,644.05,14634
2020-11-26,644.05,663.75,640.85,655.7,655.7,9718
2020-11-27,660.0,662.0,649.0,652.0,652.0,5234
2020-12-01,652.3,659.9,626.95,640.6,640.6,19631
2020-12-02,647.95,652.25,638.0,641.1,641.1,16663
2020-12-03,645.0,648.0,638.95,643.85,643.85,14900
2020-12-04,643.9,649.0,639.15,643.1,643.1,7726
2020-12-07,643.7,666.7,641.5,660.05,660.05,24107
2020-12-08,661.5,665.8,645.0,661.95,661.95,17280
2020-12-09,661.0,662.15,651.15,657.2,657.2,18119
2020-12-10,658.75,664.0,648.0,659.05,659.05,10397
2020-12-11,652.35,708.95,652.35,693.35,693.35,165890
2020-12-14,699.0,704.9,685.35,687.3,687.3,17245
2020-12-15,690.0,738.0,687.0,711.1,711.1,134026
2020-12-16,707.3,727.0,707.3,710.35,710.35,38525
2020-12-17,718.0,718.0,695.05,701.4,701.4,20380
2020-12-18,701.0,719.0,691.65,711.4,711.4,20665
2020-12-21,714.0,744.5,673.0,693.0,693.0,53721
2020-12-22,690.0,707.8,678.05,704.5,704.5,21342
2020-12-23,706.8,718.0,700.9,702.15,702.15,18532
2020-12-24,705.6,712.0,689.0,694.45,694.45,13337
2020-12-28,695.0,703.95,692.15,696.05,696.05,11487
2020-12-29,697.5,706.1,690.0,694.5,694.5,12832
2020-12-30,695.3,698.95,686.05,688.75,688.75,11396
2020-12-31,693.55,695.85,684.0,684.6,684.6,10875
2021-01-01,685.35,698.0,685.35,690.1,690.1,10703
2021-01-04,692.75,697.0,686.0,691.5,691.5,10530
2021-01-05,688.0,698.0,685.05,689.1,689.1,16519
2021-01-06,691.05,694.65,680.0,682.65,682.65,9846
2021-01-07,688.5,690.2,680.0,683.35,683.35,8416
2021-01-08,685.35,693.5,681.0,686.3,686.3,9488
2021-01-11,688.7,702.0,685.2,692.6,692.6,19283
2021-01-12,695.0,701.05,690.0,693.2,693.2,11897
2021-01-13,694.9,696.0,684.55,688.0,688.0,7655
2021-01-14,687.2,697.0,685.05,690.75,690.75,7783
