Date,Open,High,Low,Close,Adj Close,Volume
2017-04-05,236.6,240.0,230.0,234.6,227.13,36631
2017-04-06,236.4,236.95,227.15,230.4,223.07,10250
2017-04-07,223.0,235.0,223.0,228.45,221.18,9830
2017-04-10,232.0,249.0,228.0,243.2,235.46,74700
2017-04-11,249.35,290.0,243.95,273.0,264.31,199694
2017-04-12,276.45,304.0,263.0,286.35,277.24,226339
2017-04-13,286.25,298.0,271.25,287.65,278.5,62810
2017-04-17,288.9,288.9,279.5,286.0,276.9,16710
2017-04-18,287.0,296.9,278.6,282.25,273.27,41165
2017-04-19,282.25,285.95,276.65,280.15,271.23,10295
2017-04-20,283.75,285.0,274.05,278.85,269.98,15999
2017-04-21,280.0,284.0,270.65,275.35,266.59,17465
2017-04-24,279.8,280.0,266.05,278.75,269.88,26083
2017-04-25,279.9,285.0,275.0,278.65,269.78,17840
2017-04-26,281.9,288.4,270.0,275.1,266.35,18501
2017-04-27,267.15,276.45,267.0,271.45,262.81,7963
2017-04-28,272.45,278.0,267.5,270.55,261.94,8101
2017-05-02,268.1,279.15,268.1,277.55,268.72,18335
2017-05-03,273.55,280.0,268.0,276.1,267.31,17538
2017-05-04,277.9,280.9,274.0,275.05,266.3,16431
2017-05-05,285.05,288.85,279.15,281.7,272.74,49484
2017-05-08,283.45,304.9,282.0,300.9,291.32,84655
2017-05-09,303.75,333.0,303.75,328.5,318.05,222066
2017-05-10,326.0,340.0,315.4,324.2,313.88,71080
2017-05-11,328.0,333.0,318.0,319.85,309.67,50893
2017-05-12,328.45,328.45,311.0,315.7,305.65,23657
2017-05-15,315.7,338.0,314.15,334.5,323.86,67037
2017-05-16,337.8,345.0,320.0,327.9,317.47,35979
2017-05-17,331.9,337.0,320.3,325.45,315.09,28428
2017-05-18,321.0,336.0,320.0,326.0,315.63,41436
2017-05-19,332.7,334.1,293.55,318.5,308.36,67410
2017-05-22,333.7,335.0,295.3,305.2,295.49,111329
2017-05-23,301.1,301.55,284.0,288.45,279.27,50789
2017-05-24,292.5,295.0,280.0,280.75,271.82,18921
2017-05-25,280.95,286.0,276.0,283.4,274.38,28678
2017-05-26,289.85,292.0,278.2,283.9,274.87,30043
2017-05-29,289.85,292.5,270.0,273.4,264.7,26983
2017-05-30,271.75,277.5,269.9,273.45,264.75,9959
2017-05-31,273.45,284.9,273.45,280.05,271.14,17698
2017-06-01,279.85,281.7,274.1,275.95,267.17,11427
2017-06-02,278.75,282.1,274.0,275.4,266.64,11717
2017-06-05,277.65,289.3,272.05,281.7,272.74,23358
2017-06-06,275.55,284.0,275.5,279.25,270.36,15546
2017-06-07,280.0,280.0,276.5,277.9,269.06,10963
2017-06-08,279.95,280.05,275.35,278.05,269.2,6682
2017-06-09,308.0,312.9,296.0,302.35,292.73,265930
2017-06-12,305.0,305.75,295.3,298.45,288.95,20596
2017-06-13,298.05,304.15,296.15,299.2,289.68,22553
2017-06-14,301.75,301.75,292.5,293.85,284.5,12463
2017-06-15,293.05,294.95,286.95,289.5,280.29,17900
2017-06-16,287.55,290.95,285.0,286.9,277.77,19087
2017-06-19,290.7,290.7,282.5,283.55,274.53,16059
2017-06-20,280.0,296.8,280.0,292.45,283.14,14453
2017-06-21,288.05,296.8,288.05,290.25,281.01,11772
2017-06-22,289.0,291.25,287.0,288.5,279.32,8811
2017-06-23,287.5,287.5,276.0,279.25,270.36,12287
2017-06-27,293.95,294.0,274.55,280.6,271.67,12853
2017-06-28,277.6,284.8,277.25,283.05,274.04,10223
2017-06-29,285.3,294.65,283.0,287.55,278.4,42903
2017-06-30,281.0,286.0,278.95,280.4,271.48,10596
2017-07-03,285.0,288.85,280.0,282.2,273.22,9240
2017-07-04,284.65,292.0,284.0,286.55,277.43,17214
2017-07-05,285.05,288.6,283.0,284.35,275.3,7854
2017-07-06,280.2,291.0,280.2,284.6,275.54,13958
2017-07-07,288.9,306.85,280.5,302.1,292.49,81220
2017-07-10,310.8,312.0,304.0,305.15,295.44,7585
2017-07-11,297.0,306.0,296.0,302.25,292.63,23360
2017-07-12,303.15,306.0,296.1,301.5,291.91,22407
2017-07-13,301.5,303.05,295.0,295.95,286.53,34034
2017-07-14,293.45,294.55,287.35,288.7,279.51,19302
2017-07-17,288.7,293.05,283.1,286.6,277.48,18548
2017-07-18,293.9,293.9,282.0,285.55,276.46,17085
2017-07-19,290.0,295.0,285.15,288.7,279.51,19426
2017-07-20,289.0,292.0,283.05,285.45,276.37,7360
2017-07-21,286.2,289.9,283.1,286.15,277.04,7889
2017-07-24,282.6,297.35,282.6,290.5,281.26,24020
2017-07-25,305.0,308.0,298.0,301.45,291.86,64914
2017-07-26,304.8,314.0,300.95,306.35,296.6,74351
2017-07-27,308.9,308.9,293.0,295.6,286.19,31103
2017-07-28,317.7,317.7,302.0,307.65,297.86,128065
2017-07-31,311.2,312.9,299.0,302.65,293.02,90177
2017-08-01,304.75,304.95,291.5,293.05,283.72,41837
2017-08-02,291.85,294.9,288.05,290.3,281.06,21270
2017-08-03,295.0,295.0,283.85,287.2,278.06,17307
2017-08-04,282.6,291.25,282.6,289.75,280.53,16478
2017-08-07,286.15,294.9,284.05,286.25,277.14,12330
2017-08-08,285.05,290.0,280.0,283.0,273.99,19051
2017-08-09,281.0,281.9,272.0,273.25,264.55,16986
2017-08-10,261.0,267.05,251.95,259.3,251.05,31873
2017-08-11,250.0,262.15,244.1,250.85,242.87,31484
2017-08-14,260.0,264.95,252.15,260.9,252.6,12654
2017-08-16,264.05,265.0,255.1,262.6,254.24,10668
2017-08-17,265.05,270.5,263.6,267.65,259.13,9039
2017-08-18,264.05,270.0,264.05,267.85,259.33,6576
2017-08-21,267.95,269.95,264.0,266.3,257.83,3756
2017-08-22,269.95,270.95,254.0,257.25,249.06,9989
2017-08-23,264.7,264.7,255.35,256.3,248.14,4619
2017-08-24,258.0,263.9,254.0,257.85,249.64,6681
2017-08-28,255.85,262.7,255.3,261.1,252.79,11668
2017-08-29,261.0,262.0,256.0,257.5,249.31,4832
2017-08-30,257.5,268.95,255.0,262.1,253.76,8263
2017-08-31,261.55,269.0,260.7,262.1,253.76,7433
2017-09-01,267.0,278.0,260.25,274.4,265.67,18316
2017-09-04,273.95,276.0,265.0,272.95,264.26,15774
2017-09-05,279.9,279.9,272.0,274.45,265.72,9262
2017-09-06,277.8,279.9,269.0,277.85,269.01,12335
2017-09-07,272.25,279.85,270.55,273.35,264.65,6174
2017-09-08,268.2,278.4,268.2,274.05,265.33,4665
2017-09-11,276.0,284.0,272.6,280.1,271.19,8309
2017-09-12,282.0,290.0,281.1,283.95,276.89,27352
2017-09-13,281.6,287.85,275.4,277.65,270.75,8773
2017-09-14,271.5,284.95,270.0,271.9,265.14,7840
2017-09-15,277.85,277.85,268.1,270.4,263.68,5405
2017-09-18,270.7,278.0,268.0,268.7,262.02,8510
2017-09-19,276.85,278.0,268.5,277.35,270.45,11074
2017-09-20,277.35,278.5,271.4,277.25,270.36,8596
2017-09-21,279.65,280.0,271.25,278.0,271.09,8513
2017-09-22,272.35,274.0,266.0,266.7,260.07,7963
2017-09-25,266.7,266.7,255.0,261.0,254.51,13226
2017-09-26,262.5,262.5,256.55,259.15,252.71,10417
2017-09-27,259.0,260.95,250.0,252.1,245.83,13729
2017-09-28,256.0,264.0,253.3,261.05,254.56,15562
2017-09-29,263.0,271.9,263.0,264.25,257.68,8733
2017-10-03,265.1,280.0,265.1,275.35,268.5,12536
2017-10-04,275.0,280.0,273.15,277.35,270.45,13099
2017-10-05,275.5,292.0,275.5,283.95,276.89,24575
2017-10-06,289.7,296.0,283.95,294.25,286.93,28829
2017-10-09,293.0,304.0,286.1,300.7,293.22,53831
2017-10-10,300.0,302.0,288.0,291.75,284.5,16618
2017-10-11,295.0,295.0,282.55,285.0,277.91,13650
2017-10-12,290.0,290.0,276.55,280.1,273.14,18331
2017-10-13,284.0,285.0,274.0,277.9,270.99,12989
2017-10-16,279.7,282.05,275.0,278.9,271.97,9853
2017-10-17,273.35,278.8,271.0,275.4,268.55,8828
2017-10-18,272.0,278.45,268.5,275.2,268.36,8178
2017-10-19,279.8,279.8,269.05,270.9,264.17,3343
2017-10-23,275.0,277.25,267.0,271.7,264.95,14574
2017-10-24,276.0,277.65,270.25,273.05,266.26,12111
2017-10-25,277.85,277.9,272.0,276.8,269.92,6008
2017-10-26,278.65,278.65,271.1,273.65,266.85,6858
2017-10-27,270.35,273.95,270.0,270.35,263.63,8220
2017-10-30,271.0,271.0,267.0,268.9,262.21,4886
2017-10-31,278.7,279.0,268.0,277.65,270.75,8876
2017-11-01,277.55,284.0,276.0,281.9,274.89,11893
2017-11-02,281.0,284.9,273.35,284.1,277.04,8568
2017-11-03,285.35,294.05,275.5,290.55,283.33,27329
2017-11-06,298.9,306.9,293.55,301.9,294.39,57216
2017-11-07,305.0,310.9,295.1,297.2,289.81,30844
2017-11-08,303.9,322.0,300.2,309.75,302.05,156017
2017-11-09,312.0,324.0,308.0,309.55,301.85,53541
2017-11-10,312.0,314.55,296.35,301.9,294.39,36040
2017-11-13,300.0,302.1,286.0,294.0,286.69,37407
2017-11-14,297.0,297.0,288.2,291.0,283.77,18011
2017-11-15,292.0,292.0,274.1,277.9,270.99,21567
2017-11-16,289.95,295.0,284.0,291.45,284.2,22115
2017-11-17,297.0,301.0,290.05,296.5,289.13,19601
2017-11-20,303.5,316.55,297.0,310.45,302.73,54869
2017-11-21,311.0,317.0,304.0,308.1,300.44,28408
2017-11-22,312.0,314.8,303.5,312.3,304.54,18485
2017-11-23,307.05,312.05,305.05,307.9,300.25,16695
2017-11-24,308.55,312.0,305.0,307.5,299.86,10729
2017-11-27,300.3,332.9,300.3,328.4,320.24,156922
2017-11-28,337.0,363.35,329.0,352.5,343.74,211657
2017-11-29,352.95,397.0,344.1,383.7,374.16,292018
2017-11-30,380.15,399.0,379.1,383.7,374.16,127652
2017-12-01,387.4,416.8,386.55,406.6,396.49,219016
2017-12-04,417.0,426.75,401.35,422.15,411.66,134433
2017-12-05,422.0,427.7,391.65,404.65,394.59,91349
2017-12-06,414.0,422.0,401.1,404.6,394.54,72616
2017-12-07,406.5,422.0,406.3,419.4,408.97,52180
2017-12-08,425.0,453.75,416.1,438.6,427.7,180279
2017-12-11,449.7,496.55,445.0,478.55,466.65,309270
2017-12-12,477.0,484.9,450.1,459.35,447.93,88776
2017-12-13,467.0,476.4,442.1,447.95,436.81,84757
2017-12-14,412.0,454.0,412.0,448.15,437.01,53320
2017-12-15,457.8,468.85,445.05,451.5,440.28,30028
2017-12-18,452.0,467.85,422.0,460.05,448.61,70159
2017-12-19,457.15,475.0,457.0,462.65,451.15,38978
2017-12-20,464.95,468.9,456.85,462.05,450.56,29747
2017-12-21,460.1,469.0,450.1,452.7,441.45,34129
2017-12-22,452.55,458.75,438.0,442.2,431.21,30685
2017-12-26,448.4,457.15,435.1,439.1,428.18,30883
2017-12-27,444.5,444.5,421.65,427.2,416.58,27494
2017-12-28,431.45,433.95,415.0,417.3,406.93,25150
2017-12-29,418.45,444.0,418.45,441.05,430.09,45938
2018-01-01,442.0,442.0,425.0,430.15,419.46,25751
2018-01-02,439.9,439.9,417.25,419.0,408.58,35619
2018-01-03,424.4,437.0,412.0,427.8,417.16,30825
2018-01-04,421.65,444.9,421.65,442.65,431.65,42067
2018-01-05,444.7,484.0,444.7,474.0,462.22,103003
2018-01-08,479.6,496.95,476.15,493.75,481.48,78099
2018-01-09,498.9,503.0,455.9,480.05,468.12,37864
2018-01-10,480.0,498.0,470.1,474.85,463.04,27689
2018-01-11,477.9,492.0,475.1,482.15,470.16,34637
2018-01-12,485.0,578.55,478.0,578.55,564.17,255482
2018-01-15,590.0,600.0,560.1,567.2,553.1,142255
2018-01-16,569.0,578.05,523.35,540.85,527.4,77368
2018-01-17,534.8,564.7,500.0,548.6,534.96,53087
2018-01-18,567.0,578.35,515.1,530.05,516.87,57525
2018-01-19,538.0,549.95,531.05,538.05,524.67,19015
2018-01-22,538.05,558.8,530.0,547.45,533.84,26977
2018-01-23,545.0,551.95,520.0,527.1,514.0,24145
2018-01-24,524.1,544.9,508.1,523.0,510.0,30616
2018-01-25,537.0,545.0,517.0,519.6,506.68,28579
2018-01-29,530.0,530.0,500.05,505.9,493.32,16382
2018-01-30,505.95,506.0,471.25,479.45,467.53,30062
2018-01-31,468.0,502.95,467.0,473.25,461.48,42929
2018-02-01,479.7,486.0,445.0,453.55,442.27,36162
2018-02-02,449.0,461.85,435.0,438.3,427.4,38775
2018-02-05,433.0,448.45,400.2,442.2,431.21,28549
2018-02-06,434.2,436.45,410.0,422.95,412.44,30643
2018-02-07,440.45,473.2,436.05,468.95,457.29,41982
2018-02-08,479.9,514.0,454.15,464.0,452.46,51512
2018-02-09,459.0,484.0,450.0,466.4,454.81,33080
2018-02-12,466.0,492.4,466.0,476.35,464.51,9069
2018-02-14,495.0,495.0,478.55,493.75,481.48,27600
2018-02-15,494.0,498.0,466.05,468.9,457.24,15713
2018-02-16,476.05,477.4,456.0,459.15,447.74,13415
2018-02-19,459.15,469.0,446.7,450.3,439.11,12159
2018-02-20,460.0,460.0,442.5,446.9,435.79,5437
2018-02-21,455.1,456.1,438.0,440.5,429.55,11488
2018-02-22,431.0,446.95,431.0,437.6,426.72,7564
2018-02-23,440.75,454.95,436.95,452.2,440.96,17413
2018-02-26,465.0,465.0,447.4,450.6,439.4,30013
2018-02-27,448.35,453.95,440.0,444.3,433.25,13962
2018-02-28,440.0,448.0,430.05,438.45,427.55,13689
2018-03-01,441.05,453.85,441.05,444.1,433.06,18158
2018-03-05,440.0,440.3,426.75,433.15,422.38,11002
2018-03-06,437.1,439.9,411.35,421.0,410.53,35098
2018-03-07,424.5,424.5,395.0,398.5,388.59,26592
2018-03-08,398.55,404.95,381.15,391.0,381.28,19402
2018-03-09,382.55,393.1,382.55,389.1,379.43,5076
2018-03-12,385.25,407.35,385.25,403.65,393.62,14421
2018-03-13,404.4,439.9,402.85,434.1,423.31,33967
2018-03-14,448.0,448.0,422.05,431.7,420.97,16992
2018-03-15,437.7,486.0,434.95,459.9,448.47,91133
2018-03-16,463.75,475.35,441.0,445.95,434.86,35533
2018-03-19,443.05,455.0,426.0,431.4,420.68,15833
2018-03-20,431.0,445.95,419.95,439.6,428.67,12672
2018-03-21,435.0,457.5,435.0,442.1,431.11,16834
2018-03-22,437.7,447.8,432.5,434.9,424.09,5020
2018-03-23,425.0,434.75,420.0,430.05,419.36,17374
2018-03-26,434.75,434.8,420.9,430.2,419.51,19352
2018-03-27,438.65,439.95,415.05,425.9,415.31,25486
2018-03-28,418.0,420.95,401.0,407.65,397.52,42570
2018-04-02,421.95,429.0,417.25,426.5,415.9,10604
2018-04-03,426.55,463.9,426.55,449.7,438.52,29182
2018-04-04,464.95,485.95,460.0,470.35,458.66,34873
2018-04-05,484.9,517.8,482.55,501.3,488.84,41256
2018-04-06,499.95,509.8,488.15,497.45,485.08,16730
2018-04-09,508.7,516.0,492.55,497.95,485.57,30814
2018-04-10,499.85,505.0,492.1,497.7,485.33,14648
2018-04-11,491.05,500.05,490.1,495.15,482.84,9956
2018-04-12,514.4,514.4,492.75,500.95,488.5,14917
2018-04-13,501.95,513.9,495.0,499.05,486.64,16521
2018-04-16,485.0,507.7,485.0,497.85,485.47,14919
2018-04-17,490.0,530.0,490.0,514.25,501.47,39433
2018-04-18,518.0,535.0,510.3,531.9,518.68,32438
2018-04-19,531.0,549.0,507.4,517.45,504.59,29246
2018-04-20,520.75,526.0,510.0,515.7,502.88,8782
2018-04-23,506.55,528.9,503.65,522.45,509.46,17527
2018-04-24,515.0,538.0,514.85,523.85,510.83,10551
2018-04-25,530.0,535.0,516.0,519.95,507.02,13848
2018-04-26,515.95,528.1,510.0,511.3,498.59,20646
2018-04-27,514.75,524.0,497.95,501.25,488.79,23745
2018-04-30,504.45,511.15,499.95,506.2,493.62,9759
2018-05-02,509.5,509.5,490.5,493.3,481.04,13076
2018-05-03,495.65,497.5,470.0,487.9,475.77,24019
2018-05-04,483.15,488.0,472.0,475.35,463.53,11811
2018-05-07,487.0,499.0,483.2,490.75,478.55,15854
2018-05-08,493.7,499.0,488.1,495.25,482.94,9779
2018-05-09,496.9,503.3,491.25,498.7,486.3,8515
2018-05-10,496.0,496.0,480.1,483.5,471.48,12781
2018-05-11,489.95,498.0,477.0,481.7,469.72,7891
2018-05-14,490.05,490.7,475.1,477.8,465.92,8261
2018-05-15,508.95,511.0,460.0,462.45,450.95,131935
2018-05-16,460.0,473.95,437.0,451.6,440.37,31504
2018-05-17,459.95,460.0,440.0,442.25,431.26,9650
2018-05-18,443.5,455.0,440.0,444.15,433.11,6985
2018-05-21,443.4,443.4,425.0,427.8,417.16,8993
2018-05-22,435.5,443.75,424.5,427.15,416.53,8404
2018-05-23,425.65,431.95,417.0,419.45,409.02,16634
2018-05-24,416.0,422.55,412.0,412.95,402.68,8302
2018-05-25,415.1,443.0,413.05,432.55,421.8,8234
2018-05-28,434.95,436.95,420.6,426.95,416.34,16172
2018-05-29,415.35,428.0,414.0,415.15,404.83,14600
2018-05-30,416.0,431.5,413.05,424.9,414.34,11430
2018-05-31,433.85,433.85,418.5,421.1,410.63,4872
2018-06-01,417.15,420.05,398.0,410.2,400.0,26272
2018-06-04,410.0,411.05,393.0,394.6,384.79,14714
2018-06-05,387.4,388.95,369.0,370.2,361.0,30447
2018-06-06,380.35,380.35,362.4,364.85,355.78,26744
2018-06-07,370.95,419.0,370.95,408.4,398.25,28919
2018-06-08,399.0,418.45,398.0,408.0,397.86,5793
2018-06-11,404.0,418.95,402.3,410.4,400.2,5807
2018-06-12,405.0,412.85,405.0,411.7,401.46,6593
2018-06-13,412.35,413.0,405.0,409.1,398.93,4714
