Date,Open,High,Low,Close,Adj Close,Volume
2020-04-15,156.0,173.4,151.1,164.1,163.39,2657
2020-04-16,164.1,169.35,152.4,158.0,157.32,3139
2020-04-17,171.95,172.0,162.5,167.1,166.38,3055
2020-04-20,167.95,171.0,164.0,168.4,167.67,1053
2020-04-21,160.4,167.4,160.1,163.6,162.89,1725
2020-04-22,169.0,175.0,158.1,161.3,160.6,2292
2020-04-23,172.9,175.0,162.0,165.4,164.68,1397
2020-04-24,159.4,159.95,151.55,155.8,155.13,1927
2020-04-27,159.6,161.95,154.05,159.45,158.76,1042
2020-04-28,160.0,163.8,157.0,162.05,161.35,1915
2020-04-29,154.45,162.15,154.45,160.0,159.31,2436
2020-04-30,156.0,163.95,156.0,161.5,160.8,1610
2020-05-04,151.9,162.9,151.4,153.1,152.44,3296
2020-05-05,154.45,158.95,152.1,154.5,153.83,2060
2020-05-06,159.4,160.0,153.0,157.5,156.82,1854
2020-05-07,157.8,157.8,153.1,154.0,153.33,474
2020-05-08,154.15,154.9,151.0,151.45,150.79,1243
2020-05-11,152.5,154.0,150.0,153.5,152.84,1721
2020-05-12,152.05,153.0,148.2,152.55,151.89,543
2020-05-13,158.4,158.4,136.65,148.4,147.76,4000
2020-05-14,147.4,150.0,147.4,148.7,148.06,1211
2020-05-15,147.5,151.0,147.0,149.65,149.0,1944
2020-05-18,148.0,148.0,143.0,143.8,143.18,3858
2020-05-19,144.0,152.4,139.0,140.35,139.74,7763
2020-05-20,138.75,144.0,134.0,142.95,142.33,4177
2020-05-21,132.9,148.8,132.9,140.3,139.69,2770
2020-05-22,140.0,141.65,137.0,139.55,138.95,1833
2020-05-26,137.05,143.4,137.05,138.85,138.25,456
2020-05-27,136.6,140.0,136.6,139.75,139.15,2482
2020-05-28,138.5,144.95,138.5,140.75,140.14,2898
2020-05-29,139.75,143.4,139.05,140.3,139.69,4217
2020-06-01,144.0,157.9,142.1,149.65,149.0,6080
2020-06-02,148.05,155.6,148.05,154.05,153.38,7386
2020-06-03,154.9,159.95,151.0,153.95,153.28,3849
2020-06-04,157.4,172.35,157.3,170.5,169.76,13411
2020-06-05,180.8,180.8,164.2,166.7,165.98,11375
2020-06-08,167.0,178.9,161.7,163.45,162.74,10547
2020-06-09,160.0,163.45,152.55,159.15,158.46,3473
2020-06-10,155.1,174.0,155.1,169.95,169.21,23700
2020-06-11,171.0,198.5,171.0,179.6,178.82,82899
2020-06-12,171.0,190.5,169.0,178.0,177.23,66198
2020-06-15,181.0,189.75,176.65,179.5,178.72,21049
2020-06-16,175.05,186.05,170.15,177.8,177.03,16273
2020-06-17,171.8,179.5,171.05,173.65,172.9,7212
2020-06-18,171.95,177.0,171.7,175.05,174.29,4440
2020-06-19,175.8,178.0,169.0,172.3,171.55,12155
2020-06-22,172.75,180.0,172.1,175.95,175.19,7593
2020-06-23,176.35,179.8,172.7,178.05,177.28,5587
2020-06-24,179.55,181.0,163.65,168.95,168.22,14117
2020-06-25,168.4,170.0,165.45,168.5,167.77,3990
2020-06-26,171.85,178.0,169.05,177.0,176.23,8972
2020-06-29,182.0,185.25,170.85,172.1,171.36,12830
2020-06-30,188.0,202.65,185.15,188.6,187.78,139979
2020-07-01,186.2,217.5,186.0,209.6,208.69,92438
2020-07-02,208.0,251.5,207.95,251.5,250.41,183649
2020-07-03,257.95,276.65,252.05,276.65,275.45,323293
2020-07-06,278.0,300.0,262.25,268.6,267.44,297457
2020-07-07,267.0,275.8,260.0,267.5,266.34,84557
2020-07-08,271.0,278.8,262.2,264.45,263.31,69787
2020-07-09,269.0,272.1,260.0,263.8,262.66,38237
2020-07-10,265.0,265.4,244.0,249.2,248.12,59989
2020-07-13,254.95,258.95,245.6,247.8,246.73,50639
2020-07-14,243.25,272.55,243.25,272.2,271.02,138922
2020-07-15,282.95,292.0,271.0,274.0,272.81,124242
2020-07-16,275.0,281.6,261.0,271.35,270.18,37709
2020-07-17,279.6,285.0,266.1,281.85,280.63,52203
2020-07-20,290.0,299.0,282.75,291.3,290.04,82963
2020-07-21,292.05,316.7,290.1,312.2,310.85,141558
2020-07-22,315.0,343.4,312.5,330.85,329.42,301999
2020-07-23,340.0,348.0,313.65,337.75,336.29,173876
2020-07-24,335.0,346.0,318.5,322.4,321.01,70451
2020-07-27,328.4,339.05,317.75,330.35,328.92,70501
2020-07-28,328.35,348.0,328.35,344.3,342.81,72456
2020-07-29,344.05,357.0,331.0,348.9,347.39,86841
2020-07-30,349.0,370.8,344.45,356.8,355.26,118319
2020-07-31,348.2,367.9,340.0,343.2,341.72,62802
2020-08-03,345.0,361.95,325.25,329.7,328.27,61879
2020-08-04,332.7,344.0,325.0,328.1,326.68,40018
2020-08-05,328.15,347.5,328.15,340.9,339.43,73877
2020-08-06,345.5,349.7,335.05,340.6,339.13,30370
2020-08-07,345.0,359.9,339.0,346.2,344.7,47294
2020-08-10,354.0,358.0,350.0,352.65,351.12,27738
2020-08-11,327.1,349.95,317.4,327.3,325.88,192350
2020-08-12,330.0,336.35,303.0,308.3,306.97,80649
2020-08-13,308.3,319.9,302.25,305.55,304.23,32349
2020-08-14,306.0,317.0,294.0,307.45,306.12,21595
2020-08-17,311.0,314.9,302.2,306.8,305.47,15799
2020-08-18,312.0,333.0,308.25,328.95,327.53,42745
2020-08-19,340.0,347.9,332.0,346.25,344.75,61664
2020-08-20,340.0,358.0,335.25,354.3,352.77,45085
2020-08-21,354.0,362.0,346.0,356.8,355.26,32695
2020-08-24,351.55,363.0,346.05,350.0,348.49,23202
2020-08-25,350.0,358.45,343.6,347.75,346.25,16872
2020-08-26,347.75,350.0,332.25,335.35,333.9,18023
2020-08-27,345.05,345.05,325.0,327.15,325.73,23800
2020-08-28,328.0,336.6,323.75,327.7,326.28,10937
2020-08-31,332.0,335.0,302.0,306.55,305.22,29423
2020-09-01,307.0,317.9,288.0,306.35,305.02,15905
2020-09-02,316.9,321.0,301.0,314.8,313.44,10009
2020-09-03,323.0,335.0,315.0,322.45,321.06,13067
2020-09-04,320.0,329.9,310.0,323.4,322.0,14221
2020-09-07,335.0,335.0,312.5,314.6,313.24,8711
