Date,Open,High,Low,Close,Adj Close,Volume
2010-10-20,271.1,299.0,271.1,282.9,266.86,41372574
2010-10-21,281.7,304.9,275.8,298.75,281.81,8078620
2010-10-22,300.0,301.5,288.5,295.0,278.28,2887285
2010-10-25,295.55,306.35,292.7,302.15,285.02,2361102
2010-10-26,302.15,302.15,283.15,285.2,269.03,815185
2010-10-27,287.0,293.0,280.0,290.15,273.7,692403
2010-10-28,292.8,294.0,285.05,289.15,272.76,305955
2010-10-29,290.0,290.0,275.0,279.05,263.23,437923
2010-11-01,280.0,283.8,274.1,275.8,260.16,340688
2010-11-02,276.0,282.0,275.0,276.5,260.82,228621
2010-11-03,277.0,283.8,276.5,281.5,265.54,237572
2010-11-04,283.5,291.8,279.0,284.95,268.8,288647
2010-11-08,285.0,294.4,283.1,289.6,273.18,265486
2010-11-09,284.0,291.5,272.4,289.15,272.76,206968
2010-11-10,289.0,292.3,285.1,286.75,270.49,140632
2010-11-11,286.0,290.0,281.0,283.85,267.76,200646
2010-11-12,283.0,285.0,265.05,280.2,264.31,350592
2010-11-15,270.25,280.2,270.25,275.9,260.26,63023
2010-11-16,283.4,283.4,268.05,270.25,254.93,88376
2010-11-18,272.0,274.65,260.55,266.0,250.92,104928
2010-11-19,263.0,268.0,256.8,262.35,247.48,100220
2010-11-22,263.2,279.7,263.2,276.4,260.73,135986
2010-11-23,274.9,274.9,265.55,271.2,255.83,77655
2010-11-24,269.95,273.5,257.05,262.4,247.52,161468
2010-11-25,255.4,271.0,216.0,262.85,247.95,1320525
2010-11-26,262.5,288.7,256.1,266.85,251.72,1179763
2010-11-29,267.0,275.0,265.5,271.25,255.87,116967
2010-11-30,265.6,276.0,265.6,269.6,254.32,490785
2010-12-01,271.9,277.0,267.0,275.25,259.65,98396
2010-12-02,277.1,279.0,274.1,276.95,261.25,48849
2010-12-03,273.4,280.0,273.2,276.75,261.06,175573
2010-12-06,278.0,279.5,274.35,277.0,261.3,26200
2010-12-07,272.35,276.35,270.5,273.2,257.71,116304
2010-12-08,272.0,276.0,269.0,272.35,256.91,49474
2010-12-09,255.6,273.0,255.6,265.1,250.07,298546
2010-12-10,265.0,267.0,260.0,265.1,250.07,63568
2010-12-13,268.0,271.5,219.9,265.55,250.5,463195
2010-12-14,266.5,270.0,264.7,267.95,252.76,971836
2010-12-15,261.1,269.65,260.0,261.8,246.96,134851
2010-12-16,264.75,264.9,260.0,260.65,245.87,54018
2010-12-20,260.0,264.85,260.0,261.2,246.39,26611
2010-12-21,262.0,272.0,262.0,264.55,249.55,28707
2010-12-22,265.0,267.45,261.9,264.5,249.5,144817
2010-12-23,264.65,266.0,262.0,264.1,249.13,4309
2010-12-24,262.05,265.0,260.1,261.45,246.63,15428
2010-12-27,261.45,265.9,260.45,261.85,247.01,9504
2010-12-28,262.0,265.2,260.1,263.55,248.61,76628
2010-12-29,262.1,264.5,258.0,261.6,246.77,460498
2010-12-30,264.0,265.0,258.5,262.05,247.19,224660
2010-12-31,263.7,264.4,254.0,255.65,241.16,24629
2011-01-03,259.0,264.0,256.1,257.9,243.28,17565
2011-01-04,261.0,261.45,251.1,252.95,238.61,14316
2011-01-05,252.95,262.0,252.0,260.0,245.26,529011
2011-01-06,261.3,261.3,252.15,253.95,239.55,4848
2011-01-07,254.25,254.25,245.05,246.5,232.53,20863
2011-01-10,242.0,248.0,242.0,245.05,231.16,11673
2011-01-11,247.95,247.95,240.05,241.9,228.19,10576
2011-01-12,239.0,247.0,239.0,245.5,231.58,61808
2011-01-13,246.8,255.0,245.0,248.5,234.41,9693
2011-01-14,234.0,249.5,234.0,245.1,231.2,49750
2011-01-17,245.5,246.85,245.0,245.05,231.16,5193
2011-01-18,245.0,246.5,245.0,245.0,231.11,9717
2011-01-19,256.0,256.0,245.0,249.0,234.88,11474
2011-01-20,249.1,250.0,244.5,246.5,232.53,66509
2011-01-21,247.0,249.65,246.05,248.25,234.18,7027
2011-01-24,253.0,253.0,245.1,248.25,234.18,16118
2011-01-25,248.25,251.95,246.0,247.0,233.0,32602
2011-01-27,249.2,250.95,246.25,248.1,234.03,15299
2011-01-28,240.55,251.95,240.55,245.75,231.82,95161
2011-01-31,247.0,250.95,245.0,247.55,233.52,27313
2011-02-01,247.0,251.9,244.8,246.4,232.43,45728
2011-02-02,250.0,250.0,233.1,238.5,224.98,321289
2011-02-03,237.0,249.0,222.05,243.7,229.88,113855
2011-02-04,241.15,244.85,233.25,239.7,226.11,11044
2011-02-07,236.0,241.45,230.55,232.65,219.46,10553
2011-02-08,229.0,237.95,225.0,230.2,217.15,72262
2011-02-09,230.0,237.1,211.4,227.4,214.51,25657
2011-02-10,231.9,232.0,218.0,227.6,214.7,66465
2011-02-11,232.75,232.75,224.8,227.4,214.51,161487
2011-02-14,228.6,233.25,220.5,231.9,218.75,128186
2011-02-15,233.1,237.8,224.8,227.75,214.84,113696
2011-02-16,223.0,236.0,223.0,234.05,220.78,21174
2011-02-17,235.35,268.5,234.0,247.6,233.56,159847
2011-02-18,248.0,252.5,241.0,241.55,227.86,15646
2011-02-21,240.0,245.0,233.55,237.35,223.89,8693
2011-02-22,232.0,242.0,225.65,230.2,217.15,7701
2011-02-23,230.2,238.0,212.25,220.5,208.0,241542
2011-02-24,220.2,221.4,214.0,216.4,204.13,9671
2011-02-25,215.0,223.95,212.6,218.2,205.83,16285
2011-02-28,218.0,223.45,215.05,218.55,206.16,59036
2011-03-01,220.35,240.0,220.0,233.4,220.17,19742
2011-03-03,225.0,251.0,225.0,248.95,234.84,41323
2011-03-04,251.0,254.65,240.05,247.85,233.8,35515
2011-03-07,233.05,248.85,233.05,239.75,226.16,9395
2011-03-08,231.35,245.85,231.35,236.9,223.47,12325
2011-03-09,244.0,244.0,236.0,240.2,226.58,31082
2011-03-10,243.0,245.0,238.0,239.7,226.11,56741
2011-03-11,236.2,244.95,232.5,241.4,227.71,18339
2011-03-14,243.9,251.85,239.0,246.75,232.76,78015
2011-03-15,238.0,246.15,238.0,239.0,225.45,172836
2011-03-16,250.9,269.9,235.15,237.0,223.56,22373
2011-03-17,240.0,240.0,232.0,234.75,221.44,10943
2011-03-18,230.35,235.0,225.0,227.05,214.18,27257
2011-03-21,215.35,234.95,215.35,229.2,216.21,4565
2011-03-22,228.0,232.55,228.0,228.2,215.26,4940
2011-03-23,229.95,231.9,228.55,229.45,216.44,3972
2011-03-24,232.8,236.5,229.05,234.7,221.39,111306
2011-03-25,235.75,235.75,232.0,234.8,221.49,36099
2011-03-28,236.0,236.0,230.0,233.05,219.84,300531
2011-03-29,231.0,237.95,231.0,235.0,221.68,33101
2011-03-30,235.0,248.95,235.0,245.5,231.58,27035
2011-03-31,245.0,256.0,245.0,254.6,240.17,110828
2011-04-01,250.6,255.9,250.6,254.35,239.93,47917
2011-04-04,253.1,259.9,250.3,254.4,239.98,74188
2011-04-05,254.1,260.0,247.0,249.0,234.88,25198
2011-04-06,246.6,255.3,246.6,249.85,235.69,74079
2011-04-07,250.0,260.0,249.5,255.95,241.44,63876
2011-04-08,255.9,263.95,250.1,256.1,241.58,49517
2011-04-11,254.0,258.0,250.35,255.85,241.35,16463
2011-04-13,258.0,259.4,248.6,256.05,241.53,246373
2011-04-15,253.0,256.2,250.15,251.45,237.19,3230
2011-04-18,250.15,260.0,250.15,253.95,239.55,47076
2011-04-19,252.05,254.75,251.0,251.0,236.77,5546
2011-04-20,251.1,254.9,250.25,252.5,238.19,61644
2011-04-21,254.0,272.2,251.2,257.6,243.0,49733
2011-04-25,256.1,258.6,252.1,256.25,241.72,6472
2011-04-26,256.55,256.55,252.0,253.65,239.27,5681
2011-04-27,258.0,267.7,255.05,262.7,247.81,18091
2011-04-28,257.0,269.0,257.0,261.5,246.68,22955
2011-04-29,262.9,264.95,254.8,255.2,240.73,11190
2011-05-02,250.1,256.75,249.2,254.4,239.98,7830
2011-05-03,255.0,259.0,240.0,246.85,232.86,35140
2011-05-04,247.9,257.7,240.1,252.75,238.42,15687
