Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,14.0,15.9,13.6,15.55,12.67,76690
2002-07-02,15.75,16.4,15.1,15.45,12.59,50599
2002-07-03,16.0,16.0,14.1,14.55,11.86,21052
2002-07-04,14.65,15.5,14.5,14.95,12.18,24568
2002-07-05,14.5,15.2,14.5,15.0,12.22,22915
2002-07-08,15.9,15.9,15.1,15.2,12.39,16450
2002-07-09,16.0,16.0,14.5,15.15,12.35,11847
2002-07-10,14.9,15.05,13.95,14.0,11.41,13657
2002-07-11,13.95,14.2,13.6,13.65,11.12,8350
2002-07-12,13.6,14.0,13.6,13.65,11.12,5531
2002-07-15,12.5,15.5,12.5,13.5,11.0,9620
2002-07-16,13.75,13.75,13.3,13.4,10.92,2800
2002-07-17,14.0,15.0,12.5,12.8,10.43,4710
2002-07-18,12.95,13.25,12.8,13.1,10.68,3480
2002-07-19,13.05,13.6,12.8,12.95,10.55,7220
2002-07-22,12.4,12.4,11.5,11.7,9.53,15420
2002-07-23,12.2,12.25,11.65,12.0,9.78,9670
2002-07-24,11.05,12.6,11.05,11.3,9.21,2827
2002-07-25,12.5,12.5,11.3,11.35,9.25,6882
2002-07-26,10.6,11.35,10.4,10.7,8.72,3510
2002-07-29,10.85,11.8,10.55,11.05,9.01,4360
2002-07-30,11.5,11.5,10.35,10.5,8.56,13469
2002-07-31,10.3,10.3,9.75,10.0,8.15,2985
2002-08-01,10.6,10.6,9.95,10.2,8.31,1560
2002-08-02,10.0,10.15,9.75,9.85,8.03,3210
2002-08-05,10.5,10.5,9.9,10.05,8.19,2170
2002-08-06,10.25,10.25,9.8,9.95,8.11,2810
2002-08-07,10.05,10.45,10.05,10.25,8.35,3050
2002-08-08,10.0,10.15,9.95,9.95,8.11,1107
2002-08-09,9.9,10.2,9.9,10.2,8.31,1450
2002-08-12,10.0,10.45,10.0,10.45,8.52,760
2002-08-13,10.0,10.3,9.8,10.15,8.27,1310
2002-08-14,9.55,10.7,9.55,9.9,8.07,2090
2002-08-15,9.9,9.9,9.9,9.9,8.07,0
2002-08-16,10.0,10.6,10.0,10.0,8.15,1412
2002-08-19,9.1,9.8,9.1,9.8,7.99,840
2002-08-20,9.55,10.0,9.55,9.8,7.99,2633
2002-08-21,9.5,9.75,9.5,9.75,7.95,670
2002-08-22,10.0,10.1,10.0,10.1,8.23,1303
2002-08-23,9.25,10.5,9.25,9.8,7.99,721
2002-08-26,9.75,9.85,9.55,9.75,7.95,3214
2002-08-27,9.8,9.9,9.4,9.45,7.7,4011
2002-08-28,9.35,9.4,9.1,9.1,7.42,1860
2002-08-29,8.8,9.05,8.5,8.6,7.01,6960
2002-08-30,8.55,9.0,8.5,8.75,7.13,2080
2002-09-02,8.5,8.95,8.5,8.7,7.09,4920
2002-09-03,8.75,9.0,8.5,8.7,7.09,2975
2002-09-04,8.6,9.0,8.6,8.8,7.17,1380
2002-09-05,8.55,9.0,8.55,8.6,7.01,1040
2002-09-06,8.55,8.8,8.5,8.5,6.93,2305
2002-09-09,9.2,9.3,8.3,8.9,7.25,3386
2002-09-10,8.9,8.9,8.9,8.9,7.25,0
2002-09-11,8.8,9.0,8.5,8.7,7.09,2520
2002-09-12,8.6,9.0,8.5,9.0,7.33,2020
2002-09-13,9.4,9.4,8.75,8.9,7.25,551
2002-09-16,8.55,8.55,8.4,8.5,6.93,1320
2002-09-17,8.65,8.95,8.5,8.8,7.17,1118
2002-09-18,8.0,8.55,7.8,8.35,6.8,9224
2002-09-19,8.25,8.5,8.2,8.2,6.68,728
