Date,Open,High,Low,Close,Adj Close,Volume
2007-08-09,314.39,317.65,271.89,278.05,264.57,36993364
2007-08-10,270.61,285.81,260.54,275.19,261.84,9334395
2007-08-13,276.98,283.31,273.76,274.47,261.16,4148347
2007-08-14,274.47,279.57,270.21,271.77,258.59,2120142
2007-08-16,258.51,258.67,246.34,247.97,235.94,2623465
2007-08-17,245.14,252.86,235.19,244.94,233.06,2436642
2007-08-20,254.69,261.06,247.69,249.4,237.31,1838477
2007-08-21,250.71,251.75,213.31,218.48,207.88,3758049
2007-08-22,214.9,224.45,209.49,218.32,207.73,2071390
2007-08-23,225.24,246.73,221.62,238.14,226.59,8624951
2007-08-24,251.51,258.67,234.88,256.48,244.05,7440389
2007-08-27,261.86,266.63,258.0,260.31,247.68,2019652
2007-08-28,262.65,262.65,254.3,255.45,243.06,1568587
2007-08-29,246.73,259.07,244.35,257.64,245.14,1535155
2007-08-30,262.65,262.65,251.91,254.38,242.04,1040303
2007-08-31,253.1,259.07,250.79,254.18,241.85,1235617
2007-09-03,255.09,257.52,253.3,254.38,242.04,343900
2007-09-04,254.69,267.67,254.69,265.0,252.15,1957160
2007-09-05,267.43,272.6,264.64,268.22,255.22,1887489
2007-09-06,261.06,269.02,261.06,264.36,251.54,1230411
2007-09-07,264.56,272.8,264.32,265.28,252.41,1352183
2007-09-10,261.06,268.62,257.88,264.76,251.92,556990
2007-09-11,264.4,267.35,255.89,257.0,244.54,487029
2007-09-12,259.99,260.19,253.3,255.29,242.91,612252
2007-09-13,261.86,267.15,257.68,264.64,251.81,1145933
2007-09-14,268.18,273.92,261.86,263.05,250.29,1522244
2007-09-17,265.0,268.62,261.42,267.55,254.57,646465
2007-09-18,267.43,276.7,266.04,273.88,260.59,1473827
2007-09-19,278.57,288.68,275.79,284.94,271.12,2362000
2007-09-20,287.33,294.13,284.14,287.21,273.28,2259266
2007-09-21,279.41,292.5,279.41,284.54,270.74,1436884
2007-09-24,288.12,288.84,272.6,274.23,260.93,1235296
2007-09-25,277.38,277.38,261.78,266.75,253.81,715739
2007-09-26,268.18,272.01,267.35,268.98,255.94,451284
2007-09-27,272.2,274.35,262.65,263.81,251.01,1180035
2007-09-28,265.84,270.61,261.86,265.32,252.45,449834
2007-10-01,270.61,270.65,263.61,266.16,253.25,503807
2007-10-03,246.73,271.33,246.73,261.62,248.93,775634
2007-10-04,258.67,268.54,254.77,263.25,250.48,1329269
2007-10-05,263.85,268.14,250.71,252.62,240.37,1067608
2007-10-08,253.1,258.12,235.59,239.49,227.88,809072
2007-10-09,234.8,256.84,233.92,254.69,242.34,869381
