Date,Open,High,Low,Close,Adj Close,Volume
2011-02-10,26.19,28.75,11.97,12.13,9.34,88404083
2011-02-11,11.39,12.24,10.72,10.93,8.42,14055526
2011-02-14,11.1,12.46,11.1,11.94,9.2,7327558
2011-02-15,12.16,12.16,10.92,11.13,8.57,4507392
2011-02-16,11.35,11.66,11.0,11.12,8.56,2295560
2011-02-17,11.25,11.37,10.45,10.6,8.17,2170861
2011-02-18,10.75,10.88,9.74,9.88,7.61,1605110
2011-02-21,9.89,10.19,9.25,9.45,7.28,1926283
2011-02-22,9.68,10.99,8.9,10.56,8.14,6909878
2011-02-23,10.65,11.32,10.51,10.6,8.17,2726440
2011-02-24,10.52,10.93,9.99,10.09,7.77,1466965
2011-02-25,10.25,10.32,9.44,9.92,7.64,914364
2011-02-28,9.68,10.18,9.42,9.52,7.33,606451
2011-03-01,9.65,9.99,9.54,9.71,7.48,640108
2011-03-03,9.79,9.79,9.39,9.45,7.28,483600
2011-03-04,9.65,10.09,9.35,9.42,7.26,934006
2011-03-07,9.35,9.51,9.14,9.31,7.17,341749
2011-03-08,9.25,9.52,9.17,9.24,7.12,712923
2011-03-09,9.35,9.54,9.14,9.2,7.08,398698
2011-03-10,9.31,9.37,9.11,9.17,7.06,624144
2011-03-11,9.25,9.25,8.71,8.83,6.8,427357
2011-03-14,8.71,9.15,8.7,8.85,6.82,537928
2011-03-15,8.54,8.8,8.33,8.41,6.48,509659
2011-03-16,8.54,8.74,8.33,8.37,6.45,707999
2011-03-17,8.46,8.47,8.04,8.24,6.35,585748
2011-03-18,8.4,8.43,7.97,8.01,6.17,341054
2011-03-21,8.26,8.26,7.9,7.94,6.12,446707
2011-03-22,8.04,8.06,7.62,7.8,6.01,334415
2011-03-23,7.56,7.94,7.56,7.7,5.93,313269
2011-03-24,7.7,8.48,7.62,8.28,6.38,952194
2011-03-25,8.43,9.95,8.26,9.95,7.66,1420694
2011-03-28,10.39,11.94,10.39,11.94,9.2,3072451
2011-03-29,13.07,13.14,12.24,13.14,10.12,3728106
2011-03-30,13.67,14.25,12.84,13.74,10.58,2843998
2011-03-31,13.67,13.68,12.87,13.14,10.12,748530
2011-04-01,12.88,13.44,12.38,13.17,10.14,723770
2011-04-04,13.17,14.29,13.17,13.92,10.72,703341
2011-04-05,13.41,14.52,13.41,14.36,11.06,609001
2011-04-06,14.26,15.8,14.26,15.8,12.17,1747417
2011-04-07,16.28,16.91,15.99,16.3,12.55,939430
2011-04-08,16.3,17.05,15.83,16.47,12.68,1076061
2011-04-11,16.23,17.08,15.69,16.67,12.84,589812
2011-04-13,16.5,17.51,16.5,17.51,13.49,910925
2011-04-15,17.76,18.13,17.3,17.61,13.56,444607
2011-04-18,17.94,18.42,17.68,18.11,13.95,478173
2011-04-19,18.11,18.93,17.21,18.7,14.41,1745123
2011-04-20,18.73,19.13,18.22,18.95,14.59,802212
2011-04-21,18.96,19.07,18.01,18.06,13.91,349730
2011-04-25,18.36,18.93,17.17,18.76,14.45,1265991
2011-04-26,19.05,19.05,18.09,18.51,14.25,510674
2011-04-27,18.7,18.7,18.19,18.26,14.07,73120
2011-04-28,18.59,18.96,17.81,18.82,14.49,826568
2011-04-29,18.79,19.74,18.78,19.6,15.1,1058663
2011-05-02,19.81,20.36,19.06,19.36,14.91,206994
2011-05-03,19.36,19.36,18.39,18.39,14.17,199105
2011-05-04,17.72,18.46,17.59,18.13,13.97,148412
2011-05-05,18.46,18.46,17.96,18.01,13.87,53703
2011-05-06,18.01,18.36,17.69,18.08,13.92,76963
2011-05-09,18.22,18.69,17.37,17.64,13.58,71813
2011-05-10,16.0,18.32,16.0,18.31,14.1,138973
2011-05-11,18.21,19.91,18.11,18.66,14.37,105573
