Date,Open,High,Low,Close,Adj Close,Volume
2007-03-07,50.1,52.5,28.55,29.7,29.7,7196112
2007-03-08,30.8,30.8,25.2,27.6,27.6,2812772
2007-03-09,28.0,29.7,25.8,26.45,26.45,1931965
2007-03-12,26.9,27.4,25.2,25.65,25.65,633981
2007-03-13,26.0,28.2,25.5,26.65,26.65,1313125
2007-03-14,25.9,26.0,24.6,25.3,25.3,460271
2007-03-15,25.8,27.5,25.55,25.8,25.8,837347
2007-03-16,26.25,26.4,24.7,25.0,25.0,357514
2007-03-19,24.0,25.5,24.0,24.45,24.45,145426
2007-03-20,25.5,25.5,22.6,22.75,22.75,392824
2007-03-21,23.2,23.2,20.8,21.1,21.1,298405
2007-03-22,21.65,22.8,21.55,22.1,22.1,248299
2007-03-23,22.4,26.1,18.55,24.35,24.35,998706
2007-03-26,24.85,25.6,23.6,23.95,23.95,316920
2007-03-28,23.0,24.2,22.6,22.95,22.95,195158
2007-03-29,23.25,23.6,22.65,23.0,23.0,132800
2007-03-30,23.35,24.6,23.0,23.6,23.6,155483
2007-04-02,22.15,23.5,22.15,22.45,22.45,59967
2007-04-03,22.5,23.2,22.1,22.35,22.35,57575
2007-04-04,22.6,23.15,22.0,22.3,22.3,58666
2007-04-05,22.1,23.3,22.1,22.65,22.65,106719
2007-04-09,23.25,24.2,22.75,23.25,23.25,88591
2007-04-10,22.55,23.9,22.55,23.4,23.4,102535
2007-04-11,23.5,23.95,22.9,23.0,23.0,86183
2007-04-12,22.3,23.25,22.3,22.7,22.7,39656
2007-04-13,22.1,23.5,22.0,22.8,22.8,60480
2007-04-16,22.95,26.7,22.95,25.75,25.75,398444
2007-04-17,25.1,26.25,23.15,24.3,24.3,212215
2007-04-18,24.7,25.7,24.2,24.35,24.35,89194
2007-04-19,24.0,24.6,24.0,24.05,24.05,37428
2007-04-20,22.05,24.75,22.05,23.25,23.25,51826
2007-04-23,23.4,24.35,23.3,23.5,23.5,156489
2007-04-24,22.85,23.9,22.85,23.05,23.05,30211
2007-04-25,22.95,24.2,22.95,23.3,23.3,61266
2007-04-26,23.85,24.2,23.1,23.35,23.35,73978
2007-04-27,23.3,23.55,22.35,22.5,22.5,52199
2007-04-30,22.5,23.2,22.5,22.85,22.85,35482
2007-05-03,23.35,23.5,22.6,22.75,22.75,50841
2007-05-04,22.8,23.45,22.0,22.3,22.3,123159
2007-05-07,23.0,23.0,22.3,22.35,22.35,41244
2007-05-08,22.45,22.5,21.4,21.65,21.65,40521
2007-05-09,21.65,22.35,21.35,21.6,21.6,50220
2007-05-10,21.6,22.1,21.2,21.25,21.25,35445
2007-05-11,21.2,24.0,21.0,23.2,23.2,292921
2007-05-14,23.2,24.7,22.35,22.45,22.45,150823
2007-05-15,22.7,24.1,22.3,23.05,23.05,185617
2007-05-16,23.25,23.7,23.05,23.2,23.2,76371
2007-05-17,23.45,23.7,22.65,22.85,22.85,63203
2007-05-18,22.85,23.0,22.1,22.25,22.25,53787
2007-05-21,22.9,23.25,22.4,22.65,22.65,61251
2007-05-22,22.4,24.25,21.2,23.7,23.7,341525
