Date,Open,High,Low,Close,Adj Close,Volume
2018-09-14,9.8,10.4,9.7,9.9,9.9,20754
2018-09-17,9.9,10.4,9.75,10.05,10.05,16806
2018-09-18,10.6,10.6,9.95,9.95,9.95,16727
2018-09-19,10.95,10.95,9.75,9.85,9.85,12504
2018-09-21,9.8,10.2,8.6,9.25,9.25,25515
2018-09-24,9.8,10.4,8.5,10.0,10.0,23823
2018-09-25,10.15,10.6,9.4,9.6,9.6,14417
2018-09-26,10.4,11.5,9.4,9.7,9.7,10939
2018-09-27,10.4,10.4,9.3,9.85,9.85,6051
2018-09-28,10.5,10.5,7.95,8.25,8.25,29156
2018-10-01,9.85,9.85,8.2,8.45,8.45,12697
2018-10-03,10.1,10.1,8.3,8.8,8.8,14469
2018-10-04,8.9,9.5,8.5,9.15,9.15,15243
2018-10-05,9.0,9.25,8.6,8.65,8.65,7061
2018-10-08,8.5,8.9,8.35,8.6,8.6,16564
2018-10-09,8.95,8.95,8.15,8.5,8.5,20019
2018-10-10,10.2,10.2,8.3,9.0,9.0,43953
2018-10-11,9.2,9.8,8.5,8.85,8.85,15140
2018-10-12,8.65,9.75,8.65,9.45,9.45,21513
2018-10-15,8.9,9.95,8.9,9.55,9.55,7037
2018-10-16,11.0,11.0,9.5,9.5,9.5,10753
2018-10-17,9.5,10.0,8.8,9.05,9.05,20629
2018-10-19,9.2,9.5,8.75,9.2,9.2,15490
2018-10-22,9.8,9.8,8.7,9.0,9.0,8117
2018-10-23,9.3,9.3,8.75,9.0,9.0,9557
2018-10-24,9.3,9.3,8.75,9.05,9.05,10366
2018-10-25,9.2,9.2,8.3,8.6,8.6,6132
2018-10-26,8.2,9.0,8.2,8.55,8.55,12612
2018-10-29,9.5,9.5,8.25,9.1,9.1,35010
2018-10-30,9.8,9.8,8.9,9.0,9.0,7435
2018-10-31,9.6,9.6,8.9,8.95,8.95,20088
2018-11-01,9.55,9.55,9.0,9.25,9.25,10316
2018-11-02,9.6,9.6,9.15,9.35,9.35,15521
2018-11-05,9.0,9.3,8.5,8.95,8.95,11170
2018-11-06,9.25,9.25,8.75,9.15,9.15,14786
2018-11-07,9.6,9.6,8.95,9.2,9.2,5548
2018-11-09,9.6,9.6,9.0,9.15,9.15,9103
2018-11-12,9.1,9.45,9.0,9.05,9.05,2613
2018-11-13,9.6,9.6,8.9,9.1,9.1,11720
2018-11-14,9.0,9.35,8.95,9.2,9.2,15447
2018-11-15,9.0,9.35,9.0,9.05,9.05,5792
2018-11-16,9.05,9.5,9.0,9.2,9.2,11320
2018-11-19,9.5,9.6,9.1,9.25,9.25,22910
2018-11-20,9.6,9.6,8.5,9.15,9.15,10559
2018-11-21,8.95,9.25,8.6,8.9,8.9,8029
2018-11-22,9.15,9.25,8.65,8.85,8.85,8739
2018-11-26,8.85,9.1,8.7,8.8,8.8,3915
2018-11-27,9.25,9.25,8.65,8.8,8.8,3290
2018-11-28,9.4,9.4,8.65,8.8,8.8,4357
2018-11-29,9.0,9.0,8.65,8.75,8.75,8664
2018-11-30,9.0,9.0,8.6,8.75,8.75,6348
2018-12-03,9.5,9.5,8.7,8.95,8.95,9772
2018-12-04,9.3,9.3,8.5,8.85,8.85,10823
2018-12-05,9.1,9.1,8.5,8.9,8.9,28031
2018-12-06,8.8,10.5,8.2,9.75,9.75,102232
2018-12-07,10.0,10.0,8.7,9.6,9.6,39801
2018-12-10,9.1,9.7,8.9,9.0,9.0,5349
2018-12-11,8.9,9.7,8.25,9.1,9.1,5413
2018-12-12,9.0,9.5,9.0,9.3,9.3,18926
2018-12-13,9.15,9.4,9.0,9.2,9.2,7172
2018-12-14,8.9,9.4,8.75,9.0,9.0,11942
2018-12-17,8.8,9.45,8.7,9.1,9.1,8365
2018-12-18,9.1,9.3,8.85,8.9,8.9,9172
2018-12-19,9.3,9.3,8.9,9.1,9.1,4844
2018-12-20,8.8,9.4,8.8,9.05,9.05,4403
2018-12-21,8.7,9.5,8.7,9.2,9.2,12284
2018-12-24,9.7,9.75,8.95,9.05,9.05,10600
2018-12-26,9.05,9.4,8.7,9.05,9.05,36398
2018-12-27,9.0,9.35,8.95,8.95,8.95,5139
2018-12-28,8.95,9.2,8.7,9.05,9.05,8087
2018-12-31,9.65,9.65,8.9,9.1,9.1,10159
2019-01-01,8.75,9.65,8.75,9.4,9.4,15722
2019-01-02,9.1,9.65,9.1,9.3,9.3,6589
2019-01-03,9.0,9.9,8.9,9.0,9.0,7453
2019-01-04,9.35,9.4,8.95,9.05,9.05,2228
2019-01-07,8.8,9.45,8.8,9.1,9.1,8484
2019-01-08,9.45,9.45,8.85,8.9,8.9,4365
2019-01-09,9.25,9.25,8.9,8.95,8.95,1733
2019-01-10,9.45,9.45,8.65,8.85,8.85,8210
2019-01-11,9.35,9.35,8.7,8.8,8.8,1647
2019-01-14,8.7,10.0,8.25,8.9,8.9,3222
2019-01-15,8.7,9.1,8.65,8.9,8.9,5702
2019-01-16,8.8,9.2,8.7,8.8,8.8,13829
2019-01-17,9.0,9.0,8.55,8.75,8.75,9594
2019-01-18,8.75,9.05,8.6,8.6,8.6,13813
2019-01-21,8.95,8.95,8.55,8.75,8.75,6289
2019-01-22,8.8,8.8,8.4,8.45,8.45,36720
2019-01-23,9.0,9.0,8.25,8.3,8.3,20180
2019-01-24,8.55,8.95,7.95,8.25,8.25,28356
2019-01-25,8.55,8.55,8.1,8.25,8.25,8270
2019-01-28,8.8,8.8,8.0,8.25,8.25,10915
2019-01-29,8.05,8.25,7.6,7.9,7.9,11129
2019-01-30,7.55,8.1,7.55,7.95,7.95,13945
2019-01-31,8.5,8.7,7.7,8.0,8.0,18989
2019-02-01,8.1,9.0,7.85,8.05,8.05,13027
2019-02-04,8.25,8.25,7.5,7.5,7.5,27253
2019-02-05,7.5,7.65,7.3,7.3,7.3,29847
2019-02-06,7.1,7.5,7.1,7.2,7.2,10766
2019-02-07,7.25,7.6,6.95,7.25,7.25,11454
2019-02-08,7.15,7.45,6.65,7.0,7.0,4609
2019-02-11,6.9,7.4,6.5,6.9,6.9,9600
2019-02-12,7.05,7.2,6.8,7.0,7.0,1395
2019-02-14,6.8,7.2,6.8,7.0,7.0,7806
2019-02-15,8.0,8.0,6.65,6.9,6.9,16179
2019-02-18,7.3,7.3,6.8,6.9,6.9,4838
2019-02-19,6.75,7.3,6.75,6.8,6.8,5982
2019-02-20,7.1,7.1,6.7,6.9,6.9,8395
2019-02-21,7.1,7.45,6.75,7.05,7.05,7773
2019-02-22,7.3,7.5,6.8,7.05,7.05,15493
2019-02-25,7.0,7.85,6.95,7.2,7.2,9456
2019-02-26,7.0,7.6,6.9,7.35,7.35,23535
2019-02-27,7.8,7.95,7.1,7.35,7.35,20558
2019-02-28,7.9,7.9,7.15,7.3,7.3,6366
2019-03-01,7.25,7.9,7.25,7.7,7.7,32734
2019-03-05,7.05,9.2,7.05,9.2,9.2,111687
2019-03-06,10.0,10.0,8.7,8.95,8.95,71803
2019-03-07,9.5,9.5,8.4,8.75,8.75,60273
2019-03-08,8.5,9.05,8.5,8.75,8.75,11806
2019-03-11,9.3,9.3,8.5,8.6,8.6,25796
2019-03-12,9.2,9.2,8.3,8.45,8.45,29885
2019-03-13,8.5,8.65,8.1,8.2,8.2,21698
2019-03-14,8.6,8.65,7.9,8.4,8.4,11031
2019-03-15,8.7,8.7,8.1,8.25,8.25,15319
2019-03-18,8.7,8.7,7.85,8.05,8.05,17703
2019-03-19,7.9,8.5,7.8,8.4,8.4,40142
2019-03-20,8.1,8.5,8.05,8.2,8.2,8873
2019-03-22,8.05,8.4,8.0,8.25,8.25,5237
2019-03-25,7.9,8.4,7.8,8.2,8.2,10413
2019-03-26,7.95,8.1,7.8,7.9,7.9,11162
2019-03-27,7.8,8.3,7.7,8.15,8.15,17427
2019-03-28,8.0,8.7,8.0,8.3,8.3,50478
2019-04-01,7.85,8.7,7.85,8.5,8.5,26204
2019-04-02,8.15,9.0,8.15,8.75,8.75,27436
2019-04-03,8.6,9.0,8.45,8.95,8.95,22757
2019-04-04,8.95,9.1,8.5,8.75,8.75,11987
2019-04-05,8.9,8.9,8.5,8.75,8.75,8215
2019-04-08,8.6,8.85,8.4,8.6,8.6,5310
2019-04-09,8.65,8.7,8.45,8.55,8.55,3165
2019-04-10,8.7,8.7,8.1,8.15,8.15,16839
2019-04-11,8.1,8.45,8.1,8.25,8.25,15089
2019-04-12,8.25,8.4,8.05,8.1,8.1,9455
2019-04-15,8.0,8.5,7.55,7.7,7.7,94868
2019-04-16,7.8,8.15,7.4,7.4,7.4,65599
2019-04-18,7.4,7.85,7.25,7.5,7.5,15319
2019-04-22,7.25,7.5,7.25,7.3,7.3,5731
2019-04-23,7.35,7.9,7.2,7.2,7.2,11428
2019-04-24,7.3,7.35,6.3,7.05,7.05,34145
2019-04-25,7.2,7.65,6.9,7.3,7.3,24423
2019-04-26,7.0,7.4,6.85,7.35,7.35,5929
2019-04-30,7.1,7.45,6.8,7.0,7.0,13815
2019-05-02,7.0,7.35,6.6,6.9,6.9,10842
2019-05-03,6.7,7.3,6.7,7.05,7.05,9145
2019-05-06,6.8,7.35,6.5,6.95,6.95,15739
2019-05-07,6.7,7.3,6.7,7.0,7.0,31090
2019-05-08,6.7,7.25,6.7,7.1,7.1,6670
2019-05-09,6.8,7.15,6.6,6.8,6.8,8062
2019-05-10,6.9,7.3,6.75,7.1,7.1,11146
2019-05-13,6.9,7.1,6.8,7.0,7.0,7545
2019-05-14,6.85,7.15,6.75,7.1,7.1,26926
2019-05-15,6.8,7.35,6.8,7.3,7.3,12802
2019-05-16,7.0,7.35,6.85,7.0,7.0,4774
2019-05-17,7.1,7.25,6.95,7.2,7.2,15896
2019-05-20,7.5,7.85,7.2,7.4,7.4,33074
2019-05-21,7.85,7.85,7.15,7.3,7.3,14927
2019-05-22,7.35,7.35,7.0,7.0,7.0,23236
