Date,Open,High,Low,Close,Adj Close,Volume
2009-06-16,47.49,47.85,43.75,46.88,44.97,7904
2009-06-17,48.19,48.19,44.0,46.31,44.43,964
2009-06-18,45.33,46.25,42.5,42.75,41.02,1136
2009-06-19,45.38,46.0,42.5,44.25,42.46,752
2009-06-22,46.85,46.85,43.5,43.51,41.75,960
2009-06-23,45.49,46.12,42.78,43.25,41.5,2672
2009-06-24,43.25,43.25,43.25,43.25,41.5,0
2009-06-25,52.25,52.47,45.76,49.95,48.2,13048
2009-06-26,54.62,54.62,48.01,51.35,49.55,11256
2009-06-29,49.25,54.6,45.5,50.71,48.94,13604
2009-06-30,47.76,51.5,47.76,48.84,47.13,2704
2009-07-01,50.2,50.25,40.67,48.11,46.43,10636
2009-07-02,48.74,48.85,45.79,45.99,44.38,2084
2009-07-03,44.51,48.24,44.51,45.42,43.84,6116
2009-07-06,45.5,47.24,43.75,44.47,42.92,1232
2009-07-07,40.0,46.49,40.0,44.08,42.53,4296
2009-07-08,41.33,43.38,39.01,43.38,41.86,604
2009-07-09,42.01,42.5,42.01,42.5,41.01,876
2009-07-10,42.5,43.91,41.53,42.12,40.65,1496
2009-07-13,41.5,43.24,41.28,43.14,41.63,1224
2009-07-14,45.0,45.0,42.53,43.5,41.98,1296
2009-07-15,42.16,44.2,42.16,43.59,42.06,3180
2009-07-16,42.94,44.2,40.38,43.94,42.4,896
2009-07-17,43.0,44.08,42.28,43.36,41.85,1656
2009-07-20,45.5,45.5,42.78,42.94,41.44,920
2009-07-21,42.58,43.41,42.11,43.01,41.51,656
2009-07-22,43.97,43.97,41.76,42.25,40.77,1176
2009-07-23,41.47,44.24,41.46,42.45,40.97,440
2009-07-24,43.5,43.5,42.25,42.25,40.77,568
2009-07-27,43.0,43.0,42.3,42.51,41.03,728
2009-07-28,43.62,43.62,41.28,42.3,40.82,424
2009-07-29,43.0,43.0,41.66,42.88,41.38,3496
2009-07-30,41.0,42.96,41.0,42.25,40.77,4196
2009-07-31,41.78,44.4,41.78,43.34,41.82,704
2009-08-03,43.35,44.5,42.41,42.56,41.07,1936
2009-08-04,44.49,44.49,42.25,42.38,40.89,1156
2009-08-05,42.5,43.17,42.28,43.16,41.65,64
2009-08-06,43.22,43.22,41.51,42.19,40.71,620
2009-08-07,42.25,43.45,41.5,42.15,40.68,2036
2009-08-10,42.5,50.5,41.51,42.75,41.26,1404
2009-08-11,41.55,42.94,41.55,42.5,41.01,272
2009-08-12,43.0,43.25,42.0,42.85,41.35,340
2009-08-13,42.14,43.25,42.14,42.5,41.01,2112
2009-08-14,42.3,43.75,42.3,43.25,41.74,256
2009-08-17,43.25,43.25,42.0,42.5,41.01,704
2009-08-18,43.7,43.7,42.5,42.5,41.01,472
2009-08-19,42.01,42.08,42.01,42.06,40.59,864
2009-08-20,43.31,43.31,42.08,42.5,41.01,3180
2009-08-21,42.5,43.62,42.5,43.47,41.95,2396
2009-08-24,44.45,52.17,44.45,52.17,50.35,29984
2009-08-25,55.25,62.61,53.5,62.61,60.42,117924
2009-08-26,65.0,68.88,57.0,58.84,56.78,97168
2009-08-27,60.0,61.5,58.78,59.95,57.85,12584
2009-08-28,61.0,62.46,59.14,59.33,57.25,7556
2009-08-31,59.0,59.75,54.83,56.1,54.14,10928
2009-09-01,52.8,57.5,52.8,54.76,52.85,4312
2009-09-02,53.04,53.85,50.03,51.9,50.09,8012
2009-09-03,51.5,55.49,51.5,52.67,50.83,2780
2009-09-04,52.76,54.21,50.9,51.97,50.16,2492
2009-09-07,51.76,57.0,51.44,54.26,52.37,11700
2009-09-08,56.75,59.5,53.78,55.15,53.22,8748
2009-09-09,56.25,58.0,55.5,55.95,53.99,7152
2009-09-10,56.08,57.5,55.26,56.03,54.07,1836
2009-09-11,55.5,55.5,53.0,53.54,51.67,2156
2009-09-14,53.0,54.31,51.28,52.89,51.04,26040
2009-09-15,52.55,54.84,52.53,53.04,51.18,25480
2009-09-16,52.5,54.74,52.5,54.09,52.2,27340
2009-09-17,53.5,56.25,52.81,54.61,52.7,28816
2009-09-18,56.0,56.0,52.58,54.35,52.45,3248
2009-09-22,53.75,56.25,53.75,55.6,53.66,2220
2009-09-23,54.33,56.25,54.1,54.49,52.58,1376
2009-09-24,54.15,54.7,53.0,54.24,52.34,24956
2009-09-25,53.83,55.45,53.81,54.6,52.69,25584
