Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,55.0,56.75,51.35,56.75,56.75,51871
2017-08-01,54.3,59.55,53.95,58.85,58.85,53297
2017-08-02,59.95,61.75,56.3,61.75,61.75,13483
2017-08-03,64.8,64.8,64.8,64.8,64.8,14341
2017-08-04,68.0,68.0,62.0,67.45,67.45,111611
2017-08-07,70.7,70.7,65.7,66.15,66.15,19766
2017-08-08,66.0,66.2,62.85,63.35,63.35,49930
2017-08-09,60.35,61.0,60.2,60.2,60.2,90383
2017-08-10,57.2,63.2,57.2,59.25,59.25,66114
2017-08-11,56.3,61.0,56.3,58.35,58.35,11812
2017-08-14,57.0,61.25,57.0,60.35,60.35,36175
2017-08-16,57.35,63.35,57.35,63.35,63.35,39890
2017-08-17,62.05,66.5,62.05,63.85,63.85,33977
2017-08-18,64.4,67.0,62.2,66.95,66.95,41616
2017-08-21,66.0,70.25,64.05,70.05,70.05,31822
2017-08-22,67.0,73.5,67.0,71.35,71.35,14470
2017-08-23,68.5,74.75,68.5,70.7,70.7,20698
2017-08-24,68.2,73.0,68.0,69.6,69.6,12612
2017-08-28,68.25,73.0,68.25,70.8,70.8,17096
2017-08-29,68.25,73.2,68.25,70.1,70.1,8750
2017-08-30,72.35,72.4,68.3,71.55,71.55,12917
2017-08-31,72.0,74.0,68.3,73.4,73.4,20381
2017-09-01,71.6,77.0,70.05,75.55,75.55,37393
2017-09-04,77.9,79.3,77.0,79.3,79.3,59772
2017-09-05,83.25,83.25,80.8,83.25,83.25,37726
2017-09-06,85.0,87.4,80.35,86.05,86.05,28359
2017-09-07,88.0,88.0,81.75,81.75,81.75,30710
2017-09-08,81.75,81.75,77.7,77.85,77.85,16151
2017-09-11,81.2,81.7,78.0,81.7,81.7,30489
2017-09-12,81.7,85.75,78.5,83.45,83.45,40792
2017-09-13,85.0,87.6,80.5,83.05,83.05,33086
2017-09-14,85.9,85.9,80.7,80.95,80.95,9669
2017-09-15,80.9,83.0,77.5,78.65,78.65,15173
2017-09-18,79.0,82.55,79.0,82.55,82.55,12188
2017-09-19,81.5,84.5,80.1,83.65,83.65,8602
2017-09-20,87.0,87.0,82.2,84.9,84.9,7328
2017-09-21,82.0,86.3,81.25,84.2,84.2,32111
2017-09-22,83.1,85.2,81.55,81.9,81.9,12135
2017-09-25,81.9,82.4,77.85,79.55,79.55,14797
2017-09-26,76.1,81.5,76.1,78.55,78.55,7308
2017-09-27,77.55,79.0,75.25,75.35,75.35,7498
2017-09-28,75.0,77.9,75.0,76.9,76.9,376
2017-09-29,75.1,80.65,75.1,76.75,76.75,476
2017-10-03,76.8,79.0,75.75,75.95,75.95,3450
2017-10-04,79.0,79.0,72.2,72.35,72.35,19470
2017-10-05,75.0,75.7,69.5,72.4,72.4,10195
2017-10-06,74.0,76.0,71.0,74.4,74.4,17163
2017-10-09,71.35,76.5,71.35,74.5,74.5,6019
2017-10-10,76.5,77.85,74.0,74.65,74.65,6087
2017-10-11,75.0,78.0,73.25,74.75,74.75,10128
2017-10-12,72.55,77.0,72.55,77.0,77.0,61341
2017-10-13,74.1,79.9,74.1,76.15,76.15,11176
2017-10-16,73.55,78.7,73.55,74.0,74.0,10041
2017-10-17,74.0,77.7,72.8,75.85,75.85,12101
2017-10-18,77.2,79.6,75.1,77.9,77.9,39407
2017-10-19,79.5,81.75,79.5,81.75,81.75,12077
2017-10-23,84.0,85.8,84.0,85.8,85.8,2469
2017-10-24,89.95,90.05,89.95,90.05,90.05,1074
2017-10-25,94.55,94.55,91.5,92.25,92.25,47697
2017-10-26,91.25,93.0,87.75,88.2,88.2,14490
2017-10-27,90.0,90.0,85.1,85.6,85.6,18584
2017-10-30,85.6,89.85,83.5,89.05,89.05,8539
2017-10-31,91.4,93.5,89.15,93.5,93.5,13478
2017-11-01,98.15,98.15,96.0,98.05,98.05,20710
2017-11-02,102.9,102.9,94.2,96.75,96.75,5030
2017-11-03,98.0,101.55,93.15,97.9,97.9,17671
2017-11-06,93.5,96.5,93.05,94.7,94.7,19318
2017-11-07,94.0,98.0,90.0,90.95,90.95,4834
2017-11-08,91.0,94.0,87.0,87.75,87.75,4527
2017-11-09,85.0,91.0,85.0,90.1,90.1,6768
2017-11-10,90.1,93.0,87.0,89.3,89.3,4272
2017-11-13,85.5,90.85,85.0,87.95,87.95,6174
2017-11-14,84.1,88.95,84.1,87.45,87.45,4957
2017-11-15,88.5,90.5,84.5,85.05,85.05,1940
2017-11-16,85.0,86.0,81.5,85.25,85.25,2282
2017-11-17,85.5,87.7,82.4,82.75,82.75,3466
2017-11-20,86.0,86.0,80.85,84.95,84.95,1780
2017-11-21,89.0,89.15,82.45,86.4,86.4,4624
2017-11-22,82.55,89.7,82.55,87.0,87.0,4548
2017-11-23,86.2,88.5,84.2,86.75,86.75,4179
2017-11-24,86.75,88.5,84.05,84.25,84.25,3494
2017-11-27,83.55,88.25,83.0,84.05,84.05,9160
2017-11-28,84.05,87.2,84.05,85.0,85.0,15279
2017-11-29,84.1,86.0,84.1,84.95,84.95,3982
2017-11-30,89.15,89.15,82.2,84.45,84.45,28467
2017-12-01,88.2,88.2,82.65,83.8,83.8,10978
2017-12-04,84.15,86.0,83.15,84.3,84.3,4211
2017-12-05,83.0,88.0,82.25,87.6,87.6,7603
2017-12-06,91.9,91.95,85.3,90.6,90.6,28764
2017-12-07,90.6,93.75,86.55,88.35,88.35,23591
2017-12-08,89.5,89.6,85.0,85.9,85.9,7920
2017-12-11,86.0,86.95,84.2,85.1,85.1,1410
2017-12-12,87.5,87.5,84.2,84.4,84.4,1377
2017-12-13,83.8,85.0,82.1,83.65,83.65,6470
2017-12-14,84.95,85.9,81.65,81.9,81.9,2638
2017-12-15,82.2,84.9,82.0,83.2,83.2,2984
