Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,49.0,57.0,49.0,56.2,54.78,179200
2017-05-02,56.0,61.38,53.25,53.4,52.05,284800
2017-05-03,55.0,55.0,51.47,51.88,50.56,220800
2017-05-04,52.78,54.25,52.5,53.08,51.73,89600
2017-05-05,54.1,54.47,53.5,53.55,52.19,134400
2017-05-08,55.0,55.05,54.2,54.38,53.0,32000
2017-05-09,58.5,58.5,54.5,54.75,53.36,60800
2017-05-10,57.25,57.33,53.0,53.15,51.8,51200
2017-05-11,54.25,54.25,51.5,51.53,50.22,70400
2017-05-12,51.1,51.5,50.75,50.83,49.54,38400
2017-05-15,51.25,51.5,50.8,50.95,49.66,41600
2017-05-16,50.6,50.65,48.75,48.75,47.51,38400
2017-05-17,52.0,52.0,46.25,46.4,45.22,38400
2017-05-18,48.0,48.0,44.42,44.95,43.81,60800
2017-05-19,45.5,47.0,45.25,45.25,44.1,25600
2017-05-22,49.5,49.5,47.15,47.25,46.05,16000
2017-05-23,50.5,50.6,46.75,46.88,45.69,54400
2017-05-24,48.75,48.75,46.25,46.25,45.08,25600
2017-05-25,47.25,47.25,45.53,45.53,44.37,19200
2017-05-26,47.25,47.25,45.0,45.0,43.86,16000
2017-05-29,47.95,47.95,46.4,46.4,45.22,12800
2017-05-30,47.35,47.35,45.0,45.0,43.86,12800
2017-05-31,46.75,46.75,44.95,45.25,44.1,22400
2017-06-01,46.9,46.9,44.97,44.97,43.84,16000
2017-06-02,46.25,46.5,45.5,45.75,44.59,22400
2017-06-05,48.75,48.75,46.55,46.55,45.37,19200
2017-06-06,45.7,48.0,45.7,47.5,46.3,19200
2017-06-07,47.5,51.75,47.5,49.5,48.25,131200
2017-06-08,51.0,55.4,51.0,54.5,53.12,80000
2017-06-09,56.5,56.62,53.45,53.9,52.53,35200
2017-06-12,55.25,55.25,53.05,53.05,51.71,22400
2017-06-13,57.5,57.95,57.5,57.95,56.48,9600
2017-06-14,56.75,56.8,56.75,56.78,55.34,9600
2017-06-15,60.25,60.3,60.25,60.28,58.75,9600
2017-06-16,58.0,58.0,54.4,54.45,53.07,22400
2017-06-19,53.7,54.42,53.7,54.35,52.97,12800
2017-06-20,58.25,58.25,55.0,55.0,53.61,16000
2017-06-21,55.4,55.45,52.0,52.33,51.0,25600
2017-06-22,55.05,55.12,54.25,54.25,52.88,19200
2017-06-23,53.88,54.25,53.65,54.25,52.88,19200
2017-06-27,55.0,55.0,53.0,53.0,51.66,19200
2017-06-28,54.5,54.67,51.95,51.97,50.66,19200
2017-06-29,54.62,54.65,54.62,54.62,53.24,9600
2017-06-30,57.0,57.0,52.0,52.12,50.8,140800
2017-07-03,53.5,53.6,52.0,52.0,50.68,22400
2017-07-04,53.5,53.55,51.9,51.9,50.58,92800
2017-07-05,54.75,54.75,52.0,52.0,50.68,16000
2017-07-06,53.75,53.75,51.9,51.9,50.58,28800
2017-07-07,55.0,55.0,53.0,53.0,51.66,9600
2017-07-10,54.12,54.12,53.92,53.92,52.56,9600
2017-07-11,53.5,53.6,51.85,51.85,50.54,32000
2017-07-12,52.5,52.5,51.5,51.5,50.19,16000
2017-07-13,53.1,53.1,52.88,52.88,51.54,9600
2017-07-14,53.5,53.5,51.5,52.5,51.17,16000
2017-07-17,55.0,55.0,51.4,51.45,50.15,44800
2017-07-18,53.12,53.83,51.53,51.58,50.27,83200
2017-07-19,52.25,52.45,51.1,51.25,49.95,96000
2017-07-20,54.25,54.25,51.4,51.5,50.19,51200
2017-07-21,52.25,52.35,51.5,51.5,50.19,12800
2017-07-24,53.0,53.15,51.35,51.35,50.05,22400
2017-07-25,53.5,53.5,51.5,51.5,50.19,12800
2017-07-26,52.25,52.5,51.45,51.45,50.15,16000
2017-07-27,52.0,52.0,51.3,51.3,50.0,25600
2017-07-28,51.5,51.67,51.35,51.5,50.19,25600
2017-07-31,52.25,52.53,52.0,52.0,50.68,12800
2017-08-01,52.75,53.0,52.2,52.25,50.93,16000
2017-08-02,53.75,54.0,53.67,53.67,52.31,9600
2017-08-03,50.55,50.85,50.55,50.85,49.56,12800
2017-08-04,51.5,52.75,50.0,50.5,49.22,25600
2017-08-07,50.5,51.0,48.4,48.42,47.2,22400
2017-08-08,55.0,55.0,53.75,53.75,52.39,9600
2017-08-09,52.25,52.4,48.5,48.5,47.27,12800
2017-08-10,50.25,50.5,48.5,48.5,47.27,16000
