Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,429.1,441.9,425.15,426.15,300.72,1648
2002-08-13,425.05,436.0,424.0,431.0,304.14,1542
2002-08-14,430.05,439.9,422.05,433.0,305.55,2323
2002-08-15,433.0,433.0,433.0,433.0,305.55,0
2002-08-16,440.9,440.9,430.0,432.65,305.3,827
2002-08-19,403.0,445.85,403.0,429.15,302.83,431
2002-08-20,434.9,435.0,426.55,428.6,302.45,2059
2002-08-21,422.0,431.0,422.0,426.55,301.0,2306
2002-08-22,425.3,434.35,425.0,428.45,302.34,1843
2002-08-23,420.05,434.95,420.05,432.55,305.23,1274
2002-08-26,425.2,433.9,425.05,428.8,302.59,1954
2002-08-27,426.25,436.0,426.25,428.8,302.59,1135
2002-08-28,433.45,434.95,429.5,434.35,306.5,1333
2002-08-29,439.55,442.0,433.0,438.0,309.08,2435
2002-08-30,437.05,439.85,432.15,437.2,308.51,1928
2002-09-02,430.0,438.15,428.75,436.6,308.09,3000
2002-09-03,447.9,447.9,430.4,437.6,308.8,1798
2002-09-04,437.95,442.0,434.05,440.05,310.53,2275
2002-09-05,436.35,440.9,430.0,432.05,304.88,2974
2002-09-06,438.0,439.95,436.0,438.3,309.29,840
2002-09-09,440.0,440.0,432.05,435.7,307.46,3352
2002-09-10,435.7,435.7,435.7,435.7,307.46,0
2002-09-11,412.0,420.0,412.0,414.55,292.53,5000
2002-09-12,418.0,419.9,415.1,416.25,293.73,906
2002-09-13,415.5,419.75,415.0,416.85,294.15,518
2002-09-16,410.0,420.8,402.15,405.4,286.07,3046
2002-09-17,408.0,410.0,400.0,402.3,283.89,1893
2002-09-18,403.5,408.6,402.15,404.1,285.16,1061
2002-09-19,404.0,404.0,394.1,396.55,279.83,2616
2002-09-20,425.8,425.8,391.0,400.85,282.86,1311
2002-09-23,400.0,405.0,395.25,396.1,279.51,936
2002-09-24,396.05,398.5,390.0,394.85,278.63,1723
2002-09-25,393.55,399.7,393.5,397.65,280.61,931
2002-09-26,397.0,399.65,392.0,394.9,278.66,813
2002-09-27,395.05,400.0,395.05,399.9,282.19,404
2002-09-30,425.0,425.0,400.05,415.45,293.17,6844
2002-10-01,411.2,417.8,411.0,411.35,290.27,3959
2002-10-02,411.35,411.35,411.35,411.35,290.27,0
2002-10-03,418.85,418.85,398.0,401.65,283.43,5254
2002-10-04,419.8,419.8,404.15,412.8,291.3,1626
2002-10-07,400.25,417.85,400.25,416.1,293.62,1038
2002-10-08,428.95,428.95,405.05,416.95,294.22,1282
2002-10-09,408.05,414.55,406.25,408.25,288.09,3493
2002-10-10,402.65,414.95,402.65,408.7,288.4,764
2002-10-11,429.95,429.95,406.05,417.7,294.75,4857
2002-10-14,430.0,430.0,412.4,416.4,293.84,367
2002-10-15,416.4,416.4,416.4,416.4,293.84,0
2002-10-16,417.0,425.0,413.05,417.95,294.93,5787
2002-10-17,414.0,418.5,410.0,413.2,291.58,1774
2002-10-18,416.8,418.7,396.0,398.25,281.03,4845
2002-10-21,400.1,404.9,381.0,382.7,270.06,8855
2002-10-22,399.0,399.0,383.05,389.45,274.82,5418
2002-10-23,394.0,394.8,386.1,391.65,276.37,3114
2002-10-24,385.0,398.4,385.0,394.95,278.7,2747
2002-10-25,400.0,405.0,380.0,382.45,269.88,5714
2002-10-28,378.0,384.95,363.0,366.05,258.31,12330
2002-10-29,370.1,370.1,364.1,365.15,257.67,4173
2002-10-30,373.0,373.0,364.0,365.7,258.06,3103
2002-10-31,372.25,372.3,368.0,370.0,261.09,2487
2002-11-01,378.4,378.45,355.0,362.9,256.08,2326
2002-11-04,369.95,373.0,368.05,372.55,262.89,762
2002-11-05,375.0,375.0,370.15,373.75,263.74,729
2002-11-06,373.75,373.75,373.75,373.75,263.74,0
2002-11-07,376.45,379.75,371.3,375.1,264.69,1743
2002-11-08,378.0,378.0,370.0,372.0,262.5,1270
2002-11-11,372.0,372.0,365.0,366.1,258.34,1006
2002-11-12,370.0,374.0,366.0,367.95,259.65,527
2002-11-13,374.85,374.85,368.2,369.3,260.6,770
2002-11-14,370.0,372.95,367.0,368.0,259.68,1147
2002-11-15,373.95,374.0,368.15,370.6,261.52,1845
2002-11-18,369.0,370.9,368.0,368.3,259.89,654
2002-11-19,368.3,368.3,368.3,368.3,259.89,0
2002-11-20,377.85,377.85,368.05,369.65,260.85,1197
2002-11-21,371.0,371.0,366.0,367.75,259.51,1870
2002-11-22,367.75,367.9,366.2,366.95,258.94,1101
2002-11-25,367.0,373.95,365.0,366.45,258.59,3381
2002-11-26,367.5,380.0,367.0,374.75,264.45,9459
2002-11-27,372.0,377.0,372.0,374.8,264.48,1466
2002-11-28,379.6,379.6,372.05,373.8,263.78,4379
2002-11-29,373.8,373.8,373.8,373.8,263.78,0
2002-12-02,376.5,378.0,372.55,375.0,264.62,1886
2002-12-03,378.0,378.0,371.15,371.45,262.12,1421
2002-12-04,372.55,374.0,372.55,373.6,263.63,596
2002-12-05,375.0,375.0,368.75,369.7,260.88,4170
2002-12-06,373.0,378.0,371.15,374.2,264.06,1501
2002-12-09,375.0,377.0,371.0,372.8,263.07,3711
2002-12-10,371.1,373.45,365.1,366.65,258.73,5477
2002-12-11,367.55,377.7,367.55,375.6,265.05,3281
