Date,Open,High,Low,Close,Adj Close,Volume
2007-02-15,499.9,525.0,444.2,469.95,421.94,8237003
2007-02-19,489.0,491.4,446.95,454.75,408.3,1880488
2007-02-20,465.0,482.0,435.15,441.35,396.27,1493893
2007-02-21,445.0,449.0,413.6,417.7,375.03,1079762
2007-02-22,420.0,433.0,411.5,420.4,377.46,885695
2007-02-23,425.0,452.0,420.0,436.7,392.09,1662305
2007-02-26,440.0,440.0,415.0,429.15,385.31,267934
2007-02-27,434.35,444.5,420.0,421.8,378.71,216927
2007-02-28,338.2,409.0,338.2,387.85,348.23,149452
2007-03-01,388.7,399.0,372.1,375.25,336.92,100616
2007-03-02,384.65,392.0,362.0,367.7,330.14,94193
2007-03-05,360.0,360.0,320.0,337.25,302.8,114953
2007-03-06,339.0,360.0,325.0,327.85,294.36,72620
2007-03-07,332.5,341.5,329.0,333.35,299.3,74431
2007-03-08,335.0,337.5,319.0,333.05,299.03,32906
2007-03-09,332.1,340.0,324.0,325.75,292.47,32215
2007-03-12,325.1,335.0,321.65,325.35,292.12,23199
2007-03-13,326.0,384.7,326.0,369.35,331.62,225967
2007-03-14,365.0,381.2,333.0,359.4,322.69,219233
2007-03-15,362.0,396.2,362.0,388.15,348.5,168873
2007-03-16,388.15,405.5,385.0,394.55,354.25,155291
2007-03-19,398.0,408.85,386.0,391.9,351.87,43641
2007-03-20,396.0,404.0,381.3,385.85,346.44,48447
2007-03-21,384.05,390.0,374.0,378.5,339.84,23058
2007-03-22,387.0,387.0,377.0,378.25,339.61,15746
2007-03-23,370.1,387.85,366.2,371.45,333.51,24294
2007-03-26,374.1,375.95,350.55,354.4,318.2,19962
2007-03-28,351.0,351.0,328.1,333.4,299.34,26689
2007-03-29,335.0,337.0,325.5,326.45,293.1,30015
2007-03-30,329.0,355.9,328.5,336.9,302.49,47932
2007-04-02,320.1,334.65,319.7,328.8,295.21,13909
2007-04-03,339.85,339.85,329.0,330.05,296.34,10647
2007-04-04,334.9,336.1,325.0,326.75,293.37,14321
2007-04-05,325.05,334.4,325.05,328.45,294.9,9311
2007-04-09,333.3,348.9,330.6,343.25,308.19,18241
2007-04-10,341.0,348.0,340.55,343.5,308.41,11805
2007-04-11,343.0,357.0,342.0,345.75,310.43,23640
2007-04-12,341.1,347.0,341.1,342.1,307.15,8572
2007-04-13,345.0,372.0,340.0,360.6,323.77,46634
2007-04-16,364.0,375.0,356.0,361.45,324.53,18514
2007-04-17,362.1,382.0,350.0,356.45,320.04,65013
2007-04-18,363.0,374.0,355.0,359.45,322.73,80801
2007-04-19,358.5,374.0,351.0,370.75,332.88,17426
2007-04-20,374.9,378.0,370.0,370.25,332.43,9516
2007-04-23,374.95,375.5,360.5,365.2,327.9,21162
2007-04-24,366.4,368.0,357.25,361.0,324.12,15309
2007-04-25,324.9,369.0,324.9,360.65,323.81,14848
2007-04-26,360.3,368.25,355.15,360.0,323.23,24221
2007-04-27,362.0,371.1,356.0,360.8,323.94,23598
2007-04-30,360.0,377.95,355.25,373.3,335.17,24272
2007-05-03,376.8,384.75,362.3,364.5,327.27,27315
2007-05-04,369.6,369.6,355.0,356.2,319.81,9653
2007-05-07,368.85,368.85,355.0,355.8,319.46,8048
2007-05-08,357.0,366.0,350.1,358.8,322.15,13659
2007-05-09,356.25,360.0,350.25,353.6,317.48,6701
2007-05-10,353.7,364.1,336.0,340.15,305.4,16572
2007-05-11,339.95,354.0,323.15,337.35,302.89,55102
2007-05-14,348.0,363.0,343.0,355.45,319.14,36935
2007-05-15,360.0,365.7,354.0,356.15,319.77,30209
2007-05-16,357.3,375.0,352.0,359.15,322.46,51259
2007-05-17,373.0,373.0,360.0,363.05,325.96,21755
2007-05-18,365.25,372.0,355.1,356.8,320.35,33508
2007-05-21,363.9,364.7,350.0,351.4,315.5,16215
2007-05-22,354.9,368.9,342.5,360.85,323.99,24532
2007-05-23,362.2,365.8,352.0,352.45,316.45,9854
2007-05-24,357.85,357.85,342.65,345.4,310.12,6391
2007-05-25,336.0,347.7,335.1,342.95,307.92,6791
2007-05-28,346.0,348.85,342.0,343.2,308.14,4771
2007-05-29,353.0,353.0,342.0,344.15,309.0,5299
2007-05-30,339.75,347.45,338.0,339.65,304.96,6317
2007-05-31,342.1,344.9,337.15,338.85,304.24,9377
2007-06-01,339.1,359.4,339.0,355.85,319.5,47476
2007-06-04,360.0,365.0,350.2,351.8,315.86,25138
2007-06-05,348.6,352.5,343.25,345.55,310.25,8607
2007-06-06,346.5,350.25,333.2,334.65,300.47,21570
2007-06-07,333.55,341.15,331.2,334.25,300.11,20286
2007-06-08,325.0,338.0,319.7,330.7,296.92,16682
2007-06-11,342.95,342.95,325.0,325.65,292.39,8487
2007-06-12,330.8,331.2,314.1,316.15,283.86,8091
2007-06-13,318.7,323.0,315.75,316.75,284.39,4408
2007-06-14,320.0,322.0,318.1,318.8,286.23,6685
2007-06-15,327.45,327.45,317.1,318.55,286.01,4594
2007-06-18,321.05,326.0,311.0,314.25,282.15,6407
2007-06-19,315.0,319.95,312.0,313.7,281.66,7036
2007-06-20,316.0,318.95,312.05,313.25,281.25,8615
2007-06-21,302.65,333.4,302.65,320.95,288.17,34036
2007-06-22,326.0,342.4,306.05,310.9,279.14,138957
2007-06-25,329.95,330.0,307.5,310.35,278.65,66430
2007-06-26,314.8,314.8,303.35,305.1,273.93,24755
2007-06-27,350.0,350.0,301.55,302.95,272.0,12649
2007-06-28,305.5,307.8,297.0,300.1,269.45,13030
2007-06-29,300.0,303.0,294.0,295.15,265.0,17891
2007-07-02,299.1,308.6,296.6,301.05,270.3,19317
2007-07-03,305.8,306.0,301.0,302.5,271.6,26668
2007-07-04,306.0,312.95,303.5,305.85,274.61,44246
2007-07-05,306.05,307.9,298.0,300.55,269.85,15702
2007-07-06,294.1,301.25,294.1,298.1,267.65,16584
2007-07-09,307.9,319.95,301.0,305.35,274.16,39363
2007-07-10,306.05,311.0,299.0,300.75,270.03,21084
2007-07-11,300.0,304.9,298.1,299.35,268.77,9521
2007-07-12,309.8,309.8,296.5,299.0,268.46,14516
2007-07-13,308.0,348.6,300.15,317.8,285.34,348133
2007-07-16,322.0,325.0,307.2,309.05,277.48,83150
2007-07-17,312.3,321.0,299.0,300.8,270.07,74469
2007-07-18,300.0,304.2,293.0,295.75,265.54,51817
2007-07-19,297.85,301.95,290.15,291.4,261.63,41730
2007-07-20,297.0,304.95,284.0,287.65,258.27,74130
2007-07-23,280.6,287.9,278.85,280.2,251.58,34209
2007-07-24,282.3,289.4,276.5,278.45,250.01,21133
2007-07-25,277.0,282.0,267.95,271.3,243.59,48538
2007-07-26,275.0,283.0,272.75,279.15,250.63,30356
2007-07-27,268.0,275.8,267.0,268.25,240.85,21788
2007-07-30,272.0,274.0,262.0,265.0,237.93,18487
2007-07-31,269.0,278.0,265.5,271.3,243.59,26413
2007-08-01,276.0,278.0,264.1,265.0,237.93,27154
2007-08-02,269.0,272.8,261.1,262.9,236.04,11053
2007-08-03,266.9,268.0,261.0,261.7,234.97,15684
2007-08-06,261.0,261.0,252.1,253.2,227.34,18308
2007-08-07,260.0,261.0,251.1,252.7,226.89,9225
2007-08-08,257.8,303.25,257.8,292.6,262.71,394795
2007-08-09,301.9,304.8,275.0,278.2,249.78,175967
2007-08-10,270.0,280.0,263.25,269.9,242.33,32357
2007-08-13,274.8,280.0,272.0,273.0,245.11,20297
2007-08-14,275.9,302.0,270.0,288.25,258.81,144665
2007-08-16,270.1,285.8,268.0,273.2,245.29,34715
2007-08-17,271.0,277.85,258.0,265.1,238.02,38560
2007-08-20,276.9,280.0,263.15,266.05,238.87,23467
2007-08-21,270.0,270.85,253.0,254.65,228.64,29723
2007-08-22,259.9,262.4,250.0,252.6,226.8,17672
2007-08-23,257.0,266.0,250.0,251.2,225.54,29901
2007-08-24,251.2,257.0,250.0,251.5,225.81,16876
2007-08-27,255.95,260.0,254.0,255.35,229.27,15106
2007-08-28,259.9,264.0,254.0,256.4,230.21,9440
2007-08-29,248.0,267.0,246.1,258.6,232.18,25577
2007-08-30,264.75,264.75,255.2,258.1,231.74,17679
2007-08-31,259.0,272.0,257.35,266.9,239.64,88608
2007-09-03,267.95,268.0,260.5,262.1,235.33,24772
2007-09-04,264.4,265.7,260.05,260.95,234.29,20764
2007-09-05,263.0,269.9,258.0,261.15,234.47,38111
2007-09-06,261.9,269.4,260.25,262.05,235.28,37530
2007-09-07,265.0,265.0,257.55,258.35,231.96,21189
2007-09-10,256.9,266.0,256.9,258.9,232.45,66095
2007-09-11,255.4,263.0,255.1,260.15,233.58,43402
2007-09-12,262.05,263.9,256.1,256.9,230.66,13948
2007-09-13,256.0,267.9,256.0,264.8,237.75,122559
2007-09-14,270.0,292.9,270.0,277.55,249.2,269205
2007-09-17,280.0,301.7,280.0,289.85,260.24,268412
2007-09-18,290.2,296.5,286.0,290.4,260.74,130571
2007-09-19,295.85,300.0,284.55,286.0,256.79,72167
2007-09-20,288.8,288.8,275.05,277.25,248.93,38971
2007-09-21,276.0,284.0,269.5,271.45,243.72,37378
2007-09-24,276.95,278.0,264.0,265.7,238.56,37910
2007-09-25,269.0,269.75,259.05,261.15,234.47,38315
2007-09-26,264.8,270.0,261.5,267.95,240.58,37414
2007-09-27,276.0,277.25,267.0,268.05,240.67,45170
2007-09-28,271.0,271.0,265.35,268.05,240.67,20546
2007-10-01,270.9,277.0,264.0,266.9,239.64,27326
2007-10-03,267.05,277.0,265.0,266.45,239.23,47463
2007-10-04,268.0,269.4,264.1,266.1,238.92,13840
2007-10-05,261.1,267.95,260.3,261.45,234.74,14663
2007-10-08,263.0,263.0,248.1,249.95,224.42,27887
2007-10-09,246.05,254.0,246.05,251.55,225.85,13501
2007-10-10,255.0,259.95,249.7,251.55,225.85,19402
2007-10-11,250.1,263.9,248.0,257.0,230.75,25734
2007-10-12,256.0,265.0,251.0,252.9,227.07,19760
2007-10-15,255.0,259.8,252.5,253.85,227.92,14872
2007-10-16,251.0,258.5,251.0,252.15,226.39,13998
2007-10-17,216.85,248.6,216.85,242.3,217.55,24323
2007-10-18,245.0,259.75,240.0,243.2,218.36,40988
2007-10-19,245.1,247.95,231.05,233.25,209.42,21496
2007-10-22,230.0,235.8,227.0,229.7,206.24,17854
2007-10-23,234.0,241.0,234.0,238.1,213.78,13551
2007-10-24,242.0,243.5,237.15,238.25,213.91,8212
2007-10-25,235.1,246.0,233.5,235.3,211.26,18065
2007-10-26,246.6,246.6,235.0,236.6,212.43,12838
2007-10-29,248.8,249.0,238.0,242.85,218.04,39984
2007-10-30,247.5,247.5,235.05,236.7,212.52,23055
2007-10-31,238.0,241.2,231.0,232.4,208.66,16399
2007-11-01,239.0,239.0,223.0,225.6,202.56,48979
