Date,Open,High,Low,Close,Adj Close,Volume
2011-10-25,1365.0,1810.71,1365.0,1628.82,1416.5,15264
2011-10-28,1795.82,1795.82,1750.0,1795.82,1561.73,5654
2011-10-31,1870.71,1870.71,1713.57,1721.32,1496.95,5077
2011-11-01,1807.14,1807.14,1635.29,1635.29,1422.12,2412
2011-11-02,1553.57,1649.29,1553.54,1553.54,1351.03,2377
2011-11-03,1488.71,1507.14,1475.86,1475.86,1283.48,1983
2011-11-04,1534.29,1534.29,1432.5,1474.82,1282.58,764
2011-11-08,1446.43,1500.0,1436.43,1461.21,1270.74,478
2011-11-09,1442.86,1479.21,1428.57,1431.5,1244.9,410
2011-11-11,1464.21,1464.21,1377.14,1379.86,1199.99,453
2011-11-14,1392.86,1428.57,1357.14,1371.21,1192.47,275
2011-11-15,1308.57,1397.5,1302.68,1303.79,1133.84,1057
2011-11-16,1245.0,1281.43,1238.61,1242.71,1080.72,418
2011-11-17,1188.57,1237.86,1180.61,1181.0,1027.06,688
2011-11-18,1132.14,1202.5,1121.96,1122.86,976.49,567
2011-11-21,1153.57,1153.57,1121.43,1135.89,987.83,82
2011-11-22,1142.86,1158.57,1142.14,1157.61,1006.71,196
2011-11-23,1153.57,1153.57,1107.14,1113.71,968.54,414
2011-11-24,1141.43,1141.43,1117.86,1123.68,977.21,89
2011-11-25,1154.29,1154.29,1114.29,1114.39,969.13,190
2011-11-28,1115.0,1143.57,1104.04,1129.68,982.42,228
2011-11-29,1135.71,1138.57,1107.14,1125.0,978.35,161
2011-11-30,1091.43,1120.0,1078.57,1091.14,948.91,134
2011-12-01,1108.04,1137.86,1107.14,1110.71,965.93,105
2011-12-02,1089.29,1130.71,1071.43,1127.61,980.62,163
2011-12-05,1142.86,1150.0,1139.64,1142.86,993.88,253
2011-12-07,1188.57,1188.57,1145.0,1151.82,1001.68,70
2011-12-08,1143.57,1143.57,1130.71,1131.39,983.91,81
2011-12-09,1097.14,1142.86,1097.14,1138.32,989.94,49
