Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,16.43,16.54,16.13,16.2,5.86,129190
2002-07-02,16.43,16.88,16.2,16.39,5.93,60319
2002-07-03,16.28,17.03,16.28,16.84,6.09,42703
2002-07-04,16.91,17.63,16.8,16.99,6.15,85731
2002-07-05,17.03,17.25,16.91,16.95,6.13,26099
2002-07-08,17.55,17.55,16.5,16.61,6.01,58605
2002-07-09,17.33,17.33,16.5,16.88,6.11,55767
2002-07-10,19.5,19.5,16.5,16.58,6.0,39649
2002-07-11,16.88,17.03,16.5,16.5,5.97,27886
2002-07-12,16.54,17.06,16.54,16.91,6.12,44950
2002-07-15,16.43,16.43,15.75,16.01,6.18,54899
2002-07-16,16.05,16.35,15.86,15.98,6.16,29471
2002-07-17,16.05,16.28,15.79,15.79,6.09,22326
2002-07-18,16.09,16.09,15.75,15.86,6.12,14806
2002-07-19,15.75,16.13,15.75,16.09,6.21,11131
2002-07-22,17.78,17.78,14.29,15.68,6.05,31983
2002-07-23,15.75,15.75,15.3,15.49,5.98,26393
2002-07-24,15.71,15.75,15.38,15.68,6.05,32997
2002-07-25,15.49,15.75,15.23,15.38,5.93,18853
2002-07-26,15.04,15.19,14.93,15.0,5.79,22133
2002-07-29,14.81,14.81,14.33,14.63,5.64,25213
2002-07-30,14.66,14.85,14.63,14.78,5.7,8713
2002-07-31,16.43,16.43,13.31,13.5,5.21,80183
2002-08-01,13.8,13.88,13.54,13.58,5.24,23962
2002-08-02,13.5,13.84,12.75,13.69,5.28,12133
2002-08-05,13.58,14.21,13.5,13.69,5.28,46274
2002-08-06,13.88,13.88,13.69,13.69,5.28,20133
2002-08-07,15.0,15.0,13.69,13.84,5.34,13993
2002-08-08,14.93,14.93,13.88,14.18,5.47,37433
2002-08-09,13.88,14.03,13.73,13.88,5.35,18147
2002-08-12,13.88,14.25,13.5,13.76,5.31,22439
2002-08-13,13.69,13.91,13.69,13.73,5.3,27439
2002-08-14,13.88,14.03,13.76,13.88,5.35,6799
2002-08-15,13.88,13.88,13.88,13.88,5.35,0
2002-08-16,13.99,14.18,13.84,14.06,5.43,11333
2002-08-19,14.03,14.1,13.8,13.99,5.4,14294
2002-08-20,13.88,14.06,13.88,13.88,5.35,8071
2002-08-21,14.18,14.18,13.84,13.99,5.4,11799
2002-08-22,13.95,14.25,13.88,13.91,5.37,6741
2002-08-23,14.1,14.1,13.84,13.95,5.38,13214
2002-08-26,13.8,14.03,13.8,13.91,5.37,8379
2002-08-27,13.91,14.03,13.73,13.88,5.35,15342
2002-08-28,13.95,13.95,13.84,13.95,5.38,6766
2002-08-29,13.91,13.95,13.88,13.88,5.35,12666
2002-08-30,13.88,13.95,13.35,13.58,5.24,58997
2002-09-02,13.35,13.73,13.28,13.61,5.25,20534
2002-09-03,13.5,13.5,12.94,13.09,5.05,76133
2002-09-04,13.13,13.31,13.01,13.28,5.12,14758
2002-09-05,13.13,13.39,12.86,13.09,5.05,19293
2002-09-06,12.94,13.35,12.94,13.05,5.03,7187
2002-09-09,13.05,13.35,13.01,13.28,5.12,8546
2002-09-10,13.28,13.28,13.28,13.28,5.12,0
2002-09-11,13.28,13.5,13.2,13.43,5.18,10759
2002-09-12,14.93,14.93,13.35,13.39,5.17,11370
2002-09-13,13.46,13.76,13.46,13.5,5.21,2095
2002-09-16,13.58,13.91,13.58,13.84,5.34,35767
2002-09-17,13.84,14.18,13.84,14.03,5.41,20526
2002-09-18,14.1,14.48,14.06,14.18,5.47,37111
2002-09-19,14.25,14.55,14.06,14.1,5.44,52417
2002-09-20,14.1,14.25,13.88,14.14,5.45,18886
2002-09-23,14.25,14.25,13.99,14.21,5.48,41211
2002-09-24,14.25,14.25,13.61,13.99,5.4,60647
2002-09-25,14.21,14.21,13.76,13.84,5.34,26533
2002-09-26,14.03,14.25,14.03,14.1,5.44,24766
2002-09-27,14.25,14.25,14.1,14.14,5.45,8505
2002-09-30,14.29,14.29,13.69,13.69,5.28,69359
2002-10-01,13.95,13.95,13.35,13.46,5.19,50953
2002-10-02,13.46,13.46,13.46,13.46,5.19,0
2002-10-03,13.91,13.91,13.61,13.65,5.27,9333
2002-10-04,13.88,14.14,13.65,14.03,5.41,17399
2002-10-07,13.88,14.25,13.73,14.03,5.41,8110
2002-10-08,14.1,14.21,14.06,14.21,5.48,7953
2002-10-09,14.25,14.25,14.1,14.1,5.44,6486
2002-10-10,13.95,14.03,13.84,13.88,5.35,9093
2002-10-11,13.88,14.14,13.88,14.1,5.44,4133
2002-10-14,14.03,14.03,13.88,13.91,5.37,17701
2002-10-15,13.91,13.91,13.91,13.91,5.37,0
2002-10-16,14.25,14.25,13.69,13.73,5.3,61375
2002-10-17,13.88,13.91,13.73,13.8,5.32,11033
2002-10-18,13.91,13.95,13.76,13.8,5.32,20546
2002-10-21,13.84,13.91,13.76,13.88,5.35,8866
2002-10-22,13.88,13.88,13.76,13.76,5.31,32981
2002-10-23,13.8,13.88,13.73,13.76,5.31,12899
2002-10-24,13.88,14.44,13.88,13.95,5.38,118797
2002-10-25,14.25,14.25,13.99,14.21,5.48,34913
2002-10-28,14.18,14.25,14.03,14.1,5.44,23271
2002-10-29,14.25,14.29,14.14,14.21,5.48,20366
2002-10-30,14.33,14.44,14.1,14.25,5.5,19578
2002-10-31,14.33,14.36,14.14,14.29,5.51,45059
2002-11-01,14.25,14.4,14.18,14.29,5.51,46178
2002-11-04,14.33,14.33,13.99,14.33,5.53,10259
2002-11-05,14.25,14.55,14.25,14.51,5.6,3879
2002-11-06,14.51,14.51,14.51,14.51,5.6,0
2002-11-07,14.51,14.51,14.36,14.4,5.56,16527
