Date,Open,High,Low,Close,Adj Close,Volume
2011-12-07,33.5,34.25,32.62,33.26,30.97,1608
2011-12-08,33.62,36.25,32.63,35.91,33.43,2384
2011-12-09,35.91,35.91,31.27,32.59,30.35,4184
2011-12-12,32.75,32.75,29.38,31.57,29.39,3400
2011-12-13,29.98,29.98,28.76,29.49,27.46,488
2011-12-14,29.62,29.62,28.12,29.62,27.58,1824
2011-12-15,28.14,28.14,27.5,28.07,26.14,7400
2011-12-16,29.88,29.88,26.67,27.17,25.3,1240
2011-12-19,29.62,29.62,24.5,25.47,23.71,2640
2011-12-20,25.51,26.25,24.5,25.7,23.93,2032
2011-12-21,25.0,26.25,22.64,25.0,23.28,1320
2011-12-22,26.24,27.29,23.75,26.0,24.21,6104
2011-12-23,27.09,28.62,26.12,26.44,24.62,1264
2011-12-26,27.88,28.0,26.38,27.86,25.94,608
2011-12-27,27.12,27.5,26.9,27.0,25.14,1776
2011-12-28,24.38,24.83,24.38,24.83,23.11,184
2011-12-29,24.96,26.88,24.88,25.31,23.57,544
2011-12-30,26.46,28.62,25.75,27.22,25.34,2464
2012-01-02,27.75,27.75,26.38,26.38,24.56,40
2012-01-03,26.58,28.62,26.38,28.62,26.65,1600
2012-01-04,27.5,27.5,26.0,27.25,25.37,3976
2012-01-05,27.24,27.25,26.38,27.25,25.37,2416
2012-01-06,26.25,27.25,26.0,26.37,24.55,280
2012-01-09,27.46,27.74,26.84,27.11,25.24,1336
2012-01-10,27.46,31.67,27.46,28.59,26.62,3936
2012-01-11,29.88,30.0,29.38,30.0,27.93,1208
2012-01-12,31.24,31.24,29.62,29.62,27.58,616
2012-01-13,29.38,30.64,28.88,29.43,27.4,920
2012-01-16,30.0,31.24,30.0,30.27,28.18,1304
2012-01-17,30.19,30.5,29.5,29.84,27.78,1600
2012-01-18,30.0,30.0,30.0,30.0,27.93,240
2012-01-19,29.38,29.88,28.14,28.14,26.2,1424
2012-01-20,29.88,30.62,29.88,30.0,27.93,136
2012-01-23,30.62,33.12,30.0,31.38,29.21,1104
2012-01-24,30.38,31.17,30.27,31.12,28.97,448
