Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,14.7,17.33,14.5,17.33,8.42,697936
2002-07-02,17.65,20.8,17.65,20.8,10.11,1192286
2002-07-03,21.75,23.6,21.02,21.85,10.62,1713016
2002-07-04,22.4,23.75,21.75,21.98,10.68,908964
2002-07-05,22.73,22.73,21.3,21.98,10.68,253956
2002-07-08,22.9,26.38,22.5,26.05,12.67,970932
2002-07-09,27.55,29.48,26.55,27.62,13.43,1224660
2002-07-10,26.75,27.6,24.55,25.38,12.34,445594
2002-07-11,24.5,26.0,23.52,23.85,11.6,341532
2002-07-12,24.0,24.77,22.9,23.83,11.58,334086
2002-07-15,24.0,24.0,21.5,21.88,10.64,259274
2002-07-16,21.5,23.5,21.38,22.08,10.73,410452
2002-07-17,21.65,22.4,20.05,20.58,10.0,270648
2002-07-18,21.0,23.65,20.62,22.83,11.1,1002064
2002-07-19,22.0,23.9,22.0,22.9,11.13,491054
2002-07-22,22.0,22.33,20.5,21.12,10.27,238468
2002-07-23,20.67,21.6,20.67,21.35,10.38,98474
2002-07-24,21.25,21.25,19.75,19.88,9.66,95358
2002-07-25,20.5,21.2,19.05,19.17,9.32,95874
2002-07-26,19.0,19.0,17.52,17.62,8.57,107006
2002-07-29,18.0,18.12,14.57,16.38,7.96,210680
2002-07-30,16.9,17.52,14.55,15.27,7.43,194602
2002-07-31,14.95,18.35,14.7,17.73,8.62,161190
2002-08-01,18.92,19.45,17.5,17.95,8.73,232516
2002-08-02,17.45,18.05,16.9,17.62,8.57,100658
2002-08-05,18.38,19.35,17.5,17.92,8.72,107082
2002-08-06,17.85,17.85,17.33,17.58,8.55,72262
2002-08-07,18.38,18.38,17.33,17.4,8.46,46322
2002-08-08,17.0,17.62,16.5,16.58,8.06,43534
2002-08-09,16.5,17.0,16.25,16.75,8.14,18656
2002-08-12,17.0,17.35,16.8,16.9,8.22,20126
2002-08-13,17.0,17.15,16.9,16.98,8.25,16524
2002-08-14,18.0,18.0,16.62,16.65,8.1,50174
2002-08-15,16.65,16.65,16.65,16.65,8.1,0
2002-08-16,17.4,17.4,16.75,16.77,8.16,37898
2002-08-19,17.05,17.05,16.6,16.62,8.08,12942
2002-08-20,16.5,16.75,16.35,16.62,8.08,15532
2002-08-21,16.58,16.95,16.58,16.67,8.11,17612
2002-08-22,16.88,16.98,16.67,16.75,8.14,17672
2002-08-23,16.5,16.85,16.5,16.6,8.07,106098
2002-08-26,16.15,16.5,16.0,16.05,7.8,19152
2002-08-27,16.2,16.25,15.62,15.62,7.6,17334
2002-08-28,15.5,15.9,15.4,15.52,7.55,42324
2002-08-29,13.5,15.88,13.5,15.4,7.49,29368
2002-08-30,15.25,15.38,14.9,15.0,7.29,31392
2002-09-02,13.02,16.35,13.02,16.02,7.79,45182
2002-09-03,16.12,16.5,15.6,15.85,7.71,26686
2002-09-04,16.42,16.73,15.45,16.48,8.01,67712
2002-09-05,16.6,17.23,16.33,16.83,8.18,31284
2002-09-06,16.4,16.9,16.3,16.7,8.12,62062
2002-09-09,16.02,16.5,15.93,16.02,7.79,35398
2002-09-10,16.02,16.02,16.02,16.02,7.79,0
2002-09-11,15.8,16.23,15.75,16.05,7.8,95500
2002-09-12,15.9,16.3,15.9,16.23,7.89,27862
2002-09-13,15.93,18.0,15.93,17.35,8.44,91344
2002-09-16,17.27,17.95,17.25,17.77,8.64,42314
2002-09-17,17.3,17.88,16.0,17.45,8.48,63186
2002-09-18,17.55,17.6,16.2,16.42,7.99,25330
2002-09-19,16.25,16.67,16.2,16.58,8.06,45386
2002-09-20,16.17,16.6,16.17,16.52,8.03,21150
2002-09-23,16.05,16.92,15.88,16.5,8.02,14828
