Date,Open,High,Low,Close,Adj Close,Volume
2016-02-08,165.0,185.0,154.5,177.45,161.49,11220947
2016-02-09,173.0,175.8,164.8,167.25,152.21,965485
2016-02-10,166.7,167.6,159.25,160.25,145.84,654020
2016-02-11,160.2,170.8,157.4,158.75,144.47,668051
2016-02-12,159.2,163.0,157.0,158.15,143.93,242974
2016-02-15,161.05,163.95,159.5,160.3,145.88,144068
2016-02-16,160.7,162.55,157.2,158.1,143.88,135818
2016-02-17,158.05,158.85,153.1,154.05,140.19,136533
2016-02-18,154.1,157.0,153.5,154.9,140.97,187391
2016-02-19,154.0,154.45,150.35,151.6,137.96,92716
2016-02-22,152.0,152.0,149.1,151.05,137.46,72829
2016-02-23,154.0,158.0,151.0,152.5,138.78,119413
2016-02-24,152.6,154.3,150.0,152.25,138.56,54548
2016-02-25,152.05,152.95,151.45,152.05,138.37,33777
2016-02-26,152.65,153.7,150.85,152.2,138.51,77484
2016-02-29,151.2,153.9,145.1,153.0,139.24,96982
2016-03-01,154.0,154.0,150.75,152.05,138.37,40065
2016-03-02,153.15,153.8,150.0,151.0,137.42,62495
2016-03-03,150.5,168.4,149.4,163.15,148.48,433925
2016-03-04,163.0,169.5,161.8,162.6,147.98,122807
2016-03-08,162.0,163.6,155.2,158.9,144.61,106067
2016-03-09,156.3,162.2,155.15,158.05,143.83,57854
2016-03-10,158.0,160.95,156.3,156.95,142.83,36130
2016-03-11,157.1,158.5,155.6,156.55,142.47,33460
2016-03-14,155.0,157.6,153.0,153.8,139.97,26009
2016-03-15,154.0,154.0,150.1,150.75,137.19,24132
2016-03-16,148.5,151.6,148.5,149.4,135.96,30163
2016-03-17,150.25,153.2,145.6,147.3,134.05,33339
2016-03-18,147.9,148.8,146.05,148.1,134.78,30392
2016-03-21,148.0,153.0,147.85,148.65,135.28,32628
2016-03-22,148.0,149.9,147.0,147.4,135.05,19271
2016-03-23,147.4,148.45,139.0,144.7,132.58,51706
2016-03-28,143.0,147.0,140.0,145.9,133.68,46461
2016-03-29,144.5,151.0,143.0,149.75,137.2,55534
2016-03-30,148.3,151.5,148.3,150.5,137.89,27003
2016-03-31,146.15,151.0,146.15,150.3,137.71,22295
2016-04-01,149.25,150.9,147.65,148.4,135.97,12569
2016-04-04,148.05,149.8,145.0,145.6,133.4,18124
2016-04-05,146.0,146.0,143.3,143.9,131.84,21446
2016-04-06,144.0,145.6,143.25,144.6,132.49,10104
2016-04-07,143.5,145.7,143.1,143.9,131.84,9436
2016-04-08,143.05,146.85,143.05,144.65,132.53,12414
2016-04-11,145.0,148.0,141.0,147.65,135.28,29923
2016-04-12,145.5,152.55,145.5,151.6,138.9,29089
2016-04-13,152.5,155.0,150.9,154.3,141.37,33531
