Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,7.74,8.47,7.74,8.39,3.8,5096.0
2002-07-02,8.67,9.05,8.34,8.96,4.06,5414.0
2002-07-03,9.41,9.45,8.93,9.12,4.13,4252.0
2002-07-04,9.27,9.9,9.07,9.77,4.42,5652.0
2002-07-05,9.67,10.25,9.53,10.18,4.61,7604.0
2002-07-08,10.2,10.69,10.2,10.67,4.83,3344.0
2002-07-09,10.9,10.93,10.39,10.59,4.8,6344.0
2002-07-10,10.61,10.61,10.01,10.24,4.64,7316.0
2002-07-11,10.06,10.2,9.87,9.9,4.48,2082.0
2002-07-12,10.05,10.6,10.05,10.3,4.66,6696.0
2002-07-15,10.2,10.2,9.87,9.96,4.51,2594.0
2002-07-16,9.87,9.87,9.67,9.67,4.38,432.0
2002-07-17,9.8,9.98,9.33,9.7,4.39,1336.0
2002-07-18,9.73,9.74,9.7,9.74,4.41,560.0
2002-07-19,9.13,9.86,9.13,9.67,4.38,124.0
2002-07-22,10.32,10.32,9.0,9.2,4.17,2256.0
2002-07-23,9.07,9.21,9.07,9.21,4.17,68.0
2002-07-24,9.07,9.07,8.67,8.67,3.93,1200.0
2002-07-25,8.8,8.87,8.67,8.67,3.93,1192.0
2002-07-26,8.74,8.76,8.27,8.27,3.75,512.0
2002-07-29,8.33,8.45,7.74,7.97,3.61,380.0
2002-07-30,8.13,8.13,8.07,8.12,3.68,290.0
2002-07-31,7.93,8.0,7.74,7.93,3.59,320.0
2002-08-01,7.95,7.95,7.95,7.95,3.6,0.0
2002-08-02,7.87,7.87,7.17,7.3,3.31,1656.0
2002-08-05,7.93,7.93,7.8,7.8,3.53,176.0
2002-08-06,7.73,7.73,7.73,7.73,3.5,100.0
2002-08-07,7.0,8.33,7.0,8.33,3.77,1430.0
2002-08-08,8.5,8.53,7.87,7.87,3.56,1400.0
2002-08-09,7.87,7.87,7.47,7.83,3.55,2900.0
2002-08-12,7.73,8.09,7.6,7.6,4.3,680.0
2002-08-13,7.23,7.93,6.91,7.53,4.26,1162.0
2002-08-14,7.27,7.59,7.27,7.39,4.18,676.0
2002-08-15,7.39,7.39,7.39,7.39,4.18,0.0
2002-08-16,7.6,7.6,7.4,7.58,4.28,632.0
2002-08-19,7.67,7.67,7.29,7.33,4.14,2950.0
2002-08-20,7.43,8.05,7.13,7.67,4.33,43872.0
2002-08-21,7.0,7.87,7.0,7.69,4.35,588.0
2002-08-22,7.67,7.87,7.67,7.68,4.34,528.0
2002-08-23,7.4,7.67,7.4,7.66,4.33,712.0
2002-08-26,7.37,7.63,7.37,7.44,4.2,412.0
2002-08-27,8.13,8.13,7.29,7.42,4.19,304.0
2002-08-28,7.27,7.47,7.27,7.47,4.22,82.0
2002-08-29,6.87,7.56,6.87,7.55,4.27,100.0
2002-08-30,6.93,7.73,6.93,7.23,4.09,624.0
2002-09-02,6.75,7.66,6.75,7.66,4.33,252.0
2002-09-03,8.27,8.27,7.35,7.43,4.2,392.0
2002-09-04,6.8,7.65,6.8,7.33,4.14,8.0
2002-09-05,7.33,7.33,7.27,7.33,4.14,750.0
2002-09-06,7.4,7.47,7.23,7.23,4.09,450.0
2002-09-09,7.33,7.33,6.82,6.99,3.95,1156.0
2002-09-10,6.99,6.99,6.99,6.99,3.95,0.0
2002-09-11,6.73,7.13,6.73,7.06,3.99,320.0
2002-09-12,6.95,7.0,6.95,7.0,3.96,78.0
2002-09-13,7.06,7.13,6.95,7.01,3.96,248.0
2002-09-16,7.07,7.23,7.01,7.01,3.96,516.0
2002-09-17,7.03,7.13,7.03,7.08,4.0,236.0
2002-09-18,7.07,7.13,7.0,7.13,4.03,1250.0
2002-09-19,7.0,7.0,7.0,7.0,3.96,120.0
2002-09-20,7.0,7.0,7.0,7.0,3.96,0.0
2002-09-23,6.49,6.91,6.49,6.9,3.9,668.0
2002-09-24,6.85,6.85,6.85,6.85,3.87,48.0
2002-09-25,6.19,6.75,6.19,6.74,3.81,200.0
2002-09-26,6.77,7.05,6.77,7.05,3.98,10.0
2002-09-27,6.42,6.42,6.42,6.42,3.63,0.0
2002-09-30,6.97,6.97,6.74,6.74,3.81,100.0
2002-10-01,7.0,7.0,6.75,6.98,3.94,20.0
2002-10-02,6.98,6.98,6.98,6.98,3.94,0.0
2002-10-03,6.82,6.87,6.82,6.87,3.88,100.0
2002-10-04,6.8,6.87,6.8,6.85,3.87,236.0
2002-10-07,6.87,6.87,6.87,6.87,3.88,16.0
2002-10-08,6.88,6.93,6.88,6.93,3.92,480.0
2002-10-09,7.0,7.0,6.93,6.97,3.94,44.0
2002-10-10,6.93,6.93,6.93,6.93,3.92,50.0
2002-10-11,6.83,6.87,6.83,6.87,3.88,124.0
2002-10-14,6.84,6.84,6.83,6.83,3.86,140.0
2002-10-15,6.83,6.83,6.83,6.83,3.86,0.0
2002-10-16,6.81,6.81,6.73,6.74,3.81,2132.0
2002-10-17,6.93,6.93,6.93,6.93,3.92,10.0
2002-10-18,6.83,6.83,6.82,6.83,3.86,126.0
2002-10-21,6.8,7.0,6.8,6.82,3.85,48.0
2002-10-22,6.99,7.33,6.77,6.82,3.85,260.0
2002-10-23,6.8,6.8,6.67,6.67,3.77,96.0
2002-10-24,6.67,6.67,6.6,6.66,3.76,386.0
2002-10-25,6.67,6.67,6.33,6.35,3.59,836.0
2002-10-28,6.66,6.66,6.64,6.65,3.76,100.0
2002-10-29,6.69,6.99,6.69,6.99,3.95,816.0
2002-10-30,7.3,7.52,7.13,7.14,4.04,1288.0
2002-10-31,7.13,7.21,6.93,7.21,4.07,1186.0
2002-11-01,7.36,7.37,7.27,7.32,4.14,1024.0
2002-11-04,7.46,7.48,7.33,7.36,4.16,406.0
2002-11-05,7.34,7.53,7.27,7.44,4.2,564.0
2002-11-06,7.44,7.44,7.44,7.44,4.2,0.0
2002-11-07,7.1,7.73,7.1,7.53,4.26,588.0
2002-11-08,7.21,7.33,7.21,7.3,4.13,258.0
2002-11-11,7.21,7.5,7.21,7.3,4.13,232.0
2002-11-12,7.3,7.5,7.3,7.43,4.2,380.0
2002-11-13,7.4,7.53,7.4,7.53,4.26,222.0
2002-11-14,7.33,7.73,7.33,7.69,4.35,370.0
2002-11-15,7.66,7.67,7.41,7.53,4.26,340.0
2002-11-18,7.87,7.91,7.77,7.86,4.44,750.0
2002-11-19,7.86,7.86,7.86,7.86,4.44,0.0
2002-11-20,7.97,8.6,7.9,8.32,4.7,3188.0
2002-11-21,8.47,8.8,8.13,8.38,4.74,1134.0
2002-11-22,8.14,8.6,8.0,8.37,4.73,840.0
2002-11-25,8.15,8.33,7.9,8.16,4.61,508.0
2002-11-26,8.07,8.33,8.0,8.01,4.53,480.0
2002-11-27,8.07,8.3,8.03,8.1,4.58,506.0
2002-11-28,8.07,8.19,8.07,8.19,4.63,176.0
2002-11-29,8.0,8.13,7.93,7.99,4.52,258.0
2002-12-02,8.13,8.13,8.07,8.07,4.56,424.0
2002-12-03,8.02,8.3,8.02,8.3,4.69,70.0
2002-12-04,8.12,8.12,8.1,8.1,4.58,76.0
2002-12-05,8.04,8.2,8.04,8.2,4.63,430.0
2002-12-06,8.19,8.26,7.94,8.03,4.54,460.0
2002-12-09,8.03,8.25,8.03,8.18,4.62,966.0
2002-12-10,8.25,8.56,8.25,8.52,4.82,642.0
2002-12-11,8.27,8.27,8.27,8.27,4.67,438.0
2002-12-12,8.33,8.33,8.07,8.07,4.56,694.0
2002-12-13,8.07,8.33,8.07,8.17,4.62,468.0
2002-12-16,8.13,8.21,8.13,8.21,4.64,560.0
2002-12-17,8.3,8.3,8.0,8.0,4.52,550.0
2002-12-18,8.2,8.2,7.9,7.93,4.48,324.0
2002-12-19,7.9,7.9,7.9,7.9,4.46,24.0
2002-12-20,7.87,7.87,7.6,7.87,4.45,456.0
2002-12-23,7.8,8.2,7.8,8.2,4.63,5000.0
2002-12-24,7.87,8.2,7.75,7.88,4.45,5616.0
2002-12-25,7.88,7.88,7.88,7.88,4.45,0.0
2002-12-26,7.92,8.2,7.92,8.19,4.63,5096.0
2002-12-27,8.18,8.18,8.0,8.18,4.62,446.0
2002-12-30,8.0,8.13,8.0,8.13,4.59,434.0
2002-12-31,8.0,8.2,7.87,8.0,4.52,12812.0
2003-01-01,8.0,8.24,8.0,8.0,4.52,17504.0
2003-01-02,8.01,8.4,7.99,8.27,4.67,30998.0
2003-01-03,8.17,9.1,8.17,9.06,5.12,4808.0
2003-01-06,9.12,9.33,9.0,9.3,5.26,4186.0
2003-01-07,9.37,9.6,9.33,9.5,5.37,1588.0
2003-01-08,9.8,9.8,9.22,9.39,5.31,794.0
2003-01-09,9.58,9.77,9.34,9.77,5.52,1344.0
2003-01-10,9.8,9.8,9.53,9.53,5.39,3540.0
2003-01-13,10.03,10.03,9.6,9.67,5.47,1774.0
2003-01-14,9.8,9.9,9.71,9.88,5.58,1324.0
2003-01-15,10.43,10.43,10.0,10.31,5.83,1844.0
2003-01-16,10.27,10.93,10.27,10.93,6.18,3638.0
2003-01-17,12.0,12.0,10.67,10.74,6.07,1580.0
2003-01-20,10.67,10.87,10.53,10.58,5.98,3468.0
2003-01-21,10.73,10.73,10.55,10.65,6.02,3274.0
2003-01-22,10.67,10.87,10.67,10.67,6.03,2828.0
