Date,Open,High,Low,Close,Adj Close,Volume
2007-03-08,144.8,145.0,124.1,137.15,129.65,53345
2007-03-09,144.5,144.5,125.0,132.8,125.54,3281
2007-03-12,132.2,138.0,132.2,134.45,127.1,1500
2007-03-13,136.85,139.75,131.0,136.15,128.71,375
2007-03-14,123.25,133.9,123.25,130.1,122.99,967
2007-03-15,148.9,148.9,131.0,131.4,124.22,2400
2007-03-16,130.1,132.0,128.1,128.1,121.1,436
2007-03-19,130.0,130.0,128.35,128.35,121.33,100
2007-03-20,125.25,126.5,121.5,124.15,117.36,527
2007-03-21,122.4,124.9,104.1,124.45,117.65,1658
2007-03-22,123.1,125.1,122.0,123.45,116.7,554
2007-03-23,122.0,128.0,122.0,125.0,118.17,1066
2007-03-26,122.3,123.15,122.0,122.0,115.33,106
2007-03-28,123.0,124.95,123.0,123.7,116.94,289
2007-03-29,120.05,133.25,120.05,131.85,124.64,846
2007-03-30,133.6,138.6,133.5,138.45,130.88,430
2007-04-02,132.3,136.9,125.1,132.3,125.07,171
2007-04-03,135.85,135.9,128.5,130.0,122.89,224
2007-04-04,122.0,135.95,122.0,131.0,123.84,168
2007-04-05,130.0,134.5,130.0,132.0,124.79,50
2007-04-09,133.95,134.95,130.5,134.3,126.96,260
2007-04-10,140.75,140.9,131.55,135.7,128.28,947
2007-04-11,135.0,138.6,128.15,131.3,124.12,877
2007-04-12,133.95,133.95,122.1,125.1,118.26,985
2007-04-13,133.0,133.0,126.05,126.5,119.59,326
2007-04-16,129.25,132.9,129.25,131.5,124.31,3300
2007-04-17,128.05,131.95,119.05,122.7,115.99,2400
2007-04-18,123.95,126.45,121.15,124.5,117.7,1800
2007-04-19,125.0,127.95,125.0,127.4,120.44,963
2007-04-20,125.7,132.0,125.7,128.45,121.43,1700
2007-04-23,128.0,129.85,127.1,127.3,120.34,533
2007-04-24,128.75,129.2,128.5,128.75,121.71,157
2007-04-25,126.5,129.0,126.5,127.6,120.63,182
2007-04-26,127.8,130.0,126.5,128.55,121.52,1300
2007-04-27,132.0,132.5,126.0,126.7,119.77,1100
2007-04-30,128.95,132.0,128.95,130.9,123.75,1075
2007-05-03,132.0,132.0,129.0,131.05,123.89,1000
2007-05-04,132.0,132.0,126.3,128.35,121.33,791
2007-05-07,128.5,129.0,125.5,125.55,118.69,1098
2007-05-08,125.8,125.8,123.75,124.15,117.36,1100
2007-05-09,122.3,126.25,122.3,125.95,119.07,122
2007-05-10,127.5,127.5,123.4,124.05,117.27,500
2007-05-11,126.0,126.95,122.0,122.55,115.85,1200
2007-05-14,123.0,124.0,122.3,124.0,117.22,30
2007-05-15,123.0,124.15,121.0,121.2,114.58,993
2007-05-16,121.05,132.0,121.05,130.35,123.23,2300
2007-05-17,127.15,131.95,125.0,125.35,118.5,2000
2007-05-18,125.55,129.65,125.55,128.05,121.05,848
2007-05-21,126.0,128.9,124.0,124.0,117.22,959
