Date,Open,High,Low,Close,Adj Close,Volume
2003-06-18,28.35,40.0,28.35,37.1,31.72,3215
2003-06-19,34.1,38.1,34.1,36.0,30.78,6101
2003-06-20,30.0,38.5,30.0,38.1,32.58,9584
2003-06-23,38.95,39.5,37.55,38.5,32.92,25349
2003-06-24,33.0,38.5,33.0,38.0,32.49,9264
2003-06-25,33.0,38.0,33.0,37.7,32.24,7289
2003-06-26,34.1,38.0,34.1,37.65,32.19,8724
2003-06-27,36.0,36.95,34.5,36.65,31.34,10176
2003-06-30,36.9,37.0,34.6,35.0,31.47,10207
2003-07-01,33.2,36.25,33.2,35.2,31.65,4618
2003-07-02,35.0,39.8,35.0,37.55,33.77,25127
2003-07-03,39.5,39.5,38.2,38.55,34.67,12942
2003-07-04,38.95,39.0,37.0,37.1,33.36,10406
2003-07-07,33.0,38.75,33.0,37.6,33.81,9182
2003-07-08,35.1,38.0,35.1,37.2,33.45,10011
2003-07-09,33.0,37.0,33.0,36.1,32.46,11139
2003-07-10,35.45,37.0,35.2,36.65,32.96,6808
2003-07-11,35.05,36.85,35.05,36.3,32.64,5861
2003-07-14,33.0,38.5,33.0,38.05,34.22,7004
2003-07-15,35.0,39.0,35.0,38.0,34.17,10151
2003-07-16,38.0,38.45,37.25,38.2,34.35,9875
2003-07-17,34.1,38.75,34.1,38.4,34.53,17425
2003-07-18,35.15,39.0,35.15,37.95,34.13,3956
2003-07-21,35.55,38.0,35.55,37.2,33.45,4886
2003-07-22,35.1,37.3,35.1,36.85,33.14,3759
2003-07-23,33.0,37.0,33.0,36.75,33.05,1659
2003-07-24,36.25,36.75,36.25,36.45,32.78,1591
2003-07-25,33.35,36.75,33.35,36.3,32.64,2946
2003-07-28,36.05,36.85,35.35,36.6,32.91,6935
2003-07-29,36.6,39.2,36.0,38.05,34.22,10006
2003-07-30,38.2,38.6,37.3,37.5,33.72,13206
2003-07-31,34.0,39.4,34.0,38.9,34.98,11786
2003-08-01,39.7,39.7,37.55,38.65,34.76,14539
2003-08-04,36.05,38.4,36.05,37.75,33.95,6757
2003-08-05,35.0,40.0,35.0,38.8,34.89,23753
2003-08-06,37.5,39.2,37.5,37.75,33.95,6133
2003-08-07,38.5,39.35,38.0,38.35,34.49,11828
2003-08-08,39.8,39.8,37.6,38.1,34.26,6337
2003-08-11,40.0,40.0,38.0,38.3,34.44,4298
2003-08-12,39.4,39.4,37.95,38.0,34.17,3955
2003-08-13,40.5,40.5,37.5,39.05,35.12,21279
2003-08-14,39.35,41.5,39.0,39.75,35.74,19020
2003-08-15,39.75,39.75,39.75,39.75,35.74,0
2003-08-18,39.5,41.5,39.35,41.25,37.09,21163
2003-08-19,42.8,42.8,39.85,40.75,36.64,17240
2003-08-20,40.5,42.0,39.9,40.1,36.06,12195
2003-08-21,41.05,41.25,39.0,39.35,35.38,13086
2003-08-22,39.5,40.0,38.75,39.1,35.16,7976
2003-08-25,39.4,39.85,37.45,39.05,35.12,15465
2003-08-26,39.0,39.8,38.75,39.1,35.16,7851
2003-08-27,38.0,41.5,38.0,40.2,36.15,17919
2003-08-28,40.2,40.55,39.6,39.95,35.92,4057
2003-08-29,42.55,42.55,38.65,38.8,34.89,6216
2003-09-01,38.5,41.0,37.5,40.7,36.6,19169
2003-09-02,40.2,41.85,39.15,41.45,37.27,18554
2003-09-03,43.9,43.9,40.05,40.65,36.55,11413
2003-09-04,40.0,41.4,40.0,40.05,36.01,9971
2003-09-05,39.3,40.85,39.1,39.15,35.21,10772
2003-09-08,38.6,41.0,38.6,40.3,36.24,17953
2003-09-09,40.4,41.0,39.05,40.65,36.55,27079
2003-09-10,41.0,41.0,39.5,40.2,36.15,8958
2003-09-11,40.25,41.8,39.9,40.55,36.46,13694
2003-09-12,38.7,41.5,38.7,40.2,36.15,10278
2003-09-15,39.05,39.9,39.0,39.6,35.61,3727
2003-09-16,39.5,40.0,38.65,39.55,35.56,2400
2003-09-17,39.75,39.75,38.75,39.35,35.38,13354
2003-09-18,38.85,39.45,38.85,39.05,35.12,2144
2003-09-19,38.05,39.75,38.05,38.8,34.89,11253
2003-09-22,38.8,39.0,38.0,38.2,34.35,5755
2003-09-23,38.5,39.0,38.3,38.6,34.71,2992
2003-09-24,38.5,39.8,38.25,39.5,35.52,7892
2003-09-25,38.5,39.35,38.1,38.85,34.94,18177
2003-09-26,39.3,42.7,39.3,42.4,38.13,80514
2003-09-29,43.05,44.0,39.75,40.25,36.19,62424
2003-09-30,41.45,41.45,39.65,40.0,35.97,18605
2003-10-01,39.2,40.6,39.2,39.8,35.79,4213
2003-10-02,39.8,39.8,39.8,39.8,35.79,0
2003-10-03,39.1,40.75,39.1,40.15,36.1,6084
2003-10-06,40.5,41.9,40.05,41.35,37.18,21538
2003-10-07,43.0,43.0,40.9,41.8,37.59,14203
2003-10-08,42.0,42.9,40.0,40.9,36.78,16331
2003-10-09,41.4,41.6,40.5,40.8,36.69,8563
2003-10-10,41.0,42.0,40.05,40.85,36.73,15028
2003-10-13,41.75,41.8,41.0,41.2,37.05,8113
2003-10-14,40.05,41.85,40.05,40.9,36.78,13367
2003-10-15,40.8,41.25,40.1,40.25,36.19,11393
2003-10-16,40.3,42.0,40.3,41.5,37.32,20731
2003-10-17,41.05,41.9,40.55,40.65,36.55,6789
2003-10-20,41.0,41.45,39.6,40.0,35.97,8129
2003-10-21,39.95,40.0,39.0,39.15,35.21,7112
2003-10-22,39.05,39.9,38.55,38.75,34.85,4539
2003-10-23,39.6,39.6,39.0,39.05,35.12,3728
2003-10-24,40.0,40.0,38.5,39.3,35.34,1705
2003-10-27,42.1,43.0,41.1,42.7,38.4,31253
2003-10-28,43.9,43.9,41.0,41.3,37.14,4974
2003-10-29,41.0,41.35,40.75,40.8,36.69,4029
2003-10-30,41.65,43.0,40.25,41.8,37.59,16770
2003-10-31,42.8,43.0,41.5,41.5,37.32,11304
2003-11-03,42.0,43.75,41.0,42.8,38.49,27090
2003-11-04,42.0,43.2,41.1,41.15,37.0,7401
2003-11-05,41.15,42.0,41.0,41.65,37.45,9729
2003-11-06,43.0,43.0,41.3,42.1,37.86,14633
2003-11-07,41.5,45.4,41.5,43.95,39.52,67105
2003-11-10,44.6,45.5,44.05,44.95,40.42,20454
2003-11-11,45.7,46.8,45.0,45.3,40.74,34523
2003-11-12,45.25,47.8,45.1,47.05,42.31,35058
2003-11-13,47.5,48.5,46.05,46.9,42.17,29351
2003-11-14,47.0,47.5,46.0,46.3,41.63,12135
2003-11-17,45.5,47.0,45.15,46.8,42.08,12862
2003-11-18,45.75,47.75,45.75,46.1,41.45,12589
2003-11-19,46.1,46.5,45.55,45.95,41.32,7989
2003-11-20,44.9,45.95,44.9,45.1,40.56,14390
2003-11-21,45.0,45.0,42.55,43.45,39.07,8526
2003-11-24,44.0,45.45,44.0,45.05,40.51,9383
2003-11-25,46.35,46.85,44.0,45.6,41.01,9323
2003-11-26,45.6,45.6,45.6,45.6,41.01,0
2003-11-27,46.95,48.25,46.0,46.6,41.9,22817
2003-11-28,47.7,48.5,46.65,47.05,42.31,19997
2003-12-01,47.95,48.0,47.0,47.5,42.71,10565
2003-12-02,48.45,48.45,45.25,47.65,42.85,20316
2003-12-03,52.0,52.0,47.25,48.05,43.21,19502
2003-12-04,52.0,52.0,44.0,51.2,46.04,25304
2003-12-05,50.25,54.0,50.25,51.7,46.49,34873
2003-12-08,52.5,56.45,52.5,55.95,50.31,26150
2003-12-09,54.0,60.0,54.0,59.15,53.19,31182
2003-12-10,59.5,63.0,57.0,62.35,56.07,59935
2003-12-11,64.0,68.0,62.0,65.8,59.17,61732
2003-12-12,67.0,68.65,65.95,66.95,60.2,38793
2003-12-15,67.55,80.35,67.25,80.35,72.25,113650
2003-12-16,81.0,87.45,77.35,81.1,72.93,157954
2003-12-17,81.1,96.0,77.5,93.5,84.08,154551
2003-12-18,93.6,93.6,85.0,86.25,77.56,113841
2003-12-19,88.95,89.9,80.8,81.6,73.38,67013
2003-12-22,80.0,83.0,79.05,80.15,72.07,41996
2003-12-23,81.5,82.75,75.0,79.0,71.04,64412
2003-12-24,83.0,83.0,76.55,82.2,73.92,63916
2003-12-25,82.2,82.2,82.2,82.2,73.92,0
2003-12-26,82.9,85.0,80.0,83.55,75.13,71413
2003-12-29,85.65,85.65,80.65,81.5,73.29,48244
2003-12-30,83.95,83.95,78.0,78.85,70.9,31734
2003-12-31,79.25,82.0,73.1,74.85,67.31,63001
2004-01-01,75.0,76.8,73.0,73.4,66.0,33429
2004-01-02,76.45,76.45,73.0,73.9,66.45,27589
2004-01-05,77.0,77.0,68.1,74.05,66.59,43068
2004-01-06,73.0,75.0,70.7,72.8,65.46,42724
2004-01-07,71.85,71.85,67.25,70.95,63.8,31066
2004-01-08,71.0,85.0,71.0,81.75,73.51,91346
2004-01-09,81.3,83.75,77.6,78.3,70.41,58458
2004-01-12,78.2,81.0,78.2,78.6,70.68,45852
2004-01-13,80.0,81.5,76.0,80.4,72.3,30034
2004-01-14,83.0,85.0,81.0,84.8,76.26,80133
2004-01-15,85.9,90.95,85.15,88.8,79.85,111423
2004-01-16,89.6,94.0,89.4,91.3,82.1,128698
2004-01-19,91.95,98.65,88.0,97.0,87.23,115576
2004-01-20,98.0,102.0,95.0,96.05,86.37,140069
2004-01-21,96.3,98.0,79.05,85.15,76.57,81743
2004-01-22,86.9,91.45,83.0,83.7,75.27,56876
2004-01-23,84.05,88.9,82.1,88.0,79.13,28115
2004-01-26,88.0,88.0,88.0,88.0,79.13,0
2004-01-27,86.3,92.1,86.3,90.2,81.11,29479
2004-01-28,90.05,90.55,84.3,85.15,76.57,37883
2004-01-29,93.0,95.1,86.8,88.9,79.94,20648
2004-01-30,92.75,93.0,87.1,89.45,80.44,68083
2004-02-02,89.45,89.45,89.45,89.45,80.44,0
2004-02-03,90.1,90.1,78.0,80.85,72.7,22914
2004-02-04,80.0,83.5,78.5,80.85,72.7,32293
2004-02-05,81.0,82.5,75.0,77.5,69.69,12538
2004-02-06,82.0,82.0,77.9,79.25,71.26,17456
2004-02-09,79.0,83.5,79.0,81.85,73.6,18916
2004-02-10,84.0,84.5,80.0,81.85,73.6,19299
2004-02-11,81.2,83.0,80.0,81.5,73.29,15829
2004-02-12,80.55,82.0,79.4,81.15,72.97,13354
2004-02-13,77.5,82.25,77.5,81.1,72.93,9787
2004-02-16,82.1,87.0,82.0,83.1,74.73,51028
2004-02-17,83.6,84.5,82.1,82.5,74.19,13725
2004-02-18,82.9,83.0,78.0,78.8,70.86,17799
2004-02-19,80.25,81.9,78.5,79.8,71.76,22396
2004-02-20,80.3,80.3,77.25,78.05,70.19,4403
2004-02-23,85.0,85.0,77.0,77.7,69.87,8218
2004-02-24,78.5,81.0,75.1,80.45,72.34,24325
2004-02-25,78.75,79.5,75.4,77.05,69.29,10879
2004-02-26,76.2,79.0,76.2,78.0,70.14,6783
2004-02-27,77.2,79.4,75.0,78.1,70.23,21334
2004-03-01,79.9,88.75,79.9,86.25,77.56,84370
2004-03-02,86.25,86.25,86.25,86.25,77.56,0
2004-03-03,89.0,91.2,86.5,89.85,80.8,64820
2004-03-04,89.5,92.0,89.0,91.2,82.01,49168
2004-03-05,88.05,93.7,88.05,92.5,83.18,62302
2004-03-08,91.95,96.0,90.35,95.15,85.56,81921
2004-03-09,97.0,97.0,91.0,93.0,83.63,30931
2004-03-10,87.5,98.0,87.5,97.1,87.32,94111
2004-03-11,96.6,100.45,95.9,98.4,88.48,98743
2004-03-12,97.0,99.0,96.35,97.9,88.03,31080
2004-03-15,97.5,99.6,95.0,96.65,86.91,37920
2004-03-16,95.0,98.0,92.1,93.45,84.03,36656
2004-03-17,94.05,94.05,92.0,93.5,84.08,14399
2004-03-18,92.25,106.9,92.25,98.5,88.57,153555
2004-03-19,102.0,102.0,95.1,97.9,88.03,23592
2004-03-22,97.25,105.1,97.25,103.95,93.48,108239
2004-03-23,101.25,105.1,98.2,99.1,89.11,53551
2004-03-24,101.05,103.25,100.0,100.5,90.37,14553
2004-03-25,97.25,108.7,96.15,105.25,94.64,283621
2004-03-26,108.0,113.8,106.0,112.2,100.89,117235
2004-03-29,114.0,129.85,114.0,125.7,113.03,123773
2004-03-30,130.5,131.45,125.1,126.1,113.39,62462
2004-03-31,126.5,126.5,119.15,123.0,110.61,50070
2004-04-01,122.0,123.0,120.5,121.7,109.44,40074
2004-04-02,122.5,125.9,119.0,121.3,109.08,40752
2004-04-05,121.9,123.5,118.2,120.75,108.58,46108
2004-04-06,120.7,122.5,118.6,120.3,108.18,31116
2004-04-07,124.9,124.9,119.0,121.1,108.9,30628
2004-04-08,120.1,121.45,117.15,120.7,108.54,27183
2004-04-09,120.7,120.7,120.7,120.7,108.54,0
2004-04-12,118.05,121.85,118.05,119.7,107.64,32335
2004-04-13,118.8,123.9,117.95,120.85,108.67,33341
2004-04-14,120.85,120.85,120.85,120.85,108.67,0
2004-04-15,125.9,125.9,118.2,120.85,108.67,55713
2004-04-16,122.0,122.75,119.5,121.35,109.12,44065
2004-04-19,120.0,120.25,118.3,119.6,107.55,54484
2004-04-20,117.0,118.0,111.35,117.75,105.88,44038
2004-04-21,114.0,119.0,114.0,116.0,104.31,17081
2004-04-22,115.1,118.0,115.0,115.1,103.5,10156
2004-04-23,117.9,126.2,115.1,120.9,108.72,56684
2004-04-26,120.9,120.9,120.9,120.9,108.72,0
2004-04-27,118.0,121.0,115.25,119.8,107.73,35158
2004-04-28,120.9,121.5,115.4,120.25,108.13,46747
2004-04-29,120.0,121.55,118.05,120.75,108.58,9183
2004-04-30,118.0,122.0,118.0,118.65,106.69,9721
2004-05-03,117.2,120.0,117.0,119.0,107.01,13059
2004-05-04,121.2,124.0,119.55,120.95,108.76,27203
2004-05-05,120.3,122.0,119.05,120.85,108.67,18768
2004-05-06,121.5,134.5,120.8,132.6,119.24,129085
2004-05-07,134.8,134.8,124.0,125.15,112.54,46343
2004-05-10,126.85,126.85,122.05,125.55,112.9,11722
2004-05-11,120.0,123.95,120.0,121.25,109.03,24292
2004-05-12,121.25,122.1,119.0,120.95,108.76,17781
2004-05-13,118.0,126.45,117.0,125.4,112.76,19884
2004-05-14,122.55,125.0,110.7,112.75,101.39,38871
2004-05-17,103.15,103.15,90.2,91.95,82.68,14941
2004-05-18,85.0,110.0,85.0,108.3,97.39,15609
2004-05-19,110.0,115.0,106.6,108.4,97.48,26856
2004-05-20,110.0,115.05,108.0,110.3,99.19,39563
2004-05-21,109.9,115.0,105.0,109.8,98.74,23596
2004-05-24,114.0,120.0,113.0,119.3,107.28,28306
2004-05-25,118.0,123.0,117.0,122.1,109.8,20306
2004-05-26,123.95,126.7,123.0,124.9,112.31,31257
2004-05-27,122.0,125.0,120.3,122.3,109.98,13230
2004-05-28,121.5,123.0,115.7,120.1,108.0,31953
2004-05-31,107.1,116.7,107.1,112.2,100.89,19961
2004-06-01,115.25,120.0,113.1,116.55,104.81,27529
2004-06-02,118.0,119.5,114.75,115.45,103.82,16327
2004-06-03,118.0,120.0,112.0,113.5,102.06,28484
2004-06-04,115.0,115.0,109.1,113.55,102.11,22393
2004-06-07,115.0,115.0,108.0,110.25,99.14,15998
2004-06-08,109.0,111.0,108.15,109.35,98.33,16630
2004-06-09,110.35,110.4,109.0,109.9,98.83,8216
2004-06-10,109.5,110.0,107.3,108.05,97.16,8388
2004-06-11,108.8,110.0,106.2,107.6,96.76,25408
2004-06-14,106.0,106.0,102.3,103.5,93.07,36336
2004-06-15,101.0,105.0,101.0,102.85,92.49,17167
2004-06-16,104.0,104.0,98.0,100.55,90.42,20044
2004-06-17,98.0,99.9,91.6,94.1,84.62,32169
2004-06-18,95.2,99.8,93.5,98.4,88.48,30504
2004-06-21,100.9,105.9,98.1,103.7,93.25,19006
2004-06-22,103.0,103.0,101.45,102.1,91.81,7628
2004-06-23,101.5,102.5,99.3,101.4,91.18,10652
2004-06-24,100.0,100.0,98.5,98.7,88.75,11740
2004-06-25,98.05,107.0,97.5,106.25,95.54,28499
2004-06-28,107.0,110.0,107.0,108.0,97.12,18272
2004-06-29,106.8,111.0,106.0,108.85,99.73,7429
2004-06-30,107.0,112.9,107.0,109.8,100.6,21859
2004-07-01,109.55,113.9,109.55,112.15,102.75,10975
2004-07-02,111.0,111.85,110.0,110.1,100.87,3827
2004-07-05,113.9,114.9,110.9,113.0,103.53,17442
2004-07-06,115.9,118.9,114.0,115.5,105.82,22616
2004-07-07,115.3,115.3,112.3,112.45,103.03,15238
2004-07-08,112.0,116.4,110.9,110.9,101.61,13920
2004-07-09,108.0,113.6,108.0,113.05,103.58,4785
2004-07-12,114.7,115.9,111.8,114.5,104.9,17383
2004-07-13,114.0,114.95,112.5,114.25,104.68,4990
2004-07-14,114.0,114.05,112.9,113.7,104.17,7938
2004-07-15,112.8,113.25,111.0,112.3,102.89,14598
2004-07-16,111.25,115.9,111.25,114.25,104.68,38053
2004-07-19,115.0,121.0,115.0,119.65,109.62,56719
2004-07-20,119.0,129.0,119.0,127.65,116.95,59817
2004-07-21,133.2,133.2,125.75,127.0,116.36,55558
2004-07-22,130.0,133.0,128.65,132.15,121.08,42731
2004-07-23,131.0,135.9,131.0,132.65,121.53,50722
2004-07-26,132.0,134.0,128.55,131.0,120.02,41604
2004-07-27,131.0,132.45,128.4,131.45,120.43,13020
2004-07-28,127.5,130.0,127.45,129.75,118.88,7488
2004-07-29,130.0,130.0,128.0,128.5,117.73,11792
2004-07-30,133.7,133.7,126.0,127.35,116.68,19322
2004-08-02,129.9,129.9,123.0,123.9,113.52,13118
2004-08-03,124.8,126.0,122.3,125.1,114.62,8763
2004-08-04,125.0,125.85,123.5,123.55,113.2,12247
2004-08-05,123.0,125.65,123.0,124.5,114.07,8160
2004-08-06,128.0,130.0,123.5,124.0,113.61,4899
2004-08-09,122.6,124.75,122.0,124.2,113.79,33502
2004-08-10,125.75,125.75,123.35,124.45,114.02,14120
2004-08-11,132.5,149.2,126.0,135.6,124.24,194718
2004-08-12,138.45,145.95,135.0,139.7,127.99,185021
2004-08-13,143.5,155.0,143.0,151.95,139.22,412834
2004-08-16,153.0,157.5,150.85,154.55,141.6,119382
2004-08-17,155.0,157.3,148.2,149.15,136.65,63873
2004-08-18,149.5,163.9,148.0,160.6,147.14,203892
2004-08-19,165.9,165.9,156.45,158.7,145.4,113522
2004-08-20,158.9,164.5,156.5,160.6,147.14,58225
2004-08-23,155.3,159.8,152.25,157.4,144.21,56915
2004-08-24,158.0,160.95,158.0,158.85,145.54,33237
2004-08-25,159.0,171.0,157.6,165.15,151.31,116766
2004-08-26,165.6,172.5,165.6,167.7,153.65,71234
2004-08-27,167.0,173.4,167.0,171.1,156.76,79514
2004-08-30,172.25,173.9,169.5,171.0,156.67,29539
2004-08-31,173.8,174.4,167.25,167.7,153.65,22696
2004-09-01,164.5,166.95,164.05,165.65,151.77,34072
2004-09-02,166.5,166.5,162.5,163.7,149.98,21103
2004-09-03,164.0,164.5,160.3,161.2,147.69,39988
2004-09-06,160.45,162.8,158.1,159.35,146.0,40023
2004-09-07,160.0,162.7,157.25,158.35,145.08,26137
2004-09-08,160.9,162.3,156.5,157.8,144.58,14071
2004-09-09,157.0,160.5,153.2,156.05,142.97,17838
2004-09-10,155.0,160.0,150.4,157.65,144.44,48264
2004-09-13,158.0,160.8,157.05,157.95,144.71,19468
2004-09-14,162.0,162.0,156.3,157.3,144.12,15415
2004-09-15,156.15,159.5,156.15,157.0,143.84,23512
2004-09-16,159.0,167.95,158.9,162.45,148.84,51554
2004-09-17,164.0,166.0,158.5,162.15,148.56,25597
2004-09-20,163.5,163.5,158.0,158.9,145.58,19626
2004-09-21,159.3,161.0,157.0,160.2,146.78,33107
2004-09-22,150.0,162.0,150.0,159.35,146.0,20840
2004-09-23,160.0,161.9,155.2,159.3,145.95,17832
2004-09-24,160.8,160.8,155.1,156.9,143.75,17468
2004-09-27,159.75,160.5,155.5,156.85,143.71,18384
2004-09-28,158.5,161.95,158.4,160.2,146.78,31104
2004-09-29,161.9,166.75,158.05,164.0,150.26,89056
2004-09-30,167.1,167.1,160.85,163.25,149.57,45175
2004-10-01,164.5,165.0,160.05,161.0,147.51,28060
2004-10-04,163.0,179.0,159.6,175.25,160.56,157393
2004-10-05,176.0,179.0,170.15,177.8,162.9,239593
2004-10-06,175.25,180.0,173.05,175.15,160.47,60907
2004-10-07,175.0,178.3,172.5,174.7,160.06,17446
2004-10-08,177.7,177.7,173.0,173.7,159.14,6633
2004-10-11,179.0,179.0,171.1,172.2,157.77,22451
2004-10-12,200.0,200.0,171.25,172.5,158.04,15972
2004-10-13,172.5,172.5,172.5,172.5,158.04,0
2004-10-14,175.45,175.45,170.0,172.5,158.04,8514
2004-10-15,172.0,174.9,170.5,173.95,159.37,27774
2004-10-18,173.0,178.0,171.25,176.5,161.71,43202
2004-10-19,179.0,181.0,176.0,177.55,162.67,21742
2004-10-20,177.55,180.0,174.0,177.85,162.95,22761
2004-10-21,178.0,181.5,174.1,180.0,164.92,18449
2004-10-22,180.0,180.0,180.0,180.0,164.92,0
2004-10-25,184.4,184.4,174.05,174.9,160.24,13362
2004-10-26,169.0,185.9,169.0,184.65,169.18,49293
2004-10-27,182.1,191.0,182.0,189.9,173.99,66738
2004-10-28,194.8,215.0,192.85,205.65,188.42,222621
2004-10-29,208.55,221.0,206.1,209.3,191.76,224483
2004-11-01,209.6,219.9,209.6,214.85,196.85,96133
2004-11-02,217.45,219.0,213.0,214.8,196.8,37233
2004-11-03,216.55,216.55,210.0,213.05,195.2,42504
2004-11-04,214.95,216.2,209.0,210.6,192.95,43796
2004-11-05,210.4,212.2,197.0,205.95,188.69,109358
2004-11-08,206.0,207.95,202.25,204.25,187.13,73062
2004-11-09,204.25,209.2,202.25,204.1,187.0,29890
2004-11-10,208.9,210.9,205.0,209.8,192.22,46258
2004-11-11,211.0,224.0,210.0,221.05,202.53,106301
