Date,Open,High,Low,Close,Adj Close,Volume
2021-02-26,109.0,127.85,101.0,121.35,120.4,128128642
2021-03-01,128.85,145.6,127.4,145.6,144.46,44411780
2021-03-02,159.0,174.7,155.9,174.7,173.33,47816924
2021-03-03,182.9,189.7,160.3,165.55,164.25,44140719
2021-03-04,159.0,169.55,155.0,162.45,161.18,16531447
2021-03-05,165.6,170.0,156.35,159.0,157.75,7533649
2021-03-08,163.0,165.25,153.0,153.95,152.74,6631888
2021-03-09,154.0,156.0,143.25,144.2,143.07,6952197
2021-03-10,145.5,153.8,141.2,148.4,147.24,11249859
2021-03-12,150.7,151.4,143.25,145.05,143.91,3649504
2021-03-15,145.7,145.75,140.7,141.6,140.49,2728127
2021-03-16,142.75,145.35,140.4,141.25,140.14,2484229
2021-03-17,141.5,144.7,133.0,134.5,133.45,4156022
2021-03-18,137.9,138.0,129.0,130.9,129.87,3090902
2021-03-19,128.95,131.5,125.05,130.6,129.58,5032566
2021-03-22,131.75,142.5,130.6,139.7,138.61,7632251
2021-03-23,142.5,143.8,136.55,138.2,137.12,5064535
2021-03-24,136.9,137.7,133.65,134.1,133.05,1828025
2021-03-25,134.3,136.2,128.6,130.55,129.53,2400349
2021-03-26,134.2,134.4,124.6,127.5,126.5,4569177
2021-03-30,128.35,129.9,125.7,127.65,126.65,1643816
2021-03-31,127.65,130.7,126.0,126.8,126.8,1951435
2021-04-01,128.1,130.5,126.8,128.8,128.8,2709913
2021-04-05,128.95,129.0,124.0,124.45,124.45,2098870
2021-04-06,124.75,125.0,122.25,122.55,122.55,1664214
2021-04-07,123.0,126.4,122.05,123.5,123.5,2300941
2021-04-08,125.0,125.75,123.0,123.9,123.9,2187813
2021-04-09,123.1,124.75,122.05,122.2,122.2,1992752
2021-04-12,120.0,120.0,111.0,114.2,114.2,3095710
2021-04-13,115.15,117.5,114.1,116.8,116.8,949551
2021-04-15,117.0,117.0,113.85,115.05,115.05,797101
2021-04-16,115.65,116.5,114.2,114.9,114.9,1081879
2021-04-19,111.65,111.95,109.1,111.45,111.45,1154644
2021-04-20,112.0,113.35,109.9,110.25,110.25,1810889
2021-04-22,109.7,110.65,108.45,109.7,109.7,1115771
2021-04-23,109.35,127.3,109.05,123.2,123.2,13116395
2021-04-26,125.0,125.0,120.0,120.45,120.45,2715920
2021-04-27,120.45,127.3,120.05,123.95,123.95,3336800
2021-04-28,124.05,126.75,123.15,123.4,123.4,1657700
2021-04-29,124.55,124.6,121.15,122.0,122.0,1160875
2021-04-30,121.25,124.3,120.55,121.7,121.7,1053137
2021-05-03,121.0,122.0,119.05,119.95,119.95,907564
2021-05-04,121.0,122.65,119.0,119.3,119.3,1296985
2021-05-05,120.4,121.35,119.4,119.8,119.8,811406
2021-05-06,120.7,120.7,118.4,118.85,118.85,588884
2021-05-07,119.5,126.3,119.0,122.25,122.25,3316323
2021-05-10,123.25,125.0,121.4,122.65,122.65,1478725
2021-05-11,121.6,129.7,121.05,128.3,128.3,4381779
2021-05-12,130.95,133.5,127.05,127.7,127.7,4295064
2021-05-14,128.9,129.2,123.6,125.65,125.65,1284592
2021-05-17,127.95,131.3,126.6,128.05,128.05,3383442
2021-05-18,129.25,131.1,128.2,129.65,129.65,3285205
2021-05-19,129.0,135.0,128.3,133.2,133.2,4611751
2021-05-20,133.0,135.0,129.55,130.45,130.45,2064077
2021-05-21,131.25,133.0,131.15,131.75,131.75,1435024
2021-05-24,132.1,132.8,130.0,130.6,130.6,1193893
2021-05-25,131.4,132.5,129.4,129.9,129.9,1442796
2021-05-26,130.9,131.45,129.0,129.25,129.25,1227079
2021-05-27,129.9,130.0,127.9,128.1,128.1,900930
2021-05-28,128.5,130.15,128.15,128.45,128.45,1222705
2021-05-31,128.8,129.85,127.65,128.8,128.8,830999
2021-06-01,128.9,129.65,126.15,127.2,127.2,787476
2021-06-02,126.85,128.85,126.15,127.25,127.25,726715
2021-06-03,127.8,131.2,127.55,130.85,130.85,2486421
2021-06-04,131.8,134.85,130.55,132.6,132.6,4118641
2021-06-07,134.0,140.5,134.0,137.65,137.65,7575815
2021-06-08,139.2,140.65,136.25,138.3,138.3,3015729
2021-06-09,139.2,158.3,137.55,153.0,153.0,26415842
2021-06-10,158.0,164.6,153.6,154.45,154.45,13767318
2021-06-11,155.4,156.2,148.55,149.9,149.9,3534943
2021-06-14,148.0,149.7,141.55,145.7,145.7,3157482
2021-06-15,146.0,155.4,146.0,150.45,150.45,4034660
2021-06-16,151.0,151.2,146.25,147.75,147.75,1991533
2021-06-17,145.9,150.7,145.0,146.85,146.85,2101478
2021-06-18,147.7,147.8,140.0,144.35,144.35,1993678
2021-06-21,140.35,147.8,140.2,145.0,145.0,1313515
2021-06-22,146.0,151.5,145.7,149.35,149.35,2182677
2021-06-23,149.4,149.7,146.25,146.65,146.65,1258742
2021-06-24,146.9,149.0,145.5,146.55,146.55,1241324
2021-06-25,147.9,150.0,147.2,147.55,147.55,1598579
2021-06-28,146.9,146.9,143.9,144.4,144.4,1433821
2021-06-29,144.5,145.7,142.0,142.45,142.45,957141
2021-06-30,142.9,144.45,140.8,141.4,141.4,1036554
2021-07-01,143.0,143.35,139.55,140.15,140.15,771116
2021-07-02,139.6,143.95,138.55,141.9,141.9,1627721
