Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,2.8,2.8,2.55,2.71,1.1,10505
2002-08-13,2.89,2.89,2.6,2.61,1.06,16260
2002-08-14,2.56,2.63,2.56,2.63,1.07,37815
2002-08-15,2.63,2.63,2.63,2.63,1.07,0
2002-08-16,2.62,2.62,2.56,2.58,1.05,10800
2002-08-19,2.36,2.7,2.36,2.58,1.05,18030
2002-08-20,2.59,2.64,2.57,2.6,1.06,11120
2002-08-21,2.94,2.94,2.55,2.62,1.07,11390
2002-08-22,2.79,2.79,2.57,2.59,1.06,5505
2002-08-23,2.65,2.7,2.6,2.62,1.07,21000
2002-08-26,2.71,2.71,2.6,2.71,1.1,3005
2002-08-27,3.14,3.14,2.2,2.55,1.04,15170
2002-08-28,3.0,3.0,2.31,2.5,1.02,3025
2002-08-29,2.17,2.54,2.17,2.54,1.04,4255
2002-08-30,2.52,2.53,2.44,2.48,1.01,15500
2002-09-02,2.73,2.73,2.48,2.52,1.03,19255
2002-09-03,2.51,2.58,2.46,2.46,1.0,11850
2002-09-04,2.55,2.55,2.42,2.44,0.99,17250
2002-09-05,2.4,2.51,2.4,2.46,1.0,6500
2002-09-06,2.53,2.62,2.43,2.5,1.02,30395
2002-09-09,2.78,2.78,2.38,2.41,0.98,13005
2002-09-10,2.41,2.41,2.41,2.41,0.98,0
2002-09-11,2.67,2.67,2.4,2.4,0.98,9005
2002-09-12,2.44,2.49,2.4,2.48,1.01,24750
2002-09-13,2.51,2.51,2.46,2.46,1.0,13500
2002-09-16,2.44,2.44,2.42,2.43,0.99,11500
2002-09-17,2.5,2.5,2.41,2.42,0.99,11750
2002-09-18,2.25,2.46,2.25,2.44,0.99,19575
2002-09-19,2.32,2.48,2.31,2.45,1.0,22980
2002-09-20,2.34,2.55,2.34,2.38,0.97,17500
2002-09-23,2.39,2.43,2.26,2.31,0.94,23875
2002-09-24,2.3,2.36,2.26,2.29,0.93,11755
2002-09-25,2.39,2.39,2.24,2.29,0.93,7005
2002-09-26,2.48,2.48,2.27,2.28,0.93,755
2002-09-27,2.22,2.35,2.22,2.35,0.96,7500
2002-09-30,2.46,2.46,2.26,2.27,0.93,6505
2002-10-01,2.24,2.25,2.14,2.16,0.88,21005
2002-10-02,2.16,2.16,2.16,2.16,0.88,0
2002-10-03,2.18,2.2,2.17,2.17,0.88,7500
2002-10-04,2.22,2.22,2.12,2.14,0.87,11505
2002-10-07,2.32,2.32,2.13,2.2,0.9,6510
2002-10-08,2.34,2.34,2.18,2.18,0.89,4255
2002-10-09,2.29,2.29,2.13,2.2,0.9,8505
2002-10-10,2.13,2.14,2.12,2.14,0.87,4000
2002-10-11,2.29,2.29,2.1,2.1,0.86,23260
2002-10-14,2.29,2.29,2.1,2.16,0.88,7885
2002-10-15,2.16,2.16,2.16,2.16,0.88,0
2002-10-16,2.26,2.3,2.12,2.12,0.86,22655
2002-10-17,2.29,2.29,2.11,2.13,0.87,2910
2002-10-18,1.81,2.18,1.81,2.17,0.88,23260
2002-10-21,2.17,2.27,2.15,2.27,0.93,14250
2002-10-22,2.2,2.25,2.17,2.18,0.89,55730
2002-10-23,2.32,2.32,2.16,2.21,0.9,18005
2002-10-24,2.16,2.24,2.16,2.19,0.89,20475
2002-10-25,2.19,2.22,2.19,2.22,0.91,18000
2002-10-28,2.2,2.2,2.17,2.17,0.88,16045
2002-10-29,2.2,2.2,2.17,2.18,0.89,9000
2002-10-30,2.11,2.24,2.11,2.24,0.91,3500
2002-10-31,2.2,2.28,2.2,2.25,0.92,12700
2002-11-01,2.25,2.25,2.12,2.12,0.86,4260
2002-11-04,2.4,2.4,2.14,2.14,0.87,755
2002-11-05,2.25,2.25,2.15,2.25,0.92,20500
2002-11-06,2.25,2.25,2.25,2.25,0.92,0
2002-11-07,2.7,2.7,2.11,2.28,0.93,13320
2002-11-08,2.14,2.44,1.9,2.24,0.91,20005
2002-11-11,2.18,2.18,2.18,2.18,0.89,1000
2002-11-12,2.17,2.24,2.17,2.19,0.89,2350
2002-11-13,1.9,2.28,1.9,2.23,0.91,15010
2002-11-14,2.28,2.3,2.2,2.21,0.9,6000
2002-11-15,2.23,2.29,2.2,2.23,0.91,15375
2002-11-18,2.24,2.3,2.23,2.26,0.92,5175
2002-11-19,2.26,2.26,2.26,2.26,0.92,0
2002-11-20,2.29,2.38,2.25,2.37,0.97,12750
2002-11-21,2.38,2.45,2.32,2.32,0.95,22750
2002-11-22,2.4,2.45,2.38,2.41,0.98,51000
2002-11-25,2.3,2.42,2.3,2.42,0.99,21550
2002-11-26,2.48,2.5,2.4,2.41,0.98,6630
2002-11-27,2.0,2.46,2.0,2.32,0.95,6760
2002-11-28,2.31,2.45,2.31,2.38,0.97,7000
2002-11-29,2.38,2.38,2.38,2.38,0.97,0
2002-12-02,2.34,2.47,2.34,2.45,1.0,13750
2002-12-03,2.4,2.4,2.32,2.34,0.95,34450
2002-12-04,2.66,2.66,2.25,2.26,0.92,17760
2002-12-05,2.45,2.45,2.29,2.38,0.97,24800
2002-12-06,2.39,2.4,2.3,2.33,0.95,418160
2002-12-09,2.38,2.38,2.34,2.36,0.96,5500
2002-12-10,2.36,2.36,2.32,2.35,0.96,34500
2002-12-11,2.3,2.31,2.3,2.3,0.94,15005
2002-12-12,2.2,2.27,2.2,2.23,0.91,31605
2002-12-13,2.22,2.27,2.22,2.22,0.91,41500
2002-12-16,2.15,2.22,2.15,2.2,0.9,25005
2002-12-17,2.14,2.2,2.13,2.13,0.87,16370
2002-12-18,2.14,2.19,2.1,2.1,0.86,15255
2002-12-19,2.05,2.17,2.05,2.09,0.85,28800
2002-12-20,1.94,2.18,1.94,2.16,0.88,7455
