Date,Open,High,Low,Close,Adj Close,Volume
2018-10-23,13.0,13.0,13.0,13.0,13.0,8000
2018-10-24,13.05,13.05,12.9,13.0,13.0,32000
2018-10-25,13.0,13.1,13.0,13.1,13.1,16000
2018-10-26,13.0,13.0,13.0,13.0,13.0,8000
2018-10-29,13.02,13.02,12.7,12.7,12.7,16000
2018-10-30,13.0,13.0,13.0,13.0,13.0,8000
2018-10-31,12.68,12.68,12.68,12.68,12.68,8000
2018-11-01,12.45,12.45,12.45,12.45,12.45,8000
2018-11-02,12.55,12.55,12.55,12.55,12.55,8000
2018-11-05,12.45,12.45,12.45,12.45,12.45,8000
2018-11-06,12.5,12.5,12.5,12.5,12.5,8000
2018-11-07,12.7,12.7,12.7,12.7,12.7,8000
2018-11-09,12.5,12.5,12.5,12.5,12.5,8000
2018-11-12,12.55,12.55,12.55,12.55,12.55,8000
2018-11-13,12.45,12.45,12.45,12.45,12.45,8000
2018-11-14,12.55,12.55,12.5,12.55,12.55,24000
2018-11-15,12.7,12.7,12.45,12.45,12.45,16000
2018-11-16,12.7,12.7,12.6,12.6,12.6,16000
2018-11-19,12.6,12.6,12.6,12.6,12.6,0
2018-11-20,12.6,12.6,12.6,12.6,12.6,0
2018-11-21,12.5,12.5,12.45,12.45,12.45,16000
2018-11-22,12.45,12.45,12.45,12.45,12.45,0
2018-11-26,12.6,12.6,12.6,12.6,12.6,8000
2018-11-27,12.6,12.6,12.6,12.6,12.6,0
2018-11-28,12.6,12.6,12.6,12.6,12.6,0
2018-11-29,12.65,12.65,12.5,12.5,12.5,16000
2018-11-30,12.5,12.5,12.5,12.5,12.5,0
2018-12-03,12.5,12.5,12.5,12.5,12.5,0
2018-12-04,12.55,12.55,12.45,12.45,12.45,32000
2018-12-05,12.6,12.6,12.5,12.5,12.5,24000
2018-12-06,12.5,12.5,12.5,12.5,12.5,0
2018-12-07,12.5,12.5,12.5,12.5,12.5,0
2018-12-10,12.45,12.6,12.45,12.6,12.6,32000
2018-12-11,12.7,12.7,12.6,12.6,12.6,24000
2018-12-12,12.6,12.6,12.6,12.6,12.6,0
2018-12-13,12.6,12.6,12.6,12.6,12.6,0
2018-12-14,12.6,12.6,12.6,12.6,12.6,0
2018-12-17,12.95,13.05,12.95,13.0,13.0,32000
2018-12-18,12.8,12.8,12.7,12.7,12.7,32000
2018-12-19,12.65,12.65,12.65,12.65,12.65,8000
2018-12-20,12.65,12.65,12.65,12.65,12.65,0
2018-12-21,12.65,12.65,12.65,12.65,12.65,0
2018-12-24,12.65,12.65,12.65,12.65,12.65,0
2018-12-26,12.65,12.65,12.65,12.65,12.65,0
2018-12-27,12.65,12.65,12.65,12.65,12.65,0
2018-12-28,12.8,12.8,12.5,12.5,12.5,40000
2018-12-31,12.75,12.75,12.65,12.65,12.65,32000
2019-01-01,12.65,12.65,12.65,12.65,12.65,0
2019-01-02,12.65,12.65,12.65,12.65,12.65,0
2019-01-03,12.75,12.9,12.75,12.8,12.8,32000
2019-01-04,12.8,12.8,12.7,12.7,12.7,56000
2019-01-07,12.75,12.82,12.73,12.82,12.82,40000
2019-01-08,12.75,12.9,12.75,12.9,12.9,32000
2019-01-09,12.95,12.95,12.85,12.85,12.85,24000
2019-01-10,12.8,12.93,12.8,12.93,12.93,32000
2019-01-11,12.88,12.95,12.85,12.95,12.95,32000
2019-01-14,12.85,12.88,12.85,12.88,12.88,16000
2019-01-15,12.8,13.05,12.5,13.05,13.05,24000
2019-01-16,13.05,13.05,13.05,13.05,13.05,0
2019-01-17,13.05,13.05,13.05,13.05,13.05,0
2019-01-18,12.95,12.98,12.95,12.98,12.98,16000
2019-01-21,12.98,12.98,12.98,12.98,12.98,0
2019-01-22,12.98,12.98,12.98,12.98,12.98,0
2019-01-23,12.98,12.98,12.98,12.98,12.98,0
2019-01-24,12.98,12.98,12.98,12.98,12.98,0
2019-01-25,12.9,13.0,12.9,13.0,13.0,16000
2019-01-28,12.93,12.93,12.93,12.93,12.93,8000
2019-01-29,12.93,12.93,12.93,12.93,12.93,0
2019-01-30,12.85,13.0,12.85,12.95,12.95,120000
2019-01-31,12.9,12.98,12.85,12.95,12.95,40000
2019-02-01,12.85,12.95,12.85,12.9,12.9,40000
2019-02-04,12.8,12.93,12.8,12.9,12.9,40000
2019-02-05,13.0,13.0,13.0,13.0,13.0,8000
2019-02-06,13.07,13.12,13.02,13.12,13.12,40000
2019-02-07,13.07,13.1,13.05,13.1,13.1,24000
2019-02-08,13.15,13.15,13.12,13.12,13.12,16000
2019-02-11,13.12,13.12,13.12,13.12,13.12,0
2019-02-12,13.02,13.05,13.02,13.05,13.05,16000
2019-02-14,13.05,13.05,13.05,13.05,13.05,0
2019-02-15,13.05,13.05,13.05,13.05,13.05,0
2019-02-18,13.07,13.1,13.05,13.1,13.1,24000
2019-02-19,13.07,13.07,13.07,13.07,13.07,8000
2019-02-20,13.12,13.12,13.12,13.12,13.12,8000
2019-02-21,13.07,13.07,13.07,13.07,13.07,16000
2019-02-22,13.07,13.07,13.07,13.07,13.07,0
2019-02-25,13.15,13.15,13.15,13.15,13.15,8000
2019-02-26,13.05,13.05,13.05,13.05,13.05,8000
2019-02-27,13.12,13.12,13.12,13.12,13.12,8000
2019-02-28,13.1,13.1,13.1,13.1,13.1,8000
2019-03-01,13.18,13.18,13.18,13.18,13.18,8000
2019-03-05,13.15,13.15,13.15,13.15,13.15,8000
2019-03-06,13.2,13.2,13.2,13.2,13.2,8000
2019-03-07,13.1,13.1,13.1,13.1,13.1,8000
2019-03-08,13.15,13.15,13.15,13.15,13.15,8000
2019-03-11,13.15,13.15,13.15,13.15,13.15,0
2019-03-12,13.1,13.1,13.1,13.1,13.1,8000
2019-03-13,13.15,13.15,13.15,13.15,13.15,8000
2019-03-14,13.05,13.05,13.05,13.05,13.05,8000
2019-03-15,13.12,13.12,13.12,13.12,13.12,8000
2019-03-18,13.07,13.07,13.07,13.07,13.07,8000
2019-03-19,13.07,13.07,13.07,13.07,13.07,0
2019-03-20,13.12,13.12,13.1,13.1,13.1,16000
2019-03-22,13.18,13.23,13.12,13.15,13.15,48000
2019-03-25,13.18,13.2,13.1,13.2,13.2,24000
2019-03-26,13.1,13.18,13.1,13.18,13.18,32000
2019-03-27,13.1,13.15,13.1,13.15,13.15,16000
2019-03-28,13.1,13.2,13.1,13.12,13.12,56000
2019-04-01,13.15,13.2,13.1,13.15,13.15,48000
2019-04-02,13.15,13.15,13.15,13.15,13.15,0
2019-04-03,13.15,13.15,13.15,13.15,13.15,0
2019-04-04,13.15,13.15,13.15,13.15,13.15,0
2019-04-05,13.05,13.05,13.05,13.05,13.05,8000
2019-04-08,13.12,13.2,13.0,13.1,13.1,72000
2019-04-09,13.2,13.2,13.05,13.12,13.12,48000
2019-04-10,13.12,13.12,13.12,13.12,13.12,0
2019-04-11,13.12,13.12,13.12,13.12,13.12,0
2019-04-12,13.12,13.12,13.12,13.12,13.12,0
2019-04-15,13.12,13.12,13.12,13.12,13.12,0
2019-04-16,13.12,13.12,13.12,13.12,13.12,0
2019-04-18,13.12,13.12,13.12,13.12,13.12,0
2019-04-22,13.15,13.15,13.15,13.15,13.15,8000
2019-04-23,13.15,13.15,13.15,13.15,13.15,0
2019-04-24,13.15,13.15,13.15,13.15,13.15,0
2019-04-25,13.15,13.15,13.15,13.15,13.15,0
2019-04-26,13.15,13.15,13.15,13.15,13.15,0
2019-04-30,13.15,13.15,13.15,13.15,13.15,0
2019-05-02,13.15,13.23,13.15,13.18,13.18,24000
2019-05-03,13.2,13.23,13.15,13.23,13.23,24000
2019-05-06,13.18,13.2,13.15,13.15,13.15,24000
2019-05-07,13.23,13.23,13.2,13.2,13.2,16000
2019-05-08,13.2,13.2,13.2,13.2,13.2,0
2019-05-09,13.2,13.2,13.2,13.2,13.2,0
2019-05-10,13.2,13.2,13.2,13.2,13.2,0
