Date,Open,High,Low,Close,Adj Close,Volume
2020-05-22,196.4,196.4,182.05,186.4,186.4,7765
2020-05-26,193.95,193.95,175.5,179.3,179.3,4112
2020-05-27,179.0,183.0,172.0,173.9,173.9,6294
2020-05-28,179.45,182.0,176.6,181.0,181.0,15078
2020-05-29,181.0,189.0,180.95,185.05,185.05,14376
2020-06-01,187.0,192.85,186.5,192.0,192.0,6344
2020-06-02,193.75,215.0,166.0,206.15,206.15,23698
2020-06-03,222.0,247.35,185.05,215.1,215.1,44077
2020-06-04,215.95,215.95,203.05,212.6,212.6,8255
2020-06-05,210.0,223.95,207.1,220.2,220.2,7163
2020-06-08,222.0,231.9,218.8,224.45,224.45,12965
2020-06-09,225.0,228.55,216.05,218.85,218.85,7622
2020-06-10,218.85,229.85,218.85,228.35,228.35,9295
2020-06-11,230.0,233.0,215.4,219.35,219.35,8901
2020-06-12,202.5,219.35,202.5,215.6,215.6,4177
2020-06-15,214.0,220.0,213.5,214.9,214.9,1468
2020-06-16,214.1,224.0,213.0,218.05,218.05,2643
2020-06-17,219.95,219.95,213.8,215.0,215.0,1837
2020-06-18,213.0,218.0,212.0,214.7,214.7,903
2020-06-19,218.0,222.85,214.05,221.0,221.0,3377
2020-06-22,232.0,232.0,215.2,223.2,223.2,2878
2020-06-23,225.0,229.0,218.5,221.95,221.95,7490
2020-06-24,221.05,225.0,216.2,216.4,216.4,2585
2020-06-25,220.0,220.0,212.1,213.1,213.1,2589
2020-06-26,218.95,219.95,214.0,218.15,218.15,1827
2020-06-29,215.0,219.3,210.0,213.65,213.65,3114
2020-06-30,224.9,224.9,213.0,216.7,216.7,4263
2020-07-01,214.55,224.0,214.55,223.1,223.1,4628
2020-07-02,223.0,227.95,213.0,223.25,223.25,2611
2020-07-03,229.5,267.0,222.1,247.75,247.75,53509
2020-07-06,253.0,265.0,237.05,261.0,261.0,15647
2020-07-07,276.35,276.35,262.0,269.25,269.25,22909
2020-07-08,276.95,278.0,260.0,267.5,267.5,8658
2020-07-09,276.9,276.9,254.0,261.1,261.1,4035
2020-07-10,260.0,267.85,236.0,256.4,256.4,8377
2020-07-13,256.4,258.8,232.65,240.8,240.8,9077
2020-07-14,240.8,240.8,233.7,236.75,236.75,3155
2020-07-15,244.0,284.1,239.0,259.8,259.8,108344
2020-07-16,252.1,256.95,239.1,245.45,245.45,26490
2020-07-17,249.8,269.0,241.65,249.85,249.85,5203
2020-07-20,254.0,259.8,241.25,249.6,249.6,6088
2020-07-21,250.05,273.95,244.25,257.0,257.0,18910
2020-07-22,251.0,258.0,246.95,250.35,250.35,4619
2020-07-23,253.15,256.8,246.25,251.15,251.15,2122
2020-07-24,255.0,269.05,243.05,263.45,263.45,23127
2020-07-27,262.5,264.95,249.0,261.7,261.7,4975
2020-07-28,266.05,267.0,255.0,258.2,258.2,2033
2020-07-29,263.45,273.0,250.05,262.7,262.7,5706
2020-07-30,260.15,267.5,250.25,255.65,255.65,4992
2020-07-31,255.0,255.0,244.0,248.7,248.7,7074
2020-08-03,250.05,250.05,239.15,244.4,244.4,6713
2020-08-04,239.05,253.95,239.05,249.95,249.95,1731
2020-08-05,253.05,274.65,243.95,256.25,256.25,6473
2020-08-06,260.0,260.0,246.0,250.95,250.95,2072
2020-08-07,251.95,265.0,250.3,260.4,260.4,3710
2020-08-10,269.9,299.0,254.95,290.4,290.4,31358
2020-08-11,309.8,319.45,288.65,292.7,292.7,8642
2020-08-12,298.95,298.95,276.95,294.45,294.45,3781
2020-08-13,300.0,312.0,279.0,306.4,306.4,16491
2020-08-14,305.0,309.0,283.1,292.6,292.6,7104
2020-08-17,299.95,312.0,296.75,302.8,302.8,17454
2020-08-18,310.0,310.0,300.1,307.25,307.25,6872
2020-08-19,311.8,316.2,303.65,314.4,314.4,7942
2020-08-20,314.0,321.85,307.0,319.85,319.85,9927
2020-08-21,310.05,324.9,310.05,314.85,314.85,3836
2020-08-24,322.3,329.5,314.15,321.4,321.4,24568
2020-08-25,321.4,324.45,315.05,317.65,317.65,4865
2020-08-26,317.85,328.9,311.05,326.4,326.4,17153
2020-08-27,323.0,334.25,323.0,331.25,331.25,10090
