Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,177.33,180.0,177.33,180.0,131.3,225
1996-01-02,180.0,180.33,179.0,179.97,131.27,1875
1996-01-03,180.0,180.0,180.0,180.0,131.3,525
1996-01-04,180.0,180.0,180.0,180.0,131.3,75
1996-01-05,177.0,177.0,174.33,174.33,127.16,525
1996-01-08,174.33,176.67,172.03,176.17,128.5,1125
1996-01-09,176.17,178.67,176.0,177.47,129.45,2250
1996-01-10,177.47,178.67,176.67,177.67,129.59,1575
1996-01-11,176.67,178.0,176.67,178.0,129.84,300
1996-01-12,178.0,179.0,179.0,179.0,130.57,75
1996-01-15,178.67,179.0,177.5,178.27,130.03,300
1996-01-16,176.73,183.33,176.73,182.9,133.41,1500
1996-01-17,182.9,180.67,178.67,180.43,131.61,1725
1996-01-18,176.67,180.0,176.63,176.7,128.89,675
1996-01-19,176.7,178.67,176.17,178.67,130.32,1725
1996-01-22,178.67,178.67,177.37,178.67,130.32,1125
1996-01-23,178.67,178.83,177.17,178.37,130.1,3075
1996-01-24,178.37,177.33,176.67,177.33,129.35,750
1996-01-25,177.33,180.0,172.0,173.07,126.24,1200
1996-01-26,173.07,173.07,173.07,173.07,126.24,0
1996-01-29,173.07,173.33,167.33,173.33,126.43,2100
1996-01-30,173.33,177.97,172.57,174.67,127.4,1200
1996-01-31,174.67,178.67,174.67,177.33,129.35,1725
1996-02-01,177.33,179.33,176.4,178.87,130.47,1425
1996-02-02,177.33,180.5,177.33,180.5,131.66,600
1996-02-05,180.5,183.17,179.33,179.33,130.81,900
1996-02-06,179.33,181.67,180.03,181.5,132.39,4875
1996-02-07,180.0,181.67,180.0,180.03,131.32,1125
1996-02-08,180.03,186.67,182.67,186.17,135.79,3525
1996-02-09,196.67,196.67,187.33,195.83,142.84,1950
1996-02-12,195.83,209.93,196.7,208.0,151.72,6675
1996-02-13,205.33,209.3,196.67,205.67,150.02,4875
1996-02-14,205.67,218.67,210.67,215.33,157.07,10875
1996-02-15,215.33,216.67,213.33,214.13,156.19,4575
1996-02-16,214.13,213.33,208.0,212.0,154.64,7725
1996-02-19,212.0,215.33,208.67,213.33,155.61,6525
1996-02-20,213.33,214.33,210.0,213.87,156.0,6150
1996-02-21,213.87,213.87,213.87,213.87,156.0,0
1996-02-22,213.87,217.33,207.67,215.57,157.24,6600
1996-02-23,215.57,220.67,214.67,220.33,160.72,11850
1996-02-26,220.33,221.33,217.5,221.27,161.4,6750
1996-02-27,221.27,223.27,220.0,221.43,161.52,5700
1996-02-28,221.43,221.33,216.73,217.53,158.67,2250
1996-02-29,217.53,217.33,208.67,214.03,156.12,2475
1996-03-01,214.03,214.0,210.67,213.33,155.61,2550
1996-03-04,213.33,216.0,212.87,215.03,156.85,3000
1996-03-05,215.03,215.03,215.03,215.03,156.85,0
1996-03-06,215.03,214.0,211.5,213.93,156.05,2700
1996-03-07,213.93,217.83,213.67,216.67,158.04,2775
1996-03-08,216.67,214.67,212.23,213.33,155.61,3000
1996-03-11,213.33,213.8,210.0,213.8,155.95,3075
1996-03-12,213.8,216.67,211.73,212.67,155.12,3675
1996-03-13,212.67,215.33,213.33,215.33,157.07,900
1996-03-14,213.53,214.67,213.53,214.67,156.58,600
1996-03-15,214.67,216.67,212.4,216.67,158.04,2175
1996-03-18,216.67,214.67,212.0,214.67,156.58,2475
1996-03-19,214.67,215.83,211.53,213.7,155.88,2100
1996-03-20,213.7,213.7,213.7,213.7,155.88,0
1996-03-21,213.7,214.67,213.5,214.2,156.24,975
1996-03-22,214.2,220.0,213.5,218.1,159.09,4350
1996-03-25,218.1,220.67,214.0,220.03,160.5,3075
1996-03-26,220.0,220.67,217.33,220.13,160.57,10500
1996-03-27,220.13,221.5,219.67,220.0,160.47,2100
1996-03-28,216.67,220.33,216.67,220.03,160.5,1200
1996-03-29,222.67,222.67,216.73,216.73,158.09,1950
1996-04-01,218.67,220.6,218.67,218.7,159.52,600
1996-04-02,218.7,219.33,218.33,218.6,159.45,1125
1996-04-03,216.67,220.0,216.0,219.2,159.89,1125
1996-04-04,218.73,220.0,218.73,220.0,160.47,750
1996-04-05,220.0,220.0,220.0,220.0,160.47,0
1996-04-08,220.0,220.0,217.37,218.13,159.11,5100
1996-04-09,218.13,217.67,215.37,216.0,157.55,4875
1996-04-10,216.0,216.67,210.8,215.83,157.43,5325
1996-04-11,215.83,220.0,210.83,219.83,160.35,20250
1996-04-12,219.83,220.33,216.67,220.0,160.47,8550
1996-04-15,220.0,220.33,216.03,220.23,160.64,6750
1996-04-16,220.23,220.33,215.47,220.07,160.52,42300
1996-04-17,220.07,220.3,216.8,220.07,160.52,21675
1996-04-18,220.07,231.33,223.33,225.63,164.58,16650
1996-04-19,225.63,229.33,223.97,224.53,163.78,6000
1996-04-22,224.53,223.33,220.37,220.83,161.08,9825
1996-04-23,220.83,221.33,214.1,220.53,160.86,32325
1996-04-24,220.53,222.6,220.0,222.37,162.2,3975
1996-04-25,222.37,220.67,214.7,220.67,160.96,9000
1996-04-26,220.67,220.67,216.7,218.67,159.5,12975
1996-04-29,218.67,216.67,211.5,212.17,154.76,5250
1996-04-30,212.17,206.67,200.0,201.4,146.9,5325
1996-05-01,201.4,204.67,203.33,204.03,148.83,675
