Date,Open,High,Low,Close,Adj Close,Volume
2008-03-12,64.95,64.95,59.38,60.65,29.01,223361888
2008-03-13,58.17,60.8,54.25,56.8,27.17,46737320
2008-03-14,57.5,58.38,54.67,56.22,26.9,13325934
2008-03-17,53.0,54.5,50.25,52.4,25.07,16572398
2008-03-18,52.0,54.5,51.05,52.6,25.16,10740822
2008-03-19,53.5,54.85,50.5,51.08,24.43,6279710
2008-03-24,51.58,52.35,46.33,48.1,23.01,6083648
2008-03-25,49.3,52.97,47.62,52.38,25.05,12995302
2008-03-26,52.5,53.7,51.35,52.62,25.17,9409436
2008-03-27,52.5,55.88,52.38,55.1,26.36,13998138
2008-03-28,55.5,55.97,52.6,54.53,26.08,6589468
2008-03-31,54.72,54.95,52.88,53.22,25.46,4481170
2008-04-01,53.72,54.45,51.85,52.15,24.95,1779984
2008-04-02,53.0,54.45,51.85,52.03,24.89,1586224
2008-04-03,52.35,52.85,51.9,52.17,24.96,1229596
2008-04-04,52.15,53.65,50.55,51.17,24.48,2285674
2008-04-07,51.62,53.5,50.85,53.12,25.41,1500554
2008-04-08,52.75,54.8,52.28,53.72,25.7,2906726
2008-04-09,53.0,56.88,52.55,56.47,27.01,5838776
2008-04-10,56.12,57.95,55.03,55.7,26.64,4868658
2008-04-11,56.12,56.7,54.62,55.83,26.7,2317858
2008-04-15,55.0,58.4,54.55,57.92,27.71,5429440
2008-04-16,58.4,58.95,56.5,57.4,27.46,2939278
2008-04-17,58.5,58.5,57.5,57.72,27.61,1853050
2008-04-21,58.0,59.2,57.25,57.4,27.46,2672522
2008-04-22,57.25,57.8,56.55,56.97,27.25,1448658
2008-04-23,57.5,57.6,55.5,56.47,27.01,1751928
2008-04-24,56.62,58.38,56.5,56.83,27.18,3180840
2008-04-25,57.0,59.45,56.08,58.53,28.0,2843988
2008-04-28,60.0,60.0,55.85,57.25,27.39,6256432
2008-04-29,57.5,60.35,57.5,59.78,28.59,13410512
2008-04-30,60.5,63.1,60.0,61.28,29.31,15467122
2008-05-02,62.35,62.72,60.15,60.65,29.01,4004358
2008-05-05,60.75,62.95,60.3,61.72,29.53,6140868
2008-05-06,62.2,62.4,58.65,59.83,28.62,3807866
2008-05-07,60.0,60.88,59.05,60.33,28.86,2621080
2008-05-08,59.78,61.12,59.0,60.03,28.71,1945430
2008-05-09,59.45,60.0,57.58,57.95,27.72,2551892
2008-05-12,57.03,58.45,55.75,57.9,27.7,1921746
2008-05-13,58.75,59.7,57.28,57.65,27.58,1971628
2008-05-14,57.75,58.7,57.1,58.22,27.85,2004370
2008-05-15,58.97,59.15,58.17,58.53,28.0,458696
2008-05-16,58.9,59.0,58.25,58.5,27.98,485366
2008-05-20,58.85,59.5,58.25,58.67,28.07,1259422
2008-05-21,58.25,60.42,58.25,59.4,28.41,2948230
2008-05-22,59.25,59.25,57.12,57.47,27.49,1606554
2008-05-23,58.35,58.35,57.05,57.47,27.49,1372818
2008-05-26,56.53,57.2,55.05,55.65,26.62,889734
2008-05-27,56.85,57.92,53.88,54.15,25.9,1431402
2008-05-28,54.5,55.8,53.8,55.33,26.46,1573892
2008-05-29,55.75,56.4,53.05,53.88,25.77,3242640
2008-05-30,54.0,54.5,53.5,53.6,25.64,537726
2008-06-02,53.88,54.4,51.83,52.08,24.91,931844
2008-06-03,51.0,51.85,50.03,50.8,24.3,2384776
2008-06-04,51.08,51.8,49.58,50.4,24.11,1063264
2008-06-05,51.45,51.45,49.92,50.95,24.37,513512
2008-06-06,51.4,51.5,50.5,50.95,24.37,479680
2008-06-09,49.0,50.0,47.5,49.7,23.77,1090942
2008-06-10,49.5,50.65,48.05,50.42,24.12,1032240
2008-06-11,51.0,52.15,50.55,51.3,24.54,901756
2008-06-12,50.0,50.95,49.5,50.67,24.24,778322
2008-06-13,51.25,51.38,50.0,50.2,24.01,783680
2008-06-16,50.9,51.42,50.8,51.1,24.44,250284
2008-06-17,50.78,51.53,50.5,51.38,24.58,820062
