Date,Open,High,Low,Close,Adj Close,Volume
2007-11-21,323.75,600.0,323.75,522.0,517.69,16840931
2007-11-22,514.8,531.76,492.77,525.28,520.94,4610974
2007-11-23,529.1,536.72,502.21,504.5,500.33,1456496
2007-11-26,513.56,517.66,496.68,499.54,495.42,960121
2007-11-27,497.73,500.5,472.85,477.62,473.67,923534
2007-11-28,486.2,515.75,480.76,480.95,476.98,1161659
2007-11-29,490.39,497.64,471.99,476.57,472.63,506843
2007-11-30,471.9,490.82,471.9,483.34,479.34,332699
2007-12-03,484.19,494.78,480.48,482.48,478.49,282225
2007-12-04,486.2,493.63,482.38,484.34,480.34,337102
2007-12-05,488.1,503.12,487.15,493.49,489.41,485700
2007-12-06,500.5,511.94,495.78,500.31,496.17,571627
2007-12-07,505.31,525.95,501.45,516.27,512.01,815045
2007-12-10,519.47,533.86,512.89,523.42,519.1,863369
2007-12-11,529.1,531.86,510.03,513.13,508.89,399197
2007-12-12,510.03,514.6,504.31,506.36,502.18,345727
2007-12-13,510.03,512.41,500.5,505.26,501.09,195066
2007-12-14,506.22,510.98,498.64,500.83,496.69,140980
2007-12-17,496.97,512.79,486.77,490.72,486.67,230578
2007-12-18,488.1,494.68,476.66,478.33,474.38,254037
2007-12-19,488.58,499.45,486.2,488.58,484.54,181251
2007-12-20,489.06,496.68,475.71,488.29,484.26,252796
2007-12-24,487.15,500.4,480.48,492.39,488.33,244852
2007-12-26,494.78,501.93,489.15,494.68,490.6,150229
2007-12-27,493.82,533.58,493.82,516.61,512.34,780303
2007-12-28,515.65,545.64,507.17,526.09,521.75,908989
2007-12-31,529.1,604.79,529.1,581.96,577.15,2823953
2008-01-01,585.34,609.17,585.34,590.39,585.52,1299946
2008-01-02,591.82,694.97,591.82,661.7,656.24,5603119
2008-01-03,653.03,693.83,653.03,665.23,659.74,1750851
2008-01-04,672.09,683.34,648.26,651.84,646.45,878464
2008-01-07,653.03,688.3,631.24,663.9,658.41,1084697
2008-01-08,671.05,680.63,612.51,630.39,625.18,769685
