Date,Open,High,Low,Close,Adj Close,Volume
2013-04-01,159.95,175.9,158.0,161.8,155.05,7902123
2013-04-02,164.0,176.4,163.15,174.25,166.98,786420
2013-04-03,179.0,179.0,170.5,171.55,164.39,347423
2013-04-04,172.0,173.45,169.15,170.85,163.72,72842
2013-04-05,170.85,173.85,169.6,172.45,165.25,46510
2013-04-08,175.0,175.0,170.0,173.9,166.64,216898
2013-04-09,173.3,174.75,171.0,171.35,164.2,13703
2013-04-10,171.2,173.9,169.0,171.65,164.49,58029
2013-04-11,173.0,173.0,167.0,168.3,161.28,21009
2013-04-12,168.0,172.0,166.1,170.55,163.43,15542
2013-04-15,170.25,172.0,167.8,171.85,164.68,188513
2013-04-16,171.4,172.0,169.1,171.15,164.01,35269
2013-04-17,171.55,172.3,168.0,169.75,162.67,312019
2013-04-18,169.95,171.8,169.0,170.65,163.53,17425
2013-04-22,172.4,173.3,168.3,168.75,161.71,17107
2013-04-23,171.95,173.0,168.65,169.45,162.38,16237
2013-04-25,169.85,171.0,168.0,168.1,161.08,16586
2013-04-26,166.0,171.0,165.15,170.7,163.58,287777
2013-04-29,169.0,176.0,169.0,173.05,165.83,26285
2013-04-30,171.05,174.0,170.0,170.9,163.77,4645
2013-05-02,172.0,174.0,170.8,172.75,165.54,69441
2013-05-03,173.95,173.95,170.2,171.95,164.77,23542
2013-05-06,174.0,175.0,172.55,174.3,167.03,18602
2013-05-07,174.95,176.0,173.1,175.3,167.98,35191
2013-05-08,175.0,179.4,174.0,177.1,169.71,19369
2013-05-09,177.95,184.0,177.5,181.25,173.69,63439
2013-05-10,182.0,198.4,182.0,187.35,179.53,136776
2013-05-13,199.9,199.9,192.5,194.25,186.14,62436
2013-05-14,196.8,198.0,195.0,195.95,187.77,21384
2013-05-15,198.45,203.8,185.0,202.05,193.62,459618
2013-05-16,201.0,224.0,201.0,205.65,197.07,113507
2013-05-17,207.9,210.4,204.95,209.7,200.95,37124
2013-05-20,213.85,215.0,209.05,211.35,202.53,79915
2013-05-21,216.9,217.95,200.0,208.9,200.18,30897
2013-05-22,203.5,213.0,203.5,207.95,199.27,69544
2013-05-23,209.5,209.5,203.0,206.3,197.69,18954
2013-05-24,206.6,227.0,206.0,214.55,205.6,42778
2013-05-27,215.0,219.8,207.0,213.45,204.54,13399
2013-05-28,213.4,221.95,213.4,218.35,209.24,119357
2013-05-29,225.0,225.0,218.1,219.8,210.63,30433
2013-05-30,217.0,225.35,213.15,219.55,210.39,23229
2013-05-31,217.55,220.0,214.95,215.35,206.36,74660
2013-06-03,216.15,225.0,215.1,216.95,207.9,16197
2013-06-04,219.35,220.05,216.55,218.65,209.52,26378
2013-06-05,218.5,223.9,218.5,219.25,210.1,38785
2013-06-06,221.0,221.7,214.0,214.95,205.98,56181
2013-06-07,216.95,217.9,208.65,210.3,201.52,19392
2013-06-10,212.05,216.6,210.0,214.75,205.79,3609
2013-06-11,214.5,214.5,202.95,205.7,197.12,64187
2013-06-12,206.0,218.95,203.5,211.75,202.91,21818
2013-06-13,213.75,214.75,207.3,209.65,200.9,17247
2013-06-14,212.95,215.5,209.95,215.15,206.17,9559
2013-06-17,209.3,222.75,209.3,220.15,210.96,23620
2013-06-18,221.0,221.0,210.0,211.6,202.77,36426
2013-06-19,212.0,218.05,209.0,211.2,202.39,21148
2013-06-20,210.15,215.0,209.6,211.8,202.96,340899
2013-06-21,209.65,213.7,205.0,213.15,204.25,291777
2013-06-24,216.0,216.0,209.0,210.35,201.57,15968
2013-06-25,217.0,217.0,207.95,211.75,202.91,8966
2013-06-26,212.0,216.9,210.0,212.8,203.92,6412
2013-06-27,215.95,220.4,212.5,219.25,210.1,11932
2013-06-28,219.95,234.0,219.0,229.95,220.35,61380
2013-07-01,235.9,268.9,235.9,248.1,237.75,163234
2013-07-02,250.0,251.85,247.15,248.9,238.51,145475
