Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,71.85,72.2,70.28,70.97,49.96,4185588
2002-07-02,70.4,70.75,69.12,69.88,49.19,4741476
2002-07-03,69.45,74.43,69.25,73.18,51.51,13663376
2002-07-04,74.28,76.15,72.7,73.15,51.49,10882778
2002-07-05,74.0,74.5,71.62,73.32,51.62,6333878
2002-07-08,75.03,75.88,73.07,73.55,51.77,8353366
2002-07-09,74.0,74.0,72.1,72.53,51.05,3688978
2002-07-10,73.0,75.9,72.68,73.4,51.67,12761450
2002-07-11,72.5,73.0,59.17,60.38,42.5,41189520
2002-07-12,62.75,63.95,56.0,58.22,40.99,47080232
2002-07-15,59.8,59.8,51.85,53.15,37.41,39674624
2002-07-16,52.5,54.08,50.12,52.67,37.08,30213150
2002-07-17,51.95,55.4,51.5,54.1,38.08,25513064
2002-07-18,55.9,56.7,55.08,56.25,39.6,16239912
2002-07-19,48.0,55.5,48.0,53.58,37.71,9929400
2002-07-22,50.25,51.3,49.12,50.1,35.27,13794022
2002-07-23,50.0,52.5,48.05,52.08,36.66,13085598
2002-07-24,51.0,51.33,49.5,50.22,35.36,12628526
2002-07-25,52.0,53.4,50.17,50.97,35.88,8680660
2002-07-26,49.5,49.95,47.6,47.97,33.77,7601852
2002-07-29,48.85,48.85,45.62,46.53,32.75,6927646
2002-07-30,47.85,48.7,43.33,44.25,31.15,5798690
2002-07-31,42.5,43.92,39.15,41.78,29.41,8838836
2002-08-01,41.53,43.5,40.9,41.97,29.55,11288168
2002-08-02,40.75,41.1,38.83,40.47,28.49,7357834
2002-08-05,40.53,44.2,40.53,43.7,30.76,12835670
2002-08-06,42.78,46.9,42.4,46.03,32.4,13030224
2002-08-07,47.45,48.35,46.58,47.12,33.17,14118020
2002-08-08,47.05,47.42,43.4,44.08,31.03,11281686
2002-08-09,43.78,45.7,43.15,45.25,31.85,10932468
2002-08-12,45.55,45.75,44.3,45.0,31.68,6579650
2002-08-13,45.53,45.95,44.8,45.0,31.68,4103592
2002-08-14,44.58,45.25,43.85,44.15,31.08,5175872
2002-08-15,44.15,44.15,44.15,44.15,31.08,0
2002-08-16,45.1,45.4,44.08,44.42,31.27,5225504
2002-08-19,45.05,45.2,43.62,44.03,30.99,4361084
2002-08-20,44.6,48.38,43.58,47.35,33.33,13956516
2002-08-21,46.5,49.85,46.38,48.12,33.88,19793650
2002-08-22,48.62,48.9,46.78,47.08,33.14,8370160
2002-08-23,47.25,48.45,46.8,47.33,33.31,8195252
2002-08-26,47.08,48.25,46.83,47.12,33.17,6330624
2002-08-27,47.5,47.83,43.88,44.1,31.04,11558550
2002-08-28,43.62,45.1,43.28,44.72,31.48,9807366
2002-08-29,44.38,44.8,43.35,43.85,30.87,6628876
2002-08-30,44.35,45.95,44.03,45.67,32.15,7262138
2002-09-02,46.2,48.7,46.2,47.17,33.21,11457578
2002-09-03,47.2,48.58,45.67,46.03,32.4,18157768
2002-09-04,45.0,46.7,44.65,46.28,32.57,8181930
2002-09-05,47.03,48.65,46.05,46.78,32.93,16040098
2002-09-06,45.85,46.67,44.55,44.97,31.66,8012168
2002-09-09,45.38,45.8,44.42,44.75,31.5,6179834
2002-09-10,44.75,44.75,44.75,44.75,31.5,0
2002-09-11,45.6,46.67,45.17,45.67,32.15,7833838
2002-09-12,46.1,46.5,45.78,46.03,32.4,5543202
2002-09-13,45.5,46.17,44.75,45.03,31.69,4970618
2002-09-16,45.3,45.62,44.35,44.78,31.52,3229432
2002-09-17,45.25,45.9,44.6,45.58,32.08,4695336
2002-09-18,45.47,45.5,43.83,44.08,31.03,4030642
2002-09-19,44.28,44.28,41.92,42.83,30.15,5363238
2002-09-20,41.5,42.62,41.03,42.3,29.78,3203176
2002-09-23,42.5,42.7,41.42,41.6,29.28,2553344
2002-09-24,40.95,40.95,39.65,40.1,28.23,3303668
2002-09-25,39.15,40.9,39.0,40.7,28.65,4489136
2002-09-26,41.5,41.62,40.7,40.9,28.79,2261576
2002-09-27,41.17,41.85,40.8,41.2,29.0,2947412
2002-09-30,40.7,40.83,39.75,39.9,28.09,2556420
2002-10-01,39.72,40.22,38.62,39.2,27.59,2745202
2002-10-02,39.2,39.2,39.2,39.2,27.59,0
2002-10-03,39.5,39.97,38.5,38.85,27.35,1830354
2002-10-04,38.5,38.9,37.55,38.2,26.89,2759934
2002-10-07,38.6,38.75,37.9,38.2,26.89,1460864
2002-10-08,38.1,41.15,37.58,40.45,28.47,5737308
2002-10-09,40.85,41.65,38.72,38.9,27.38,4674102
2002-10-10,38.58,39.6,38.05,39.35,27.7,3155598
2002-10-11,40.65,40.95,39.67,39.92,28.1,3174720
2002-10-14,40.95,40.95,38.62,38.9,27.38,2994210
2002-10-15,38.9,38.9,38.9,38.9,27.38,0
2002-10-16,40.0,40.22,38.72,39.03,27.47,2616134
2002-10-17,39.28,40.8,39.1,40.45,28.47,4156672
2002-10-18,41.03,41.88,39.6,40.0,28.16,6338564
2002-10-21,40.53,41.4,40.38,40.8,28.72,5019138
2002-10-22,41.2,42.1,39.75,40.22,28.32,7812868
2002-10-23,39.4,40.75,39.3,39.53,27.82,4085778
2002-10-24,40.0,40.15,38.65,38.95,27.42,4117698
2002-10-25,38.85,38.88,37.53,37.83,26.63,2781752
2002-10-28,36.45,36.45,33.05,33.65,23.69,4900042
2002-10-29,33.5,34.75,32.5,34.42,24.23,3554576
