Date,Open,High,Low,Close,Adj Close,Volume
2012-09-25,31.65,31.65,30.0,30.0,28.93,61381
2012-09-26,31.25,31.25,30.5,30.9,29.79,405
2012-09-27,35.85,35.85,32.0,33.7,32.49,65951
2012-09-28,35.7,35.7,32.4,33.4,32.2,5236
2012-10-01,35.4,35.4,31.0,32.0,30.85,11080
2012-10-03,30.7,31.0,30.1,31.0,29.89,23436
2012-10-04,31.0,32.0,30.9,31.9,30.76,153246
2012-10-05,31.0,32.0,31.0,31.45,30.32,163927
2012-10-08,31.5,34.75,30.95,31.8,30.66,177206
2012-10-09,31.05,31.75,30.5,30.95,29.84,159912
2012-10-10,32.0,32.0,31.0,31.15,30.03,18866
2012-10-11,32.85,32.85,28.5,32.4,31.24,9869
2012-10-12,33.85,34.3,32.25,33.25,32.06,3669
2012-10-15,34.8,34.8,32.5,33.9,32.69,628
2012-10-16,34.0,34.4,33.0,33.6,32.4,4863
2012-10-17,36.75,36.75,31.25,32.9,31.72,5189
2012-10-18,33.05,34.35,33.05,34.2,32.98,3265
2012-10-19,36.95,37.4,34.1,36.85,35.53,1418
2012-10-22,39.75,44.2,36.9,44.2,42.62,56725
2012-10-23,47.7,52.7,42.2,44.05,42.47,248838
2012-10-25,44.0,47.1,42.0,42.9,41.36,20295
2012-10-29,39.0,39.95,36.5,36.65,35.34,9192
2012-10-30,36.7,38.5,36.0,36.85,35.53,9195
2012-10-31,39.45,39.45,36.6,38.85,37.46,11728
2012-11-01,40.9,45.4,40.9,43.15,41.61,65664
2012-11-02,42.7,45.95,40.3,42.0,40.5,26487
2012-11-05,44.4,44.4,39.2,40.15,38.71,24080
2012-11-06,41.2,41.2,39.35,39.75,38.33,3678
2012-11-07,40.9,40.9,39.2,39.7,38.28,6162
2012-11-08,42.95,42.95,38.05,39.0,37.6,6237
2012-11-09,42.9,42.9,38.0,38.5,37.12,5862
2012-11-12,40.4,40.4,37.95,39.1,37.7,10565
2012-11-15,44.6,44.6,40.5,43.85,42.28,22977
2012-11-16,43.7,45.9,40.3,41.15,39.68,24441
2012-11-19,42.0,42.9,41.2,42.65,41.12,4576
2012-11-20,42.65,42.8,41.3,41.65,40.16,4156
2012-11-21,43.3,44.4,42.0,43.8,42.23,6088
2012-11-22,44.2,44.2,41.65,42.15,40.64,1998
2012-11-23,44.25,44.25,41.9,42.1,40.59,5167
2012-11-26,42.75,44.0,42.2,42.7,41.17,3587
2012-11-27,44.4,44.4,42.0,42.1,40.59,9115
2012-11-29,43.9,43.9,42.5,42.85,41.32,3221
2012-11-30,43.0,43.5,42.5,42.65,41.12,6128
2012-12-03,43.75,43.75,42.8,42.9,41.36,3615
2012-12-04,42.1,44.15,42.1,43.45,41.89,12799
2012-12-05,46.85,49.7,44.5,47.05,45.37,22718
2012-12-06,49.0,55.0,47.6,50.75,48.93,244208
2012-12-07,51.9,54.0,48.5,49.55,47.78,78276
2012-12-10,50.85,51.4,49.6,50.1,48.31,21296
2012-12-11,50.85,50.95,47.0,48.3,46.57,20294
2012-12-12,50.1,50.8,47.2,49.15,47.39,20074
2012-12-13,50.0,50.75,48.5,48.95,47.2,21884
2012-12-14,51.9,51.9,48.0,48.6,46.86,10885
2012-12-17,50.0,50.0,48.0,48.5,46.76,6347
2012-12-18,50.95,50.95,47.45,47.75,46.04,6166
2012-12-19,49.0,49.95,47.75,48.65,46.91,5127
2012-12-20,50.0,50.0,47.5,47.8,46.09,4172
2012-12-21,46.1,48.85,46.1,46.9,45.22,9880
2012-12-24,49.5,49.5,45.05,45.6,43.97,15619
2012-12-26,47.9,47.9,44.75,45.3,43.68,2629
2012-12-27,47.9,47.9,45.25,45.95,44.3,2846
2012-12-28,48.0,48.0,45.15,45.7,44.06,3971
2012-12-31,46.5,46.8,45.5,45.55,43.92,2973
2013-01-01,46.75,52.0,46.1,47.85,46.14,9596
2013-01-02,47.0,49.0,46.55,47.25,45.56,4000
2013-01-03,46.4,48.0,46.35,47.25,45.56,2078
2013-01-04,46.5,48.7,45.8,47.25,45.56,7299
2013-01-07,50.2,50.2,47.3,48.9,47.15,14070
2013-01-08,49.0,49.4,48.55,48.85,47.1,2761
2013-01-09,49.9,49.9,47.65,49.0,47.25,3902
2013-01-10,50.0,51.0,47.5,49.0,47.25,13045
2013-01-11,49.0,50.3,48.5,48.8,47.05,10656
2013-01-14,47.8,49.45,47.8,48.45,46.72,4928
2013-01-15,48.0,48.5,47.6,48.15,46.43,4830
2013-01-16,48.9,48.9,47.6,47.85,46.14,2226
2013-01-17,48.5,48.5,45.6,46.85,45.17,3652
2013-01-18,45.3,47.0,45.1,45.5,43.87,2641
2013-01-21,45.65,46.9,45.6,45.95,44.3,2174
2013-01-22,45.65,47.25,45.65,47.0,45.32,1871
2013-01-23,48.4,48.4,45.65,46.6,44.93,3078
2013-01-24,46.35,46.35,43.5,43.85,42.28,5272
2013-01-25,42.0,43.5,40.4,42.2,40.69,5048
2013-01-28,45.0,47.0,43.2,43.2,41.65,1205
2013-01-29,45.0,45.0,43.2,43.55,41.99,995
2013-01-30,44.95,44.95,43.1,43.5,41.94,1051
2013-01-31,43.1,44.6,42.3,44.6,43.0,785
2013-02-01,44.15,45.25,43.15,44.4,42.81,2502
2013-02-04,43.45,45.55,43.4,43.9,42.33,1133
2013-02-05,42.4,44.45,41.55,42.4,40.88,1401
2013-02-06,44.6,44.6,42.5,42.95,41.41,681
2013-02-07,42.5,43.0,42.5,42.7,41.17,2018
2013-02-08,42.65,43.0,42.0,42.8,41.27,5010
2013-02-11,45.7,47.8,39.1,40.3,38.86,5020
2013-02-12,40.0,41.75,38.9,40.1,38.66,6686
2013-02-13,43.9,43.9,41.15,42.1,40.59,3586
2013-02-14,41.5,42.55,41.0,42.55,41.03,707
2013-02-15,41.7,43.75,41.0,41.3,39.82,3430
2013-02-18,41.3,42.15,41.05,41.1,39.63,730
2013-02-19,40.25,40.65,39.1,40.05,38.62,13431
2013-02-20,40.0,41.5,40.0,40.5,39.05,3190
2013-02-21,41.0,41.0,39.0,39.45,38.04,4642
2013-02-22,40.0,40.0,38.5,39.0,37.6,4090
2013-02-25,40.0,40.0,38.5,38.85,37.46,1611
2013-02-26,38.55,39.5,38.0,39.15,37.75,2459
2013-02-27,37.0,39.75,37.0,38.0,36.64,1632
2013-02-28,39.4,39.4,37.55,37.65,36.3,1637
2013-03-01,39.0,39.0,37.8,38.25,36.88,1266
2013-03-04,38.5,38.5,37.2,37.55,36.21,2767
2013-03-05,38.0,38.45,37.0,38.25,36.88,1091
2013-03-06,38.0,38.5,37.0,38.0,36.64,7104
2013-03-07,38.95,38.95,31.1,37.2,35.87,7139
2013-03-08,37.9,37.9,35.3,36.6,35.29,2701
2013-03-11,36.5,36.9,35.9,36.75,35.43,1848
2013-03-12,35.0,37.45,34.3,37.0,35.68,1327
2013-03-13,37.0,38.0,36.5,37.5,36.16,1895
2013-03-14,37.0,37.0,36.75,37.0,35.68,1610
2013-03-15,38.0,38.0,35.5,35.6,34.33,1681
2013-03-18,35.5,36.0,34.75,36.0,34.71,2862
2013-03-19,36.0,37.5,36.0,36.45,35.14,14334
2013-03-20,35.35,38.0,35.35,37.35,36.01,4048
2013-03-21,38.1,38.1,35.7,36.95,35.63,290
2013-03-22,36.65,37.6,36.15,37.6,36.25,10805
2013-03-25,36.8,38.5,36.7,38.0,36.64,5374
2013-03-26,37.2,41.95,37.2,39.8,38.38,9293
2013-03-28,39.8,40.75,39.0,40.65,39.19,7108
2013-04-01,41.2,43.4,41.2,43.1,41.56,4689
2013-04-02,43.0,43.35,42.0,42.1,40.59,3343
2013-04-03,42.0,43.2,39.4,40.1,38.66,3824
2013-04-04,39.25,39.9,37.0,39.0,37.6,1642
2013-04-05,39.9,42.85,39.9,42.3,40.79,4748
2013-04-08,42.3,42.3,42.3,42.3,40.79,0
2013-04-09,42.3,42.3,42.3,42.3,40.79,0
2013-04-10,42.3,42.3,42.3,42.3,40.79,0
2013-04-11,42.3,42.3,42.3,42.3,40.79,0
2013-04-12,42.3,42.3,42.3,42.3,40.79,0
2013-04-15,42.3,42.3,42.3,42.3,40.79,0
2013-04-16,42.3,42.3,42.3,42.3,40.79,0
2013-04-17,42.3,42.3,42.3,42.3,40.79,0
2013-04-18,42.3,42.3,42.3,42.3,40.79,0
2013-04-22,42.3,42.3,42.3,42.3,40.79,0
2013-04-23,42.3,42.3,42.3,42.3,40.79,0
2013-04-25,42.3,42.3,42.3,42.3,40.79,0
2013-04-26,39.0,39.0,39.0,39.0,37.6,50
2013-04-29,39.0,39.0,39.0,39.0,37.6,0
2013-04-30,39.0,39.0,37.4,39.0,37.6,580
2013-05-02,37.15,37.15,34.3,37.15,35.82,320
2013-05-03,42.5,42.5,29.8,42.5,40.98,121
2013-05-06,42.5,42.5,42.5,42.5,40.98,0
2013-05-07,39.0,39.0,39.0,39.0,37.6,1
2013-05-08,37.0,40.0,37.0,37.0,35.68,400
2013-05-09,36.0,36.0,35.0,36.0,34.71,209
2013-05-10,40.0,40.0,39.9,40.0,38.57,31
2013-05-13,40.0,40.0,40.0,40.0,38.57,0
2013-05-14,40.0,40.0,40.0,40.0,38.57,0
2013-05-15,41.5,41.5,36.5,41.5,40.01,201
2013-05-16,41.5,41.5,41.5,41.5,40.01,0
2013-05-17,41.5,41.5,41.5,41.5,40.01,0
2013-05-20,41.5,41.5,41.5,41.5,40.01,0
2013-05-21,41.5,41.5,41.5,41.5,40.01,0
2013-05-22,41.5,41.5,41.5,41.5,40.01,0
2013-05-23,41.5,41.5,41.5,41.5,40.01,0
2013-05-24,35.15,39.0,35.15,35.15,33.89,474
2013-05-27,42.0,42.0,37.8,42.0,40.5,250
2013-05-28,38.95,39.0,38.95,38.95,37.56,1
2013-05-29,38.0,35.0,35.0,35.0,33.75,1
2013-05-30,36.9,37.0,35.1,36.9,35.58,313
2013-05-31,34.0,34.0,33.1,34.0,32.78,571
2013-06-03,33.0,34.0,33.0,33.0,31.82,313
2013-06-04,38.0,38.0,33.0,38.0,36.64,355
2013-06-05,38.0,38.0,38.0,38.0,36.64,0
2013-06-06,38.1,38.1,38.1,38.1,36.74,24
2013-06-07,38.1,38.1,38.1,38.1,36.74,0
2013-06-10,35.0,35.9,34.05,35.0,33.75,455
2013-06-11,38.0,38.0,35.0,38.0,36.64,250
2013-06-12,36.5,36.5,36.5,36.5,35.19,350
2013-06-13,34.0,34.0,34.0,34.0,32.78,5
2013-06-14,34.0,34.0,34.0,34.0,32.78,0
2013-06-17,34.5,34.5,33.05,34.5,33.26,400
2013-06-18,34.5,34.5,34.5,34.5,33.26,0
2013-06-19,37.0,37.0,33.5,37.0,35.68,436
2013-06-20,37.0,37.0,37.0,37.0,35.68,0
2013-06-21,37.0,37.0,37.0,37.0,35.68,0
2013-06-24,37.0,37.0,37.0,37.0,35.68,0
2013-06-25,32.7,32.7,32.7,32.7,31.53,75
2013-06-26,36.0,38.9,36.0,36.0,34.71,650
2013-06-27,35.0,35.0,31.55,35.0,33.75,176
2013-06-28,35.0,35.3,35.0,35.0,33.75,552
2013-07-01,35.0,35.0,35.0,35.0,33.75,0
2013-07-02,34.75,35.5,34.75,34.75,33.51,138
2013-07-03,34.75,34.75,34.75,34.75,33.51,0
2013-07-04,34.75,34.75,34.75,34.75,33.51,0
2013-07-05,41.0,41.0,38.0,41.0,39.53,3
2013-07-08,43.0,43.0,43.0,43.0,41.46,2
2013-07-09,43.0,43.0,43.0,43.0,41.46,0
2013-07-10,43.0,43.0,43.0,43.0,41.46,0
2013-07-11,43.0,43.0,43.0,43.0,41.46,0
2013-07-12,43.0,43.0,43.0,43.0,41.46,0
2013-07-15,43.0,43.0,43.0,43.0,41.46,0
2013-07-16,38.0,38.0,36.0,38.0,36.64,6
2013-07-17,39.0,41.0,38.5,39.0,37.6,8
2013-07-18,39.0,39.0,39.0,39.0,37.6,0
2013-07-19,39.0,39.0,36.1,39.0,37.6,255
2013-07-22,39.0,39.0,39.0,39.0,37.6,9
2013-07-23,36.2,36.2,36.2,36.2,34.9,60
2013-07-24,38.5,38.5,38.5,38.5,37.12,50
2013-07-25,38.5,38.5,38.5,38.5,37.61,0
2013-07-26,38.5,38.5,38.5,38.5,37.61,0
2013-07-29,38.5,38.5,38.5,38.5,37.61,0
2013-07-30,38.5,38.5,38.5,38.5,37.61,0
2013-07-31,34.0,34.0,34.0,34.0,33.21,1
2013-08-01,38.0,38.0,38.0,38.0,37.12,1
2013-08-02,33.5,33.5,33.5,33.5,32.73,4
2013-08-05,35.0,35.0,35.0,35.0,34.19,40
2013-08-06,35.0,35.0,35.0,35.0,34.19,0
2013-08-07,35.0,35.0,35.0,35.0,34.19,0
2013-08-08,34.1,34.1,34.1,34.1,33.31,1000
2013-08-12,33.4,33.5,33.0,33.4,32.63,1652
2013-08-13,39.0,39.0,35.0,39.0,38.1,6
2013-08-14,31.25,32.0,31.2,31.25,30.53,446
2013-08-16,33.0,33.0,33.0,33.0,32.24,20
