Date,Open,High,Low,Close,Adj Close,Volume
2010-12-06,75.0,80.5,67.2,68.9,64.95,29407320
2010-12-07,69.0,69.45,63.6,65.9,62.12,3925519
2010-12-08,64.9,66.0,62.45,63.15,59.53,796185
2010-12-09,62.1,64.0,55.2,58.35,55.01,969103
2010-12-10,57.5,58.95,56.5,57.45,54.16,381362
2010-12-13,57.5,58.4,51.0,57.1,53.83,271608
2010-12-14,55.1,57.4,55.1,55.85,52.65,167891
2010-12-15,56.0,57.0,54.25,54.85,51.71,175872
2010-12-16,56.5,63.5,53.1,59.95,56.51,1375260
2010-12-20,57.85,62.8,56.0,58.95,55.57,382846
2010-12-21,59.0,61.0,58.5,59.4,56.0,209989
2010-12-22,59.4,61.85,59.0,59.4,56.0,193255
2010-12-23,60.4,60.5,57.55,58.05,54.72,68174
2010-12-24,58.6,60.0,57.7,58.7,55.34,124876
2010-12-27,58.25,59.8,58.05,58.45,55.1,57219
2010-12-28,58.0,59.4,57.75,57.9,54.58,42672
2010-12-29,58.4,58.85,57.5,57.95,54.63,43081
2010-12-30,56.2,58.5,56.2,57.3,54.02,47110
2010-12-31,58.0,60.75,58.0,58.45,55.1,197270
2011-01-03,59.0,59.7,58.6,58.85,55.48,39486
2011-01-04,58.3,59.4,58.0,58.55,55.19,41033
2011-01-05,57.95,59.0,57.95,58.15,54.82,46959
2011-01-06,58.3,58.95,57.05,57.95,54.63,41347
2011-01-07,58.05,58.55,56.2,57.15,53.87,40669
2011-01-10,55.7,68.5,55.7,56.85,53.59,80108
2011-01-11,57.0,58.45,55.5,56.5,53.26,56391
2011-01-12,57.0,59.5,56.35,58.35,55.01,52855
2011-01-13,56.65,59.2,56.65,57.65,54.35,35755
2011-01-14,57.0,58.15,56.55,57.65,54.35,56537
2011-01-17,56.15,58.25,56.15,57.05,53.78,27430
2011-01-18,57.25,58.1,57.0,57.7,54.39,32869
2011-01-19,58.5,59.0,56.6,56.95,53.69,34889
2011-01-20,55.9,59.3,55.9,58.95,55.57,48358
2011-01-21,58.95,60.0,58.0,59.0,55.62,55961
2011-01-24,62.8,62.8,59.0,60.3,56.84,35143
2011-01-25,60.15,61.7,60.0,61.15,57.65,38190
2011-01-27,61.95,61.95,60.1,60.75,57.27,52210
2011-01-28,60.9,60.95,57.85,59.0,55.62,34689
2011-01-31,55.1,58.85,55.1,56.8,53.54,26083
2011-02-01,56.65,60.0,56.5,57.25,53.97,59300
2011-02-02,58.35,59.25,56.25,56.85,53.59,30277
2011-02-03,56.0,57.95,56.0,56.9,53.64,23688
2011-02-04,57.0,57.85,55.5,55.95,52.74,24205
2011-02-07,56.5,58.9,56.3,57.5,54.2,33874
2011-02-08,57.0,57.75,56.05,56.5,53.26,29550
2011-02-09,56.1,56.8,54.4,54.65,51.52,27803
2011-02-10,55.0,56.5,53.65,53.9,50.81,25888
2011-02-11,54.0,55.0,54.0,54.8,51.66,23257
2011-02-14,55.2,58.0,54.3,56.1,52.88,20788
2011-02-15,56.0,58.0,55.0,57.6,54.3,27619
2011-02-16,57.9,59.5,56.5,58.3,54.96,24659
2011-02-17,59.9,61.0,57.55,58.75,55.38,25589
2011-02-18,57.9,60.15,57.1,57.85,54.53,62659
2011-02-21,60.0,60.0,56.6,58.55,55.19,22743
2011-02-22,57.1,59.0,57.1,58.2,54.86,20786
2011-02-23,58.5,60.7,56.55,57.05,53.78,23673
2011-02-24,57.1,58.6,55.7,56.1,52.88,23363
2011-02-25,58.1,64.75,58.1,62.9,59.3,162368
2011-02-28,63.5,64.5,60.6,62.15,58.59,58945
2011-03-01,62.9,72.8,62.9,68.5,64.57,923048
2011-03-03,68.95,70.5,64.3,66.75,62.92,98459
2011-03-04,68.05,69.0,66.5,66.9,63.07,274125
2011-03-07,67.0,67.9,64.7,66.9,63.07,89146
2011-03-08,65.05,68.0,65.0,67.05,63.21,24465
2011-03-09,68.0,70.9,65.65,69.9,65.89,41734
2011-03-10,69.25,69.9,67.15,67.7,63.82,25270
2011-03-11,67.5,68.5,65.1,65.7,61.93,32901
2011-03-14,64.05,67.55,64.0,66.0,62.22,32252
2011-03-15,64.0,67.75,64.0,66.0,62.22,64764
2011-03-16,78.7,78.7,66.8,67.85,63.96,44422
