Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,20.5,21.5,20.5,21.45,11.8,8299
2002-07-02,21.5,21.7,21.0,21.15,11.64,11900
2002-07-03,21.0,21.6,20.7,20.85,11.47,11950
2002-07-04,21.9,25.05,21.4,25.05,13.78,90652
2002-07-05,27.0,30.1,27.0,27.95,15.38,166751
2002-07-08,28.0,28.95,26.65,28.0,15.41,56814
2002-07-09,29.25,33.0,27.5,28.3,15.57,30693
2002-07-10,27.4,29.0,26.25,26.4,14.53,22265
2002-07-11,27.0,27.0,24.8,25.0,13.76,19739
2002-07-12,24.6,26.5,24.6,25.95,14.28,13811
2002-07-15,26.0,26.0,23.5,23.65,13.01,13479
2002-07-16,24.85,24.9,23.85,24.1,13.26,7927
2002-07-17,23.1,23.95,22.5,23.0,12.66,16566
2002-07-18,23.05,23.75,22.65,22.95,12.63,7727
2002-07-19,23.55,24.0,23.5,23.75,13.07,3592
2002-07-22,22.05,22.9,22.05,22.15,12.19,7601
2002-07-23,22.9,23.0,22.5,22.5,12.38,4400
2002-07-24,22.1,22.5,21.35,21.4,11.78,4780
2002-07-25,22.0,22.2,21.45,21.55,11.86,6450
2002-07-26,21.25,21.35,19.4,19.9,10.95,11264
2002-07-29,19.8,19.8,17.55,17.85,9.82,2675
2002-07-30,19.35,19.4,18.25,18.7,10.29,103300
2002-07-31,18.75,18.95,18.3,18.75,10.32,5536
2002-08-01,19.25,19.5,18.9,18.9,10.4,2800
2002-08-02,18.1,18.95,18.05,18.95,10.43,500
2002-08-05,19.0,19.25,18.75,19.25,10.59,1950
2002-08-06,19.2,19.35,18.8,18.95,10.43,1101
2002-08-07,19.1,19.25,18.8,19.15,10.54,4132
2002-08-08,19.45,19.45,18.5,18.9,10.4,2100
2002-08-09,18.15,18.7,18.05,18.65,10.26,3200
2002-08-12,19.0,19.15,18.3,18.55,10.21,8235
2002-08-13,19.0,19.15,18.5,18.6,10.24,5101
2002-08-14,19.8,19.8,18.4,18.6,10.24,1650
2002-08-15,18.6,18.6,18.6,18.6,10.24,0
2002-08-16,18.15,18.5,18.0,18.05,9.93,9426
2002-08-19,18.0,18.5,17.9,18.05,9.93,3600
2002-08-20,18.5,18.5,18.0,18.0,9.91,550
2002-08-21,18.75,18.75,18.75,18.75,10.32,100
2002-08-22,18.3,19.0,17.1,17.15,9.44,5530
2002-08-23,15.55,17.1,15.55,16.5,9.08,1487
2002-08-26,17.8,17.8,16.55,16.8,9.24,1809
2002-08-27,17.1,17.1,16.5,16.5,9.08,1500
2002-08-28,16.5,16.5,15.05,15.1,8.31,6910
2002-08-29,14.6,15.8,14.4,15.45,9.11,5255
2002-08-30,15.2,15.25,15.0,15.2,8.96,13715
2002-09-02,16.0,16.0,15.2,15.5,9.13,2500
2002-09-03,15.5,16.0,15.5,15.9,9.37,1500
2002-09-04,15.85,15.95,15.65,15.8,9.31,800
2002-09-05,15.8,15.8,15.0,15.65,9.22,1171
2002-09-06,15.55,17.95,15.3,16.35,9.64,23093
2002-09-09,15.7,15.8,15.7,15.8,9.31,400
2002-09-10,15.8,15.8,15.8,15.8,9.31,0
2002-09-11,15.75,16.25,15.75,16.05,9.46,1100
2002-09-12,16.25,16.45,16.05,16.2,9.55,2020
2002-09-13,16.05,17.0,16.05,16.25,9.58,3592
2002-09-16,16.0,17.0,15.55,16.15,9.52,7472
2002-09-17,16.0,17.0,15.85,15.95,9.4,3677
2002-09-18,16.55,17.5,15.75,15.95,9.4,3405
2002-09-19,14.55,15.9,14.55,15.85,9.34,871
2002-09-20,16.2,16.2,16.2,16.2,9.55,1
2002-09-23,15.95,16.0,15.95,16.0,9.43,1495
2002-09-24,14.2,15.7,14.2,15.65,9.22,601
2002-09-25,16.45,16.45,16.45,16.45,9.69,5
2002-09-26,16.9,16.9,15.7,15.85,9.34,690
2002-09-27,16.2,16.2,16.2,16.2,9.55,400
2002-09-30,16.0,17.35,16.0,16.1,9.49,1992
2002-10-01,16.05,16.05,14.7,15.4,9.08,2855
2002-10-02,15.4,15.4,15.4,15.4,9.08,0
2002-10-03,15.0,15.25,15.0,15.05,8.87,8350
2002-10-04,15.5,15.5,15.5,15.5,9.13,650
2002-10-07,15.6,15.6,15.6,15.6,9.19,200
2002-10-08,15.95,17.5,15.95,16.45,9.69,4900
2002-10-09,16.6,16.85,16.0,16.75,9.87,5014
2002-10-10,16.0,16.0,16.0,16.0,9.43,75
2002-10-11,16.75,16.75,16.75,16.75,9.87,2000
2002-10-14,16.5,16.5,16.25,16.4,9.66,539
2002-10-15,16.4,16.4,16.4,16.4,9.66,0
2002-10-16,16.1,16.1,15.75,15.75,9.28,202
2002-10-17,16.1,16.1,15.65,15.85,9.34,2
2002-10-18,16.6,16.6,15.8,16.1,9.49,902
2002-10-21,15.05,15.9,15.05,15.3,9.02,2348
2002-10-22,13.1,16.5,13.1,16.0,9.43,670
2002-10-23,15.05,15.05,15.05,15.05,8.87,66
2002-10-24,15.5,15.5,15.25,15.25,8.99,100
2002-10-25,14.8,15.5,14.8,15.5,9.13,610
2002-10-28,15.5,15.5,15.5,15.5,9.13,500
2002-10-29,16.25,16.25,16.0,16.25,9.58,380
2002-10-30,16.05,16.15,14.0,14.85,8.75,6300
2002-10-31,15.55,16.0,14.85,16.0,9.43,527
2002-11-01,15.3,16.0,15.25,15.7,9.25,1493
2002-11-04,16.0,16.0,16.0,16.0,9.43,200
2002-11-05,16.35,16.35,16.35,16.35,9.64,200
2002-11-06,16.35,16.35,16.35,16.35,9.64,0
2002-11-07,15.65,15.65,15.65,15.65,9.22,300
2002-11-08,15.55,15.55,15.5,15.5,9.13,700
2002-11-11,16.1,16.3,15.55,15.55,9.16,3050
2002-11-12,15.95,18.0,15.5,17.25,10.17,10336
2002-11-13,17.1,17.1,16.55,16.8,9.9,1919
2002-11-14,16.25,16.9,16.25,16.6,9.78,2551
2002-11-15,16.3,16.5,16.3,16.4,9.66,1278
2002-11-18,16.6,17.15,16.5,17.1,10.08,1700
2002-11-19,17.1,17.1,17.1,17.1,10.08,0
2002-11-20,17.0,17.75,17.0,17.35,10.22,4880
2002-11-21,17.1,17.7,17.1,17.3,10.2,1200
2002-11-22,17.5,17.5,17.0,17.25,10.17,300
2002-11-25,17.8,18.0,17.5,17.9,10.55,3045
2002-11-26,18.3,18.5,18.0,18.05,10.64,3876
2002-11-27,16.7,18.6,16.7,17.35,10.22,1342
2002-11-28,17.7,17.7,17.6,17.7,10.43,1451
2002-11-29,17.2,18.25,17.2,17.55,10.34,1080
2002-12-02,18.4,19.85,18.4,19.1,11.26,4614
2002-12-03,19.0,19.15,18.4,18.4,10.84,3503
