Date,Open,High,Low,Close,Adj Close,Volume
2015-09-16,111.0,112.45,106.0,106.2,104.96,13106860
2015-09-18,106.0,108.95,104.0,106.0,104.76,753749
2015-09-21,105.95,106.25,102.25,103.15,101.94,295649
2015-09-22,104.0,104.0,102.0,103.05,101.84,257148
2015-09-23,101.85,103.9,100.05,102.35,101.15,136725
2015-09-24,102.8,103.5,100.5,103.05,101.84,120859
2015-09-28,102.1,103.0,101.0,102.0,100.81,49259
2015-09-29,102.45,102.45,98.6,100.35,99.18,63533
2015-09-30,101.0,101.0,97.95,98.8,97.64,26219
2015-10-01,99.0,103.5,99.0,100.0,98.83,58682
2015-10-05,99.15,102.5,97.95,101.25,100.07,65055
2015-10-06,100.9,101.4,99.6,100.9,99.72,27372
2015-10-07,100.0,104.5,99.25,103.45,102.24,75007
2015-10-08,101.55,105.45,101.05,103.6,102.39,62851
2015-10-09,104.05,104.05,101.0,101.25,100.07,17404
2015-10-12,101.5,102.8,100.55,100.85,99.67,7288
2015-10-13,99.65,101.8,99.6,101.0,99.82,14130
2015-10-14,99.7,102.9,99.7,100.65,99.47,14385
2015-10-15,101.9,101.9,100.0,100.65,99.47,19939
2015-10-16,100.8,102.0,100.2,101.05,99.87,17302
2015-10-19,100.05,102.9,99.8,101.35,100.16,42704
2015-10-20,100.9,103.5,100.6,102.95,101.75,36927
2015-10-21,102.0,103.75,101.25,102.05,100.86,19631
2015-10-23,101.55,105.8,101.55,104.5,103.28,255590
2015-10-26,104.5,104.5,102.1,102.3,101.1,14766
2015-10-27,102.05,102.45,99.6,100.05,98.88,20992
2015-10-28,100.05,102.45,100.0,101.5,100.31,341384
2015-10-29,100.5,102.55,99.4,101.2,100.02,20480
2015-10-30,100.55,102.3,99.3,99.9,98.73,18947
2015-11-02,99.9,103.5,97.05,101.7,100.51,99539
2015-11-03,100.85,102.2,99.95,100.25,99.08,4868
2015-11-04,100.25,103.0,100.05,101.0,99.82,18367
2015-11-05,100.5,100.5,98.0,98.1,96.95,8132
2015-11-06,97.15,100.5,97.05,100.05,98.88,27397
2015-11-09,99.0,102.0,95.95,98.9,97.74,18488
2015-11-10,99.5,101.8,98.3,100.0,98.83,20251
2015-11-13,98.0,99.9,96.85,98.2,97.05,4199
2015-11-16,97.55,100.0,97.0,97.8,96.66,4806
2015-11-17,99.9,100.0,96.1,96.95,95.82,7403
2015-11-18,96.35,97.5,96.0,96.4,95.27,8021
2015-11-19,97.0,97.9,95.2,95.9,94.78,3213
2015-11-20,95.3,101.95,95.3,101.1,99.92,31854
2015-11-23,100.1,103.4,98.55,100.15,98.98,13016
2015-11-24,100.15,102.8,100.1,102.05,100.86,25091
2015-11-26,101.15,103.2,100.95,103.0,101.79,24725
2015-11-27,102.2,107.85,101.6,103.0,101.79,661660
2015-11-30,100.0,104.5,100.0,101.95,100.76,12388
2015-12-01,104.5,104.5,101.05,101.2,100.02,7159
2015-12-02,100.25,102.4,98.6,101.05,99.87,24469
2015-12-03,101.15,101.9,100.1,100.2,99.03,7166
2015-12-04,100.15,103.15,100.0,101.7,100.51,23153
2015-12-07,102.0,106.0,99.1,100.8,99.62,84934
2015-12-08,99.2,101.8,99.2,100.15,98.98,10153
2015-12-09,99.4,101.05,97.2,98.15,97.0,26155
2015-12-10,99.55,100.0,97.0,97.6,96.46,8411
2015-12-11,98.3,99.0,97.0,97.55,96.41,10374
2015-12-14,97.2,98.9,97.0,97.2,96.06,6212
2015-12-15,93.0,99.15,93.0,97.6,96.46,5513
2015-12-16,97.0,99.4,96.3,98.0,96.85,5648
2015-12-17,98.9,99.55,97.25,97.85,96.7,3496
2015-12-18,98.0,98.0,95.5,96.4,95.27,7860
2015-12-21,98.5,100.0,97.9,99.35,98.19,10020
2015-12-22,99.0,99.65,98.0,98.1,96.95,3006
2015-12-23,97.2,101.0,97.0,97.35,96.21,4456
2015-12-24,97.9,98.05,97.15,97.5,96.36,3958
2015-12-28,99.0,99.7,96.45,98.0,96.85,7693
2015-12-29,97.35,99.45,97.3,97.55,96.41,1440
2015-12-30,102.75,102.75,96.45,97.4,96.26,5171
2015-12-31,96.55,100.5,96.5,99.75,98.58,178355
2016-01-01,99.9,99.9,97.0,97.8,96.66,4527
2016-01-04,96.5,100.0,96.5,97.25,96.11,3748
2016-01-05,97.1,97.9,95.2,96.0,94.88,16654
2016-01-06,98.45,98.45,92.0,94.55,93.44,10272
2016-01-07,94.95,96.0,92.35,93.15,92.06,14123
2016-01-08,94.95,94.95,93.2,94.0,92.9,4143
2016-01-11,96.65,96.65,92.55,93.25,92.16,153397
2016-01-12,95.25,95.25,93.0,94.15,93.05,10327
2016-01-13,95.9,100.0,92.5,92.75,91.66,20823
2016-01-14,90.0,95.0,89.95,93.15,92.06,3198
2016-01-15,91.25,95.25,88.9,89.05,88.01,9505
2016-01-18,87.25,90.2,82.5,83.8,82.82,8620
2016-01-19,85.0,88.0,81.0,81.8,80.84,139167
2016-01-20,81.0,83.9,80.2,81.15,80.2,204342
2016-01-21,83.8,84.0,81.5,83.05,82.08,100451
2016-01-22,83.95,84.7,82.0,82.7,81.73,3466
2016-01-25,91.7,91.7,83.25,87.55,86.53,8813
2016-01-27,85.55,87.0,85.15,86.1,85.09,1659
2016-01-28,88.2,90.5,88.0,89.15,88.11,9417
2016-01-29,87.25,88.5,87.1,87.55,86.53,1621
2016-02-01,85.0,94.8,85.0,87.3,86.28,202396
2016-02-02,86.3,88.95,86.3,87.95,86.92,100895
2016-02-03,87.0,87.0,84.0,85.45,84.45,3719
2016-02-04,88.9,88.9,84.15,84.65,83.66,708
2016-02-05,87.9,87.9,82.95,85.8,84.8,28722
2016-02-08,82.9,88.0,82.9,84.95,83.96,5210
2016-02-09,84.0,87.0,80.1,82.55,81.58,1356
2016-02-10,81.0,82.0,80.5,80.55,79.61,2388
2016-02-11,79.15,81.75,76.0,77.85,76.94,47380
2016-02-12,77.1,86.0,71.05,71.95,71.11,42894
2016-02-15,78.4,79.9,72.5,73.3,72.44,3719
2016-02-16,74.0,76.75,71.5,71.9,71.06,2099
2016-02-17,72.0,78.9,72.0,76.85,75.95,11384
2016-02-18,79.0,83.9,75.05,81.75,80.79,20253
2016-02-19,81.7,82.9,79.1,81.05,80.1,2178
2016-02-22,77.15,84.4,77.15,80.45,79.51,2810
2016-02-23,79.25,82.5,79.25,82.15,81.19,1429
2016-02-24,80.0,81.0,78.25,80.0,79.06,4861
2016-02-25,78.0,83.6,75.3,79.5,78.57,1067
2016-02-26,78.0,81.4,75.15,77.2,76.3,2999
2016-02-29,75.65,80.0,75.65,78.0,77.09,5530
2016-03-01,81.95,82.65,79.15,80.25,79.31,6058
2016-03-02,82.3,93.25,79.05,89.9,88.85,93973
2016-03-03,92.8,94.5,91.25,94.05,92.95,179536
2016-03-04,91.2,94.0,91.0,91.3,90.23,2930
2016-03-08,91.5,93.0,87.05,90.1,89.05,4625
2016-03-09,90.0,94.5,88.0,90.95,89.89,16765
2016-03-10,90.05,92.7,88.5,89.4,88.35,2930
2016-03-11,88.8,93.0,88.8,89.95,88.9,1687
2016-03-14,88.2,89.0,87.3,88.0,86.97,1280
2016-03-15,83.65,89.25,83.65,87.1,86.08,1530
2016-03-16,86.5,90.0,84.3,86.7,85.69,2193
2016-03-17,89.9,89.9,85.0,86.1,85.09,4657
2016-03-18,90.0,90.0,84.0,84.65,83.66,3860
2016-03-21,80.0,88.9,80.0,86.35,85.34,2624
2016-03-22,86.0,88.8,81.0,86.55,85.54,19847
2016-03-23,84.35,90.9,84.3,88.55,87.51,10229
2016-03-28,93.0,93.7,82.05,89.95,88.9,16825
2016-03-29,91.1,95.0,89.0,92.8,91.71,15922
2016-03-30,95.0,98.0,91.25,96.6,95.47,30637
2016-03-31,98.0,103.0,94.0,102.0,100.81,2244440
2016-04-01,102.95,103.6,100.3,101.55,100.36,22572
2016-04-04,98.7,102.0,98.7,100.15,98.98,10481
2016-04-05,102.85,102.85,98.5,98.65,97.5,4421
2016-04-06,96.0,98.8,96.0,97.3,96.16,802889
2016-04-07,100.9,107.7,97.0,103.35,102.14,2398645
2016-04-08,101.0,103.9,101.0,102.7,101.5,347800
2016-04-11,100.15,103.0,100.0,100.2,99.03,12652
2016-04-12,100.2,102.7,100.2,101.55,100.36,6674
2016-04-13,101.2,102.85,101.2,102.5,101.3,7979
2016-04-18,100.05,103.5,100.05,101.85,100.66,7913
2016-04-20,100.8,102.75,100.75,101.5,100.31,104715
2016-04-21,103.0,103.75,101.0,101.15,99.97,106669
2016-04-22,99.0,101.2,99.0,100.45,99.27,83322
2016-04-25,106.0,108.8,102.55,103.45,102.24,218308
2016-04-26,103.45,103.5,100.65,101.9,100.71,36947
2016-04-27,102.95,102.95,99.0,99.8,98.63,6312
2016-04-28,98.15,101.3,95.1,100.0,98.83,62592
2016-04-29,99.95,104.0,99.95,103.05,101.84,33491
2016-05-02,100.1,103.0,100.05,101.1,99.92,4056
2016-05-03,100.95,102.95,100.8,101.0,99.82,8483
2016-05-04,99.95,101.0,98.0,98.85,97.69,4484
2016-05-05,100.85,100.85,97.55,97.75,96.61,2201
2016-05-06,101.2,101.2,95.1,98.45,97.3,74676
2016-05-09,102.8,102.8,96.1,99.0,97.84,3906
2016-05-10,97.05,100.3,95.05,99.85,98.68,9518
2016-05-11,97.0,100.3,95.1,99.55,98.39,2914
2016-05-12,98.0,100.0,98.0,99.1,97.94,2042
2016-05-13,98.0,103.0,98.0,99.95,98.78,9153
2016-05-16,102.8,102.8,98.1,99.55,98.39,43265
2016-05-17,99.05,100.5,98.6,98.8,97.64,4403
2016-05-18,97.0,100.95,97.0,99.95,98.78,1653
2016-05-19,97.6,99.9,97.6,99.5,98.34,2359
2016-05-20,98.0,100.45,98.0,98.1,96.95,4624
2016-05-23,98.0,101.95,98.0,98.9,97.74,10415
2016-05-24,97.0,98.7,97.0,97.55,96.41,3513
2016-05-25,97.0,98.45,95.3,97.75,96.61,2552
2016-05-26,95.5,100.25,95.5,99.9,98.73,6596
2016-05-27,99.9,100.0,98.25,99.95,98.78,3645
2016-05-30,98.25,99.6,98.25,98.6,97.45,1360
2016-05-31,99.95,99.95,97.05,97.15,96.01,1683
2016-06-01,97.0,99.0,96.05,97.4,96.26,1900
2016-06-02,96.15,98.0,96.15,96.85,95.72,1469
2016-06-03,96.65,97.6,96.0,96.5,95.37,2524
2016-06-06,98.0,98.0,95.6,96.3,95.17,1194
2016-06-07,95.6,99.0,95.6,98.85,97.69,3997
2016-06-08,98.0,99.6,98.0,98.25,97.1,2113
2016-06-09,96.0,98.4,96.0,96.85,95.72,2908
2016-06-10,106.0,108.2,101.0,102.05,100.86,382021
2016-06-13,102.2,102.5,95.2,101.0,99.82,36804
