Date,Open,High,Low,Close,Adj Close,Volume
2007-01-29,165.0,165.0,155.5,155.6,134.94,9793
2007-01-31,151.0,156.0,150.0,152.0,131.82,4620
2007-02-01,150.5,159.6,150.5,156.9,136.07,4862
2007-02-02,162.0,164.75,155.1,158.4,137.37,9285
2007-02-05,164.0,166.0,153.0,157.5,136.59,13715
2007-02-06,156.0,157.7,150.1,152.2,132.0,6050
2007-02-07,153.1,159.85,153.0,159.85,138.63,9017
2007-02-08,165.5,166.8,165.0,166.8,145.57,10151
2007-02-09,174.7,174.7,159.0,163.25,142.47,16910
2007-02-12,162.0,171.0,155.1,155.1,135.36,8166
2007-02-13,154.7,155.0,147.35,147.5,128.72,5932
2007-02-14,145.0,152.65,140.15,149.05,130.08,13625
2007-02-15,150.95,156.5,150.95,156.5,136.58,6746
2007-02-19,163.45,164.35,160.9,164.35,143.43,5569
2007-02-20,172.0,172.5,156.15,157.7,137.63,21991
2007-02-21,159.25,162.0,155.55,159.3,139.02,6027
2007-02-22,158.55,159.0,153.0,153.5,133.96,5521
2007-02-23,153.0,153.0,146.0,147.05,128.33,4228
2007-02-26,142.15,152.0,139.7,142.9,124.71,4920
2007-02-27,148.0,148.0,136.45,144.25,125.89,1744
2007-02-28,137.05,144.0,137.05,137.05,119.61,7748
2007-03-01,131.0,140.0,130.2,136.5,119.13,3378
2007-03-02,134.05,143.0,133.0,140.25,122.4,4939
2007-03-05,140.0,140.0,133.25,133.25,116.29,5405
2007-03-06,136.2,136.2,126.6,129.7,113.19,12471
2007-03-07,128.15,131.0,123.4,124.6,108.74,3125
2007-03-08,120.0,130.85,118.4,130.1,113.54,7285
2007-03-09,134.0,134.0,123.6,126.0,109.96,51160
2007-03-12,120.0,129.0,119.8,122.1,106.56,3785
2007-03-13,124.0,128.25,116.0,125.2,109.26,32075
2007-03-14,119.1,124.7,119.1,123.05,107.39,21690
2007-03-15,125.85,126.8,122.0,124.35,108.52,65906
