Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,370.0,371.5,369.0,369.75,237.97,9644.0
2002-07-02,371.5,378.95,369.25,374.55,241.06,4570.0
2002-07-03,380.0,388.0,379.0,385.15,247.89,2670.0
2002-07-04,387.95,392.0,384.55,388.6,250.11,1945.0
2002-07-05,386.15,392.0,386.1,389.1,250.43,4435.0
2002-07-08,391.8,394.4,388.1,391.5,251.97,4340.0
2002-07-09,397.6,397.6,387.0,392.65,252.71,1795.0
2002-07-10,392.0,394.0,388.0,388.45,250.01,860.0
2002-07-11,388.1,394.0,388.0,390.7,251.46,4154.0
2002-07-12,392.5,392.5,389.4,391.7,252.1,1048.0
2002-07-15,388.0,395.0,388.0,394.15,253.68,1386.0
2002-07-16,395.0,400.0,392.0,395.45,254.51,2135.0
2002-07-17,393.0,396.0,385.0,394.8,254.1,6994.0
2002-07-18,393.0,394.4,388.2,391.55,252.0,801.0
2002-07-19,391.0,395.6,391.0,394.25,253.74,584.0
2002-07-22,388.0,394.0,388.0,388.55,250.07,3919.0
2002-07-23,384.8,391.85,384.8,390.5,251.33,470.0
2002-07-24,388.25,391.35,386.6,390.0,251.01,2086.0
2002-07-25,390.0,390.0,389.0,389.15,250.46,840.0
2002-07-26,384.1,388.0,384.0,387.8,249.59,1563.0
2002-07-29,380.0,390.0,380.0,388.55,250.07,2678.0
2002-07-30,388.0,391.75,388.0,390.0,251.01,455.0
2002-07-31,384.0,384.0,379.0,379.15,244.02,4913.0
2002-08-01,385.0,385.0,377.05,383.9,247.08,1614.0
2002-08-02,380.5,386.9,380.5,385.2,247.92,667.0
2002-08-05,386.95,388.0,385.75,388.0,249.72,297.0
2002-08-06,388.0,396.0,387.95,393.7,253.39,3668.0
2002-08-07,389.0,391.9,387.0,387.4,249.33,1015.0
2002-08-08,389.95,391.0,388.25,388.45,250.01,4945.0
2002-08-09,390.9,392.5,384.0,386.25,248.59,4364.0
2002-08-12,388.0,390.4,384.5,390.0,251.01,904.0
2002-08-13,386.5,392.0,386.5,391.8,252.17,1210.0
2002-08-14,388.05,389.95,384.0,385.35,248.01,2465.0
2002-08-15,385.35,385.35,385.35,385.35,248.01,0.0
2002-08-16,386.0,392.0,386.0,390.35,251.23,693.0
2002-08-19,388.0,391.95,385.05,389.75,250.85,4243.0
2002-08-20,385.2,387.4,381.0,382.0,245.86,581.0
2002-08-21,380.0,384.95,380.0,382.05,245.89,490.0
2002-08-22,381.0,384.0,381.0,381.05,245.25,577.0
2002-08-23,381.05,385.0,378.0,383.4,246.76,12327.0
2002-08-26,384.0,387.0,377.0,381.05,245.25,2133.0
2002-08-27,383.0,385.0,383.0,384.0,247.15,1470.0
2002-08-28,380.1,386.0,380.1,382.6,246.24,3066.0
2002-08-29,380.05,380.05,376.25,379.95,244.54,590.0
2002-08-30,380.0,380.0,373.1,374.6,241.1,1622.0
